uniprot_accession	is_rbp	label_source
A0A087X1C5	False	
A0A096LP01	False	
A0A0B4J2F0	False	
A0A0C5B5G6	False	
A0A0K2S4Q6	False	
A0A0U1RRE5	False	
A0A1B0GTW7	False	
A0A2R8Y7D0	False	
A0A8I5KQE6	False	
A0AV02	False	
A0AV96	True	master_direct
A0AVF1	False	
A0AVI4	False	
A0AVK6	False	
A0AVT1	False	
A0FGR8	False	
A0FGR9	False	
A0JLT2	False	
A0JNW5	False	
A0JP26	False	
A0MZ66	False	
A0PJK1	False	
A0PJY2	False	
A0PK00	False	
A0PK05	False	
A0PK11	False	
A1A4S6	False	
A1A4Y4	False	
A1A519	False	
A1A5B4	False	
A1A5C7	False	
A1E959	False	
A1KXE4	False	
A1KZ92	False	
A1L0T0	False	
A1L167	False	
A1L190	False	
A1L390	False	
A1L3X0	False	
A1L4H1	False	
A1L4K1	False	
A1X283	False	
A1XBS5	False	
A1Z1Q3	False	
A2A288	True	master_direct
A2A2Y4	False	
A2IDD5	False	
A2PYH4	True	master_direct
A2RRP1	False	
A2RTX5	True	master_direct
A2RU14	False	
A2RU30	False	
A2RU49	False	
A2RUB1	False	
A2RUB6	False	
A2RUC4	True	master_direct
A2RUH7	False	
A2VDJ0	False	
A2VEC9	False	
A3KMH1	False	
A3KN83	False	
A4D0S4	False	
A4D126	False	
A4D161	False	
A4D1B5	True	master_direct
A4D1E9	True	master_direct
A4D1P6	False	
A4D1S5	False	
A4D1T9	False	
A4D256	False	
A4D2B0	False	
A4D2B8	False	
A4D2P6	False	
A4GXA9	False	
A4UGR9	False	
A5A3E0	False	
A5D8T8	False	
A5D8V6	False	
A5D8V7	False	
A5D8W1	False	
A5LHX3	False	
A5PKW4	False	
A5PLL7	False	
A5PLN9	False	
A5X5Y0	False	
A5YKK6	True	master_direct
A5YM72	False	
A6BM72	False	
A6H8Y1	False	
A6H8Z2	False	
A6NC98	False	
A6NCS4	False	
A6ND01	False	
A6ND36	False	
A6NDB9	False	
A6NDG6	False	
A6NDV4	False	
A6NED2	False	
A6NEM1	False	
A6NER3	False	
A6NFA1	False	
A6NFQ2	False	
A6NFX1	False	
A6NFY7	False	
A6NGG8	False	
A6NGQ2	False	
A6NGU5	False	
A6NHL2	False	
A6NHQ2	True	master_direct
A6NHR9	False	
A6NHX0	False	
A6NI15	False	
A6NI61	False	
A6NI73	False	
A6NIH7	False	
A6NIM6	False	
A6NIX2	False	
A6NJ78	True	master_direct
A6NK06	False	
A6NK58	False	
A6NK89	False	
A6NKB5	False	
A6NKF2	False	
A6NMB9	False	
A6NMY6	False	
A6NMZ7	False	
A6NNB3	False	
A6NNM8	False	
A6NNN8	False	
A6NNY8	False	
A6NNZ2	False	
A6PVC2	False	
A6PVI3	True	master_direct
A6QL63	False	
A7E2V4	False	
A7E2Y1	False	
A7KAX9	False	
A7MCY6	False	
A7MD48	True	master_direct
A8CG34	False	
A8K0Z3	False	
A8K2U0	False	
A8K4G0	False	
A8K7I4	False	
A8K830	False	
A8K8P3	False	
A8K8V0	False	
A8MPY1	False	
A8MQ03	False	
A8MQ27	False	
A8MT69	False	
A8MTA8	False	
A8MTJ3	False	
A8MTJ6	False	
A8MTQ0	False	
A8MTZ0	False	
A8MUP2	False	
A8MV65	False	
A8MVW5	False	
A8MW92	False	
A8MW95	False	
A8MW99	False	
A8MXD5	False	
A8MXV4	False	
A8MYU2	False	
A8MZ59	False	
A8TX70	False	
A9QM74	False	
A9UHW6	True	gene_patch
A9YTQ3	False	
B0I1T2	False	
B0L3A2	False	
B0YJ81	False	
B1AK53	False	
B1AL88	False	
B2RPK0	False	
B2RTY4	False	
B2RUY7	False	
B2RUZ4	False	
B2RXF5	False	
B2RXH2	False	
B3KU38	False	
B6A8C7	False	
B7U540	False	
B7ZAQ6	False	
B7ZBB8	False	
C0HME6	False	
C4AMC7	False	
C9JE40	True	master_direct
C9JLW8	False	
C9JR72	False	
C9JRZ8	False	
D3W0D1	False	
D6RGH6	False	
E0CX11	False	
E9PQX1	False	
F5H094	False	
G2XKQ0	False	
H0YL14	False	
H3BS89	False	
H3BV60	False	
K7EJ46	False	
K9M1U5	False	
L0R8F8	False	
M0R2J8	False	
M5A8F1	False	
O00115	False	
O00116	False	
O00124	True	gene_patch
O00139	False	
O00141	False	
O00142	False	
O00144	False	
O00148	True	master_direct
O00151	False	
O00154	False	
O00155	False	
O00159	False	
O00160	False	
O00161	False	
O00165	False	
O00167	False	
O00168	False	
O00170	False	
O00175	False	
O00178	True	master_direct
O00180	False	
O00182	False	
O00186	False	
O00187	False	
O00189	False	
O00192	False	
O00194	False	
O00198	False	
O00203	False	
O00204	False	
O00206	False	
O00212	False	
O00213	False	
O00214	False	
O00217	False	
O00219	False	
O00220	False	
O00221	False	
O00222	False	
O00230	False	
O00231	False	
O00232	False	
O00233	False	
O00237	False	
O00238	False	
O00241	False	
O00244	False	
O00253	False	
O00254	False	
O00255	False	
O00257	False	
O00258	False	
O00264	False	
O00267	True	master_direct
O00268	False	
O00270	False	
O00273	False	
O00287	False	
O00291	False	
O00292	False	
O00294	False	
O00299	False	
O00300	False	
O00303	False	
O00305	False	
O00308	False	
O00311	False	
O00322	False	
O00327	False	
O00329	False	
O00330	False	
O00337	False	
O00338	False	
O00339	False	
O00341	False	
O00358	False	
O00370	False	
O00391	False	
O00399	False	
O00400	False	
O00401	False	
O00408	False	
O00409	False	
O00410	True	master_direct
O00411	True	master_direct
O00418	True	master_direct
O00421	False	
O00422	True	gene_patch
O00423	False	
O00425	True	master_direct
O00429	False	
O00442	True	master_direct
O00443	False	
O00444	False	
O00445	False	
O00451	False	
O00453	False	
O00459	False	
O00461	False	
O00462	False	
O00463	False	
O00468	False	
O00469	False	
O00470	False	
O00471	False	
O00472	False	
O00476	False	
O00478	False	
O00481	False	
O00482	False	
O00483	False	
O00487	False	
O00488	False	
O00499	False	
O00501	False	
O00505	False	
O00506	False	
O00507	False	
O00512	False	
O00519	False	
O00522	False	
O00526	False	
O00533	False	
O00541	True	gene_patch
O00548	False	
O00555	False	
O00559	False	
O00560	False	
O00562	False	
O00566	True	master_direct
O00567	True	master_direct
O00571	True	master_direct
O00574	False	
O00584	True	master_direct
O00585	False	
O00587	False	
O00590	False	
O00591	False	
O00592	False	
O00602	False	
O00622	False	
O00623	False	
O00624	False	
O00625	False	
O00626	False	
O00628	False	
O00629	False	
O00631	False	
O00635	False	
O00712	False	
O00716	False	
O00743	False	
O00744	False	
O00746	False	
O00748	False	
O00750	False	
O00754	False	
O00755	False	
O00757	False	
O00762	False	
O00763	False	
O00764	False	
O00767	False	
O14490	False	
O14492	False	
O14493	False	
O14494	False	
O14495	False	
O14497	False	
O14503	False	
O14508	False	
O14511	False	
O14512	False	
O14513	False	
O14514	False	
O14519	False	
O14520	False	
O14521	False	
O14522	False	
O14523	False	
O14524	False	
O14525	False	
O14526	False	
O14529	False	
O14530	False	
O14531	False	
O14543	False	
O14544	False	
O14548	False	
O14556	False	
O14558	False	
O14559	False	
O14561	False	
O14569	False	
O14576	False	
O14578	False	
O14579	False	
O14593	False	
O14594	False	
O14595	False	
O14607	False	
O14610	False	
O14613	False	
O14617	False	
O14618	False	
O14625	False	
O14626	False	
O14627	False	
O14628	False	
O14633	False	
O14638	False	
O14639	False	
O14640	False	
O14641	False	
O14645	False	
O14646	True	gene_patch
O14647	True	master_direct
O14649	False	
O14653	False	
O14654	False	
O14656	False	
O14657	False	
O14662	False	
O14669	False	
O14672	False	
O14678	False	
O14681	False	
O14682	False	
O14684	False	
O14686	False	
O14713	False	
O14717	True	master_direct
O14727	False	
O14730	True	master_direct
O14732	False	
O14733	False	
O14734	False	
O14735	False	
O14737	False	
O14744	False	
O14745	False	
O14746	True	master_direct
O14756	False	
O14757	False	
O14763	False	
O14764	False	
O14770	False	
O14771	False	
O14772	False	
O14773	False	
O14775	False	
O14776	True	master_direct
O14777	False	
O14782	False	
O14786	False	
O14787	True	master_direct
O14788	False	
O14791	False	
O14792	False	
O14793	False	
O14795	False	
O14796	False	
O14798	False	
O14802	False	
O14804	False	
O14807	False	
O14810	False	
O14813	False	
O14815	False	
O14817	False	
O14818	False	
O14827	False	
O14828	False	
O14829	False	
O14830	False	
O14832	False	
O14836	False	
O14842	False	
O14843	False	
O14862	False	
O14863	False	
O14867	False	
O14874	False	
O14879	True	master_direct
O14880	False	
O14893	True	master_direct
O14894	False	
O14896	False	
O14901	False	
O14904	False	
O14905	False	
O14907	False	
O14908	False	
O14910	False	
O14917	False	
O14920	False	
O14924	False	
O14925	False	
O14926	False	
O14929	False	
O14931	False	
O14933	False	
O14936	False	
O14939	False	
O14944	False	
O14948	False	
O14949	False	
O14950	False	
O14958	False	
O14960	False	
O14964	False	
O14965	False	
O14966	False	
O14967	False	
O14972	False	
O14974	False	
O14975	False	
O14976	False	
O14977	False	
O14978	True	gene_patch
O14979	True	master_direct
O14980	True	master_direct
O14981	True	master_direct
O14983	False	
O14986	False	
O14994	False	
O15013	False	
O15014	False	
O15015	False	
O15018	False	
O15020	False	
O15021	False	
O15027	False	
O15031	False	
O15033	False	
O15040	False	
O15041	False	
O15042	True	master_direct
O15047	True	master_direct
O15049	False	
O15054	False	
O15055	False	
