method,algorithm,sheet,cluster_column,n_proteins,n_clusters,workbook
AlcoR,pam,k2,cluster_pam_k2,968,2,lcr_analyses\clustering\rna_class_overlap\AlcoR\overlap_pam.xlsx
AlcoR,pam,k3,cluster_pam_k3,968,3,lcr_analyses\clustering\rna_class_overlap\AlcoR\overlap_pam.xlsx
AlcoR,pam,k4,cluster_pam_k4,968,4,lcr_analyses\clustering\rna_class_overlap\AlcoR\overlap_pam.xlsx
AlcoR,pam,k5,cluster_pam_k5,968,5,lcr_analyses\clustering\rna_class_overlap\AlcoR\overlap_pam.xlsx
AlcoR,pam,k6,cluster_pam_k6,968,6,lcr_analyses\clustering\rna_class_overlap\AlcoR\overlap_pam.xlsx
AlcoR,hierarchical,k2,cluster_hierarchical_k2,968,2,lcr_analyses\clustering\rna_class_overlap\AlcoR\overlap_hierarchical.xlsx
AlcoR,hierarchical,k3,cluster_hierarchical_k3,968,3,lcr_analyses\clustering\rna_class_overlap\AlcoR\overlap_hierarchical.xlsx
AlcoR,hierarchical,k4,cluster_hierarchical_k4,968,4,lcr_analyses\clustering\rna_class_overlap\AlcoR\overlap_hierarchical.xlsx
AlcoR,hierarchical,k5,cluster_hierarchical_k5,968,5,lcr_analyses\clustering\rna_class_overlap\AlcoR\overlap_hierarchical.xlsx
AlcoR,hierarchical,k6,cluster_hierarchical_k6,968,6,lcr_analyses\clustering\rna_class_overlap\AlcoR\overlap_hierarchical.xlsx
AlcoR,hdbscan,hdbscan,cluster_hdbscan,968,1,lcr_analyses\clustering\rna_class_overlap\AlcoR\overlap_hdbscan.xlsx
CAST,pam,k2,cluster_pam_k2,1055,2,lcr_analyses\clustering\rna_class_overlap\CAST\overlap_pam.xlsx
CAST,pam,k3,cluster_pam_k3,1055,3,lcr_analyses\clustering\rna_class_overlap\CAST\overlap_pam.xlsx
CAST,pam,k4,cluster_pam_k4,1055,4,lcr_analyses\clustering\rna_class_overlap\CAST\overlap_pam.xlsx
CAST,pam,k5,cluster_pam_k5,1055,5,lcr_analyses\clustering\rna_class_overlap\CAST\overlap_pam.xlsx
CAST,pam,k6,cluster_pam_k6,1055,6,lcr_analyses\clustering\rna_class_overlap\CAST\overlap_pam.xlsx
CAST,hierarchical,k2,cluster_hierarchical_k2,1055,2,lcr_analyses\clustering\rna_class_overlap\CAST\overlap_hierarchical.xlsx
