cluster,rna_class,observed,expected,cluster_size,class_total,cluster_composition,class_distribution,log2_obs_expected,log2_or,p_value,descriptive_only,p_fdr,analysis,method,algorithm,run,q_family
1,unknown,119,77.02182952182952,365,406,0.326027397260274,0.293103448275862,0.6276222761254298,1.101454766734157,9.126793209777827e-09,False,3.285645555520018e-07,global,AlcoR,pam,k4,1.1292747651488612e-07
0,unknown,152,201.7338877338877,956,406,0.1589958158995816,0.374384236453202,-0.4083821279522975,-0.9100148232530766,2.837921255744259e-08,False,5.108258260339667e-07,global,AlcoR,pam,k4,3.024626601516907e-07
0,ribosomal protein,114,82.48232848232848,956,166,0.1192468619246862,0.6867469879518072,0.4668768586071103,1.246416464901486,3.608643570071871e-07,False,4.330372284086246e-06,global,AlcoR,pam,k4,3.5216883033231512e-06
1,ribosomal protein,11,31.49168399168399,365,166,0.03013698630136986,0.06626506024096386,-1.517467382706965,-1.771009722186707,3.974333906004739e-06,False,3.576900515404265e-05,global,AlcoR,pam,k4,3.318773674086432e-05
3,unknown,66,47.69022869022869,226,406,0.2920353982300885,0.1625615763546798,0.4687723235281314,0.7251408105887901,0.002294568513341656,False,0.01652089329605992,global,AlcoR,pam,k4,0.01133292985248013
3,ribosomal protein,9,19.4989604989605,226,166,0.03982300884955752,0.05421686746987952,-1.115400308549758,-1.226032921572609,0.005451987957744065,False,0.03271192774646439,global,AlcoR,pam,k4,0.023000574196732772
1,snRNA,10,19.35031185031185,365,102,0.0273972602739726,0.09803921568627451,-0.9523568170814708,-1.093624999359553,0.01334665018284652,False,0.06863991522606781,global,AlcoR,pam,k4,0.0490087013904686
0,snRNA,61,50.68191268191269,956,102,0.06380753138075314,0.5980392156862745,0.2673382713806841,0.6181289235145195,0.04151840403214188,False,0.1868328181446385,global,AlcoR,pam,k4,0.1254847286046079
1,pre-rRNA,15,22.57536382536383,365,119,0.0410958904109589,0.1260504201680672,-0.5897867376967627,-0.6991343315818649,0.07044488130266922,False,0.2817795252106769,global,AlcoR,pam,k4,0.18666553044135814
3,snoRNA,1,4.816008316008316,226,41,0.004424778761061947,0.02439024390243903,-2.267837883263229,-1.876207828630827,0.08066169179140974,True,0.290382090449075,global,AlcoR,pam,k4,0.19980419067596905
2,unknown,69,79.55405405405405,377,406,0.1830238726790451,0.1699507389162561,-0.2053390899056294,-0.3075419343651672,0.14014025853127,False,0.4586408461023381,global,AlcoR,pam,k4,0.31099619016528407
2,mRNA,158,145.5878378378378,377,743,0.4190981432360742,0.2126514131897712,0.1180347181398845,0.2473792705724601,0.1568158230881038,False,0.4704474692643115,global,AlcoR,pam,k4,0.3387221778703042
0,pre-rRNA,66,59.12889812889813,956,119,0.06903765690376569,0.5546218487394958,0.1586026318398034,0.353759723795761,0.2185427161543165,False,0.6051952139657995,global,AlcoR,pam,k4,0.4275835750845323
1,mRNA,131,140.9537422037422,365,743,0.3589041095890411,0.1763122476446837,-0.1056549689984835,-0.205109024054553,0.2565335295809166,False,0.6205554927397338,global,AlcoR,pam,k4,0.4798092196112104
2,tRNA,29,34.87837837837838,377,178,0.07692307692307693,0.1629213483146068,-0.2662800653374479,-0.3367089322284952,0.2758024412176595,False,0.6205554927397338,global,AlcoR,pam,k4,0.49699084130818827
3,snRNA,8,11.98128898128898,226,102,0.03539823008849557,0.0784313725490196,-0.5827112206166414,-0.5983609781895242,0.2675548961441767,False,0.6205554927397338,global,AlcoR,pam,k4,0.48810690512788996
1,ncRNA,27,23.14449064449065,365,122,0.07397260273972603,0.2213114754098361,0.2222905946032447,0.317111339793281,0.3419631403072426,False,0.7241572382976903,global,AlcoR,pam,k4,0.5758630845090781
0,tRNA,93,88.44490644490645,956,178,0.09728033472803348,0.5224719101123596,0.072451655930927,0.1620759020244314,0.4800064087037322,False,0.785465032424289,global,AlcoR,pam,k4,0.7200096130555983
2,pre-rRNA,27,23.31756756756757,377,119,0.07161803713527852,0.226890756302521,0.2115421093569026,0.30400674312049,0.4035414039721179,False,0.785465032424289,global,AlcoR,pam,k4,0.633466157398092
2,snRNA,23,19.98648648648649,377,102,0.0610079575596817,0.2254901960784314,0.2026089845868948,0.292191629478617,0.4422906856053487,False,0.785465032424289,global,AlcoR,pam,k4,0.679801623036684
2,snoRNA,10,8.033783783783784,377,41,0.02652519893899204,0.2439024390243902,0.3158484607706563,0.459966842179288,0.4276984764698284,False,0.785465032424289,global,AlcoR,pam,k4,0.6611369579018339
3,pre-rRNA,11,13.97817047817048,226,119,0.04867256637168142,0.09243697478991597,-0.3456720233157919,-0.3542686789370513,0.4627691650727094,False,0.785465032424289,global,AlcoR,pam,k4,0.7027626709449292
0,diverse,25,23.35343035343035,956,47,0.02615062761506276,0.5319148936170213,0.09829361388638078,0.2036189824038885,0.659874987606869,False,0.847237906451111,global,AlcoR,pam,k4,0.8459808122843002
0,ncRNA,58,60.61954261954262,956,122,0.06066945606694561,0.4754098360655737,-0.06373006664602075,-0.1312605367285504,0.6409691700662961,False,0.847237906451111,global,AlcoR,pam,k4,0.8387480254502421
1,diverse,10,8.916320166320165,365,47,0.0273972602739726,0.2127659574468085,0.1654796732123876,0.262019495457159,0.7060315887092592,False,0.847237906451111,global,AlcoR,pam,k4,0.8782539326239208
1,snoRNA,9,7.778066528066528,365,41,0.02465753424657534,0.2195121951219512,0.2105134268268909,0.3247580986773349,0.6863156271507737,False,0.847237906451111,global,AlcoR,pam,k4,0.8659122398631256
2,ncRNA,21,23.90540540540541,377,122,0.05570291777188329,0.1721311475409836,-0.1869475442827484,-0.2184788209973668,0.5565582335787171,False,0.847237906451111,global,AlcoR,pam,k4,0.782660015970071
3,diverse,4,5.520790020790021,226,47,0.01769911504424779,0.0851063829787234,-0.4648747303227832,-0.3776287248631767,0.6475600678096232,True,0.847237906451111,global,AlcoR,pam,k4,0.839374310718162
3,ncRNA,16,14.33056133056133,226,122,0.07079646017699115,0.1311475409836066,0.1589767837919679,0.2290857332098818,0.6621627592447485,False,0.847237906451111,global,AlcoR,pam,k4,0.8459808122843002
3,tRNA,23,20.90852390852391,226,178,0.1017699115044248,0.1292134831460674,0.1375426464454694,0.1969228648959125,0.6246436776762059,False,0.847237906451111,global,AlcoR,pam,k4,0.8323459029376074
0,mRNA,366,369.1829521829522,956,743,0.3828451882845189,0.4925975773889636,-0.01249228646526038,-0.04022233713599825,0.7788477529334461,False,0.9044683582452921,global,AlcoR,pam,k4,0.9182921104455478
0,snoRNA,21,20.37214137214137,956,41,0.02196652719665272,0.5121951219512195,0.0437916939499701,0.08862287025470598,0.8756332762418553,False,0.9552363013547512,global,AlcoR,pam,k4,0.9636724915161722
2,diverse,8,9.20945945945946,377,47,0.02122015915119363,0.1702127659574468,-0.2031164811762597,-0.1868494799262123,0.8521939650822798,False,0.9552363013547512,global,AlcoR,pam,k4,0.9557440759281498
1,tRNA,33,33.76819126819127,365,178,0.09041095890410959,0.1853932584269663,-0.03319888160528181,-0.02992022144281055,0.9204199911003815,False,0.9689834434575171,global,AlcoR,pam,k4,0.9783992031382008
3,mRNA,88,87.27546777546777,226,743,0.3893805309734513,0.1184387617765814,0.01192733945355539,0.02462629897188972,0.9420672366948083,False,0.9689834434575171,global,AlcoR,pam,k4,0.9974829565003853
2,ribosomal protein,32,32.52702702702702,377,166,0.08488063660477453,0.1927710843373494,-0.02356706084554692,-0.01658028208525276,1.0,False,1.0,global,AlcoR,pam,k4,1.0
4,unknown,119,77.02182952182952,365,406,0.326027397260274,0.293103448275862,0.6276222761254298,1.101454766734157,9.126793209777827e-09,False,4.107056944400022e-07,global,AlcoR,pam,k5,1.1292747651488612e-07
0,unknown,152,201.7338877338877,956,406,0.1589958158995816,0.374384236453202,-0.4083821279522975,-0.9100148232530766,2.837921255744259e-08,False,6.385322825424582e-07,global,AlcoR,pam,k5,3.024626601516907e-07
0,ribosomal protein,114,82.48232848232848,956,166,0.1192468619246862,0.6867469879518072,0.4668768586071103,1.246416464901486,3.608643570071871e-07,False,5.412965355107807e-06,global,AlcoR,pam,k5,3.5216883033231512e-06
4,ribosomal protein,11,31.49168399168399,365,166,0.03013698630136986,0.06626506024096386,-1.517467382706965,-1.771009722186707,3.974333906004739e-06,False,4.471125644255332e-05,global,AlcoR,pam,k5,3.318773674086432e-05
3,unknown,66,47.69022869022869,226,406,0.2920353982300885,0.1625615763546798,0.4687723235281314,0.7251408105887901,0.002294568513341656,False,0.02065111662007491,global,AlcoR,pam,k5,0.01133292985248013
3,ribosomal protein,9,19.4989604989605,226,166,0.03982300884955752,0.05421686746987952,-1.115400308549758,-1.226032921572609,0.005451987957744065,False,0.04088990968308048,global,AlcoR,pam,k5,0.023000574196732772
4,snRNA,10,19.35031185031185,365,102,0.0273972602739726,0.09803921568627451,-0.9523568170814708,-1.093624999359553,0.01334665018284652,False,0.08579989403258477,global,AlcoR,pam,k5,0.0490087013904686
0,snRNA,61,50.68191268191269,956,102,0.06380753138075314,0.5980392156862745,0.2673382713806841,0.6181289235145195,0.04151840403214188,False,0.2335410226807981,global,AlcoR,pam,k5,0.1254847286046079
1,pre-rRNA,12,7.36018711018711,119,119,0.1008403361344538,0.1008403361344538,0.7052200578753111,0.877515993475005,0.07606399702882209,False,0.3299796482375853,global,AlcoR,pam,k5,0.19253945216787777
3,snoRNA,1,4.816008316008316,226,41,0.004424778761061947,0.02439024390243903,-2.267837883263229,-1.876207828630827,0.08066169179140974,True,0.3299796482375853,global,AlcoR,pam,k5,0.19980419067596905
4,pre-rRNA,15,22.57536382536383,365,119,0.0410958904109589,0.1260504201680672,-0.5897867376967627,-0.6991343315818649,0.07044488130266922,False,0.3299796482375853,global,AlcoR,pam,k5,0.18666553044135814
0,pre-rRNA,66,59.12889812889813,956,119,0.06903765690376569,0.5546218487394958,0.1586026318398034,0.353759723795761,0.2185427161543165,False,0.6336826487625238,global,AlcoR,pam,k5,0.4275835750845323
1,ncRNA,4,7.545738045738045,119,122,0.03361344537815126,0.03278688524590164,-0.9156620171007879,-0.8498955020464487,0.2404701193167282,True,0.6336826487625238,global,AlcoR,pam,k5,0.4615658688306868
1,tRNA,7,11.00935550935551,119,178,0.05882352941176471,0.03932584269662921,-0.6533031884466952,-0.6543217000140649,0.2511364490756079,False,0.6336826487625238,global,AlcoR,pam,k5,0.4730709854680055
2,mRNA,109,99.63305613305613,258,743,0.4224806201550387,0.1467025572005383,0.1296317525851181,0.2532350978687701,0.2161290431435491,False,0.6336826487625238,global,AlcoR,pam,k5,0.4275835750845323
2,snoRNA,8,5.497920997920998,258,41,0.0310077519379845,0.1951219512195122,0.5411138237287041,0.7264575970354217,0.2457489173625254,False,0.6336826487625238,global,AlcoR,pam,k5,0.4661747612731747
2,unknown,46,54.44282744282744,258,406,0.1782945736434109,0.1133004926108374,-0.2431081327813755,-0.3345242598378345,0.1894009180574348,False,0.6336826487625238,global,AlcoR,pam,k5,0.39136414190439334
3,snRNA,8,11.98128898128898,226,102,0.03539823008849557,0.0784313725490196,-0.5827112206166414,-0.5983609781895242,0.2675548961441767,False,0.6336826487625238,global,AlcoR,pam,k5,0.48810690512788996
4,mRNA,131,140.9537422037422,365,743,0.3589041095890411,0.1763122476446837,-0.1056549689984835,-0.205109024054553,0.2565335295809166,False,0.6336826487625238,global,AlcoR,pam,k5,0.4798092196112104
4,ncRNA,27,23.14449064449065,365,122,0.07397260273972603,0.2213114754098361,0.2222905946032447,0.317111339793281,0.3419631403072426,False,0.769417065691296,global,AlcoR,pam,k5,0.5758630845090781
0,diverse,25,23.35343035343035,956,47,0.02615062761506276,0.5319148936170213,0.09829361388638078,0.2036189824038885,0.659874987606869,False,0.9472472670812183,global,AlcoR,pam,k5,0.8459808122843002
0,mRNA,366,369.1829521829522,956,743,0.3828451882845189,0.4925975773889636,-0.01249228646526038,-0.04022233713599825,0.7788477529334461,False,0.9472472670812183,global,AlcoR,pam,k5,0.9182921104455478
0,ncRNA,58,60.61954261954262,956,122,0.06066945606694561,0.4754098360655737,-0.06373006664602075,-0.1312605367285504,0.6409691700662961,False,0.9472472670812183,global,AlcoR,pam,k5,0.8387480254502421
0,tRNA,93,88.44490644490645,956,178,0.09728033472803348,0.5224719101123596,0.072451655930927,0.1620759020244314,0.4800064087037322,False,0.9472472670812183,global,AlcoR,pam,k5,0.7200096130555983
1,diverse,3,2.906964656964657,119,47,0.02521008403361345,0.06382978723404255,0.04544896950561743,0.2500241059318898,0.7650871240383497,True,0.9472472670812183,global,AlcoR,pam,k5,0.9112666545499551
1,mRNA,49,45.9547817047817,119,743,0.4117647058823529,0.06594885598923284,0.09256676403871048,0.1682666167264134,0.5608788731174873,False,0.9472472670812183,global,AlcoR,pam,k5,0.7860067253030532
1,ribosomal protein,11,10.26715176715177,119,166,0.09243697478991597,0.06626506024096386,0.09946750775247087,0.1699273767044669,0.7374733402178079,False,0.9472472670812183,global,AlcoR,pam,k5,0.8996286228560608
1,snRNA,8,6.308731808731808,119,102,0.06722689075630252,0.0784313725490196,0.342649978490603,0.4653660941187998,0.5226988336961185,False,0.9472472670812183,global,AlcoR,pam,k5,0.7726022906822189
1,unknown,23,25.11122661122661,119,406,0.1932773109243698,0.05665024630541872,-0.126698640666065,-0.1467380158994322,0.7278801693196224,False,0.9472472670812183,global,AlcoR,pam,k5,0.8932122337262475
2,snRNA,15,13.67775467775468,258,102,0.05813953488372093,0.1470588235294118,0.1331310819838108,0.2004594582190772,0.6553768119635752,False,0.9472472670812183,global,AlcoR,pam,k5,0.8453108561950572
2,tRNA,22,23.86902286902287,258,178,0.08527131782945736,0.1235955056179775,-0.1176359839823127,-0.123051655214398,0.7300080231194763,False,0.9472472670812183,global,AlcoR,pam,k5,0.8932122337262475
3,diverse,4,5.520790020790021,226,47,0.01769911504424779,0.0851063829787234,-0.4648747303227832,-0.3776287248631767,0.6475600678096232,True,0.9472472670812183,global,AlcoR,pam,k5,0.839374310718162
3,ncRNA,16,14.33056133056133,226,122,0.07079646017699115,0.1311475409836066,0.1589767837919679,0.2290857332098818,0.6621627592447485,False,0.9472472670812183,global,AlcoR,pam,k5,0.8459808122843002
3,pre-rRNA,11,13.97817047817048,226,119,0.04867256637168142,0.09243697478991597,-0.3456720233157919,-0.3542686789370513,0.4627691650727094,False,0.9472472670812183,global,AlcoR,pam,k5,0.7027626709449292
3,tRNA,23,20.90852390852391,226,178,0.1017699115044248,0.1292134831460674,0.1375426464454694,0.1969228648959125,0.6246436776762059,False,0.9472472670812183,global,AlcoR,pam,k5,0.8323459029376074
4,diverse,10,8.916320166320165,365,47,0.0273972602739726,0.2127659574468085,0.1654796732123876,0.262019495457159,0.7060315887092592,False,0.9472472670812183,global,AlcoR,pam,k5,0.8782539326239208
4,snoRNA,9,7.778066528066528,365,41,0.02465753424657534,0.2195121951219512,0.2105134268268909,0.3247580986773349,0.6863156271507737,False,0.9472472670812183,global,AlcoR,pam,k5,0.8659122398631256
0,snoRNA,21,20.37214137214137,956,41,0.02196652719665272,0.5121951219512195,0.0437916939499701,0.08862287025470598,0.8756332762418553,False,0.9632302232445853,global,AlcoR,pam,k5,0.9636724915161722
2,diverse,5,6.302494802494802,258,47,0.01937984496124031,0.1063829787234043,-0.3339949284434873,-0.2700212261742617,0.8275288297504415,False,0.9632302232445853,global,AlcoR,pam,k5,0.9414302698003618
2,ncRNA,17,16.35966735966736,258,122,0.06589147286821706,0.139344262295082,0.055391332034241,0.1010213034225814,0.8906336272913686,False,0.9632302232445853,global,AlcoR,pam,k5,0.965747306701484
2,pre-rRNA,15,15.95738045738046,258,119,0.05813953488372093,0.1260504201680672,-0.08926133935263716,-0.07130030933953803,0.8899088469171192,False,0.9632302232445853,global,AlcoR,pam,k5,0.965747306701484
2,ribosomal protein,21,22.25987525987526,258,166,0.08139534883720931,0.1265060240963855,-0.08405618022137659,-0.07911567290990035,0.9050629639856029,False,0.9632302232445853,global,AlcoR,pam,k5,0.9722824944672922
4,tRNA,33,33.76819126819127,365,178,0.09041095890410959,0.1853932584269663,-0.03319888160528181,-0.02992022144281055,0.9204199911003815,False,0.9632302232445853,global,AlcoR,pam,k5,0.9783992031382008
3,mRNA,88,87.27546777546777,226,743,0.3893805309734513,0.1184387617765814,0.01192733945355539,0.02462629897188972,0.9420672366948083,False,0.9634778557105994,global,AlcoR,pam,k5,0.9974829565003853
1,snoRNA,2,2.535862785862786,119,41,0.01680672268907563,0.04878048780487805,-0.3424766841559852,-0.07169156596408795,1.0,True,1.0,global,AlcoR,pam,k5,1.0
1,unknown,59,30.17567567567568,143,406,0.4125874125874126,0.145320197044335,0.9673288791683174,1.539401412183554,1.33035172817111e-08,False,7.183899332123993e-07,global,AlcoR,pam,k6,1.6083356713710434e-07
0,unknown,152,201.7338877338877,956,406,0.1589958158995816,0.374384236453202,-0.4083821279522975,-0.9100148232530766,2.837921255744259e-08,False,7.6623873905095e-07,global,AlcoR,pam,k6,3.024626601516907e-07
0,ribosomal protein,114,82.48232848232848,956,166,0.1192468619246862,0.6867469879518072,0.4668768586071103,1.246416464901486,3.608643570071871e-07,False,6.495558426129369e-06,global,AlcoR,pam,k6,3.5216883033231512e-06
4,ribosomal protein,6,19.15384615384615,222,166,0.02702702702702703,0.03614457831325301,-1.674599713205833,-1.793158209671156,0.0003093365355874781,False,0.004176043230430955,global,AlcoR,pam,k6,0.00195752026426451
3,unknown,66,47.69022869022869,226,406,0.2920353982300885,0.1625615763546798,0.4687723235281314,0.7251408105887901,0.002294568513341656,False,0.02478133994408989,global,AlcoR,pam,k6,0.01133292985248013
3,ribosomal protein,9,19.4989604989605,226,166,0.03982300884955752,0.05421686746987952,-1.115400308549758,-1.226032921572609,0.005451987957744065,False,0.04906789161969659,global,AlcoR,pam,k6,0.023000574196732772
1,ribosomal protein,5,12.33783783783784,143,166,0.03496503496503497,0.03012048192771084,-1.30308958946791,-1.327477596787976,0.01960714167210652,False,0.1512550928991074,global,AlcoR,pam,k6,0.06701175001859191
1,snRNA,2,7.581081081081081,143,102,0.01398601398601399,0.0196078431372549,-1.922403594979843,-1.758248775596866,0.03027260605237352,True,0.1816356363142412,global,AlcoR,pam,k6,0.09769247371483088
4,unknown,60,46.84615384615385,222,406,0.2702702702702703,0.1477832512315271,0.3570318958432783,0.5435291195034301,0.02843334454265499,False,0.1816356363142412,global,AlcoR,pam,k6,0.09477781514218331
0,snRNA,61,50.68191268191269,956,102,0.06380753138075314,0.5980392156862745,0.2673382713806841,0.6181289235145195,0.04151840403214188,False,0.2241993817735662,global,AlcoR,pam,k6,0.1254847286046079
3,snoRNA,1,4.816008316008316,226,41,0.004424778761061947,0.02439024390243903,-2.267837883263229,-1.876207828630827,0.08066169179140974,True,0.3629776130613439,global,AlcoR,pam,k6,0.19980419067596905
5,pre-rRNA,12,7.36018711018711,119,119,0.1008403361344538,0.1008403361344538,0.7052200578753111,0.877515993475005,0.07606399702882209,False,0.3629776130613439,global,AlcoR,pam,k6,0.19253945216787777
1,pre-rRNA,4,8.844594594594595,143,119,0.02797202797202797,0.03361344537815126,-1.144796016316291,-1.103339749692685,0.1016057890529017,True,0.4056019311132021,global,AlcoR,pam,k6,0.2464092489007496
4,ncRNA,20,14.07692307692308,222,122,0.09009009009009009,0.1639344262295082,0.506667974744412,0.6606007688862318,0.1051560562145339,False,0.4056019311132021,global,AlcoR,pam,k6,0.2534996224301053
1,mRNA,47,55.22297297297298,143,743,0.3286713286713286,0.063257065948856,-0.2326078018693064,-0.3824369609232411,0.1535969183049777,False,0.5529489058979196,global,AlcoR,pam,k6,0.33354826763279344
0,pre-rRNA,66,59.12889812889813,956,119,0.06903765690376569,0.5546218487394958,0.1586026318398034,0.353759723795761,0.2185427161543165,False,0.628172364860241,global,AlcoR,pam,k6,0.4275835750845323
2,mRNA,109,99.63305613305613,258,743,0.4224806201550387,0.1467025572005383,0.1296317525851181,0.2532350978687701,0.2161290431435491,False,0.628172364860241,global,AlcoR,pam,k6,0.4275835750845323
2,snoRNA,8,5.497920997920998,258,41,0.0310077519379845,0.1951219512195122,0.5411138237287041,0.7264575970354217,0.2457489173625254,False,0.628172364860241,global,AlcoR,pam,k6,0.4661747612731747
2,unknown,46,54.44282744282744,258,406,0.1782945736434109,0.1133004926108374,-0.2431081327813755,-0.3345242598378345,0.1894009180574348,False,0.628172364860241,global,AlcoR,pam,k6,0.39136414190439334
3,snRNA,8,11.98128898128898,226,102,0.03539823008849557,0.0784313725490196,-0.5827112206166414,-0.5983609781895242,0.2675548961441767,False,0.628172364860241,global,AlcoR,pam,k6,0.48810690512788996
4,snRNA,8,11.76923076923077,222,102,0.03603603603603604,0.0784313725490196,-0.5569481245515598,-0.5681131998175403,0.2672020944157042,False,0.628172364860241,global,AlcoR,pam,k6,0.48810690512788996
5,ncRNA,4,7.545738045738045,119,122,0.03361344537815126,0.03278688524590164,-0.9156620171007879,-0.8498955020464487,0.2404701193167282,True,0.628172364860241,global,AlcoR,pam,k6,0.4615658688306868
5,tRNA,7,11.00935550935551,119,178,0.05882352941176471,0.03932584269662921,-0.6533031884466952,-0.6543217000140649,0.2511364490756079,False,0.628172364860241,global,AlcoR,pam,k6,0.4730709854680055
0,diverse,25,23.35343035343035,956,47,0.02615062761506276,0.5319148936170213,0.09829361388638078,0.2036189824038885,0.659874987606869,False,0.958301961867109,global,AlcoR,pam,k6,0.8459808122843002
0,mRNA,366,369.1829521829522,956,743,0.3828451882845189,0.4925975773889636,-0.01249228646526038,-0.04022233713599825,0.7788477529334461,False,0.958301961867109,global,AlcoR,pam,k6,0.9182921104455478
0,ncRNA,58,60.61954261954262,956,122,0.06066945606694561,0.4754098360655737,-0.06373006664602075,-0.1312605367285504,0.6409691700662961,False,0.958301961867109,global,AlcoR,pam,k6,0.8387480254502421
0,snoRNA,21,20.37214137214137,956,41,0.02196652719665272,0.5121951219512195,0.0437916939499701,0.08862287025470598,0.8756332762418553,False,0.958301961867109,global,AlcoR,pam,k6,0.9636724915161722
0,tRNA,93,88.44490644490645,956,178,0.09728033472803348,0.5224719101123596,0.072451655930927,0.1620759020244314,0.4800064087037322,False,0.958301961867109,global,AlcoR,pam,k6,0.7200096130555983
1,diverse,4,3.493243243243243,143,47,0.02797202797202797,0.0851063829787234,0.1954328953140152,0.3664875454920244,0.7752235148148858,True,0.958301961867109,global,AlcoR,pam,k6,0.9182921104455478
1,ncRNA,7,9.067567567567568,143,122,0.04895104895104895,0.05737704918032787,-0.3733606685136298,-0.3350099846171433,0.5924649846062783,False,0.958301961867109,global,AlcoR,pam,k6,0.8070286229008266
