method,primary_class,n_lcrs
AlcoR,distal_terminal,833
AlcoR,domain_edge,802
AlcoR,unclassified_no_pfam,442
AlcoR,domain_intrinsic,310
AlcoR,domain_adjacent,246
AlcoR,interdomain_linker,171
CAST,distal_terminal,699
CAST,domain_adjacent,430
CAST,domain_edge,276
CAST,unclassified_no_pfam,262
CAST,interdomain_linker,166
CAST,domain_intrinsic,47
LCRFinder,distal_terminal,3484
LCRFinder,unclassified_no_pfam,933
LCRFinder,domain_adjacent,715
LCRFinder,interdomain_linker,694
LCRFinder,domain_intrinsic,341
LCRFinder,domain_edge,204
SEG_intermediate,distal_terminal,689
SEG_intermediate,domain_adjacent,228
SEG_intermediate,unclassified_no_pfam,174
SEG_intermediate,interdomain_linker,118
SEG_intermediate,domain_edge,60
SEG_intermediate,domain_intrinsic,38
SEG_strict,distal_terminal,254
SEG_strict,domain_adjacent,110
SEG_strict,unclassified_no_pfam,67
SEG_strict,interdomain_linker,38
SEG_strict,domain_intrinsic,16
SEG_strict,domain_edge,8
fLPS_strict,distal_terminal,3474
fLPS_strict,unclassified_no_pfam,1322
fLPS_strict,domain_adjacent,1140
fLPS_strict,interdomain_linker,744
fLPS_strict,domain_edge,740
fLPS_strict,domain_intrinsic,679
