method,primary_class,rna_primary_class,observed_n,class_n,method_superclass_n,method_n,observed_fraction,background_fraction,fold_enrichment,log2_fold_enrichment,abs_log2_fold
AlcoR,distal_terminal,diverse,13,833,60,2804,0.0156062424969988,0.02139800285306705,0.7293317326930773,-0.45535292882235073,0.45535292882235073
AlcoR,distal_terminal,mRNA,272,833,1040,2804,0.3265306122448979,0.3708987161198288,0.8803767660910518,-0.18380702313303965,0.18380702313303965
AlcoR,distal_terminal,ncRNA,47,833,196,2804,0.05642256902761104,0.06990014265335236,0.8071881813950069,-0.3090230437924954,0.3090230437924954
AlcoR,distal_terminal,pre-rRNA,51,833,133,2804,0.06122448979591837,0.04743223965763196,1.290777965321467,0.3682408551153817,0.3682408551153817
AlcoR,distal_terminal,snRNA,16,833,87,2804,0.01920768307322929,0.03102710413694722,0.6190614176705165,-0.6918455472036528,0.6918455472036528
AlcoR,distal_terminal,snoRNA,29,833,60,2804,0.03481392557022809,0.02139800285306705,1.626970788315326,0.702188348164129,0.702188348164129
AlcoR,distal_terminal,tRNA,58,833,245,2804,0.06962785114045618,0.08737517831669044,0.7968836514197516,-0.3275589952299229,0.3275589952299229
AlcoR,distal_terminal,unknown,341,833,885,2804,0.4093637454981993,0.3156205420827389,1.297012364267741,0.37519223269888813,0.37519223269888813
AlcoR,domain_adjacent,mRNA,99,246,1040,2804,0.4024390243902439,0.3708987161198288,1.085037523452158,0.11774493572253907,0.11774493572253907
AlcoR,domain_adjacent,ncRNA,12,246,196,2804,0.04878048780487805,0.06990014265335236,0.6978596316575411,-0.5189912147226687,0.5189912147226687
AlcoR,domain_adjacent,pre-rRNA,11,246,133,2804,0.04471544715447155,0.04743223965763196,0.9427226603093098,-0.08509468819250907,0.08509468819250907
AlcoR,domain_adjacent,ribosomal protein,23,246,98,2804,0.09349593495934959,0.03495007132667618,2.675128588020574,1.4196082406131878,1.4196082406131878
AlcoR,domain_adjacent,tRNA,18,246,245,2804,0.07317073170731707,0.08737517831669044,0.8374315579890493,-0.2559568088888748,0.2559568088888748
AlcoR,domain_adjacent,unknown,69,246,885,2804,0.2804878048780488,0.3156205420827389,0.8886867851729366,-0.17025305952080716,0.17025305952080716
AlcoR,domain_edge,diverse,25,802,60,2804,0.03117206982543641,0.02139800285306705,1.456774729842062,0.5427778017219095,0.5427778017219095
AlcoR,domain_edge,mRNA,294,802,1040,2804,0.3665835411471322,0.3708987161198288,0.988365624400537,-0.016883260636387426,0.016883260636387426
AlcoR,domain_edge,ncRNA,35,802,196,2804,0.04364089775561097,0.06990014265335236,0.6243320270751692,-0.679614619614539,0.679614619614539
AlcoR,domain_edge,pre-rRNA,38,802,133,2804,0.04738154613466334,0.04743223965763196,0.9989312433202706,-0.001542714501901437,0.001542714501901437
AlcoR,domain_edge,ribosomal protein,51,802,98,2804,0.06359102244389027,0.03495007132667618,1.819481907476207,0.8635277054119899,0.8635277054119899
AlcoR,domain_edge,snRNA,26,802,87,2804,0.03241895261845387,0.03102710413694722,1.044859116576375,0.06330842984806649,0.06330842984806649
AlcoR,domain_edge,snoRNA,12,802,60,2804,0.01496259351620948,0.02139800285306705,0.6992518703241896,-0.5161158873316594,0.5161158873316594
AlcoR,domain_edge,tRNA,65,802,245,2804,0.08104738154613467,0.08737517831669044,0.9275790116545373,-0.10845791841841296,0.10845791841841296
AlcoR,domain_edge,unknown,256,802,885,2804,0.3192019950124688,0.3156205420827389,1.011347337870014,0.0162785625853427,0.0162785625853427
AlcoR,domain_intrinsic,diverse,12,310,60,2804,0.03870967741935484,0.02139800285306705,1.809032258064516,0.8552181338490231,0.8552181338490231
AlcoR,domain_intrinsic,mRNA,117,310,1040,2804,0.3774193548387097,0.3708987161198288,1.01758064516129,0.02514313529133531,0.02514313529133531
AlcoR,domain_intrinsic,ncRNA,37,310,196,2804,0.1193548387096774,0.06990014265335236,1.707504937458854,0.7718897502501267,0.7718897502501267
AlcoR,domain_intrinsic,pre-rRNA,12,310,133,2804,0.03870967741935484,0.04743223965763196,0.8161047780742178,-0.29317370604364784,0.29317370604364784
AlcoR,domain_intrinsic,ribosomal protein,17,310,98,2804,0.05483870967741936,0.03495007132667618,1.569058591178407,0.6498992258715169,0.6498992258715169
AlcoR,domain_intrinsic,snRNA,16,310,87,2804,0.05161290322580645,0.03102710413694722,1.66347793845013,0.7342027328876575,0.7342027328876575
AlcoR,domain_intrinsic,tRNA,46,310,245,2804,0.1483870967741935,0.08737517831669044,1.698275181040158,0.7640702457908279,0.7640702457908279
AlcoR,domain_intrinsic,unknown,45,310,885,2804,0.1451612903225807,0.3156205420827389,0.4599234554401312,-1.1205343199042996,1.1205343199042996
AlcoR,interdomain_linker,mRNA,67,171,1040,2804,0.391812865497076,0.3708987161198288,1.056387764282501,0.0791394965540431,0.0791394965540431
AlcoR,interdomain_linker,ncRNA,10,171,196,2804,0.05847953216374269,0.06990014265335236,0.8366153478935433,-0.2573636301031207,0.2573636301031207
AlcoR,interdomain_linker,tRNA,19,171,245,2804,0.1111111111111111,0.08737517831669044,1.271655328798186,0.3467076935657403,0.3467076935657403
AlcoR,interdomain_linker,unknown,61,171,885,2804,0.3567251461988304,0.3156205420827389,1.130234248521492,0.17662181171725175,0.17662181171725175
AlcoR,unclassified_no_pfam,mRNA,191,442,1040,2804,0.4321266968325792,0.3708987161198288,1.165080055690915,0.22042908962648539,0.22042908962648539
AlcoR,unclassified_no_pfam,ncRNA,55,442,196,2804,0.1244343891402715,0.06990014265335236,1.7801736079047,0.8320179440286426,0.8320179440286426
AlcoR,unclassified_no_pfam,pre-rRNA,19,442,133,2804,0.04298642533936652,0.04743223965763196,0.9062702003878474,-0.1419868474384125,0.1419868474384125
AlcoR,unclassified_no_pfam,snRNA,17,442,87,2804,0.03846153846153846,0.03102710413694722,1.239610963748895,0.309887420020803,0.309887420020803
AlcoR,unclassified_no_pfam,tRNA,39,442,245,2804,0.08823529411764706,0.08737517831669044,1.00984393757503,0.014132354478869512,0.014132354478869512
AlcoR,unclassified_no_pfam,unknown,113,442,885,2804,0.255656108597285,0.3156205420827389,0.8100109926630366,-0.3039866079359804,0.3039866079359804
CAST,distal_terminal,diverse,16,699,27,1880,0.0228898426323319,0.01436170212765957,1.593811264769777,0.6724807990260949,0.6724807990260949
CAST,distal_terminal,mRNA,305,699,879,1880,0.4363376251788269,0.4675531914893617,0.9332363314404944,-0.09968562150359203,0.09968562150359203
CAST,distal_terminal,ncRNA,39,699,124,1880,0.05579399141630902,0.06595744680851064,0.8459089021182334,-0.24142579033506353,0.24142579033506353
CAST,distal_terminal,pre-rRNA,43,699,119,1880,0.06151645207439199,0.06329787234042553,0.9718565537803106,-0.041184707416282065,0.041184707416282065
CAST,distal_terminal,snRNA,21,699,109,1880,0.03004291845493562,0.05797872340425532,0.5181714375713667,-0.9484986008086026,0.9484986008086026
CAST,distal_terminal,snoRNA,15,699,52,1880,0.02145922746781116,0.0276595744680851,0.7758336084516343,-0.36618082134301017,0.36618082134301017
CAST,distal_terminal,tRNA,19,699,62,1880,0.02718168812589413,0.03297872340425532,0.824218930269048,-0.2789004957537263,0.2789004957537263
CAST,distal_terminal,unknown,240,699,460,1880,0.3433476394849785,0.2446808510638298,1.403246874416869,0.4887688458537067,0.4887688458537067
CAST,domain_adjacent,mRNA,210,430,879,1880,0.4883720930232558,0.4675531914893617,1.044527343439956,0.06285025949825865,0.06285025949825865
CAST,domain_adjacent,ncRNA,26,430,124,1880,0.06046511627906977,0.06595744680851064,0.9167291822955739,-0.12543249527024364,0.12543249527024364
CAST,domain_adjacent,pre-rRNA,38,430,119,1880,0.08837209302325581,0.06329787234042553,1.396130545241352,0.481433847111181,0.481433847111181
CAST,domain_adjacent,snRNA,23,430,109,1880,0.05348837209302326,0.05797872340425532,0.9225517388521443,-0.11629827174437402,0.11629827174437402
CAST,domain_adjacent,snoRNA,15,430,52,1880,0.03488372093023256,0.0276595744680851,1.261180679785331,0.334774974442966,0.334774974442966
CAST,domain_adjacent,tRNA,21,430,62,1880,0.04883720930232558,0.03297872340425532,1.480870217554389,0.5664452093674249,0.5664452093674249
CAST,domain_adjacent,unknown,89,430,460,1880,0.2069767441860465,0.2446808510638298,0.8459049544994944,-0.24143252300243803,0.24143252300243803
CAST,domain_edge,mRNA,142,276,879,1880,0.5144927536231884,0.4675531914893617,1.100394057806137,0.13802025414810912,0.13802025414810912
CAST,domain_edge,pre-rRNA,18,276,119,1880,0.06521739130434782,0.06329787234042553,1.03032517354768,0.04309972792119951,0.04309972792119951
CAST,domain_edge,ribosomal protein,32,276,48,1880,0.1159420289855072,0.02553191489361702,4.541062801932368,2.1830299890656746,2.1830299890656746
CAST,domain_edge,snRNA,20,276,109,1880,0.07246376811594203,0.05797872340425532,1.249833798696982,0.321736259897267,0.321736259897267
CAST,domain_edge,unknown,40,276,460,1880,0.1449275362318841,0.2446808510638298,0.5923125393824827,-0.7555694662701821,0.7555694662701821
CAST,domain_intrinsic,mRNA,15,47,879,1880,0.3191489361702128,0.4675531914893617,0.6825938566552902,-0.5509006646475231,0.5509006646475231
CAST,interdomain_linker,mRNA,92,166,879,1880,0.5542168674698795,0.4675531914893617,1.185355757500994,0.2453201161316842,0.2453201161316842
CAST,interdomain_linker,ncRNA,11,166,124,1880,0.06626506024096386,0.06595744680851064,1.004663816556549,0.006712823468497197,0.006712823468497197
CAST,interdomain_linker,snRNA,17,166,109,1880,0.1024096385542169,0.05797872340425532,1.766331380568144,0.8207560316914879,0.8207560316914879
CAST,interdomain_linker,unknown,37,166,460,1880,0.2228915662650602,0.2446808510638298,0.9109481403876375,-0.1345591700973505,0.1345591700973505
CAST,unclassified_no_pfam,mRNA,115,262,879,1880,0.4389312977099237,0.4675531914893617,0.9387836629063214,-0.09113535917147932,0.09113535917147932
CAST,unclassified_no_pfam,ncRNA,37,262,124,1880,0.1412213740458015,0.06595744680851064,2.141098251662152,1.098351000269624,1.098351000269624
CAST,unclassified_no_pfam,pre-rRNA,12,262,119,1880,0.04580152671755725,0.06329787234042553,0.7235871447815768,-0.4667613175592378,0.4667613175592378
CAST,unclassified_no_pfam,snRNA,24,262,109,1880,0.0916030534351145,0.05797872340425532,1.579942573009314,0.6598721209717788,0.6598721209717788
CAST,unclassified_no_pfam,snoRNA,10,262,52,1880,0.03816793893129771,0.0276595744680851,1.379917792131533,0.46458232177382014,0.46458232177382014
CAST,unclassified_no_pfam,tRNA,10,262,62,1880,0.03816793893129771,0.03297872340425532,1.157350406303866,0.21082572952803652,0.21082572952803652
CAST,unclassified_no_pfam,unknown,47,262,460,1880,0.1793893129770992,0.2446808510638298,0.7331563226020578,-0.4478072542391884,0.4478072542391884
LCRFinder,distal_terminal,diverse,53,3484,93,6371,0.01521239954075775,0.01459739444357244,1.042131155636211,0.05953685696250432,0.05953685696250432
LCRFinder,distal_terminal,mRNA,1761,3484,3379,6371,0.5054535017221584,0.5303719981164652,0.9530169456856679,-0.06942622782525647,0.06942622782525647
LCRFinder,distal_terminal,ncRNA,225,3484,396,6371,0.06458094144661308,0.0621566473081149,1.039002974637303,0.05519978464476415,0.05519978464476415
LCRFinder,distal_terminal,pre-rRNA,178,3484,320,6371,0.05109070034443169,0.05022759378433527,1.01718391216992,0.024580549586372524,0.024580549586372524
LCRFinder,distal_terminal,ribosomal protein,14,3484,52,6371,0.004018369690011481,0.00816198398995448,0.492327563366599,-1.0223095825761512,1.0223095825761512
LCRFinder,distal_terminal,snRNA,130,3484,351,6371,0.03731343283582089,0.05509339193219275,0.6772760130969085,-0.5621841937687697,0.5621841937687697
LCRFinder,distal_terminal,snoRNA,82,3484,150,6371,0.0235361653272101,0.02354418458640716,0.9996593953310371,-0.0004914723704606174,0.0004914723704606174
LCRFinder,distal_terminal,tRNA,72,3484,147,6371,0.02066590126291619,0.02307330089467901,0.8956629724220343,-0.15897212988671536,0.15897212988671536
LCRFinder,distal_terminal,unknown,969,3484,1483,6371,0.2781285878300804,0.2327735049442788,1.194846414744061,0.2568251864677875,0.2568251864677875
LCRFinder,domain_adjacent,diverse,14,715,93,6371,0.01958041958041958,0.01459739444357244,1.341364012331755,0.42370080139002286,0.42370080139002286
LCRFinder,domain_adjacent,mRNA,414,715,3379,6371,0.579020979020979,0.5303719981164652,1.091726148962018,0.12661101277597372,0.12661101277597372
LCRFinder,domain_adjacent,ncRNA,23,715,396,6371,0.03216783216783217,0.0621566473081149,0.5175284311647947,-0.9502899735821475,0.9502899735821475
LCRFinder,domain_adjacent,pre-rRNA,35,715,320,6371,0.04895104895104895,0.05022759378433527,0.9745847902097902,-0.03714038750194652,0.03714038750194652
LCRFinder,domain_adjacent,ribosomal protein,14,715,52,6371,0.01958041958041958,0.00816198398995448,2.398977945131792,1.2624198943569618,1.2624198943569618
LCRFinder,domain_adjacent,snRNA,44,715,351,6371,0.06153846153846154,0.05509339193219275,1.116984440061363,0.15960908877318594,0.15960908877318594
LCRFinder,domain_adjacent,snoRNA,25,715,150,6371,0.03496503496503497,0.02354418458640716,1.485081585081585,0.5705421897192933,0.5705421897192933
LCRFinder,domain_adjacent,tRNA,22,715,147,6371,0.03076923076923077,0.02307330089467901,1.333542647828362,0.41526396424138223,0.41526396424138223
LCRFinder,domain_adjacent,unknown,124,715,1483,6371,0.1734265734265734,0.2327735049442788,0.7450443016188127,-0.42460188162730583,0.42460188162730583
LCRFinder,domain_edge,mRNA,118,204,3379,6371,0.5784313725490197,0.5303719981164652,1.090614464193491,0.1251411943327461,0.1251411943327461
LCRFinder,domain_edge,pre-rRNA,10,204,320,6371,0.04901960784313725,0.05022759378433527,0.9759497549019607,-0.035121219865294546,0.035121219865294546
LCRFinder,domain_edge,unknown,49,204,1483,6371,0.2401960784313726,0.2327735049442788,1.031887535863975,0.04528574179528368,0.04528574179528368
LCRFinder,domain_intrinsic,mRNA,150,341,3379,6371,0.4398826979472141,0.5303719981164652,0.8293852230309858,-0.26988575158589184,0.26988575158589184
LCRFinder,domain_intrinsic,ncRNA,25,341,396,6371,0.07331378299120235,0.0621566473081149,1.17950028140644,0.238175762777144,0.238175762777144
LCRFinder,domain_intrinsic,pre-rRNA,28,341,320,6371,0.08211143695014662,0.05022759378433527,1.634787390029325,0.7091030202522701,0.7091030202522701
LCRFinder,domain_intrinsic,ribosomal protein,17,341,52,6371,0.04985337243401759,0.00816198398995448,6.10799684186781,2.610699316191276,2.610699316191276
LCRFinder,domain_intrinsic,snRNA,32,341,351,6371,0.093841642228739,0.05509339193219275,1.703319380738736,0.7683489727774683,0.7683489727774683
LCRFinder,domain_intrinsic,snoRNA,14,341,150,6371,0.04105571847507331,0.02354418458640716,1.74377321603128,0.8022124246437515,0.8022124246437515
LCRFinder,domain_intrinsic,tRNA,22,341,147,6371,0.06451612903225806,0.02307330089467901,2.796137809962695,1.4834354668829617,1.4834354668829617
LCRFinder,domain_intrinsic,unknown,47,341,1483,6371,0.1378299120234604,0.2327735049442788,0.592120276130456,-0.7560378376949644,0.7560378376949644
LCRFinder,interdomain_linker,mRNA,437,694,3379,6371,0.6296829971181557,0.5303719981164652,1.18724781729499,0.24762110386473782,0.24762110386473782
LCRFinder,interdomain_linker,ncRNA,22,694,396,6371,0.03170028818443804,0.0621566473081149,0.5100064040986231,-0.9714127319143722,0.9714127319143722
LCRFinder,interdomain_linker,pre-rRNA,13,694,320,6371,0.01873198847262248,0.05022759378433527,0.3729421829971181,-1.42297610721833,1.42297610721833
LCRFinder,interdomain_linker,snRNA,27,694,351,6371,0.03890489913544669,0.05509339193219275,0.7061627133673244,-0.5019274486131517,0.5019274486131517
LCRFinder,interdomain_linker,tRNA,10,694,147,6371,0.01440922190201729,0.02307330089467901,0.6244976376717835,-0.6792319804210617,0.6792319804210617
LCRFinder,interdomain_linker,unknown,173,694,1483,6371,0.2492795389048991,0.2327735049442788,1.070910278060089,0.09883761471003404,0.09883761471003404
