method,primary_class,n_lcrs
AlcoR,distal_terminal,833
AlcoR,domain_edge,802
AlcoR,unclassified_no_pfam,442
AlcoR,domain_intrinsic,310
AlcoR,domain_adjacent,246
AlcoR,interdomain_linker,171
CAST,distal_terminal,1022
CAST,domain_adjacent,531
CAST,unclassified_no_pfam,367
CAST,domain_edge,315
CAST,interdomain_linker,218
CAST,domain_intrinsic,56
LCRFinder,distal_terminal,3484
LCRFinder,unclassified_no_pfam,933
LCRFinder,domain_adjacent,715
LCRFinder,interdomain_linker,694
LCRFinder,domain_intrinsic,341
LCRFinder,domain_edge,204
SEG_strict,distal_terminal,256
SEG_strict,domain_adjacent,110
SEG_strict,unclassified_no_pfam,67
SEG_strict,interdomain_linker,38
SEG_strict,domain_intrinsic,16
SEG_strict,domain_edge,8
fLPS_strict,distal_terminal,5178
fLPS_strict,unclassified_no_pfam,1816
fLPS_strict,domain_adjacent,1681
fLPS_strict,interdomain_linker,1078
fLPS_strict,domain_edge,927
fLPS_strict,domain_intrinsic,810
