position,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,has_pfam,signature,method,p_fdr
distal_terminal,diverse,13,17.82453637660485,-0.45535292882235096,0.21666666666666667,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
distal_terminal,mRNA,272,308.9586305278174,-0.18380702313303945,0.26153846153846155,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
distal_terminal,ncRNA,47,58.22681883024251,-0.30902304379249523,0.23979591836734693,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
distal_terminal,pre-rRNA,51,39.51105563480742,0.3682408551153814,0.38345864661654133,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
distal_terminal,ribosomal protein,6,29.113409415121254,-2.2786493947489763,0.061224489795918366,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
distal_terminal,snRNA,16,25.845577746077034,-0.6918455472036528,0.1839080459770115,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
distal_terminal,snoRNA,29,17.82453637660485,0.7021883481641291,0.48333333333333334,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
distal_terminal,tRNA,58,72.78352353780313,-0.3275589952299229,0.23673469387755103,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
distal_terminal,unknown,341,262.9119115549215,0.3751922326988884,0.38531073446327685,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_adjacent,diverse,3,5.263908701854493,-0.811171966215979,0.05,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_adjacent,mRNA,99,91.24108416547789,0.11774493572253847,0.09519230769230769,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_adjacent,ncRNA,12,17.19543509272468,-0.5189912147226687,0.061224489795918366,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_adjacent,pre-rRNA,11,11.66833095577746,-0.0850946881925089,0.08270676691729323,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_adjacent,ribosomal protein,23,8.59771754636234,1.4196082406131878,0.23469387755102042,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_adjacent,snRNA,3,7.632667617689016,-1.3472248664561888,0.034482758620689655,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_adjacent,snoRNA,8,5.263908701854493,0.603865533062865,0.13333333333333333,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_adjacent,tRNA,18,21.49429386590585,-0.255956808888875,0.07346938775510205,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_adjacent,unknown,69,77.64265335235378,-0.17025305952080735,0.07796610169491526,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_edge,diverse,25,17.16119828815977,0.5427778017219093,0.4166666666666667,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_edge,mRNA,294,297.4607703281027,-0.016883260636387103,0.2826923076923077,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_edge,ncRNA,35,56.059914407988586,-0.679614619614539,0.17857142857142858,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_edge,pre-rRNA,38,38.04065620542083,-0.001542714501901437,0.2857142857142857,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_edge,ribosomal protein,51,28.029957203994293,0.8635277054119902,0.5204081632653061,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_edge,snRNA,26,24.88373751783167,0.0633084298480668,0.2988505747126437,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_edge,snoRNA,12,17.16119828815977,-0.5161158873316594,0.2,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_edge,tRNA,65,70.07489300998573,-0.10845791841841314,0.2653061224489796,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_edge,unknown,256,253.12767475035665,0.01627856258534302,0.28926553672316385,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_intrinsic,diverse,12,6.633380884450784,0.8552181338490233,0.2,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_intrinsic,mRNA,117,114.97860199714694,0.025143135291335626,0.1125,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_intrinsic,ncRNA,37,21.66904422253923,0.7718897502501272,0.18877551020408162,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_intrinsic,pre-rRNA,12,14.703994293865906,-0.29317370604364784,0.09022556390977443,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_intrinsic,ribosomal protein,17,10.834522111269616,0.6498992258715167,0.17346938775510204,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_intrinsic,snRNA,16,9.618402282453637,0.7342027328876575,0.1839080459770115,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_intrinsic,snoRNA,8,6.633380884450784,0.2702556331278671,0.13333333333333333,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_intrinsic,tRNA,46,27.086305278174038,0.7640702457908279,0.18775510204081633,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
domain_intrinsic,unknown,45,97.84236804564907,-1.1205343199042994,0.05084745762711865,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
interdomain_linker,diverse,3,3.659058487874465,-0.28650997576263715,0.05,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
interdomain_linker,mRNA,67,63.42368045649073,0.0791394965540431,0.06442307692307692,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
interdomain_linker,ncRNA,10,11.952924393723253,-0.2573636301031205,0.05102040816326531,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
interdomain_linker,pre-rRNA,2,8.110912981455064,-2.0198643163764642,0.015037593984962405,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
interdomain_linker,ribosomal protein,0,5.976462196861626,-inf,0.0,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
interdomain_linker,snRNA,9,5.305634807417975,0.7623996247183092,0.10344827586206896,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
interdomain_linker,snoRNA,0,3.659058487874465,-inf,0.0,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
interdomain_linker,tRNA,19,14.941155492154065,0.3467076935657403,0.07755102040816327,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
interdomain_linker,unknown,61,53.97111269614836,0.17662181171725175,0.06892655367231638,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
unclassified_no_pfam,diverse,4,9.457917261055634,-1.2415225209893268,0.06666666666666667,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
unclassified_no_pfam,mRNA,191,163.93723252496434,0.22042908962648566,0.18365384615384617,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
unclassified_no_pfam,ncRNA,55,30.895863052781742,0.832017944028643,0.28061224489795916,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
unclassified_no_pfam,pre-rRNA,19,20.965049928673324,-0.1419868474384125,0.14285714285714285,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
unclassified_no_pfam,ribosomal protein,1,15.447931526390871,-3.9493417694960167,0.01020408163265306,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
unclassified_no_pfam,snRNA,17,13.71398002853067,0.3098874200208027,0.19540229885057472,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
unclassified_no_pfam,snoRNA,3,9.457917261055634,-1.6565600202681705,0.05,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
unclassified_no_pfam,tRNA,39,38.61982881597717,0.014132354478869512,0.15918367346938775,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
unclassified_no_pfam,unknown,113,139.5042796005706,-0.3039866079359804,0.12768361581920903,position_lcr,2.104353951984914e-35,,,AlcoR,3.659746003452025e-35
,diverse,60,60.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,AlcoR,
,mRNA,1040,1040.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,AlcoR,
,ncRNA,196,196.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,AlcoR,
,pre-rRNA,133,133.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,AlcoR,
,ribosomal protein,98,98.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,AlcoR,
,snRNA,87,87.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,AlcoR,
,snoRNA,60,60.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,AlcoR,
,tRNA,245,245.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,AlcoR,
,unknown,885,885.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,AlcoR,
,diverse,0,3.8302425106990015,-inf,0.0,signature_sequence_count_lcr,3.785173571181045e-08,,acidic_region,AlcoR,3.785173571181045e-08
,mRNA,63,66.39087018544936,-0.07563303278217134,0.06057692307692308,signature_sequence_count_lcr,3.785173571181045e-08,,acidic_region,AlcoR,3.785173571181045e-08
,ncRNA,8,12.512125534950071,-0.6452549873688413,0.04081632653061224,signature_sequence_count_lcr,3.785173571181045e-08,,acidic_region,AlcoR,3.785173571181045e-08
,pre-rRNA,15,8.49037089871612,0.8210630168536955,0.11278195488721804,signature_sequence_count_lcr,3.785173571181045e-08,,acidic_region,AlcoR,3.785173571181045e-08
,ribosomal protein,4,6.2560627674750355,-0.6452549873688413,0.04081632653061224,signature_sequence_count_lcr,3.785173571181045e-08,,acidic_region,AlcoR,3.785173571181045e-08
,snRNA,5,5.553851640513552,-0.1515605442149992,0.05747126436781609,signature_sequence_count_lcr,3.785173571181045e-08,,acidic_region,AlcoR,3.785173571181045e-08
,snoRNA,8,3.8302425106990015,1.0625642611378483,0.13333333333333333,signature_sequence_count_lcr,3.785173571181045e-08,,acidic_region,AlcoR,3.785173571181045e-08
