rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
diverse,60,22.0,94.83333333333333,150.10709924230048,15.75,111.5,95.75,0.032986587079874306,AlcoR,lcr,length,0.035985367723499244
mRNA,1040,27.0,82.17211538461538,121.3669187292592,16.0,92.5,76.5,0.032986587079874306,AlcoR,lcr,length,0.035985367723499244
ncRNA,196,26.0,74.5765306122449,112.07016694088587,16.75,79.25,62.5,0.032986587079874306,AlcoR,lcr,length,0.035985367723499244
pre-rRNA,133,21.0,91.45864661654136,147.71366195602056,16.0,85.0,69.0,0.032986587079874306,AlcoR,lcr,length,0.035985367723499244
ribosomal protein,98,25.0,54.755102040816325,64.59964910448407,16.0,64.75,48.75,0.032986587079874306,AlcoR,lcr,length,0.035985367723499244
snRNA,87,40.0,107.25287356321839,161.22642018983123,19.0,89.0,70.0,0.032986587079874306,AlcoR,lcr,length,0.035985367723499244
snoRNA,60,21.0,45.61666666666667,54.66014929456337,15.75,49.75,34.0,0.032986587079874306,AlcoR,lcr,length,0.035985367723499244
tRNA,245,24.0,67.18775510204081,108.8916472143504,16.0,61.0,45.0,0.032986587079874306,AlcoR,lcr,length,0.035985367723499244
unknown,885,29.0,97.60790960451978,141.49109362562876,16.0,125.0,109.0,0.032986587079874306,AlcoR,lcr,length,0.035985367723499244
diverse,60,0.07212475633528265,0.16470372025082164,0.24281915166110568,0.019673704414587333,0.154934380759558,0.1352606763449707,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
mRNA,1040,0.047431571053618296,0.14241832332421214,0.2220817761278119,0.021327868852459016,0.14658642279933376,0.12525855394687474,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
ncRNA,196,0.03313985410620441,0.09624635880944267,0.1710732866455787,0.017819623532120653,0.07854779411764706,0.06072817058552641,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
pre-rRNA,133,0.04317656129529684,0.16428120740025015,0.26921589371855625,0.017150395778364115,0.14417989417989419,0.12702949840153008,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
ribosomal protein,98,0.13183883073276714,0.2755949465341123,0.2951055539750004,0.08315330286663897,0.3726050819820636,0.28945177911542463,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
snRNA,87,0.05933852140077821,0.19365744015749678,0.2949128918072901,0.01916158872329491,0.22237796217388053,0.20321637345058563,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
snoRNA,60,0.03286205036481844,0.09480288260903377,0.17480394415811684,0.022004530961570734,0.08980197530420403,0.0677974443426333,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
tRNA,245,0.04780876494023904,0.1284107200910775,0.1989643215983818,0.02571041948579161,0.12655601659751037,0.10084559711171875,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
unknown,885,0.0411663807890223,0.1281640077508608,0.20034338653120556,0.017041581458759374,0.1404140414041404,0.12337245994538103,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
diverse,60,0.5308007188498403,0.5229751160949164,0.11577498714924807,0.45737833594976457,0.5781931464174455,0.12081481046768089,0.0024111119459815588,AlcoR,lcr,frac_polar,0.0028933343351778703
mRNA,1040,0.5333333333333333,0.5404651117235143,0.12990769163748633,0.4666666666666667,0.6095818815331011,0.14291521486643444,0.0024111119459815588,AlcoR,lcr,frac_polar,0.0028933343351778703
ncRNA,196,0.5238095238095238,0.5283114568985798,0.12386684482161893,0.45270491803278684,0.5976272534464475,0.14492233541366067,0.0024111119459815588,AlcoR,lcr,frac_polar,0.0028933343351778703
