n_lcr_category,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,present,feature_value,method,p_fdr
1,diverse,8.0,8.568181818181818,-0.09898909463136699,0.36363636363636365,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
1,mRNA,158.0,146.82747933884298,0.10580255891436896,0.41909814323607425,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
1,ncRNA,21.0,24.925619834710744,-0.2472400532153096,0.328125,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
1,pre-rRNA,27.0,20.641528925619834,0.3874095716061996,0.5094339622641509,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
1,ribosomal protein,32.0,20.25206611570248,0.6600028058648382,0.6153846153846154,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
1,snRNA,23.0,15.96797520661157,0.5264524754448595,0.5609756097560976,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
1,snoRNA,10.0,7.789256198347108,0.36044252400593013,0.5,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
1,tRNA,29.0,33.10433884297521,-0.19096741700419959,0.3411764705882353,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
1,unknown,69.0,98.92355371900827,-0.5197177059880665,0.27165354330708663,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
2,diverse,4.0,5.136363636363637,-0.3607473437778905,0.18181818181818182,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
2,mRNA,88.0,88.01859504132231,-0.00030481977196029013,0.23342175066312998,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
2,ncRNA,16.0,14.942148760330578,0.09868427485940695,0.25,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
2,pre-rRNA,11.0,12.37396694214876,-0.1698045610664951,0.20754716981132076,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
2,ribosomal protein,9.0,12.140495867768594,-0.43183044183937297,0.17307692307692307,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
2,snRNA,8.0,9.572314049586776,-0.25886772975867667,0.1951219512195122,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
2,snoRNA,1.0,4.669421487603306,-2.223243820027956,0.05,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
2,tRNA,23.0,19.84504132231405,0.21285529477871784,0.27058823529411763,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
2,unknown,66.0,59.30165289256198,0.1543937074456943,0.25984251968503935,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
3+,diverse,10.0,8.295454545454545,0.2696070597572802,0.45454545454545453,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
3+,mRNA,131.0,142.15392561983472,-0.1178871282239992,0.34748010610079577,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
3+,ncRNA,27.0,24.132231404958677,0.16199808567068347,0.421875,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
3+,pre-rRNA,15.0,19.984504132231404,-0.4139192754474657,0.2830188679245283,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
3+,ribosomal protein,11.0,19.607438016528924,-0.8338975159965799,0.21153846153846154,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
3+,snRNA,10.0,15.459710743801653,-0.6285133262235064,0.24390243902439024,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
3+,snoRNA,9.0,7.541322314049586,0.25510749006216504,0.45,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
3+,tRNA,33.0,32.050619834710744,0.04211376672796646,0.38823529411764707,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
3+,unknown,119.0,95.77479338842976,0.3132436600429926,0.468503937007874,multiplicity_protein,0.00021798310908001657,,,AlcoR,0.0011335121672160862
,diverse,14.0,12.25,0.19264507794239583,0.6363636363636364,position_presence,0.004759055122033576,present,domain_edge,AlcoR,0.015466929146609121
,mRNA,212.0,209.92045454545453,0.014221515816624147,0.5623342175066313,position_presence,0.004759055122033576,present,domain_edge,AlcoR,0.015466929146609121
,ncRNA,24.0,35.63636363636363,-0.5703157247567546,0.375,position_presence,0.004759055122033576,present,domain_edge,AlcoR,0.015466929146609121
,pre-rRNA,30.0,29.511363636363637,0.02369191556740833,0.5660377358490566,position_presence,0.004759055122033576,present,domain_edge,AlcoR,0.015466929146609121
,ribosomal protein,40.0,28.954545454545453,0.4662101512683594,0.7692307692307693,position_presence,0.004759055122033576,present,domain_edge,AlcoR,0.015466929146609121
,snRNA,20.0,22.829545454545453,-0.1909021352086323,0.4878048780487805,position_presence,0.004759055122033576,present,domain_edge,AlcoR,0.015466929146609121
,snoRNA,8.0,11.136363636363637,-0.4772063203652734,0.4,position_presence,0.004759055122033576,present,domain_edge,AlcoR,0.015466929146609121
,tRNA,45.0,47.32954545454545,-0.07281606528593802,0.5294117647058824,position_presence,0.004759055122033576,present,domain_edge,AlcoR,0.015466929146609121
,unknown,146.0,141.4318181818182,0.0458616466299404,0.5748031496062992,position_presence,0.004759055122033576,present,domain_edge,AlcoR,0.015466929146609121
,diverse,7.0,4.386363636363637,0.6743295034268209,0.3181818181818182,position_presence,0.001521307414782401,present,domain_intrinsic,AlcoR,0.006592332130723738
,mRNA,77.0,75.16632231404958,0.034772027432751186,0.20424403183023873,position_presence,0.001521307414782401,present,domain_intrinsic,AlcoR,0.006592332130723738
,ncRNA,18.0,12.760330578512397,0.49633120144882636,0.28125,position_presence,0.001521307414782401,present,domain_intrinsic,AlcoR,0.006592332130723738
,pre-rRNA,9.0,10.567148760330578,-0.23158925311437276,0.16981132075471697,position_presence,0.001521307414782401,present,domain_intrinsic,AlcoR,0.006592332130723738
,ribosomal protein,13.0,10.367768595041323,0.3264062000065141,0.25,position_presence,0.001521307414782401,present,domain_intrinsic,AlcoR,0.006592332130723738
,snRNA,6.0,8.174586776859504,-0.44618330389041344,0.14634146341463414,position_presence,0.001521307414782401,present,domain_intrinsic,AlcoR,0.006592332130723738
,snoRNA,4.0,3.987603305785124,0.0044781051191516335,0.2,position_presence,0.001521307414782401,present,domain_intrinsic,AlcoR,0.006592332130723738
,tRNA,28.0,16.947314049586776,0.7243701859264166,0.32941176470588235,position_presence,0.001521307414782401,present,domain_intrinsic,AlcoR,0.006592332130723738
,unknown,31.0,50.642561983471076,-0.7080821763787767,0.1220472440944882,position_presence,0.001521307414782401,present,domain_intrinsic,AlcoR,0.006592332130723738
,diverse,6.0,7.886363636363637,-0.3943977332198074,0.2727272727272727,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,mRNA,128.0,135.14359504132233,-0.0783493285723308,0.3395225464190981,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,ncRNA,20.0,22.94214876033058,-0.1980005204163041,0.3125,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,pre-rRNA,18.0,18.998966942148762,-0.07792406842455331,0.33962264150943394,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,ribosomal protein,6.0,18.640495867768596,-1.6354058327236025,0.11538461538461539,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,snRNA,6.0,14.697314049586776,-1.2925181192005937,0.14634146341463414,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,snoRNA,8.0,7.169421487603306,0.1581432898089713,0.4,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,tRNA,31.0,30.47004132231405,0.024876758945506935,0.36470588235294116,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,unknown,124.0,91.05165289256199,0.44558300831104286,0.4881889763779528,position_presence,1.29953138889839e-06,present,distal_terminal,AlcoR,3.378781611135814e-05
,diverse,3.0,3.772727272727273,-0.3306453119884713,0.13636363636363635,position_presence,0.006421475189879033,present,unclassified_no_pfam,AlcoR,0.016695835493685484
