rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
diverse,22,0.3352729231908947,0.4491919643204227,0.3625317173084952,0.1053708133971292,0.8115528920794575,0.7061820786823283,0.007037060476225485,AlcoR,coverage,protein,0.018966619187125694
mRNA,377,0.28835063437139563,0.39287813330817145,0.33358086247385654,0.09567901234567901,0.6197411003236246,0.5240620879779456,0.007037060476225485,AlcoR,coverage,protein,0.018966619187125694
ncRNA,64,0.1700666196304035,0.2947544738539182,0.3089482234608343,0.060271311129340296,0.414523973840744,0.3542526627114037,0.007037060476225485,AlcoR,coverage,protein,0.018966619187125694
pre-rRNA,53,0.23125,0.4122528412119485,0.36916669112527706,0.09748892171344166,0.7881773399014779,0.6906884181880362,0.007037060476225485,AlcoR,coverage,protein,0.018966619187125694
ribosomal protein,52,0.4462222222222222,0.5193904761604424,0.3566697025213632,0.19958677685950416,0.957757084676735,0.7581703078172308,0.007037060476225485,AlcoR,coverage,protein,0.018966619187125694
snRNA,41,0.2724358974358974,0.41093164130981025,0.3674349842052568,0.11864406779661017,0.7608695652173914,0.6422254974207812,0.007037060476225485,AlcoR,coverage,protein,0.018966619187125694
snoRNA,20,0.23446481371969247,0.28440864782710135,0.27697158836645064,0.08192295792079209,0.33992344116475637,0.2580004832439643,0.007037060476225485,AlcoR,coverage,protein,0.018966619187125694
tRNA,85,0.2822164948453608,0.37012501673310577,0.32643953202335946,0.08387096774193549,0.558091286307054,0.4742203185651185,0.007037060476225485,AlcoR,coverage,protein,0.018966619187125694
unknown,254,0.35150956852490195,0.4465556962972905,0.35232847270552775,0.1063435190192897,0.8086313774881967,0.702287858468907,0.007037060476225485,AlcoR,coverage,protein,0.018966619187125694
mRNA,50,0.03645570914295311,0.05479093752629207,0.06146579186776272,0.021814772854545923,0.059535029636353924,0.037720256781808,0.009660984559992957,AlcoR,property_fraction__acidic_region,protein,0.019541536950894847
ncRNA,5,0.01744186046511628,0.029190484349249667,0.02387654554407171,0.0146484375,0.04682926829268293,0.03218083079268293,0.009660984559992957,AlcoR,property_fraction__acidic_region,protein,0.019541536950894847
pre-rRNA,10,0.043016852076219844,0.11059000677128077,0.19103083999724538,0.03253044595660173,0.08465690882234457,0.05212646286574284,0.009660984559992957,AlcoR,property_fraction__acidic_region,protein,0.019541536950894847
ribosomal protein,3,0.19834710743801653,0.16547552705004995,0.09052555386216067,0.13072695177726068,0.2166598925168225,0.08593294073956181,0.009660984559992957,AlcoR,property_fraction__acidic_region,protein,0.019541536950894847
snRNA,5,0.11864406779661017,0.11824013506107789,0.11147336803190228,0.03868471953578337,0.13043478260869565,0.09175006307291228,0.009660984559992957,AlcoR,property_fraction__acidic_region,protein,0.019541536950894847
snoRNA,7,0.0211864406779661,0.034000541184130165,0.03420967744694288,0.01147584991209545,0.05053768199318494,0.03906183208108949,0.009660984559992957,AlcoR,property_fraction__acidic_region,protein,0.019541536950894847
tRNA,12,0.021514318002516047,0.08596418489839203,0.1683620251722047,0.01794976289270895,0.07406902187883461,0.056119258986125665,0.009660984559992957,AlcoR,property_fraction__acidic_region,protein,0.019541536950894847
unknown,41,0.022727272727272728,0.04175333269363224,0.07100777888878247,0.013793103448275862,0.0411663807890223,0.02737327734074644,0.009660984559992957,AlcoR,property_fraction__acidic_region,protein,0.019541536950894847
diverse,3,0.023728813559322035,0.02838426950657322,0.026279279254600926,0.014236323288199917,0.04020448775132093,0.025968164463121016,0.001167287584718285,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.005771588613329298
mRNA,32,0.025779476103450185,0.03653948558789029,0.03081154475059962,0.01597155255544841,0.054574506638553025,0.038602954083104615,0.001167287584718285,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.005771588613329298
ncRNA,9,0.023414634146341463,0.027878633901720677,0.016183572615309748,0.01928374655647383,0.034274193548387094,0.014990446991913264,0.001167287584718285,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.005771588613329298
pre-rRNA,11,0.02577319587628866,0.050703973104964634,0.04892869261496631,0.017046470062555854,0.07115760543480365,0.05411113537224779,0.001167287584718285,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.005771588613329298
ribosomal protein,9,0.28,0.3022670556481329,0.28826003502165654,0.09361702127659574,0.3609022556390977,0.26728523436250196,0.001167287584718285,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.005771588613329298
snRNA,1,0.014656144306651634,0.014656144306651634,,0.014656144306651634,0.014656144306651634,0.0,0.001167287584718285,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.005771588613329298
snoRNA,1,0.006104129263913824,0.006104129263913824,,0.006104129263913824,0.006104129263913824,0.0,0.001167287584718285,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.005771588613329298
tRNA,8,0.02145770750988142,0.036090792045160615,0.03601595148724506,0.018102865965454018,0.033228259287748696,0.015125393322294678,0.001167287584718285,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.005771588613329298
unknown,14,0.02314218998313298,0.03330783598736374,0.029664956904005096,0.011451359355481633,0.05566459837068929,0.044213239015207656,0.001167287584718285,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.005771588613329298
