position,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,has_pfam,signature,method,p_fdr
distal_terminal,diverse,16.0,10.038829787234043,0.6724807990260947,0.5925925925925926,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
distal_terminal,mRNA,305.0,326.8196808510638,-0.09968562150359203,0.34698521046643915,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
distal_terminal,ncRNA,39.0,46.10425531914893,-0.24142579033506353,0.31451612903225806,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
distal_terminal,pre-rRNA,43.0,44.24521276595745,-0.041184707416282225,0.36134453781512604,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
distal_terminal,ribosomal protein,1.0,17.846808510638297,-4.157594199531593,0.020833333333333332,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
distal_terminal,snRNA,21.0,40.52712765957447,-0.9484986008086026,0.1926605504587156,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
distal_terminal,snoRNA,15.0,19.33404255319149,-0.3661808213430104,0.28846153846153844,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
distal_terminal,tRNA,19.0,23.052127659574467,-0.2789004957537263,0.3064516129032258,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
distal_terminal,unknown,240.0,171.03191489361703,0.48876884585370645,0.5217391304347826,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_adjacent,diverse,2.0,6.175531914893617,-1.626563405187929,0.07407407407407407,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_adjacent,mRNA,210.0,201.04787234042553,0.06285025949825804,0.23890784982935154,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_adjacent,ncRNA,26.0,28.361702127659573,-0.12543249527024347,0.20967741935483872,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_adjacent,pre-rRNA,38.0,27.21808510638298,0.4814338471111814,0.31932773109243695,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_adjacent,ribosomal protein,6.0,10.97872340425532,-0.8716759030244606,0.125,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_adjacent,snRNA,23.0,24.930851063829788,-0.11629827174437418,0.21100917431192662,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_adjacent,snoRNA,15.0,11.893617021276595,0.3347749744429657,0.28846153846153844,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_adjacent,tRNA,21.0,14.180851063829786,0.5664452093674246,0.3387096774193548,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_adjacent,unknown,89.0,105.2127659574468,-0.24143252300243803,0.1934782608695652,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_edge,diverse,2.0,3.9638297872340424,-0.9868950123766378,0.07407407407407407,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_edge,mRNA,142.0,129.04468085106382,0.1380202541481088,0.161547212741752,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_edge,ncRNA,8.0,18.204255319148935,-1.1862038206000445,0.06451612903225806,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_edge,pre-rRNA,18.0,17.470212765957445,0.04309972792119951,0.15126050420168066,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_edge,ribosomal protein,32.0,7.046808510638298,2.1830299890656746,0.6666666666666666,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_edge,snRNA,20.0,16.00212765957447,0.3217362598972665,0.1834862385321101,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_edge,snoRNA,8.0,7.634042553191489,0.06755277164573856,0.15384615384615385,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_edge,tRNA,6.0,9.102127659574467,-0.6012413198788883,0.0967741935483871,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_edge,unknown,40.0,67.53191489361703,-0.7555694662701823,0.08695652173913043,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_intrinsic,diverse,0.0,0.675,,0.0,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_intrinsic,mRNA,15.0,21.975,-0.5509006646475233,0.017064846416382253,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_intrinsic,ncRNA,3.0,3.1,-0.0473057147783568,0.024193548387096774,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_intrinsic,pre-rRNA,6.0,2.975,1.012072832300575,0.05042016806722689,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_intrinsic,ribosomal protein,8.0,1.2,2.736965594166206,0.16666666666666666,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_intrinsic,snRNA,4.0,2.725,0.5537437701104359,0.03669724770642202,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_intrinsic,snoRNA,2.0,1.3,0.6214883767462701,0.038461538461538464,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_intrinsic,tRNA,2.0,1.55,0.3677317845004871,0.03225806451612903,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
domain_intrinsic,unknown,7.0,11.5,-0.7162070339994087,0.015217391304347827,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
interdomain_linker,diverse,1.0,2.3840425531914895,-1.2534099869453936,0.037037037037037035,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
interdomain_linker,mRNA,92.0,77.61382978723404,0.24532011613168395,0.10466439135381114,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
interdomain_linker,ncRNA,11.0,10.948936170212766,0.006712823468496878,0.08870967741935484,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
interdomain_linker,pre-rRNA,2.0,10.507446808510638,-2.3933402480898684,0.01680672268907563,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
interdomain_linker,ribosomal protein,0.0,4.238297872340426,,0.0,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
interdomain_linker,snRNA,17.0,9.624468085106383,0.820756031691488,0.1559633027522936,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
interdomain_linker,snoRNA,2.0,4.591489361702128,-1.1989622029230174,0.038461538461538464,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
interdomain_linker,tRNA,4.0,5.474468085106383,-0.4527187951688003,0.06451612903225806,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
interdomain_linker,unknown,37.0,40.61702127659574,-0.1345591700973505,0.08043478260869565,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
unclassified_no_pfam,diverse,6.0,3.7627659574468084,0.6731689435852372,0.2222222222222222,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
unclassified_no_pfam,mRNA,115.0,122.49893617021277,-0.09113535917147948,0.13083048919226395,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
unclassified_no_pfam,ncRNA,37.0,17.280851063829786,1.0983510002696242,0.29838709677419356,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
unclassified_no_pfam,pre-rRNA,12.0,16.58404255319149,-0.466761317559238,0.10084033613445378,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
unclassified_no_pfam,ribosomal protein,1.0,6.68936170212766,-2.741868555693607,0.020833333333333332,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
unclassified_no_pfam,snRNA,24.0,15.190425531914894,0.6598721209717793,0.22018348623853212,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
unclassified_no_pfam,snoRNA,10.0,7.246808510638298,0.4645823217738197,0.19230769230769232,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
unclassified_no_pfam,tRNA,10.0,8.640425531914893,0.2108257295280368,0.16129032258064516,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
unclassified_no_pfam,unknown,47.0,64.1063829787234,-0.4478072542391884,0.10217391304347827,position_lcr,2.99042699058853e-41,,,CAST,2.99042699058853e-41
,diverse,27.0,27.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,CAST,
,mRNA,879.0,879.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,CAST,
,ncRNA,124.0,124.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,CAST,
,pre-rRNA,119.0,119.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,CAST,
,ribosomal protein,48.0,48.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,CAST,
