rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
diverse,27,94.0,156.74074074074073,259.67592118943963,41.0,167.0,126.0,6.106214531577585e-06,CAST,lcr,length,9.595479978193349e-06
mRNA,879,85.0,153.19226393629123,231.7301089683852,46.0,165.5,119.5,6.106214531577585e-06,CAST,lcr,length,9.595479978193349e-06
ncRNA,124,66.5,146.76612903225808,226.8136697702541,35.75,155.0,119.25,6.106214531577585e-06,CAST,lcr,length,9.595479978193349e-06
pre-rRNA,119,86.0,142.38655462184875,179.2858766897204,52.0,157.5,105.5,6.106214531577585e-06,CAST,lcr,length,9.595479978193349e-06
ribosomal protein,48,42.5,60.291666666666664,39.03296933408296,31.0,89.0,58.0,6.106214531577585e-06,CAST,lcr,length,9.595479978193349e-06
snRNA,109,76.0,111.13761467889908,111.04807666634572,39.0,118.0,79.0,6.106214531577585e-06,CAST,lcr,length,9.595479978193349e-06
snoRNA,52,71.0,113.34615384615384,117.97654878554643,39.75,144.5,104.75,6.106214531577585e-06,CAST,lcr,length,9.595479978193349e-06
tRNA,62,52.5,74.12903225806451,87.50690537079181,32.25,81.25,49.0,6.106214531577585e-06,CAST,lcr,length,9.595479978193349e-06
unknown,460,82.5,144.2826086956522,175.43541388881243,44.0,176.5,132.5,6.106214531577585e-06,CAST,lcr,length,9.595479978193349e-06
diverse,27,0.6496519721577726,0.5899926196494326,0.21181866402014587,0.4620448179271709,0.7185185185185186,0.25647370059134766,5.438625067720754e-08,CAST,lcr,frac_polar,9.970812624154717e-08
mRNA,879,0.6164383561643836,0.5672225018860179,0.2098715768014982,0.3959731543624161,0.7181976599452328,0.3222245055828167,5.438625067720754e-08,CAST,lcr,frac_polar,9.970812624154717e-08
ncRNA,124,0.638465617464907,0.5932929832655457,0.20425014496235427,0.4623161764705882,0.7321138211382113,0.2697976446676231,5.438625067720754e-08,CAST,lcr,frac_polar,9.970812624154717e-08
pre-rRNA,119,0.6785714285714286,0.6897386605206417,0.11135997520211044,0.6503149390661371,0.7360681114551084,0.08575317238897129,5.438625067720754e-08,CAST,lcr,frac_polar,9.970812624154717e-08
