n_lcr_category,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,present,feature_value,method,p_fdr
1,diverse,7,8.303317535545023,-0.24633294883638407,0.4666666666666667,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
1,mRNA,254,269.5810426540284,-0.0858905505956459,0.5215605749486653,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
1,ncRNA,39,38.195260663507106,0.030080486798609567,0.5652173913043478,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
1,pre-rRNA,50,45.3914691943128,0.1395069098711711,0.6097560975609756,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
1,ribosomal protein,44,25.463507109004738,0.7890723872948147,0.9565217391304348,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
1,snRNA,32,33.21327014218009,-0.05368787089398827,0.5333333333333333,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
1,snoRNA,15,16.05308056872038,-0.09788767480452333,0.5172413793103449,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
1,tRNA,43,28.23127962085308,0.6070421374451326,0.8431372549019608,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
1,unknown,100,119.56777251184835,-0.2578285876742137,0.46296296296296297,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
2,diverse,5,3.995260663507109,0.3236384626524653,0.3333333333333333,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
2,mRNA,141,129.71279620853082,0.12037435369007249,0.28952772073921973,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
2,ncRNA,18,18.3781990521327,-0.02999849196223521,0.2608695652173913,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
2,pre-rRNA,28,21.840758293838864,0.35840388081314173,0.34146341463414637,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
2,ribosomal protein,2,12.2521327014218,-2.6149609926833914,0.043478260869565216,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
2,snRNA,14,15.981042654028435,-0.19093471017729302,0.23333333333333334,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
2,snoRNA,9,7.724170616113744,0.22054496968836168,0.3103448275862069,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
2,tRNA,6,13.58388625592417,-1.178861877876718,0.11764705882352941,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
2,unknown,58,57.53175355450237,0.011694456337724927,0.26851851851851855,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
3+,diverse,3,2.7014218009478674,0.15124358037623717,0.2,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
3+,mRNA,92,87.70616113744076,0.0689556692382704,0.188911704312115,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
3+,ncRNA,12,12.42654028436019,-0.050390280793413234,0.17391304347826086,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
3+,pre-rRNA,4,14.76777251184834,-1.884380329354484,0.04878048780487805,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
3+,ribosomal protein,0,8.28436018957346,-inf,0.0,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
3+,snRNA,14,10.80568720379147,0.37363600171268513,0.23333333333333334,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
3+,snoRNA,5,5.222748815165877,-0.06288122497661022,0.1724137931034483,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
3+,tRNA,2,9.184834123222748,-2.1992536667078957,0.0392156862745098,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
3+,unknown,58,38.90047393364929,0.5762651682277032,0.26851851851851855,multiplicity_protein,1.4644536679614982e-09,,,CAST,5.439399338142708e-09
,diverse,2,5.345971563981043,-1.4184521636916083,0.13333333333333333,position_presence,0.04269054586393125,present,domain_adjacent,CAST,0.05549770962311062
,mRNA,183,173.5658767772512,0.07636030811861036,0.3757700205338809,position_presence,0.04269054586393125,present,domain_adjacent,CAST,0.05549770962311062
,ncRNA,22,24.591469194312797,-0.1606544062239618,0.3188405797101449,position_presence,0.04269054586393125,present,domain_adjacent,CAST,0.05549770962311062
,pre-rRNA,33,29.224644549763035,0.17528054665727974,0.4024390243902439,position_presence,0.04269054586393125,present,domain_adjacent,CAST,0.05549770962311062
,ribosomal protein,6,16.39431279620853,-1.4501610234189466,0.13043478260869565,position_presence,0.04269054586393125,present,domain_adjacent,CAST,0.05549770962311062
,snRNA,21,21.38388625592417,-0.026134740912848245,0.35,position_presence,0.04269054586393125,present,domain_adjacent,CAST,0.05549770962311062
,snoRNA,12,10.335545023696682,0.2154199375104943,0.41379310344827586,position_presence,0.04269054586393125,present,domain_adjacent,CAST,0.05549770962311062
,tRNA,19,18.176303317535545,0.06394060338900003,0.37254901960784315,position_presence,0.04269054586393125,present,domain_adjacent,CAST,0.05549770962311062
,unknown,78,76.98199052132702,0.01895314861568985,0.3611111111111111,position_presence,0.04269054586393125,present,domain_adjacent,CAST,0.05549770962311062
,diverse,9,6.099526066350711,0.5612278519287959,0.6,position_presence,8.516990226727061e-10,present,distal_terminal,CAST,5.439399338142708e-09
,mRNA,197,198.03127962085307,-0.007532696530963889,0.40451745379876797,position_presence,8.516990226727061e-10,present,distal_terminal,CAST,5.439399338142708e-09
,ncRNA,26,28.05781990521327,-0.10989129254207505,0.37681159420289856,position_presence,8.516990226727061e-10,present,distal_terminal,CAST,5.439399338142708e-09
,pre-rRNA,33,33.34407582938389,-0.014964439164628472,0.4024390243902439,position_presence,8.516990226727061e-10,present,distal_terminal,CAST,5.439399338142708e-09
,ribosomal protein,1,18.70521327014218,-4.225368509962011,0.021739130434782608,position_presence,8.516990226727061e-10,present,distal_terminal,CAST,5.439399338142708e-09
,snRNA,17,24.398104265402843,-0.5212343082631772,0.2833333333333333,position_presence,8.516990226727061e-10,present,distal_terminal,CAST,5.439399338142708e-09
,snoRNA,9,11.792417061611374,-0.3898625475902579,0.3103448275862069,position_presence,8.516990226727061e-10,present,distal_terminal,CAST,5.439399338142708e-09
,tRNA,16,20.738388625592417,-0.37423189587649375,0.3137254901960784,position_presence,8.516990226727061e-10,present,distal_terminal,CAST,5.439399338142708e-09
,unknown,121,87.83317535545024,0.46216918120612777,0.5601851851851852,position_presence,8.516990226727061e-10,present,distal_terminal,CAST,5.439399338142708e-09
,diverse,2,3.5971563981042656,-0.8468568867082813,0.13333333333333333,position_presence,3.514495771496083e-12,present,domain_edge,CAST,4.568844502944908e-11
,mRNA,128,116.78767772511848,0.13225574681789518,0.26283367556468173,position_presence,3.514495771496083e-12,present,domain_edge,CAST,4.568844502944908e-11
,ncRNA,8,16.546919431279623,-1.048490747877932,0.11594202898550725,position_presence,3.514495771496083e-12,present,domain_edge,CAST,4.568844502944908e-11
,pre-rRNA,18,19.66445497630332,-0.12759329427553395,0.21951219512195122,position_presence,3.514495771496083e-12,present,domain_edge,CAST,4.568844502944908e-11
,ribosomal protein,32,11.03127962085308,1.5364717528432243,0.6956521739130435,position_presence,3.514495771496083e-12,present,domain_edge,CAST,4.568844502944908e-11
,snRNA,14,14.388625592417062,-0.03950196465067711,0.23333333333333334,position_presence,3.514495771496083e-12,present,domain_edge,CAST,4.568844502944908e-11
,snoRNA,8,6.954502369668247,0.20205271377266518,0.27586206896551724,position_presence,3.514495771496083e-12,present,domain_edge,CAST,4.568844502944908e-11
,tRNA,6,12.230331753554502,-1.027429132350102,0.11764705882352941,position_presence,3.514495771496083e-12,present,domain_edge,CAST,4.568844502944908e-11
,unknown,37,51.79905213270142,-0.4854004276342814,0.1712962962962963,position_presence,3.514495771496083e-12,present,domain_edge,CAST,4.568844502944908e-11
,diverse,1,1.7488151658767772,-0.8063778173532109,0.06666666666666667,position_presence,0.0010362944144006545,present,interdomain_linker,CAST,0.002072588828801309
,mRNA,65,56.7781990521327,0.19510262920141994,0.13347022587268995,position_presence,0.0010362944144006545,present,interdomain_linker,CAST,0.002072588828801309
,ncRNA,9,8.044549763033176,0.16191332291945082,0.13043478260869565,position_presence,0.0010362944144006545,present,interdomain_linker,CAST,0.002072588828801309
,pre-rRNA,1,9.560189573459716,-3.2570392263627763,0.012195121951219513,position_presence,0.0010362944144006545,present,interdomain_linker,CAST,0.002072588828801309
,ribosomal protein,0,5.36303317535545,-inf,0.0,position_presence,0.0010362944144006545,present,interdomain_linker,CAST,0.002072588828801309
,snRNA,14,6.995260663507109,1.0009771047043932,0.23333333333333334,position_presence,0.0010362944144006545,present,interdomain_linker,CAST,0.002072588828801309
,snoRNA,2,3.381042654028436,-0.7574682168722645,0.06896551724137931,position_presence,0.0010362944144006545,present,interdomain_linker,CAST,0.002072588828801309
,tRNA,4,5.945971563981042,-0.5719125637161879,0.0784313725490196,position_presence,0.0010362944144006545,present,interdomain_linker,CAST,0.002072588828801309
,unknown,27,25.182938388625594,0.10051277825530744,0.125,position_presence,0.0010362944144006545,present,interdomain_linker,CAST,0.002072588828801309
,diverse,3,2.3175355450236967,0.37237103447610764,0.2,position_presence,0.0005322472272327092,present,unclassified_no_pfam,CAST,0.00115320232567087
,mRNA,66,75.24265402843602,-0.1890847133604189,0.13552361396303902,position_presence,0.0005322472272327092,present,unclassified_no_pfam,CAST,0.00115320232567087
,ncRNA,23,10.660663507109005,1.1093366286423139,0.3333333333333333,position_presence,0.0005322472272327092,present,unclassified_no_pfam,CAST,0.00115320232567087
,pre-rRNA,11,12.669194312796208,-0.20382125661731643,0.13414634146341464,position_presence,0.0005322472272327092,present,unclassified_no_pfam,CAST,0.00115320232567087
,ribosomal protein,1,7.107109004739336,-2.829262826693543,0.021739130434782608,position_presence,0.0005322472272327092,present,unclassified_no_pfam,CAST,0.00115320232567087
