rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
diverse,15,0.2567409144196952,0.3216524580230499,0.2529050684139105,0.1244843619063066,0.5010516617994716,0.37656729989316495,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
mRNA,487,0.33,0.3728067213848869,0.254012330220955,0.17809390547263682,0.5176622753006963,0.3395683698280595,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
ncRNA,69,0.19592476489028213,0.28146017283571795,0.2460917689494061,0.10043668122270742,0.42065009560229444,0.320213414379587,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
pre-rRNA,82,0.2856800766283525,0.33921033629020947,0.23794219798597455,0.1583837924514755,0.4761316689554729,0.3177478765039974,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
ribosomal protein,46,0.2693994601889339,0.3595512056329117,0.25687018057810884,0.18715326421966938,0.46663174436877947,0.2794784801491101,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
snRNA,60,0.320741274415626,0.34445275019725946,0.2268566278747605,0.15083754295693977,0.5061244401443666,0.3552868971874269,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
snoRNA,29,0.27032136105860116,0.38526996047380885,0.28719408240653377,0.20570440795159897,0.5326370757180157,0.3269326677664167,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
tRNA,51,0.14222222222222222,0.17089454726704872,0.128326128668251,0.0740360610263523,0.21890323391808997,0.14486717289173767,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
unknown,216,0.3176593521421108,0.335559409456943,0.23652779202298238,0.14434734653597328,0.4797719062915505,0.33542455975557717,6.89186484591315e-07,CAST,coverage,protein,6.585559741650343e-06
diverse,4,0.10461786262707612,0.13481468878094444,0.1273867797402693,0.05787768225861577,0.1815548691494048,0.12367718689078903,0.0544676320497172,CAST,property_fraction__acidic_region,protein,0.10409369680612619
mRNA,112,0.12329863738144912,0.15378840091791707,0.12641974783468807,0.058304226094510817,0.2193101489522848,0.161005922857774,0.0544676320497172,CAST,property_fraction__acidic_region,protein,0.10409369680612619
ncRNA,20,0.0663870757523203,0.08865437055369782,0.08353446202498688,0.02558338604605312,0.13207447614176143,0.10649109009570831,0.0544676320497172,CAST,property_fraction__acidic_region,protein,0.10409369680612619
