rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
diverse,93,5.0,6.311827956989247,3.0573450212194127,4.0,7.0,3.0,2.556445818355462e-07,LCRFinder,lcr,length,2.8120904001910083e-07
mRNA,3379,6.0,7.620893755548979,5.312812938600597,4.0,9.0,5.0,2.556445818355462e-07,LCRFinder,lcr,length,2.8120904001910083e-07
ncRNA,396,6.0,6.96969696969697,4.442497975505509,4.0,7.0,3.0,2.556445818355462e-07,LCRFinder,lcr,length,2.8120904001910083e-07
pre-rRNA,320,6.0,6.565625,3.1912015970835874,5.0,7.0,2.0,2.556445818355462e-07,LCRFinder,lcr,length,2.8120904001910083e-07
ribosomal protein,52,5.0,6.6923076923076925,3.523247507841068,4.0,8.0,4.0,2.556445818355462e-07,LCRFinder,lcr,length,2.8120904001910083e-07
snRNA,351,6.0,7.84045584045584,5.593635548438837,4.0,9.0,5.0,2.556445818355462e-07,LCRFinder,lcr,length,2.8120904001910083e-07
snoRNA,150,6.0,8.74,7.210572029547212,5.0,10.0,5.0,2.556445818355462e-07,LCRFinder,lcr,length,2.8120904001910083e-07
tRNA,147,5.0,6.54421768707483,5.2384658589159,4.0,7.0,3.0,2.556445818355462e-07,LCRFinder,lcr,length,2.8120904001910083e-07
unknown,1483,6.0,6.963587322993932,4.412290657903862,4.0,8.0,4.0,2.556445818355462e-07,LCRFinder,lcr,length,2.8120904001910083e-07
diverse,93,0.5,0.5081089758509113,0.4235297459865548,0.0,1.0,1.0,1.3813472396088527e-14,LCRFinder,lcr,frac_polar,2.532469939282897e-14
mRNA,3379,0.5714285714285714,0.5668641866420975,0.3828705115277768,0.2,1.0,0.8,1.3813472396088527e-14,LCRFinder,lcr,frac_polar,2.532469939282897e-14
ncRNA,396,0.5714285714285714,0.5475030991864042,0.37979527847901406,0.1666666666666667,1.0,0.8333333333333333,1.3813472396088527e-14,LCRFinder,lcr,frac_polar,2.532469939282897e-14
pre-rRNA,320,1.0,0.752256840126785,0.3343019536506327,0.5,1.0,0.5,1.3813472396088527e-14,LCRFinder,lcr,frac_polar,2.532469939282897e-14
ribosomal protein,52,0.5,0.5273917259211377,0.3796807365182884,0.1666666666666667,1.0,0.8333333333333333,1.3813472396088527e-14,LCRFinder,lcr,frac_polar,2.532469939282897e-14
snRNA,351,0.8,0.6077961189996004,0.40745565266264533,0.1666666666666667,1.0,0.8333333333333333,1.3813472396088527e-14,LCRFinder,lcr,frac_polar,2.532469939282897e-14
snoRNA,150,0.6742424242424242,0.6286694218635396,0.35883444593208935,0.3884615384615384,1.0,0.6115384615384616,1.3813472396088527e-14,LCRFinder,lcr,frac_polar,2.532469939282897e-14
tRNA,147,0.5,0.5653903264047322,0.40406628822061713,0.18465909090909088,1.0,0.8153409090909092,1.3813472396088527e-14,LCRFinder,lcr,frac_polar,2.532469939282897e-14
unknown,1483,0.5625,0.565820296145398,0.3805120104078559,0.2,1.0,0.8,1.3813472396088527e-14,LCRFinder,lcr,frac_polar,2.532469939282897e-14
diverse,93,0.5,0.4850219076025528,0.38850607015025845,0.0,0.875,0.875,3.480531113035662e-16,LCRFinder,lcr,frac_hydrophobic,9.571460560848071e-16
mRNA,3379,0.3333333333333333,0.386111612693031,0.35326412047094746,0.0,0.6363636363636364,0.6363636363636364,3.480531113035662e-16,LCRFinder,lcr,frac_hydrophobic,9.571460560848071e-16
ncRNA,396,0.4,0.43124218201728465,0.35688053026478767,0.07692307692307693,0.7142857142857143,0.6373626373626373,3.480531113035662e-16,LCRFinder,lcr,frac_hydrophobic,9.571460560848071e-16
pre-rRNA,320,0.43650793650793646,0.4340898860636912,0.3955276520641845,0.0,0.8333333333333334,0.8333333333333334,3.480531113035662e-16,LCRFinder,lcr,frac_hydrophobic,9.571460560848071e-16
ribosomal protein,52,0.8,0.6741470947353301,0.3686979199406501,0.5,1.0,0.5,3.480531113035662e-16,LCRFinder,lcr,frac_hydrophobic,9.571460560848071e-16
snRNA,351,0.3333333333333333,0.3791356890444922,0.35269301909365225,0.0,0.6666666666666666,0.6666666666666666,3.480531113035662e-16,LCRFinder,lcr,frac_hydrophobic,9.571460560848071e-16
snoRNA,150,0.5,0.5282442412163001,0.3812016532156767,0.1666666666666667,0.9772727272727273,0.8106060606060606,3.480531113035662e-16,LCRFinder,lcr,frac_hydrophobic,9.571460560848071e-16
tRNA,147,0.5,0.5480817363020244,0.3623274893428424,0.303030303030303,0.8920454545454546,0.5890151515151516,3.480531113035662e-16,LCRFinder,lcr,frac_hydrophobic,9.571460560848071e-16
unknown,1483,0.4583333333333333,0.44026190352345257,0.35870284129789093,0.048809523809523817,0.7142857142857143,0.6654761904761904,3.480531113035662e-16,LCRFinder,lcr,frac_hydrophobic,9.571460560848071e-16
diverse,93,0.0,0.19034430324752905,0.3145188822525496,0.0,0.2,0.2,4.276730089173549e-08,LCRFinder,lcr,frac_strong_hydro,5.227114553434338e-08
mRNA,3379,0.0,0.090223064262688,0.18610246644807893,0.0,0.1111111111111111,0.1111111111111111,4.276730089173549e-08,LCRFinder,lcr,frac_strong_hydro,5.227114553434338e-08
ncRNA,396,0.0,0.1623572575851923,0.26820258183138407,0.0,0.2222222222222222,0.2222222222222222,4.276730089173549e-08,LCRFinder,lcr,frac_strong_hydro,5.227114553434338e-08
pre-rRNA,320,0.0,0.10841079927017427,0.2370713321785123,0.0,0.08333333333333333,0.08333333333333333,4.276730089173549e-08,LCRFinder,lcr,frac_strong_hydro,5.227114553434338e-08
ribosomal protein,52,0.0,0.04826007326007326,0.12075086554507385,0.0,0.0,0.0,4.276730089173549e-08,LCRFinder,lcr,frac_strong_hydro,5.227114553434338e-08
snRNA,351,0.0,0.12818775381749214,0.23584226302675598,0.0,0.1666666666666667,0.1666666666666667,4.276730089173549e-08,LCRFinder,lcr,frac_strong_hydro,5.227114553434338e-08
snoRNA,150,0.0,0.09956888721300486,0.20462869973811473,0.0,0.10312500000000002,0.10312500000000002,4.276730089173549e-08,LCRFinder,lcr,frac_strong_hydro,5.227114553434338e-08
tRNA,147,0.0,0.15919392287939707,0.26034087601780387,0.0,0.24285714285714285,0.24285714285714285,4.276730089173549e-08,LCRFinder,lcr,frac_strong_hydro,5.227114553434338e-08
unknown,1483,0.0,0.1247530800395149,0.23011681005617243,0.0,0.1666666666666667,0.1666666666666667,4.276730089173549e-08,LCRFinder,lcr,frac_strong_hydro,5.227114553434338e-08
diverse,93,0.0,0.029791773340160435,0.09658670751270469,0.0,0.0,0.0,6.39377644550698e-05,LCRFinder,lcr,frac_aromatic,6.39377644550698e-05
mRNA,3379,0.0,0.022249232624847456,0.08315005940661285,0.0,0.0,0.0,6.39377644550698e-05,LCRFinder,lcr,frac_aromatic,6.39377644550698e-05
ncRNA,396,0.0,0.024799188372420695,0.10511713571986825,0.0,0.0,0.0,6.39377644550698e-05,LCRFinder,lcr,frac_aromatic,6.39377644550698e-05
pre-rRNA,320,0.0,0.012199918137418138,0.06830429005500352,0.0,0.0,0.0,6.39377644550698e-05,LCRFinder,lcr,frac_aromatic,6.39377644550698e-05
ribosomal protein,52,0.0,0.007051282051282052,0.029767829619260583,0.0,0.0,0.0,6.39377644550698e-05,LCRFinder,lcr,frac_aromatic,6.39377644550698e-05
snRNA,351,0.0,0.008276756842116146,0.04030648275521156,0.0,0.0,0.0,6.39377644550698e-05,LCRFinder,lcr,frac_aromatic,6.39377644550698e-05
snoRNA,150,0.0,0.008287566137566139,0.047162140909382075,0.0,0.0,0.0,6.39377644550698e-05,LCRFinder,lcr,frac_aromatic,6.39377644550698e-05
tRNA,147,0.0,0.011524378871317647,0.06560826749113033,0.0,0.0,0.0,6.39377644550698e-05,LCRFinder,lcr,frac_aromatic,6.39377644550698e-05
unknown,1483,0.0,0.024129235644587455,0.09182528599476697,0.0,0.0,0.0,6.39377644550698e-05,LCRFinder,lcr,frac_aromatic,6.39377644550698e-05
diverse,93,0.8333333333333334,0.7274829710313582,0.3275130455557191,0.5,1.0,0.5,2.253214134154564e-09,LCRFinder,lcr,frac_disorder,3.0981694344625257e-09
mRNA,3379,1.0,0.8397407487270383,0.23959132461721638,0.7777777777777778,1.0,0.2222222222222222,2.253214134154564e-09,LCRFinder,lcr,frac_disorder,3.0981694344625257e-09
ncRNA,396,0.8571428571428571,0.7539658184975622,0.3020801405529049,0.5714285714285714,1.0,0.4285714285714286,2.253214134154564e-09,LCRFinder,lcr,frac_disorder,3.0981694344625257e-09
pre-rRNA,320,1.0,0.7984174511705082,0.2855078047053747,0.6666666666666666,1.0,0.33333333333333337,2.253214134154564e-09,LCRFinder,lcr,frac_disorder,3.0981694344625257e-09
ribosomal protein,52,1.0,0.918780525030525,0.15254937881472236,0.8705357142857143,1.0,0.1294642857142857,2.253214134154564e-09,LCRFinder,lcr,frac_disorder,3.0981694344625257e-09
snRNA,351,0.9534883720930233,0.8144297214872301,0.2637616543239997,0.6770833333333333,1.0,0.32291666666666674,2.253214134154564e-09,LCRFinder,lcr,frac_disorder,3.0981694344625257e-09
snoRNA,150,0.9342857142857143,0.8265183221290806,0.24556135877101393,0.6978021978021978,1.0,0.30219780219780223,2.253214134154564e-09,LCRFinder,lcr,frac_disorder,3.0981694344625257e-09
tRNA,147,1.0,0.7746235478945954,0.30570756543906197,0.5,1.0,0.5,2.253214134154564e-09,LCRFinder,lcr,frac_disorder,3.0981694344625257e-09
unknown,1483,0.9285714285714286,0.7988026624013224,0.27740958856409703,0.6666666666666666,1.0,0.33333333333333337,2.253214134154564e-09,LCRFinder,lcr,frac_disorder,3.0981694344625257e-09
diverse,93,0.0,0.09554039150813344,0.23980736923515752,0.0,0.0,0.0,4.62931587001613e-16,LCRFinder,lcr,frac_positive,1.0184494914035485e-15
mRNA,3379,0.0,0.17234495504424108,0.25521055359995065,0.0,0.3636363636363636,0.3636363636363636,4.62931587001613e-16,LCRFinder,lcr,frac_positive,1.0184494914035485e-15
ncRNA,396,0.0,0.13791131578573085,0.25820265315852187,0.0,0.1666666666666667,0.1666666666666667,4.62931587001613e-16,LCRFinder,lcr,frac_positive,1.0184494914035485e-15
pre-rRNA,320,0.0,0.2414604023427553,0.3504632163491538,0.0,0.5,0.5,4.62931587001613e-16,LCRFinder,lcr,frac_positive,1.0184494914035485e-15
ribosomal protein,52,0.3666666666666667,0.3798076923076923,0.3955189328903807,0.0,0.6285714285714286,0.6285714285714286,4.62931587001613e-16,LCRFinder,lcr,frac_positive,1.0184494914035485e-15
snRNA,351,0.0,0.2409396068363834,0.2964448913951147,0.0,0.5,0.5,4.62931587001613e-16,LCRFinder,lcr,frac_positive,1.0184494914035485e-15
snoRNA,150,0.1,0.25346156980274626,0.32501755281708544,0.0,0.5,0.5,4.62931587001613e-16,LCRFinder,lcr,frac_positive,1.0184494914035485e-15
tRNA,147,0.0,0.23703532639607072,0.31948850012156194,0.0,0.5,0.5,4.62931587001613e-16,LCRFinder,lcr,frac_positive,1.0184494914035485e-15
unknown,1483,0.0,0.16423236407112052,0.27671787665222725,0.0,0.2857142857142857,0.2857142857142857,4.62931587001613e-16,LCRFinder,lcr,frac_positive,1.0184494914035485e-15
diverse,93,0.0,0.078169679782583,0.22023107697624913,0.0,0.0,0.0,1.0314112876047321e-32,LCRFinder,lcr,frac_negative,5.672762081826026e-32
mRNA,3379,0.0,0.14395463681957507,0.2719825459366186,0.0,0.1666666666666667,0.1666666666666667,1.0314112876047321e-32,LCRFinder,lcr,frac_negative,5.672762081826026e-32
ncRNA,396,0.0,0.1936616120971275,0.3097748955720916,0.0,0.4,0.4,1.0314112876047321e-32,LCRFinder,lcr,frac_negative,5.672762081826026e-32
pre-rRNA,320,0.2,0.35684464708751396,0.38793792131985017,0.0,0.7035714285714285,0.7035714285714285,1.0314112876047321e-32,LCRFinder,lcr,frac_negative,5.672762081826026e-32
ribosomal protein,52,0.0,0.0911508834302952,0.22627864381045665,0.0,0.0,0.0,1.0314112876047321e-32,LCRFinder,lcr,frac_negative,5.672762081826026e-32
snRNA,351,0.0,0.20791676092765593,0.29917356798946243,0.0,0.4,0.4,1.0314112876047321e-32,LCRFinder,lcr,frac_negative,5.672762081826026e-32
snoRNA,150,0.0,0.27101779641926704,0.3468599847141194,0.0,0.5,0.5,1.0314112876047321e-32,LCRFinder,lcr,frac_negative,5.672762081826026e-32
tRNA,147,0.0,0.2038003412670671,0.3216260560314784,0.0,0.4,0.4,1.0314112876047321e-32,LCRFinder,lcr,frac_negative,5.672762081826026e-32
unknown,1483,0.0,0.1872192649238719,0.30539657343230586,0.0,0.3333333333333333,0.3333333333333333,1.0314112876047321e-32,LCRFinder,lcr,frac_negative,5.672762081826026e-32
diverse,93,0.0,0.17371007129071644,0.31217286826251484,0.0,0.2,0.2,2.046851975800426e-49,LCRFinder,lcr,fcr,2.2515371733804683e-48
mRNA,3379,0.1428571428571428,0.3162995918638162,0.36445771346538475,0.0,0.6,0.6,2.046851975800426e-49,LCRFinder,lcr,fcr,2.2515371733804683e-48
ncRNA,396,0.1428571428571428,0.33157292788285836,0.37445566914065664,0.0,0.6666666666666666,0.6666666666666666,2.046851975800426e-49,LCRFinder,lcr,fcr,2.2515371733804683e-48
pre-rRNA,320,0.6666666666666666,0.5983050494302693,0.37308696539995434,0.3333333333333333,1.0,0.6666666666666667,2.046851975800426e-49,LCRFinder,lcr,fcr,2.2515371733804683e-48
ribosomal protein,52,0.475,0.4709585757379875,0.3847757827989621,0.0,0.8,0.8,2.046851975800426e-49,LCRFinder,lcr,fcr,2.2515371733804683e-48
snRNA,351,0.5,0.44885636776403937,0.38637046391089075,0.0,0.8,0.8,2.046851975800426e-49,LCRFinder,lcr,fcr,2.2515371733804683e-48
snoRNA,150,0.5,0.5244793662220133,0.35233089916774346,0.21093749999999997,0.8333333333333334,0.6223958333333334,2.046851975800426e-49,LCRFinder,lcr,fcr,2.2515371733804683e-48
tRNA,147,0.4,0.44083566766313775,0.41557896712076536,0.0,0.9555335968379447,0.9555335968379447,2.046851975800426e-49,LCRFinder,lcr,fcr,2.2515371733804683e-48
unknown,1483,0.2,0.3514516289949924,0.38457891472186073,0.0,0.6666666666666666,0.6666666666666666,2.046851975800426e-49,LCRFinder,lcr,fcr,2.2515371733804683e-48
diverse,93,0.0,0.017370711725550436,0.3384770354573054,0.0,0.0,0.0,1.0433903042964458e-13,LCRFinder,lcr,ncpr,1.6396133353229862e-13
mRNA,3379,0.0,0.02839031822466601,0.3812931143116791,0.0,0.1666666666666667,0.1666666666666667,1.0433903042964458e-13,LCRFinder,lcr,ncpr,1.6396133353229862e-13
ncRNA,396,0.0,-0.05575029631139667,0.4301640895030913,-0.16911764705882357,0.0,0.16911764705882357,1.0433903042964458e-13,LCRFinder,lcr,ncpr,1.6396133353229862e-13
pre-rRNA,320,0.0,-0.11538424474475865,0.6383155253259732,-0.7035714285714285,0.375,1.0785714285714285,1.0433903042964458e-13,LCRFinder,lcr,ncpr,1.6396133353229862e-13
ribosomal protein,52,0.26666666666666666,0.28865680887739714,0.5169352946069129,0.0,0.6285714285714286,0.6285714285714286,1.0433903042964458e-13,LCRFinder,lcr,ncpr,1.6396133353229862e-13
snRNA,351,0.0,0.03302284590872745,0.4533063637904243,-0.10555555555555556,0.2157622739018088,0.32131782945736437,1.0433903042964458e-13,LCRFinder,lcr,ncpr,1.6396133353229862e-13
snoRNA,150,0.0,-0.01755622661652074,0.5725027989117791,-0.4916666666666667,0.5,0.9916666666666667,1.0433903042964458e-13,LCRFinder,lcr,ncpr,1.6396133353229862e-13
tRNA,147,0.0,0.0332349851290036,0.48818701881903404,0.0,0.3264705882352942,0.3264705882352942,1.0433903042964458e-13,LCRFinder,lcr,ncpr,1.6396133353229862e-13
unknown,1483,0.0,-0.02298690085275137,0.4379255176369356,-0.125,0.1,0.225,1.0433903042964458e-13,LCRFinder,lcr,ncpr,1.6396133353229862e-13
diverse,93,0.1666666666666667,0.3604863774218613,0.38588304254614336,0.0,0.6666666666666666,0.6666666666666666,1.3796522215220527e-29,LCRFinder,lcr,frac_GS,5.058724812247527e-29
mRNA,3379,0.1666666666666667,0.28342011687121044,0.3205884675071564,0.0,0.5,0.5,1.3796522215220527e-29,LCRFinder,lcr,frac_GS,5.058724812247527e-29
ncRNA,396,0.0,0.2373234855535358,0.31155691153282034,0.0,0.5,0.5,1.3796522215220527e-29,LCRFinder,lcr,frac_GS,5.058724812247527e-29
pre-rRNA,320,0.0,0.13333768283746306,0.23640354850718623,0.0,0.2,0.2,1.3796522215220527e-29,LCRFinder,lcr,frac_GS,5.058724812247527e-29
ribosomal protein,52,0.0,0.10742521367521368,0.23395544281659075,0.0,0.10277777777777777,0.10277777777777777,1.3796522215220527e-29,LCRFinder,lcr,frac_GS,5.058724812247527e-29
snRNA,351,0.0,0.1713192213322908,0.25417483898380316,0.0,0.28869047619047616,0.28869047619047616,1.3796522215220527e-29,LCRFinder,lcr,frac_GS,5.058724812247527e-29
snoRNA,150,0.0,0.17763148561677972,0.28317368065483234,0.0,0.29642857142857143,0.29642857142857143,1.3796522215220527e-29,LCRFinder,lcr,frac_GS,5.058724812247527e-29
tRNA,147,0.0,0.1773568546560352,0.2895493134402641,0.0,0.4,0.4,1.3796522215220527e-29,LCRFinder,lcr,frac_GS,5.058724812247527e-29
unknown,1483,0.0,0.23011118773935374,0.31091606686746454,0.0,0.5,0.5,1.3796522215220527e-29,LCRFinder,lcr,frac_GS,5.058724812247527e-29
