n_lcr_category,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,present,feature_value,method,p_fdr
1,diverse,6.0,2.8958333333333335,1.050983928718805,0.2857142857142857,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
1,mRNA,44.0,64.12202380952381,-0.5433164365816875,0.09462365591397849,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
1,ncRNA,6.0,8.96329365079365,-0.5790664615308891,0.09230769230769231,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
1,pre-rRNA,11.0,9.239087301587302,0.25168127895593384,0.16417910447761194,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
1,ribosomal protein,6.0,2.8958333333333335,1.050983928718805,0.2857142857142857,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
1,snRNA,9.0,7.998015873015873,0.17028285709114926,0.15517241379310345,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
1,snoRNA,4.0,3.9990079365079363,0.0003578556488371152,0.13793103448275862,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
1,tRNA,13.0,7.032738095238095,0.8863532269460056,0.2549019607843137,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
1,unknown,40.0,31.854166666666668,0.3285179042477137,0.17316017316017315,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
2,diverse,4.0,2.8125,0.5081469036703253,0.19047619047619047,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
2,mRNA,49.0,62.276785714285715,-0.3459127354310999,0.1053763440860215,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
2,ncRNA,9.0,8.705357142857142,0.048021514862943454,0.13846153846153847,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
2,pre-rRNA,11.0,8.973214285714286,0.29380675462861033,0.16417910447761194,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
2,ribosomal protein,6.0,2.8125,1.0931094043914815,0.2857142857142857,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
2,snRNA,5.0,7.767857142857143,-0.6355885737911242,0.08620689655172414,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
2,snoRNA,4.0,3.8839285714285716,0.04248333132151344,0.13793103448275862,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
2,tRNA,17.0,6.830357142857143,1.3155018257279294,0.3333333333333333,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
2,unknown,30.0,30.9375,-0.044394119358453395,0.12987012987012986,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
3+,diverse,11.0,15.291666666666666,-0.4752421334847592,0.5238095238095238,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
3+,mRNA,372.0,338.6011904761905,0.13571557576934137,0.8,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
3+,ncRNA,50.0,47.33134920634921,0.0791320474029738,0.7692307692307693,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
3+,pre-rRNA,45.0,48.78769841269841,-0.11659242347139392,0.6716417910447762,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
3+,ribosomal protein,9.0,15.291666666666666,-0.7647487506797441,0.42857142857142855,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
3+,snRNA,44.0,42.23412698412698,0.05909429416642907,0.7586206896551724,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
3+,snoRNA,21.0,21.11706349206349,-0.008019901692108073,0.7241379310344828,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
3+,tRNA,21.0,37.13690476190476,-0.8224642485360316,0.4117647058823529,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
3+,unknown,161.0,168.20833333333334,-0.06318849264473687,0.696969696969697,multiplicity_protein,5.122082171008203e-07,,,LCRFinder,2.76592437234443e-06
,diverse,8.0,13.604166666666666,-0.7659766808252745,0.38095238095238093,position_presence,1.747845442144398e-05,present,distal_terminal,LCRFinder,6.0932251175194974e-05
,mRNA,314.0,301.23511904761904,0.059874584849719144,0.6752688172043011,position_presence,1.747845442144398e-05,present,distal_terminal,LCRFinder,6.0932251175194974e-05
,ncRNA,35.0,42.10813492063492,-0.2667440541300023,0.5384615384615384,position_presence,1.747845442144398e-05,present,distal_terminal,LCRFinder,6.0932251175194974e-05
,pre-rRNA,47.0,43.40376984126984,0.11484040317335074,0.7014925373134329,position_presence,1.747845442144398e-05,present,distal_terminal,LCRFinder,6.0932251175194974e-05
,ribosomal protein,6.0,13.604166666666666,-1.1810141801041183,0.2857142857142857,position_presence,1.747845442144398e-05,present,distal_terminal,LCRFinder,6.0932251175194974e-05
,snRNA,30.0,37.573412698412696,-0.3247496575655678,0.5172413793103449,position_presence,1.747845442144398e-05,present,distal_terminal,LCRFinder,6.0932251175194974e-05
,snoRNA,19.0,18.786706349206348,0.016287260269499258,0.6551724137931034,position_presence,1.747845442144398e-05,present,distal_terminal,LCRFinder,6.0932251175194974e-05
,tRNA,28.0,33.038690476190474,-0.23872967796040567,0.5490196078431373,position_presence,1.747845442144398e-05,present,distal_terminal,LCRFinder,6.0932251175194974e-05
,unknown,166.0,149.64583333333334,0.14963113188435292,0.7186147186147186,position_presence,1.747845442144398e-05,present,distal_terminal,LCRFinder,6.0932251175194974e-05
,diverse,10.0,9.5,0.07400058144377678,0.47619047619047616,position_presence,0.00012642472722768032,present,domain_adjacent,LCRFinder,0.00031031523955885173
,mRNA,243.0,210.35714285714286,0.20811550694556183,0.5225806451612903,position_presence,0.00012642472722768032,present,domain_adjacent,LCRFinder,0.00031031523955885173
,ncRNA,16.0,29.404761904761905,-0.8779779036932798,0.24615384615384617,position_presence,0.00012642472722768032,present,domain_adjacent,LCRFinder,0.00031031523955885173
,pre-rRNA,26.0,30.30952380952381,-0.22125956298150545,0.3880597014925373,position_presence,0.00012642472722768032,present,domain_adjacent,LCRFinder,0.00031031523955885173
,ribosomal protein,12.0,9.5,0.3370349872775706,0.5714285714285714,position_presence,0.00012642472722768032,present,domain_adjacent,LCRFinder,0.00031031523955885173
,snRNA,30.0,26.238095238095237,0.19329950981612118,0.5172413793103449,position_presence,0.00012642472722768032,present,domain_adjacent,LCRFinder,0.00031031523955885173
,snoRNA,14.0,13.119047619047619,0.0937638362652068,0.4827586206896552,position_presence,0.00012642472722768032,present,domain_adjacent,LCRFinder,0.00031031523955885173
,tRNA,18.0,23.071428571428573,-0.3581104311940086,0.35294117647058826,position_presence,0.00012642472722768032,present,domain_adjacent,LCRFinder,0.00031031523955885173
,unknown,87.0,104.5,-0.2644156362321544,0.37662337662337664,position_presence,0.00012642472722768032,present,domain_adjacent,LCRFinder,0.00031031523955885173
,diverse,3.0,4.1875,-0.4811266897366163,0.14285714285714285,position_presence,0.00021015735175641709,present,domain_intrinsic,LCRFinder,0.0004728540414519385
,mRNA,89.0,92.72321428571429,-0.05912524270800824,0.1913978494623656,position_presence,0.00021015735175641709,present,domain_intrinsic,LCRFinder,0.0004728540414519385
,ncRNA,15.0,12.961309523809524,0.2107510149010518,0.23076923076923078,position_presence,0.00021015735175641709,present,domain_intrinsic,LCRFinder,0.0004728540414519385
,pre-rRNA,17.0,13.360119047619047,0.34760188311355494,0.2537313432835821,position_presence,0.00021015735175641709,present,domain_intrinsic,LCRFinder,0.0004728540414519385
,ribosomal protein,11.0,4.1875,1.3933424281795248,0.5238095238095238,position_presence,0.00021015735175641709,present,domain_intrinsic,LCRFinder,0.0004728540414519385
,snRNA,9.0,11.56547619047619,-0.3618277613642717,0.15517241379310345,position_presence,0.00021015735175641709,present,domain_intrinsic,LCRFinder,0.0004728540414519385
,snoRNA,7.0,5.782738095238095,0.27560215925101994,0.2413793103448276,position_presence,0.00021015735175641709,present,domain_intrinsic,LCRFinder,0.0004728540414519385
,tRNA,18.0,10.169642857142858,0.8237278917918046,0.35294117647058826,position_presence,0.00021015735175641709,present,domain_intrinsic,LCRFinder,0.0004728540414519385
,unknown,32.0,46.0625,-0.5255208090950698,0.13852813852813853,position_presence,0.00021015735175641709,present,domain_intrinsic,LCRFinder,0.0004728540414519385
,diverse,2.0,4.333333333333333,-1.1154772174199359,0.09523809523809523,position_presence,0.0002952462117110338,present,interdomain_linker,LCRFinder,0.0006132036704767625
,mRNA,117.0,95.95238095238095,0.28611801894683525,0.25161290322580643,position_presence,0.0002952462117110338,present,interdomain_linker,LCRFinder,0.0006132036704767625
,ncRNA,9.0,13.412698412698413,-0.5756026062273178,0.13846153846153847,position_presence,0.0002952462117110338,present,interdomain_linker,LCRFinder,0.0006132036704767625
,pre-rRNA,5.0,13.825396825396826,-1.467320890211586,0.07462686567164178,position_presence,0.0002952462117110338,present,interdomain_linker,LCRFinder,0.0006132036704767625
,ribosomal protein,0.0,4.333333333333333,,0.0,position_presence,0.0002952462117110338,present,interdomain_linker,LCRFinder,0.0006132036704767625
,snRNA,15.0,11.968253968253968,0.3257498058397708,0.25862068965517243,position_presence,0.0002952462117110338,present,interdomain_linker,LCRFinder,0.0006132036704767625
,snoRNA,4.0,5.984126984126984,-0.5811407897687478,0.13793103448275862,position_presence,0.0002952462117110338,present,interdomain_linker,LCRFinder,0.0006132036704767625
,tRNA,4.0,10.523809523809524,-1.3955851366126713,0.0784313725490196,position_presence,0.0002952462117110338,present,interdomain_linker,LCRFinder,0.0006132036704767625
,unknown,52.0,47.666666666666664,0.12553088208385912,0.22510822510822512,position_presence,0.0002952462117110338,present,interdomain_linker,LCRFinder,0.0006132036704767625
,diverse,5.0,3.2083333333333335,0.640104054913617,0.23809523809523808,position_presence,0.0006256548411942501,present,unclassified_no_pfam,LCRFinder,0.0012066200508746253
,mRNA,62.0,71.04166666666667,-0.1963972128035035,0.13333333333333333,position_presence,0.0006256548411942501,present,unclassified_no_pfam,LCRFinder,0.0012066200508746253
,ncRNA,20.0,9.930555555555555,1.010053664663923,0.3076923076923077,position_presence,0.0006256548411942501,present,unclassified_no_pfam,LCRFinder,0.0012066200508746253
,pre-rRNA,7.0,10.23611111111111,-0.5482408855951533,0.1044776119402985,position_presence,0.0006256548411942501,present,unclassified_no_pfam,LCRFinder,0.0012066200508746253
,ribosomal protein,0.0,3.2083333333333335,,0.0,position_presence,0.0006256548411942501,present,unclassified_no_pfam,LCRFinder,0.0012066200508746253
,snRNA,15.0,8.86111111111111,0.7594029832859617,0.25862068965517243,position_presence,0.0006256548411942501,present,unclassified_no_pfam,LCRFinder,0.0012066200508746253
,snoRNA,7.0,4.430555555555555,0.6598673097350471,0.2413793103448276,position_presence,0.0006256548411942501,present,unclassified_no_pfam,LCRFinder,0.0012066200508746253
,tRNA,8.0,7.791666666666667,0.038068040833519355,0.1568627450980392,position_presence,0.0006256548411942501,present,unclassified_no_pfam,LCRFinder,0.0012066200508746253
,unknown,30.0,35.291666666666664,-0.2343650630025238,0.12987012987012986,position_presence,0.0006256548411942501,present,unclassified_no_pfam,LCRFinder,0.0012066200508746253
,diverse,1.0,3.2916666666666665,-1.7188182474559468,0.047619047619047616,position_presence,0.014843205851668602,present,domain_edge,LCRFinder,0.02357450341147366
,mRNA,86.0,72.88690476190476,0.2386770240295179,0.18494623655913978,position_presence,0.014843205851668602,present,domain_edge,LCRFinder,0.02357450341147366
,ncRNA,3.0,10.188492063492063,-1.7639061369844846,0.046153846153846156,position_presence,0.014843205851668602,present,domain_edge,LCRFinder,0.02357450341147366
,pre-rRNA,8.0,10.501984126984127,-0.39259001513495884,0.11940298507462686,position_presence,0.014843205851668602,present,domain_edge,LCRFinder,0.02357450341147366
,ribosomal protein,6.0,3.2916666666666665,0.8661442532652096,0.2857142857142857,position_presence,0.014843205851668602,present,domain_edge,LCRFinder,0.02357450341147366
,snRNA,8.0,9.091269841269842,-0.18448181980475858,0.13793103448275862,position_presence,0.014843205851668602,present,domain_edge,LCRFinder,0.02357450341147366
,snoRNA,3.0,4.545634920634921,-0.5995193190836026,0.10344827586206896,position_presence,0.014843205851668602,present,domain_edge,LCRFinder,0.02357450341147366
,tRNA,3.0,7.994047619047619,-1.4139636659275256,0.058823529411764705,position_presence,0.014843205851668602,present,domain_edge,LCRFinder,0.02357450341147366
,unknown,40.0,36.208333333333336,0.14367822879411826,0.17316017316017315,position_presence,0.014843205851668602,present,domain_edge,LCRFinder,0.02357450341147366
,diverse,13.0,6.520833333333333,0.9953833719296301,0.6190476190476191,signature_presence,0.0015477973911357404,present,hydrophobic_region,LCRFinder,0.0027860353040443328
,mRNA,138.0,144.38988095238096,-0.06530137264992664,0.2967741935483871,signature_presence,0.0015477973911357404,present,hydrophobic_region,LCRFinder,0.0027860353040443328
,ncRNA,25.0,20.183531746031747,0.3087494533135682,0.38461538461538464,signature_presence,0.0015477973911357404,present,hydrophobic_region,LCRFinder,0.0027860353040443328
,pre-rRNA,14.0,20.80456349206349,-0.57147319183287,0.208955223880597,signature_presence,0.0015477973911357404,present,hydrophobic_region,LCRFinder,0.0027860353040443328
,ribosomal protein,1.0,6.520833333333333,-2.705056346211462,0.047619047619047616,signature_presence,0.0015477973911357404,present,hydrophobic_region,LCRFinder,0.0027860353040443328
,snRNA,18.0,18.009920634920636,-0.0007949171179616872,0.3103448275862069,signature_presence,0.0015477973911357404,present,hydrophobic_region,LCRFinder,0.0027860353040443328
,snoRNA,6.0,9.004960317460318,-0.5857574178391178,0.20689655172413793,signature_presence,0.0015477973911357404,present,hydrophobic_region,LCRFinder,0.0027860353040443328
