rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
diverse,21,0.03896103896103896,0.04869890031528823,0.03531049811923246,0.029308323563892145,0.049689440993788817,0.02038111742989667,1.075184792777293e-17,LCRFinder,coverage,protein,9.915593088946148e-17
mRNA,465,0.06191369606003752,0.08632539943261594,0.07692342966746604,0.029866117404737384,0.11654676258992806,0.08668064518519068,1.075184792777293e-17,LCRFinder,coverage,protein,9.915593088946148e-17
ncRNA,65,0.032171581769437,0.04725496335583045,0.0470531917532418,0.015625,0.06313131313131314,0.047506313131313135,1.075184792777293e-17,LCRFinder,coverage,protein,9.915593088946148e-17
pre-rRNA,67,0.03754266211604096,0.04697834464925661,0.032607373730776566,0.02352279697403394,0.05986324281778827,0.03634044584375433,1.075184792777293e-17,LCRFinder,coverage,protein,9.915593088946148e-17
ribosomal protein,21,0.06451612903225806,0.07571480342704652,0.05159575835930683,0.034482758620689655,0.11949685534591195,0.0850140967252223,1.075184792777293e-17,LCRFinder,coverage,protein,9.915593088946148e-17
snRNA,58,0.06481681873236816,0.0877014501132018,0.07770377573513974,0.028675679022931017,0.11971982758620689,0.09104414856327588,1.075184792777293e-17,LCRFinder,coverage,protein,9.915593088946148e-17
snoRNA,29,0.05025996533795494,0.0876543726724034,0.09796862461641404,0.0236983842010772,0.1127348643006263,0.0890364800995491,1.075184792777293e-17,LCRFinder,coverage,protein,9.915593088946148e-17
tRNA,51,0.019815059445178335,0.03510129647324111,0.039175572581617656,0.010709584779226995,0.042852094646733445,0.03214250986750645,1.075184792777293e-17,LCRFinder,coverage,protein,9.915593088946148e-17
unknown,231,0.030514939605848695,0.049654691519354775,0.04784774640983428,0.01600437621063204,0.0698482080312009,0.05384383182056886,1.075184792777293e-17,LCRFinder,coverage,protein,9.915593088946148e-17
diverse,7,0.011723329425556858,0.016025723140262314,0.012798534605543472,0.0058110183217989445,0.024838181128805113,0.01902716280700617,0.0007560617078541639,LCRFinder,property_fraction__acidic_region,protein,0.001162094847257326
mRNA,206,0.01504428630497704,0.022456356670571005,0.018574615524509844,0.00850222614505416,0.03283504439511654,0.02433281825006238,0.0007560617078541639,LCRFinder,property_fraction__acidic_region,protein,0.001162094847257326
ncRNA,32,0.015119982341626464,0.021564365015831838,0.02048774554490085,0.008579988300015953,0.02738607399223631,0.018806085692220358,0.0007560617078541639,LCRFinder,property_fraction__acidic_region,protein,0.001162094847257326
pre-rRNA,45,0.025616698292220113,0.034704829496171236,0.0261057981201281,0.017195767195767195,0.04806408544726302,0.030868318251495823,0.0007560617078541639,LCRFinder,property_fraction__acidic_region,protein,0.001162094847257326
ribosomal protein,6,0.02462035857744685,0.03738779829774753,0.034425190894011866,0.01691439875955729,0.03626871370824391,0.01935431494868662,0.0007560617078541639,LCRFinder,property_fraction__acidic_region,protein,0.001162094847257326
snRNA,33,0.02,0.022837728807134798,0.01657958633192615,0.010964912280701754,0.02854006586169045,0.017575153580988698,0.0007560617078541639,LCRFinder,property_fraction__acidic_region,protein,0.001162094847257326
snoRNA,22,0.019664696990518073,0.03607566871582009,0.04017803720897865,0.009447123628711635,0.041161894273127754,0.03171477064441612,0.0007560617078541639,LCRFinder,property_fraction__acidic_region,protein,0.001162094847257326
tRNA,18,0.01186182669789227,0.01797623657627424,0.014305907422075785,0.008750159093801706,0.020840489701699667,0.012090330607897961,0.0007560617078541639,LCRFinder,property_fraction__acidic_region,protein,0.001162094847257326
unknown,128,0.013762781885787171,0.01902692715358489,0.017319354175617818,0.00663678819338648,0.02416148920469423,0.01752470101130775,0.0007560617078541639,LCRFinder,property_fraction__acidic_region,protein,0.001162094847257326
diverse,5,0.013468013468013467,0.011894172567148668,0.004838280068518571,0.010550996483001172,0.014705882352941176,0.004154885869940004,2.0829501253074964e-07,LCRFinder,property_fraction__arginine_rich_rna_contact_region,protein,6.403142977797118e-07
mRNA,178,0.018145161290322582,0.027978506100662142,0.0273421613125471,0.009433962264150943,0.03571248766538454,0.0262785254012336,2.0829501253074964e-07,LCRFinder,property_fraction__arginine_rich_rna_contact_region,protein,6.403142977797118e-07
ncRNA,20,0.012102235285080715,0.013022283034829154,0.009943511917223924,0.005234081051421404,0.015929846409298464,0.01069576535787706,2.0829501253074964e-07,LCRFinder,property_fraction__arginine_rich_rna_contact_region,protein,6.403142977797118e-07
pre-rRNA,22,0.010572695431850361,0.014067187634083145,0.011724566662656522,0.004827259676523523,0.01694964194964195,0.012122382273118426,2.0829501253074964e-07,LCRFinder,property_fraction__arginine_rich_rna_contact_region,protein,6.403142977797118e-07
ribosomal protein,5,0.020618556701030927,0.02485070254904873,0.015201689620806216,0.019455252918287938,0.021739130434782608,0.00228387751649467,2.0829501253074964e-07,LCRFinder,property_fraction__arginine_rich_rna_contact_region,protein,6.403142977797118e-07
snRNA,24,0.01440452713710023,0.027559748722740248,0.030593723838104415,0.00792572463768116,0.03799765317240801,0.03007192853472685,2.0829501253074964e-07,LCRFinder,property_fraction__arginine_rich_rna_contact_region,protein,6.403142977797118e-07
snoRNA,6,0.006786331401908894,0.007401061404168366,0.0034659268104143925,0.00501835431584934,0.00946473185256169,0.00444637753671235,2.0829501253074964e-07,LCRFinder,property_fraction__arginine_rich_rna_contact_region,protein,6.403142977797118e-07
tRNA,13,0.012903225806451613,0.014968808037902372,0.008702195720632322,0.008865248226950355,0.018950437317784258,0.010085189090833903,2.0829501253074964e-07,LCRFinder,property_fraction__arginine_rich_rna_contact_region,protein,6.403142977797118e-07
unknown,77,0.009775171065493646,0.01210732937071445,0.009765796287197405,0.005228136882129277,0.01646090534979424,0.011232768467664963,2.0829501253074964e-07,LCRFinder,property_fraction__arginine_rich_rna_contact_region,protein,6.403142977797118e-07
diverse,3,0.006779661016949152,0.006029145755634233,0.0016814268200775874,0.005441413157947026,0.006992135983978898,0.0015507228260318723,0.03646362764676822,LCRFinder,property_fraction__aromatic_sticker_region,protein,0.04262649429129243
mRNA,98,0.013803155006858709,0.022237262442092044,0.02781381493044249,0.008273154516276936,0.027185418377589195,0.01891226386131226,0.03646362764676822,LCRFinder,property_fraction__aromatic_sticker_region,protein,0.04262649429129243
ncRNA,10,0.013207314196411458,0.015071669289306866,0.01360840996658532,0.004724409448818898,0.017186012500172463,0.012461603051353565,0.03646362764676822,LCRFinder,property_fraction__aromatic_sticker_region,protein,0.04262649429129243
ribosomal protein,1,0.027522935779816515,0.027522935779816515,,0.027522935779816515,0.027522935779816515,0.0,0.03646362764676822,LCRFinder,property_fraction__aromatic_sticker_region,protein,0.04262649429129243
snRNA,5,0.024822695035460994,0.021063578115381,0.008335417087500163,0.01939655172413793,0.0257847533632287,0.0063882016390907695,0.03646362764676822,LCRFinder,property_fraction__aromatic_sticker_region,protein,0.04262649429129243
snoRNA,2,0.031543946893105954,0.031543946893105954,0.026895302612980853,0.02203502146325444,0.04105287232295747,0.01901785085970303,0.03646362764676822,LCRFinder,property_fraction__aromatic_sticker_region,protein,0.04262649429129243
tRNA,2,0.042298685936380975,0.042298685936380975,0.014094225499103396,0.037315624723386794,0.04728174714937516,0.009966122425988364,0.03646362764676822,LCRFinder,property_fraction__aromatic_sticker_region,protein,0.04262649429129243
unknown,36,0.009910983377811893,0.015683499895433287,0.01604382936123965,0.005954019355978741,0.016662712455479393,0.010708693099500653,0.03646362764676822,LCRFinder,property_fraction__aromatic_sticker_region,protein,0.04262649429129243
diverse,4,0.004612935197486345,0.006198223315316408,0.003489785111916995,0.004174276875921116,0.0066368816368816376,0.0024626047609605213,3.553415583818272e-06,LCRFinder,property_fraction__basic_enriched_region,protein,8.192597040469905e-06
mRNA,112,0.010489305928848232,0.014512880616684001,0.014041147050919457,0.00543110050665724,0.016486403466226922,0.011055302959569682,3.553415583818272e-06,LCRFinder,property_fraction__basic_enriched_region,protein,8.192597040469905e-06
ncRNA,17,0.00975609756097561,0.01177329715304676,0.008060576905254968,0.007086614173228346,0.013927576601671309,0.0068409624284429624,3.553415583818272e-06,LCRFinder,property_fraction__basic_enriched_region,protein,8.192597040469905e-06
pre-rRNA,35,0.013192612137203167,0.017064152129025633,0.013451733823336198,0.008364453810374114,0.019806338028169015,0.011441884217794901,3.553415583818272e-06,LCRFinder,property_fraction__basic_enriched_region,protein,8.192597040469905e-06
ribosomal protein,9,0.06451612903225806,0.06850047977126811,0.0342536998217662,0.04186046511627907,0.10256410256410256,0.06070363744782349,3.553415583818272e-06,LCRFinder,property_fraction__basic_enriched_region,protein,8.192597040469905e-06
snRNA,20,0.010456098460582765,0.018301626575301898,0.020649121062721137,0.005917049511156636,0.017647644434679772,0.011730594923523137,3.553415583818272e-06,LCRFinder,property_fraction__basic_enriched_region,protein,8.192597040469905e-06
snoRNA,15,0.023715415019762844,0.025161472311686122,0.01854107859469143,0.008215769384871681,0.03668256256700307,0.02846679318213139,3.553415583818272e-06,LCRFinder,property_fraction__basic_enriched_region,protein,8.192597040469905e-06
tRNA,14,0.008401078273633105,0.017590624155976918,0.019054957576028073,0.005505342375884302,0.021546909903201787,0.016041567527317484,3.553415583818272e-06,LCRFinder,property_fraction__basic_enriched_region,protein,8.192597040469905e-06
unknown,81,0.008410428931875526,0.012569272433485686,0.014600618876505359,0.005283018867924529,0.01429422275163788,0.009011203883713351,3.553415583818272e-06,LCRFinder,property_fraction__basic_enriched_region,protein,8.192597040469905e-06
diverse,12,0.014561405072353976,0.03191120318197628,0.0311078406812512,0.00994680794603574,0.048870111370111366,0.03892330342407563,1.0301158911473422e-08,LCRFinder,property_fraction__disorder_rich_spacer_region,protein,4.7499788314016336e-08
mRNA,354,0.025178288431061808,0.037411116213238935,0.03493997096295438,0.013443873860841893,0.05201096186506099,0.0385670880042191,1.0301158911473422e-08,LCRFinder,property_fraction__disorder_rich_spacer_region,protein,4.7499788314016336e-08
ncRNA,46,0.0114240635773973,0.025722116311397713,0.035842779287248196,0.005533323237908413,0.027509934548854604,0.021976611310946192,1.0301158911473422e-08,LCRFinder,property_fraction__disorder_rich_spacer_region,protein,4.7499788314016336e-08
pre-rRNA,25,0.011029411764705883,0.016559704433032466,0.015129526659067642,0.0062402496099844,0.018018018018018018,0.011777768408033618,1.0301158911473422e-08,LCRFinder,property_fraction__disorder_rich_spacer_region,protein,4.7499788314016336e-08
ribosomal protein,10,0.030257446168393,0.03969645442750504,0.024592579061745248,0.020406770406770407,0.052907851706074725,0.03250108129930432,1.0301158911473422e-08,LCRFinder,property_fraction__disorder_rich_spacer_region,protein,4.7499788314016336e-08
snRNA,33,0.02625,0.045439985590770914,0.050175370410318304,0.011441647597254004,0.06476399560922064,0.053322348011966635,1.0301158911473422e-08,LCRFinder,property_fraction__disorder_rich_spacer_region,protein,4.7499788314016336e-08
snoRNA,10,0.020472660922099123,0.061422578606145785,0.062163377895558966,0.014243884358784285,0.12636811226240308,0.11212422790361878,1.0301158911473422e-08,LCRFinder,property_fraction__disorder_rich_spacer_region,protein,4.7499788314016336e-08
tRNA,22,0.014408378939422532,0.02237664687534983,0.02191531337040937,0.010167920348112182,0.017718426754977718,0.007550506406865536,1.0301158911473422e-08,LCRFinder,property_fraction__disorder_rich_spacer_region,protein,4.7499788314016336e-08
