n_lcr_category,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,present,feature_value,method,p_fdr
1,diverse,2,1.2905405405405406,0.632024537593201,1.0,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
1,mRNA,103,109.69594594594595,-0.09086587136128235,0.6058823529411764,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
1,ncRNA,9,9.033783783783784,-0.005405383022090646,0.6428571428571429,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
1,pre-rRNA,12,9.033783783783784,0.40963211625675316,0.8571428571428571,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
1,ribosomal protein,4,2.581081081081081,0.632024537593201,1.0,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
1,snRNA,15,12.260135135135135,0.29098761975813425,0.7894736842105263,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
1,snoRNA,5,6.452702702702703,-0.36797546240679885,0.5,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
1,tRNA,1,1.9358108108108107,-0.9529379631279549,0.3333333333333333,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
1,unknown,40,38.71621621621622,0.04706203687204478,0.6666666666666666,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
2,diverse,0,0.39864864864864863,-inf,0.0,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
2,mRNA,39,33.88513513513514,0.202821598991655,0.22941176470588234,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
2,ncRNA,2,2.7905405405405403,-0.4805446057904955,0.14285714285714285,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
2,pre-rRNA,0,2.7905405405405403,-inf,0.0,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
2,ribosomal protein,0,0.7972972972972973,-inf,0.0,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
2,snRNA,2,3.7871621621621623,-0.9211171971764771,0.10526315789473684,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
2,snoRNA,2,1.9932432432432432,0.004882221379746098,0.2,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
2,tRNA,1,0.597972972972973,0.7418478155459522,0.3333333333333333,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
2,unknown,13,11.95945945945946,0.120359438799682,0.21666666666666667,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
3+,diverse,0,0.3108108108108108,-inf,0.0,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
3+,mRNA,28,26.41891891891892,0.08385539549183918,0.16470588235294117,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
3+,ncRNA,3,2.175675675675676,0.4634989882354889,0.21428571428571427,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
3+,pre-rRNA,2,2.175675675675676,-0.12146351248566727,0.14285714285714285,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
3+,ribosomal protein,0,0.6216216216216216,-inf,0.0,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
3+,snRNA,2,2.9527027027027026,-0.5620361038716485,0.10526315789473684,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
3+,snoRNA,3,1.554054054054054,0.9489258154057308,0.3,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
3+,tRNA,1,0.46621621621621623,1.1009289088507805,0.3333333333333333,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
3+,unknown,7,9.324324324324325,-0.4136442639789776,0.11666666666666667,multiplicity_protein,0.5711158757724892,,,SEG,0.8755873352147276
,diverse,0,0.6216216216216216,-inf,0.0,position_presence,0.26097382441308536,present,domain_adjacent,SEG,0.5931223282115576
,mRNA,62,52.83783783783784,0.2306967838211104,0.36470588235294116,position_presence,0.26097382441308536,present,domain_adjacent,SEG,0.5931223282115576
,ncRNA,2,4.351351351351352,-1.1214635124856673,0.14285714285714285,position_presence,0.26097382441308536,present,domain_adjacent,SEG,0.5931223282115576
,pre-rRNA,4,4.351351351351352,-0.12146351248566727,0.2857142857142857,position_presence,0.26097382441308536,present,domain_adjacent,SEG,0.5931223282115576
,ribosomal protein,2,1.2432432432432432,0.685891409571937,0.5,position_presence,0.26097382441308536,present,domain_adjacent,SEG,0.5931223282115576
,snRNA,4,5.905405405405405,-0.5620361038716485,0.21052631578947367,position_presence,0.26097382441308536,present,domain_adjacent,SEG,0.5931223282115576
,snoRNA,4,3.108108108108108,0.3639633146845747,0.4,position_presence,0.26097382441308536,present,domain_adjacent,SEG,0.5931223282115576
,tRNA,0,0.9324324324324325,-inf,0.0,position_presence,0.26097382441308536,present,domain_adjacent,SEG,0.5931223282115576
,unknown,14,18.64864864864865,-0.4136442639789776,0.23333333333333334,position_presence,0.26097382441308536,present,domain_adjacent,SEG,0.5931223282115576
,diverse,0,0.2905405405405405,-inf,0.0,position_presence,0.0027929019931158742,present,unclassified_no_pfam,SEG,0.01396450996557937
,mRNA,20,24.695945945945947,-0.3042742303234876,0.11764705882352941,position_presence,0.0027929019931158742,present,unclassified_no_pfam,SEG,0.01396450996557937
,ncRNA,6,2.0337837837837838,1.5607961895904041,0.42857142857142855,position_presence,0.0027929019931158742,present,unclassified_no_pfam,SEG,0.01396450996557937
,pre-rRNA,4,2.0337837837837838,0.9758336888692477,0.2857142857142857,position_presence,0.0027929019931158742,present,unclassified_no_pfam,SEG,0.01396450996557937
,ribosomal protein,0,0.581081081081081,-inf,0.0,position_presence,0.0027929019931158742,present,unclassified_no_pfam,SEG,0.01396450996557937
,snRNA,7,2.760135135135135,1.3426160195408705,0.3684210526315789,position_presence,0.0027929019931158742,present,unclassified_no_pfam,SEG,0.01396450996557937
,snoRNA,1,1.4527027027027026,-0.5387394839605104,0.1,position_presence,0.0027929019931158742,present,unclassified_no_pfam,SEG,0.01396450996557937
,tRNA,0,0.4358108108108108,-inf,0.0,position_presence,0.0027929019931158742,present,unclassified_no_pfam,SEG,0.01396450996557937
,unknown,5,8.716216216216216,-0.8017738897943043,0.08333333333333333,position_presence,0.0027929019931158742,present,unclassified_no_pfam,SEG,0.01396450996557937
,diverse,1,1.0337837837837838,-0.047934477063701984,0.5,position_presence,0.034686221114545,present,distal_terminal,SEG,0.10027521259480889
,mRNA,89,87.87162162162163,0.018408017764993834,0.5235294117647059,position_presence,0.034686221114545,present,distal_terminal,SEG,0.10027521259480889
,ncRNA,5,7.236486486486487,-0.5333613042339438,0.35714285714285715,position_presence,0.034686221114545,present,distal_terminal,SEG,0.10027521259480889
,pre-rRNA,5,7.236486486486487,-0.5333613042339438,0.35714285714285715,position_presence,0.034686221114545,present,distal_terminal,SEG,0.10027521259480889
,ribosomal protein,0,2.0675675675675675,-inf,0.0,position_presence,0.034686221114545,present,distal_terminal,SEG,0.10027521259480889
,snRNA,6,9.820945945945946,-0.7108994897861314,0.3157894736842105,position_presence,0.034686221114545,present,distal_terminal,SEG,0.10027521259480889
,snoRNA,6,5.168918918918919,0.21509992877009168,0.6,position_presence,0.034686221114545,present,distal_terminal,SEG,0.10027521259480889
,tRNA,3,1.5506756756756757,0.952065522936298,1.0,position_presence,0.034686221114545,present,distal_terminal,SEG,0.10027521259480889
,unknown,38,31.013513513513512,0.2931024407713649,0.6333333333333333,position_presence,0.034686221114545,present,distal_terminal,SEG,0.10027521259480889
,diverse,0,0.20945945945945946,-inf,0.0,position_presence,0.9205657243801696,present,interdomain_linker,SEG,0.9994072659380346
,mRNA,21,17.804054054054053,0.23818354188313332,0.12352941176470589,position_presence,0.9205657243801696,present,interdomain_linker,SEG,0.9994072659380346
,ncRNA,1,1.4662162162162162,-0.5520978668155294,0.07142857142857142,position_presence,0.9205657243801696,present,interdomain_linker,SEG,0.9994072659380346
,pre-rRNA,1,1.4662162162162162,-0.5520978668155294,0.07142857142857142,position_presence,0.9205657243801696,present,interdomain_linker,SEG,0.9994072659380346
,ribosomal protein,0,0.4189189189189189,-inf,0.0,position_presence,0.9205657243801696,present,interdomain_linker,SEG,0.9994072659380346
,snRNA,2,1.989864864864865,0.007329541798488989,0.10526315789473684,position_presence,0.9205657243801696,present,interdomain_linker,SEG,0.9994072659380346
,snoRNA,0,1.0472972972972974,-inf,0.0,position_presence,0.9205657243801696,present,interdomain_linker,SEG,0.9994072659380346
,tRNA,0,0.3141891891891892,-inf,0.0,position_presence,0.9205657243801696,present,interdomain_linker,SEG,0.9994072659380346
,unknown,6,6.283783783783784,-0.06667103964528795,0.1,position_presence,0.9205657243801696,present,interdomain_linker,SEG,0.9994072659380346
,diverse,0,0.10135135135135136,-inf,0.0,position_presence,0.014321991337537008,present,domain_intrinsic,SEG,0.05114996906263217
,mRNA,9,8.614864864864865,0.06309683532504183,0.052941176470588235,position_presence,0.014321991337537008,present,domain_intrinsic,SEG,0.05114996906263217
,ncRNA,0,0.7094594594594594,-inf,0.0,position_presence,0.014321991337537008,present,domain_intrinsic,SEG,0.05114996906263217
,pre-rRNA,0,0.7094594594594594,-inf,0.0,position_presence,0.014321991337537008,present,domain_intrinsic,SEG,0.05114996906263217
,ribosomal protein,2,0.20270270270270271,3.302562770020431,0.5,position_presence,0.014321991337537008,present,domain_intrinsic,SEG,0.05114996906263217
,snRNA,1,0.9628378378378378,0.054635256576845925,0.05263157894736842,position_presence,0.014321991337537008,present,domain_intrinsic,SEG,0.05114996906263217
,snoRNA,0,0.5067567567567568,-inf,0.0,position_presence,0.014321991337537008,present,domain_intrinsic,SEG,0.05114996906263217
,tRNA,0,0.15202702702702703,-inf,0.0,position_presence,0.014321991337537008,present,domain_intrinsic,SEG,0.05114996906263217
,unknown,3,3.0405405405405403,-0.019365324866931058,0.05,position_presence,0.014321991337537008,present,domain_intrinsic,SEG,0.05114996906263217
,diverse,1,0.05405405405405406,4.20945336562895,0.5,position_presence,0.00023941098501713235,present,domain_edge,SEG,0.0019950915418094363
,mRNA,5,4.594594594594595,0.12199052437861026,0.029411764705882353,position_presence,0.00023941098501713235,present,domain_edge,SEG,0.0019950915418094363
,ncRNA,0,0.3783783783783784,-inf,0.0,position_presence,0.00023941098501713235,present,domain_edge,SEG,0.0019950915418094363
,pre-rRNA,0,0.3783783783783784,-inf,0.0,position_presence,0.00023941098501713235,present,domain_edge,SEG,0.0019950915418094363
,ribosomal protein,0,0.10810810810810811,-inf,0.0,position_presence,0.00023941098501713235,present,domain_edge,SEG,0.0019950915418094363
,snRNA,0,0.5135135135135135,-inf,0.0,position_presence,0.00023941098501713235,present,domain_edge,SEG,0.0019950915418094363
,snoRNA,0,0.2702702702702703,-inf,0.0,position_presence,0.00023941098501713235,present,domain_edge,SEG,0.0019950915418094363
