rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
diverse,19,25.0,25.0,10.333333333333332,19.0,29.0,10.0,2.680896680253412e-07,SEG_intermediate,lcr,length,4.021345020380118e-07
mRNA,719,30.0,34.39082058414465,20.459184839865344,21.0,41.0,20.0,2.680896680253412e-07,SEG_intermediate,lcr,length,4.021345020380118e-07
ncRNA,69,25.0,28.36231884057971,13.803208295529949,18.0,34.0,16.0,2.680896680253412e-07,SEG_intermediate,lcr,length,4.021345020380118e-07
pre-rRNA,66,21.0,23.818181818181817,12.944745403693096,16.0,28.5,12.5,2.680896680253412e-07,SEG_intermediate,lcr,length,4.021345020380118e-07
ribosomal protein,18,25.5,25.555555555555557,8.535202001277671,18.25,29.0,10.75,2.680896680253412e-07,SEG_intermediate,lcr,length,4.021345020380118e-07
snRNA,77,28.0,34.55844155844156,19.18229275748964,23.0,41.0,18.0,2.680896680253412e-07,SEG_intermediate,lcr,length,4.021345020380118e-07
snoRNA,38,27.0,29.63157894736842,14.802156622694818,18.25,36.0,17.75,2.680896680253412e-07,SEG_intermediate,lcr,length,4.021345020380118e-07
tRNA,23,26.0,31.043478260869566,18.74100574789645,21.5,33.0,11.5,2.680896680253412e-07,SEG_intermediate,lcr,length,4.021345020380118e-07
unknown,278,26.0,30.01798561151079,16.880222558281652,20.0,34.75,14.75,2.680896680253412e-07,SEG_intermediate,lcr,length,4.021345020380118e-07
diverse,19,0.03535353535353535,0.0486105336255698,0.03654951171431664,0.017480339959947248,0.07685478583916083,0.05937444587921359,4.142961571770857e-26,SEG_intermediate,lcr,coverage_per_lcr,4.971553886125029e-25
mRNA,719,0.04090267983074753,0.05982060850407247,0.060830861680822045,0.023974798275671495,0.07343229612712912,0.04945749785145763,4.142961571770857e-26,SEG_intermediate,lcr,coverage_per_lcr,4.971553886125029e-25
ncRNA,69,0.024446494464944648,0.03907705316393091,0.04571182978408992,0.01643835616438356,0.043835616438356165,0.027397260273972605,4.142961571770857e-26,SEG_intermediate,lcr,coverage_per_lcr,4.971553886125029e-25
pre-rRNA,66,0.027192344283395824,0.038611721580697006,0.03479223538622029,0.013434841919435083,0.05142720866216568,0.0379923667427306,4.142961571770857e-26,SEG_intermediate,lcr,coverage_per_lcr,4.971553886125029e-25
ribosomal protein,18,0.132,0.17995702516879586,0.21377926285780194,0.08429400049426508,0.18477191413237926,0.10047791363811417,4.142961571770857e-26,SEG_intermediate,lcr,coverage_per_lcr,4.971553886125029e-25
snRNA,77,0.04596412556053812,0.07800437526223708,0.0787248829794426,0.027412280701754384,0.09496124031007752,0.06754895960832313,4.142961571770857e-26,SEG_intermediate,lcr,coverage_per_lcr,4.971553886125029e-25
snoRNA,38,0.04268660621789326,0.0638353373360584,0.07242794664016601,0.026692689528823896,0.05831873724685373,0.031626047718029834,4.142961571770857e-26,SEG_intermediate,lcr,coverage_per_lcr,4.971553886125029e-25
tRNA,23,0.04679144385026738,0.0698449421963289,0.06536652084569938,0.02176347567968697,0.09319309525473479,0.07142961957504781,4.142961571770857e-26,SEG_intermediate,lcr,coverage_per_lcr,4.971553886125029e-25
unknown,278,0.02482763344139537,0.03470804465478465,0.0347905413016753,0.013340174448435094,0.045001302941582236,0.031661128493147145,4.142961571770857e-26,SEG_intermediate,lcr,coverage_per_lcr,4.971553886125029e-25
diverse,19,0.3,0.36061525150221974,0.2908413427115808,0.12406015037593979,0.5794334975369457,0.45537334716100597,2.3913161591606136e-10,SEG_intermediate,lcr,frac_polar,4.782632318321227e-10
mRNA,719,0.6,0.5807127150929629,0.28487817302940166,0.3453416149068323,0.8461538461538461,0.5008122312470138,2.3913161591606136e-10,SEG_intermediate,lcr,frac_polar,4.782632318321227e-10
ncRNA,69,0.65,0.6015706330820805,0.28481380669922246,0.3611111111111111,0.8461538461538461,0.48504273504273504,2.3913161591606136e-10,SEG_intermediate,lcr,frac_polar,4.782632318321227e-10
