n_lcr_category,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,present,feature_value,method,p_fdr
1,diverse,4.0,4.659163987138264,-0.2200711094263269,0.4444444444444444,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
1,mRNA,158.0,170.83601286173632,-0.11268757405272717,0.47878787878787876,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
1,ncRNA,24.0,18.636655948553056,0.3648913912948293,0.6666666666666666,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
1,pre-rRNA,25.0,20.189710610932476,0.30830786292846185,0.6410256410256411,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
1,ribosomal protein,14.0,8.282958199356914,0.7572088140735895,0.875,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
1,snRNA,21.0,20.189710610932476,0.056769095932497474,0.5384615384615384,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
1,snoRNA,10.0,9.318327974276528,0.1018569854610356,0.5555555555555556,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
1,tRNA,14.0,8.80064308681672,0.6697459728232503,0.8235294117647058,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
1,unknown,52.0,61.08681672025723,-0.23234943920476345,0.4406779661016949,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
2,diverse,2.0,2.0836012861736335,-0.059079232754022284,0.2222222222222222,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
2,mRNA,76.0,76.39871382636656,-0.0075489321139401355,0.23030303030303031,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
2,ncRNA,4.0,8.334405144694534,-1.0590792327540224,0.1111111111111111,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
2,pre-rRNA,12.0,9.028938906752412,0.410406050547198,0.3076923076923077,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
2,ribosomal protein,2.0,3.7041800643086815,-0.8891542313117098,0.125,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
2,snRNA,10.0,9.028938906752412,0.14737164471340408,0.2564102564102564,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
2,snoRNA,5.0,4.167202572347267,0.26284886213334024,0.2777777777777778,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
2,tRNA,2.0,3.9356913183279745,-0.9766170725620493,0.11764705882352941,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
2,unknown,31.0,27.318327974276528,0.182399029713324,0.2627118644067797,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
3+,diverse,3.0,2.257234726688103,0.410406050547198,0.3333333333333333,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
3+,mRNA,96.0,82.7652733118971,0.2140088377436945,0.2909090909090909,multiplicity_protein,0.004052058773517579,,,SEG_intermediate,0.009945962444088604
