rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
diverse,9,0.08974358974358974,0.10262223765398068,0.05963179097429354,0.06628242074927954,0.14160839160839161,0.07532597085911208,9.376608608431836e-06,SEG_intermediate,coverage,protein,8.022209587213905e-05
mRNA,330,0.0846957160016015,0.1303364167103882,0.12257195573473163,0.03794280335912257,0.17322431155868462,0.13528150819956206,9.376608608431836e-06,SEG_intermediate,coverage,protein,8.022209587213905e-05
ncRNA,36,0.05439670679396707,0.07489768523086758,0.06483676551737035,0.03484270484949833,0.09001644424767567,0.055173739398177345,9.376608608431836e-06,SEG_intermediate,coverage,protein,8.022209587213905e-05
pre-rRNA,39,0.05759803921568627,0.06534291344425647,0.04238289929701335,0.03402629708599858,0.08234262535436176,0.048316328268363185,9.376608608431836e-06,SEG_intermediate,coverage,protein,8.022209587213905e-05
ribosomal protein,16,0.12263257575757576,0.20245165331489534,0.23283432105680996,0.08248225183709054,0.22215515853854823,0.13967290670145768,9.376608608431836e-06,SEG_intermediate,coverage,protein,8.022209587213905e-05
snRNA,39,0.1471861471861472,0.15400863833826295,0.1252920029859184,0.04645484004548532,0.20482251196442702,0.1583676719189417,9.376608608431836e-06,SEG_intermediate,coverage,protein,8.022209587213905e-05
snoRNA,18,0.056268914781368924,0.13476348993167883,0.1351525263654368,0.04755289680950474,0.20832929283134138,0.16077639602183663,9.376608608431836e-06,SEG_intermediate,coverage,protein,8.022209587213905e-05
tRNA,17,0.07366984993178717,0.09449609826562147,0.08569544183893947,0.023224043715846996,0.14590163934426228,0.12267759562841529,9.376608608431836e-06,SEG_intermediate,coverage,protein,8.022209587213905e-05
unknown,118,0.05367882485289027,0.08176980011889942,0.07937159244386335,0.03282097413433459,0.08937918228637494,0.05655820815204035,9.376608608431836e-06,SEG_intermediate,coverage,protein,8.022209587213905e-05
mRNA,62,0.030427157109860936,0.0478222004957092,0.0387985256817155,0.02006089551022902,0.06433819149358644,0.04427729598335742,0.01014587852301463,SEG_intermediate,property_fraction__acidic_region,protein,0.02461736030041745
ncRNA,15,0.04233870967741935,0.039405040947984436,0.026602564755979104,0.014766928997664967,0.05738725280978803,0.042620323812123065,0.01014587852301463,SEG_intermediate,property_fraction__acidic_region,protein,0.02461736030041745
pre-rRNA,30,0.05539405684754522,0.06005295510310997,0.03858537325568083,0.03162717801128885,0.07792031523642733,0.046293137225138475,0.01014587852301463,SEG_intermediate,property_fraction__acidic_region,protein,0.02461736030041745
ribosomal protein,2,0.10238684757848866,0.10238684757848866,0.06426078859233199,0.07966722788947211,0.1251064672675052,0.0454392393780331,0.01014587852301463,SEG_intermediate,property_fraction__acidic_region,protein,0.02461736030041745
snRNA,9,0.04216073781291173,0.05051632729954005,0.04242845931641557,0.027210884353741496,0.056112224448897796,0.0289013400951563,0.01014587852301463,SEG_intermediate,property_fraction__acidic_region,protein,0.02461736030041745
snoRNA,10,0.0481160726204779,0.07023957920723965,0.06104025487940205,0.03308997002646838,0.06040325238984727,0.02731328236337889,0.01014587852301463,SEG_intermediate,property_fraction__acidic_region,protein,0.02461736030041745
tRNA,5,0.04672131147540984,0.08267772394912651,0.07536786310656735,0.023224043715846996,0.13286713286713286,0.10964308915128587,0.01014587852301463,SEG_intermediate,property_fraction__acidic_region,protein,0.02461736030041745
unknown,42,0.02580591100515199,0.03530010994562051,0.033940096652779014,0.013070656432874403,0.040185758513931885,0.027115102081057482,0.01014587852301463,SEG_intermediate,property_fraction__acidic_region,protein,0.02461736030041745
mRNA,21,0.05349182763744428,0.06760592879992158,0.061874423442116286,0.028938906752411574,0.09243697478991597,0.0634980680375044,0.06730735332947906,SEG_intermediate,property_fraction__arginine_rich_rna_contact_region,protein,0.08226454295825217
ncRNA,4,0.026500459324282945,0.08275162912839155,0.11773001138510518,0.02401648155865176,0.08523560689402274,0.06121912533537098,0.06730735332947906,SEG_intermediate,property_fraction__arginine_rich_rna_contact_region,protein,0.08226454295825217
pre-rRNA,2,0.027444304769886164,0.027444304769886164,0.015454226354656755,0.02198041064320134,0.03290819889657099,0.010927788253369649,0.06730735332947906,SEG_intermediate,property_fraction__arginine_rich_rna_contact_region,protein,0.08226454295825217
ribosomal protein,3,0.07142857142857142,0.06836959378810796,0.02280842766813962,0.05780730897009967,0.08046136742634796,0.022654058456248294,0.06730735332947906,SEG_intermediate,property_fraction__arginine_rich_rna_contact_region,protein,0.08226454295825217
