position,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,has_pfam,signature,method,p_fdr
distal_terminal,diverse,1.0,1.0304259634888437,-0.043240850394254245,0.5,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
distal_terminal,mRNA,141.0,147.86612576064908,-0.06859642467114856,0.4912891986062718,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
distal_terminal,ncRNA,22.0,17.517241379310345,0.32872792699270353,0.6470588235294118,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
distal_terminal,pre-rRNA,5.0,10.304259634888439,-1.0432408503942545,0.25,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
distal_terminal,ribosomal protein,0.0,2.0608519269776875,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
distal_terminal,snRNA,8.0,13.39553752535497,-0.7436805685353464,0.3076923076923077,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
distal_terminal,snoRNA,12.0,10.81947261663286,0.14940422754814164,0.5714285714285714,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
distal_terminal,tRNA,5.0,3.0912778904665315,0.6937247437719518,0.8333333333333334,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
distal_terminal,unknown,60.0,47.91480730223124,0.32449093410623275,0.6451612903225806,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_adjacent,diverse,0.0,0.4462474645030426,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_adjacent,mRNA,72.0,64.0365111561866,0.16910219761987655,0.2508710801393728,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_adjacent,ncRNA,2.0,7.586206896551724,-1.9233787183970876,0.058823529411764705,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_adjacent,pre-rRNA,4.0,4.462474645030426,-0.15784397203411044,0.2,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_adjacent,ribosomal protein,2.0,0.8924949290060852,1.164084122853252,0.5,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_adjacent,snRNA,4.0,5.801217038539554,-0.5363555952878404,0.15384615384615385,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_adjacent,snoRNA,8.0,4.685598377281948,0.7717667000744914,0.38095238095238093,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_adjacent,tRNA,0.0,1.3387423935091278,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_adjacent,unknown,18.0,20.75050709939148,-0.20514968681246712,0.1935483870967742,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_edge,diverse,1.0,0.032454361054766734,4.945443836377912,0.5,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_edge,mRNA,5.0,4.657200811359027,0.10246500458958598,0.017421602787456445,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_edge,ncRNA,0.0,0.5517241379310345,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_edge,pre-rRNA,0.0,0.32454361054766734,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_edge,ribosomal protein,0.0,0.06490872210953347,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_edge,snRNA,0.0,0.42190669371196754,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_edge,snoRNA,0.0,0.3407707910750507,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_edge,tRNA,1.0,0.0973630831643002,3.3604813356567553,0.16666666666666666,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_edge,unknown,1.0,1.5091277890466532,-0.5937149747301199,0.010752688172043012,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_intrinsic,diverse,0.0,0.06490872210953347,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_intrinsic,mRNA,10.0,9.314401622718053,0.10246500458958598,0.03484320557491289,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_intrinsic,ncRNA,0.0,1.103448275862069,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_intrinsic,pre-rRNA,0.0,0.6490872210953347,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_intrinsic,ribosomal protein,2.0,0.12981744421906694,3.9454438363779114,0.5,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_intrinsic,snRNA,1.0,0.8438133874239351,0.2450041182368195,0.038461538461538464,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_intrinsic,snoRNA,0.0,0.6815415821501014,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_intrinsic,tRNA,0.0,0.1947261663286004,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
domain_intrinsic,unknown,3.0,3.0182555780933065,-0.008752474008963753,0.03225806451612903,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
interdomain_linker,diverse,0.0,0.15415821501014199,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
interdomain_linker,mRNA,28.0,22.121703853955374,0.33996431831624246,0.0975609756097561,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
interdomain_linker,ncRNA,1.0,2.6206896551724137,-1.3899465183160133,0.029411764705882353,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
interdomain_linker,pre-rRNA,1.0,1.54158215010142,-0.6244117719530364,0.05,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
interdomain_linker,ribosomal protein,0.0,0.30831643002028397,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
interdomain_linker,snRNA,2.0,2.004056795131846,-0.002923395206766233,0.07692307692307693,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
interdomain_linker,snoRNA,0.0,1.618661257606491,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
interdomain_linker,tRNA,0.0,0.46247464503042596,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
interdomain_linker,unknown,6.0,7.168356997971602,-0.25667998745254916,0.06451612903225806,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
unclassified_no_pfam,diverse,0.0,0.2718052738336714,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
unclassified_no_pfam,mRNA,31.0,39.004056795131845,-0.3313559703686735,0.10801393728222997,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
unclassified_no_pfam,ncRNA,9.0,4.620689655172414,0.9618168061121121,0.2647058823529412,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
unclassified_no_pfam,pre-rRNA,10.0,2.718052738336714,1.879354645920139,0.5,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
unclassified_no_pfam,ribosomal protein,0.0,0.5436105476673428,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
unclassified_no_pfam,snRNA,11.0,3.5334685598377282,1.638346546416344,0.4230769230769231,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
unclassified_no_pfam,snoRNA,1.0,2.8539553752535496,-1.5129627768586211,0.047619047619047616,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
unclassified_no_pfam,tRNA,0.0,0.8154158215010142,,0.0,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
unclassified_no_pfam,unknown,5.0,12.63894523326572,-1.33787607030053,0.053763440860215055,position_lcr,3.515163183373974e-14,,,SEG,6.071645498555046e-14
,diverse,2.0,2.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,SEG,
,mRNA,287.0,287.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,SEG,
,ncRNA,34.0,34.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,SEG,
,pre-rRNA,20.0,20.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,SEG,
,ribosomal protein,4.0,4.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,SEG,
,snRNA,26.0,26.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,SEG,
,snoRNA,21.0,21.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,SEG,
,tRNA,6.0,6.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,SEG,
,unknown,93.0,93.0,0.0,1.0,no_pfam_lcr,,pfam_classified,,SEG,
