rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
diverse,2,14.5,14.5,2.1213203435596424,13.75,15.25,1.5,0.0939123728277021,SEG,lcr,length,0.11192043327388823
mRNA,287,21.0,23.8397212543554,10.03292258448977,17.0,28.0,11.0,0.0939123728277021,SEG,lcr,length,0.11192043327388823
ncRNA,34,22.0,23.88235294117647,7.709752603358365,19.25,27.0,7.75,0.0939123728277021,SEG,lcr,length,0.11192043327388823
pre-rRNA,20,19.5,21.2,7.640611714281851,16.0,23.75,7.75,0.0939123728277021,SEG,lcr,length,0.11192043327388823
ribosomal protein,4,22.0,21.5,2.6457513110645907,20.25,23.25,3.0,0.0939123728277021,SEG,lcr,length,0.11192043327388823
snRNA,26,20.5,22.846153846153847,9.552768426764287,16.25,25.25,9.0,0.0939123728277021,SEG,lcr,length,0.11192043327388823
snoRNA,21,24.0,26.857142857142858,11.555456348780494,17.0,32.0,15.0,0.0939123728277021,SEG,lcr,length,0.11192043327388823
tRNA,6,28.5,32.166666666666664,12.937026963976951,24.5,34.75,10.25,0.0939123728277021,SEG,lcr,length,0.11192043327388823
unknown,93,20.0,22.27956989247312,8.396901073555867,17.0,25.0,8.0,0.0939123728277021,SEG,lcr,length,0.11192043327388823
diverse,2,0.037618835412953064,0.037618835412953064,0.029987965839090802,0.027016488413547236,0.048221182412358884,0.021204693998811648,6.621438236727782e-12,SEG,lcr,coverage_per_lcr,2.648575294691113e-11
mRNA,287,0.03286384976525822,0.04469105786638954,0.03640358583188034,0.021232473678882362,0.05423351158645276,0.0330010379075704,6.621438236727782e-12,SEG,lcr,coverage_per_lcr,2.648575294691113e-11
ncRNA,34,0.015874508481464426,0.026770284564495143,0.041007989075899254,0.012269114616375055,0.026134948488622214,0.01386583387224716,6.621438236727782e-12,SEG,lcr,coverage_per_lcr,2.648575294691113e-11
pre-rRNA,20,0.024986841740768442,0.03897732531499345,0.03629165965694463,0.012701612903225808,0.03899156073069117,0.02628994782746536,6.621438236727782e-12,SEG,lcr,coverage_per_lcr,2.648575294691113e-11
ribosomal protein,4,0.08661140048419044,0.08107920549799374,0.033359617681131194,0.05993511206283279,0.1077554939193514,0.0478203818565186,6.621438236727782e-12,SEG,lcr,coverage_per_lcr,2.648575294691113e-11
