rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
diverse,2,0.037618835412953064,0.037618835412953064,0.02998796583909081,0.027016488413547236,0.048221182412358884,0.021204693998811648,0.0001095383548593752,SEG,coverage,protein,0.0007180847707447929
mRNA,170,0.04816089212914069,0.07544902122149294,0.07095844619758727,0.028058910176369595,0.09663922256714806,0.06858031239077847,0.0001095383548593752,SEG,coverage,protein,0.0007180847707447929
ncRNA,14,0.04488566523430754,0.06501354822805963,0.06413845213850258,0.02632405348026083,0.07380389690420376,0.04747984342394293,0.0001095383548593752,SEG,coverage,protein,0.0007180847707447929
pre-rRNA,14,0.041555389381476335,0.0556818933071335,0.04023502550712527,0.019135206635206636,0.09943637140720163,0.08030116477199499,0.0001095383548593752,SEG,coverage,protein,0.0007180847707447929
ribosomal protein,4,0.08661140048419044,0.08107920549799374,0.033359617681131194,0.05993511206283279,0.1077554939193514,0.0478203818565186,0.0001095383548593752,SEG,coverage,protein,0.0007180847707447929
snRNA,19,0.03682170542635659,0.08873495422528647,0.11022482611363822,0.027415481028463272,0.11486262826878517,0.0874471472403219,0.0001095383548593752,SEG,coverage,protein,0.0007180847707447929
snoRNA,10,0.1117649077060317,0.1494413647063388,0.13833842223719023,0.042060084139938,0.21511132664248966,0.17305124250255166,0.0001095383548593752,SEG,coverage,protein,0.0007180847707447929
tRNA,3,0.05081967213114754,0.1092489476931201,0.12828849107528154,0.03569790190919517,0.15358535569605875,0.11788745378686358,0.0001095383548593752,SEG,coverage,protein,0.0007180847707447929
unknown,60,0.027278928438546447,0.038980142850082854,0.03951830138678698,0.01561392995745315,0.041451665953436065,0.025837735995982915,0.0001095383548593752,SEG,coverage,protein,0.0007180847707447929
mRNA,26,0.02324699509057051,0.031091197575241505,0.02592732205847896,0.01730140449810042,0.03052377191693604,0.013222367418835618,0.06961813301638038,SEG,property_fraction__acidic_region,protein,0.1369156615988814
ncRNA,5,0.029876977152899824,0.033824737899345106,0.01743626754711884,0.0272140221402214,0.05035605289928789,0.02314203075906649,0.06961813301638038,SEG,property_fraction__acidic_region,protein,0.1369156615988814
pre-rRNA,13,0.0456989247311828,0.0569765503806552,0.040400821539191445,0.022486772486772486,0.10204081632653061,0.07955404383975813,0.06961813301638038,SEG,property_fraction__acidic_region,protein,0.1369156615988814
ribosomal protein,1,0.04100227790432802,0.04100227790432802,,0.04100227790432802,0.04100227790432802,0.0,0.06961813301638038,SEG,property_fraction__acidic_region,protein,0.1369156615988814
snRNA,2,0.023291747454256363,0.023291747454256363,0.006188933343452729,0.021103629086522885,0.02547986582198984,0.004376236735466957,0.06961813301638038,SEG,property_fraction__acidic_region,protein,0.1369156615988814
snoRNA,6,0.044454197507433416,0.05967926053567204,0.0409919604346087,0.03401857208819571,0.07904789419619929,0.045029322108003575,0.06961813301638038,SEG,property_fraction__acidic_region,protein,0.1369156615988814
tRNA,2,0.025042164204277136,0.025042164204277136,0.006315923755589211,0.02280914794575997,0.027275180462794306,0.004466032517034337,0.06961813301638038,SEG,property_fraction__acidic_region,protein,0.1369156615988814
