position,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,has_pfam,signature,method,p_fdr
distal_terminal,diverse,73.0,75.49376466230399,-0.04846102730257873,0.4147727272727273,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
distal_terminal,mRNA,1475.0,1503.0122237313249,-0.027141788009906263,0.4209474885844749,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
distal_terminal,ncRNA,246.0,258.6519323373256,-0.07235365410614365,0.4079601990049751,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
distal_terminal,pre-rRNA,227.0,213.18409680207432,0.09059247818333009,0.4567404426559356,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
distal_terminal,ribosomal protein,14.0,87.50413631312507,-2.6439243874591902,0.06862745098039216,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
distal_terminal,snRNA,96.0,189.16335350043215,-0.978526312381663,0.21768707482993196,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
distal_terminal,snoRNA,81.0,79.35424126435362,0.029614574823013894,0.43783783783783786,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
distal_terminal,tRNA,115.0,165.14261019878998,-0.5220785521831873,0.2987012987012987,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
distal_terminal,unknown,1147.0,902.4936411902704,0.34587671917822393,0.5451520912547528,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_adjacent,diverse,27.0,24.77342881837264,0.12416584563916121,0.1534090909090909,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_adjacent,mRNA,545.0,493.21644647487346,0.1440353221761051,0.1555365296803653,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_adjacent,ncRNA,57.0,84.87714532658353,-0.5744142156223531,0.0945273631840796,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_adjacent,pre-rRNA,76.0,69.95678478824546,0.11953543399428956,0.1529175050301811,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_adjacent,ribosomal protein,52.0,28.714656130386466,0.8567243382825867,0.2549019607843137,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_adjacent,snRNA,65.0,62.074330164217805,0.06644292958392399,0.1473922902494331,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_adjacent,snoRNA,25.0,26.040251882948514,-0.058815308628597594,0.13513513513513514,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_adjacent,tRNA,63.0,54.191875540190146,0.21727525003064274,0.16363636363636364,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_adjacent,unknown,230.0,296.155080874182,-0.3647189762349371,0.10931558935361217,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_edge,diverse,16.0,16.08099765403136,-0.007285007988515186,0.09090909090909091,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_edge,mRNA,308.0,320.15804420298804,-0.055853908257490245,0.08789954337899543,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_edge,ncRNA,29.0,55.095690826027905,-0.9258865861237308,0.04809286898839138,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_edge,pre-rRNA,32.0,45.41054451166811,-0.5049554309135041,0.06438631790744467,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_edge,ribosomal protein,72.0,18.639338189899988,1.9496462701195987,0.35294117647058826,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_edge,snRNA,41.0,40.29386343993085,0.025063769709345166,0.09297052154195011,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_edge,snoRNA,14.0,16.90332139770342,-0.27187992780992604,0.07567567567567568,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_edge,tRNA,46.0,35.177182368193606,0.386993931123531,0.11948051948051948,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_edge,unknown,182.0,192.24101740955675,-0.07897773844482425,0.08650190114068441,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_intrinsic,diverse,17.0,14.755401901469318,0.2042915295334043,0.09659090909090909,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_intrinsic,mRNA,245.0,293.7666378565255,-0.26188881367824074,0.06992009132420092,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
domain_intrinsic,ncRNA,41.0,50.554019014693175,-0.302201880361639,0.06799336650082918,position_lcr,2.194400151388491e-157,,,FLPS,3.84020026492986e-157
