rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
diverse,176,16.0,22.47159090909091,23.480795551689887,8.75,26.0,17.25,1.2896070426852737e-20,FLPS,lcr,length,3.0950569024446566e-20
mRNA,3504,21.0,30.706050228310502,33.67523535735354,11.0,37.0,26.0,1.2896070426852737e-20,FLPS,lcr,length,3.0950569024446566e-20
ncRNA,603,17.0,23.71641791044776,21.824675428954574,9.0,30.0,21.0,1.2896070426852737e-20,FLPS,lcr,length,3.0950569024446566e-20
pre-rRNA,497,17.0,21.750503018108652,17.84120493398534,8.0,29.0,21.0,1.2896070426852737e-20,FLPS,lcr,length,3.0950569024446566e-20
ribosomal protein,204,22.0,23.08823529411765,15.259723826292163,11.0,30.25,19.25,1.2896070426852737e-20,FLPS,lcr,length,3.0950569024446566e-20
snRNA,441,16.0,25.29705215419501,28.11931098695991,8.0,30.0,22.0,1.2896070426852737e-20,FLPS,lcr,length,3.0950569024446566e-20
snoRNA,185,19.0,23.751351351351353,18.288236026699582,9.0,33.0,24.0,1.2896070426852737e-20,FLPS,lcr,length,3.0950569024446566e-20
tRNA,385,15.0,19.18961038961039,15.243950169653923,7.0,27.0,20.0,1.2896070426852737e-20,FLPS,lcr,length,3.0950569024446566e-20
unknown,2104,19.0,25.23716730038023,24.948741112127045,9.0,32.0,23.0,1.2896070426852737e-20,FLPS,lcr,length,3.0950569024446566e-20
diverse,176,0.025622935095385272,0.04202642139329345,0.04976440174089624,0.014184860243481227,0.05719499478623566,0.04301013454275443,1.860485183137963e-103,FLPS,lcr,coverage_per_lcr,2.232582219765556e-102
mRNA,3504,0.026981799562444723,0.04899252061479806,0.0686594900143129,0.01262728759535378,0.05658213605677687,0.04395484846142309,1.860485183137963e-103,FLPS,lcr,coverage_per_lcr,2.232582219765556e-102
