n_lcr_category,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,present,feature_value,method,p_fdr
1,diverse,9.0,8.23512080141426,0.12813518836706103,0.20930232558139536,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
1,mRNA,91.0,129.08073070123748,-0.5043351993563159,0.13501483679525222,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
1,ncRNA,19.0,21.64113140836771,-0.18777650734475573,0.168141592920354,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
1,pre-rRNA,19.0,20.87507365939894,-0.13578186970649433,0.1743119266055046,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
1,ribosomal protein,58.0,22.59870359457867,1.3598128873925772,0.4915254237288136,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
1,snRNA,18.0,17.619328226281674,0.030837987012145913,0.1956521739130435,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
1,snoRNA,5.0,7.086034177961108,-0.503050329114741,0.13513513513513514,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
1,tRNA,48.0,27.769593400117856,0.7895283523330682,0.3310344827586207,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
1,unknown,58.0,70.09428403064231,-0.27324390152962397,0.15846994535519127,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
2,diverse,9.0,7.880377136122569,0.19166032615227518,0.20930232558139536,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
2,mRNA,98.0,123.52032999410724,-0.3338948576545894,0.14540059347181009,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
2,ncRNA,18.0,20.708898055391867,-0.20225388156081447,0.1592920353982301,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
2,pre-rRNA,20.0,19.97583971714791,0.0017438495224968622,0.1834862385321101,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
2,ribosomal protein,44.0,21.62522097819682,1.0247886486875166,0.3728813559322034,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
2,snRNA,13.0,16.86034177961108,-0.37512215850386,0.14130434782608695,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
2,snoRNA,3.0,6.780789628756629,-1.176490785495733,0.08108108108108109,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
2,tRNA,41.0,26.573364761343548,0.62564299401521,0.2827586206896552,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
2,unknown,65.0,67.07483794932233,-0.04533194584352712,0.17759562841530055,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
3+,diverse,25.0,26.88450206246317,-0.10484665629947473,0.5813953488372093,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
3+,mRNA,485.0,421.3989393046553,0.20279806452053012,0.7195845697329377,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
3+,ncRNA,76.0,70.64997053624043,0.1053104596562961,0.672566371681416,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
3+,pre-rRNA,70.0,68.14908662345316,0.03866060079593852,0.6422018348623854,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
3+,ribosomal protein,16.0,73.77607542722451,-2.2050811407339426,0.13559322033898305,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
3+,snRNA,61.0,57.52032999410725,0.08473729013377192,0.6630434782608695,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
3+,snoRNA,29.0,23.133176193282264,0.326089538126521,0.7837837837837838,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
3+,tRNA,56.0,90.6570418385386,-0.6949922593294319,0.38620689655172413,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
3+,unknown,243.0,228.83087802003536,0.0866745739496371,0.6639344262295082,multiplicity_protein,5.6368988109778475e-33,,,FLPS,5.073208929880063e-32
,diverse,23.0,20.448438420742487,0.16964318761979783,0.5348837209302325,position_presence,9.000444322097425e-05,present,domain_adjacent,FLPS,0.00014294823335095908
,mRNA,365.0,320.51738361814967,0.18749385885040418,0.5415430267062314,position_presence,9.000444322097425e-05,present,domain_adjacent,FLPS,0.00014294823335095908
,ncRNA,45.0,53.73659398939304,-0.2559798798206298,0.39823008849557523,position_presence,9.000444322097425e-05,present,domain_adjacent,FLPS,0.00014294823335095908
,pre-rRNA,55.0,51.83441367118444,0.08552137501261628,0.5045871559633027,position_presence,9.000444322097425e-05,present,domain_adjacent,FLPS,0.00014294823335095908
,ribosomal protein,45.0,56.1143193871538,-0.31844396676728337,0.3813559322033898,position_presence,9.000444322097425e-05,present,domain_adjacent,FLPS,0.00014294823335095908
,snRNA,45.0,43.75014731879788,0.04063712653754484,0.4891304347826087,position_presence,9.000444322097425e-05,present,domain_adjacent,FLPS,0.00014294823335095908
,snoRNA,20.0,17.595167943429583,0.1848207155232956,0.5405405405405406,position_presence,9.000444322097425e-05,present,domain_adjacent,FLPS,0.00014294823335095908
,tRNA,51.0,68.95403653506187,-0.43513776177855584,0.35172413793103446,position_presence,9.000444322097425e-05,present,domain_adjacent,FLPS,0.00014294823335095908
,unknown,158.0,174.04949911608722,-0.1395731038420565,0.43169398907103823,position_presence,9.000444322097425e-05,present,domain_adjacent,FLPS,0.00014294823335095908
,diverse,14.0,14.341779611078374,-0.034797225933712816,0.32558139534883723,position_presence,0.003932572027312193,present,domain_edge,FLPS,0.004826338397155874
,mRNA,226.0,224.79905715969358,0.00768678794411024,0.3353115727002967,position_presence,0.003932572027312193,present,domain_edge,FLPS,0.004826338397155874
,ncRNA,26.0,37.68886269888038,-0.5356266375633145,0.23008849557522124,position_presence,0.003932572027312193,present,domain_edge,FLPS,0.004826338397155874
,pre-rRNA,30.0,36.35474366529169,-0.2771811224576268,0.27522935779816515,position_presence,0.003932572027312193,present,domain_edge,FLPS,0.004826338397155874
,ribosomal protein,58.0,39.35651149086623,0.559450552476512,0.4915254237288136,position_presence,0.003932572027312193,present,domain_edge,FLPS,0.004826338397155874
,snRNA,31.0,30.684737772539776,0.014746961040643514,0.33695652173913043,position_presence,0.003932572027312193,present,domain_edge,FLPS,0.004826338397155874
,snoRNA,14.0,12.340601060695345,0.18201416313943528,0.3783783783783784,position_presence,0.003932572027312193,present,domain_edge,FLPS,0.004826338397155874
,tRNA,41.0,48.361814967589865,-0.23824447868606982,0.2827586206896552,position_presence,0.003932572027312193,present,domain_edge,FLPS,0.004826338397155874
,unknown,126.0,122.07189157336477,0.04569269192665489,0.3442622950819672,position_presence,0.003932572027312193,present,domain_edge,FLPS,0.004826338397155874
