rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
diverse,43,0.14935064935064934,0.17201512012138714,0.11638281869963524,0.0846125730994152,0.23353724821485666,0.14892467511544147,6.435295204008922e-28,FLPS,coverage,protein,6.435295204008922e-27
mRNA,674,0.213897150739256,0.25470295583716973,0.1808850809143007,0.10709872911273241,0.38913442080088306,0.2820356916881507,6.435295204008922e-28,FLPS,coverage,protein,6.435295204008922e-27
ncRNA,113,0.11349036402569593,0.16015865752645903,0.1216885876477114,0.06746031746031746,0.22560975609756098,0.1581494386372435,6.435295204008922e-28,FLPS,coverage,protein,6.435295204008922e-27
pre-rRNA,109,0.17064846416382254,0.17935035360122598,0.1065660172372722,0.1018363939899833,0.2486865148861646,0.14685012089618132,6.435295204008922e-28,FLPS,coverage,protein,6.435295204008922e-27
ribosomal protein,118,0.19556166107890244,0.2259943451285658,0.15519436698850905,0.11787446937537902,0.3012326125877978,0.1833581432124188,6.435295204008922e-28,FLPS,coverage,protein,6.435295204008922e-27
snRNA,92,0.18440543751856542,0.23921786914902193,0.1802767321487918,0.0872733435011015,0.35452961672473865,0.26725627322363715,6.435295204008922e-28,FLPS,coverage,protein,6.435295204008922e-27
snoRNA,37,0.22962962962962963,0.22962570420001197,0.13798623374853763,0.11885098743267504,0.3,0.18114901256732496,6.435295204008922e-28,FLPS,coverage,protein,6.435295204008922e-27
tRNA,145,0.08372093023255814,0.10216980188488697,0.07783880301550013,0.047619047619047616,0.13729977116704806,0.08968072354800044,6.435295204008922e-28,FLPS,coverage,protein,6.435295204008922e-27
unknown,366,0.14297070179423121,0.18602438334990018,0.15684625819396586,0.06341431344079648,0.2660289365452409,0.20261462310444442,6.435295204008922e-28,FLPS,coverage,protein,6.435295204008922e-27
diverse,15,0.022770398481973434,0.031604678051787245,0.022907046040252236,0.014562983312983313,0.046034033209825714,0.0314710498968424,1.6663893278460203e-05,FLPS,property_fraction__acidic_region,protein,2.777315546410034e-05
mRNA,292,0.041027755802797466,0.06447866035215385,0.06813129197248662,0.018223517014814356,0.08515028241973718,0.06692676540492283,1.6663893278460203e-05,FLPS,property_fraction__acidic_region,protein,2.777315546410034e-05
ncRNA,44,0.03901631655868944,0.05429704929826038,0.049675661646589424,0.024593219452219636,0.06700255315290296,0.042409333700683324,1.6663893278460203e-05,FLPS,property_fraction__acidic_region,protein,2.777315546410034e-05
pre-rRNA,69,0.07632999228989977,0.08366302929527826,0.06333151943604604,0.0368763557483731,0.11214953271028037,0.07527317696190727,1.6663893278460203e-05,FLPS,property_fraction__acidic_region,protein,2.777315546410034e-05
ribosomal protein,12,0.04826392089220114,0.06908556220840094,0.054581457971339155,0.030985554053377398,0.10661907852044127,0.07563352446706387,1.6663893278460203e-05,FLPS,property_fraction__acidic_region,protein,2.777315546410034e-05
snRNA,51,0.05921052631578947,0.08186177705800285,0.06496522558591468,0.0378731081635386,0.1104668232530828,0.0725937150895442,1.6663893278460203e-05,FLPS,property_fraction__acidic_region,protein,2.777315546410034e-05
snoRNA,25,0.05573770491803279,0.08274926749030626,0.07348714291385541,0.024752475247524754,0.11691022964509394,0.09215775439756918,1.6663893278460203e-05,FLPS,property_fraction__acidic_region,protein,2.777315546410034e-05
tRNA,38,0.03400756907701352,0.05301466546836029,0.048094265043045384,0.016068075117370892,0.07466149208417766,0.05859341696680677,1.6663893278460203e-05,FLPS,property_fraction__acidic_region,protein,2.777315546410034e-05
unknown,176,0.03025505171490573,0.05726360122997599,0.07871569764950635,0.01824122479462285,0.06023642641617874,0.041995201621555886,1.6663893278460203e-05,FLPS,property_fraction__acidic_region,protein,2.777315546410034e-05
diverse,13,0.032359081419624215,0.058117037669163756,0.05266969149925007,0.013555787278415016,0.09497206703910614,0.08141627976069113,3.926642469519849e-16,FLPS,property_fraction__arginine_rich_rna_contact_region,protein,1.308880823173283e-15
mRNA,190,0.027040080452013286,0.05183595716308271,0.07006085279892878,0.014756335282651072,0.06047410192147035,0.045717766638819275,3.926642469519849e-16,FLPS,property_fraction__arginine_rich_rna_contact_region,protein,1.308880823173283e-15
ncRNA,42,0.02538659793814433,0.04563977347827762,0.047800913442383075,0.015183510884304205,0.06065710388698979,0.04547359300268559,3.926642469519849e-16,FLPS,property_fraction__arginine_rich_rna_contact_region,protein,1.308880823173283e-15
pre-rRNA,54,0.05150240342196466,0.07149861352671687,0.06956075777278165,0.023744619799139166,0.09048866855524079,0.06674404875610163,3.926642469519849e-16,FLPS,property_fraction__arginine_rich_rna_contact_region,protein,1.308880823173283e-15
ribosomal protein,56,0.12914658844891402,0.1943475537170736,0.17749191570552847,0.07484093319194061,0.2689766589506173,0.19413572575867666,3.926642469519849e-16,FLPS,property_fraction__arginine_rich_rna_contact_region,protein,1.308880823173283e-15
snRNA,30,0.018329427519250083,0.033113108947659356,0.03888308016517712,0.00899011677869151,0.03939174002622214,0.030401623247530627,3.926642469519849e-16,FLPS,property_fraction__arginine_rich_rna_contact_region,protein,1.308880823173283e-15
snoRNA,11,0.044036697247706424,0.06492496312487904,0.0703459708387533,0.013383035016120912,0.08463366532713906,0.07125063031101815,3.926642469519849e-16,FLPS,property_fraction__arginine_rich_rna_contact_region,protein,1.308880823173283e-15
tRNA,40,0.029826552364010002,0.05857112069093653,0.06954491859587247,0.017809159064394592,0.06181847968545216,0.04400932062105757,3.926642469519849e-16,FLPS,property_fraction__arginine_rich_rna_contact_region,protein,1.308880823173283e-15
unknown,140,0.025168209691937504,0.03959974806559652,0.04707694457607144,0.01205061574963281,0.049514082131714314,0.037463466382081506,3.926642469519849e-16,FLPS,property_fraction__arginine_rich_rna_contact_region,protein,1.308880823173283e-15
diverse,16,0.06518759018759018,0.10917268974288193,0.11601361759926775,0.030067581725447854,0.14593273899213124,0.1158651572666834,6.807698248538757e-08,FLPS,property_fraction__aromatic_sticker_region,protein,1.3615396497077513e-07
mRNA,324,0.06671401515151515,0.09815346118204749,0.09318843883973442,0.032245186808692816,0.12633042294911764,0.09408523614042483,6.807698248538757e-08,FLPS,property_fraction__aromatic_sticker_region,protein,1.3615396497077513e-07
ncRNA,57,0.04925053533190578,0.07038121556697993,0.06164481062889128,0.0237892948173322,0.1124546553808948,0.0886653605635626,6.807698248538757e-08,FLPS,property_fraction__aromatic_sticker_region,protein,1.3615396497077513e-07
pre-rRNA,21,0.027065527065527065,0.047063650091513275,0.05977478297965074,0.02043132803632236,0.03825857519788918,0.01782724716156682,6.807698248538757e-08,FLPS,property_fraction__aromatic_sticker_region,protein,1.3615396497077513e-07
ribosomal protein,22,0.14018488481803051,0.15200251939653164,0.0712178869059014,0.08816394831969837,0.2197769023675667,0.13161295404786832,6.807698248538757e-08,FLPS,property_fraction__aromatic_sticker_region,protein,1.3615396497077513e-07
snRNA,34,0.040267720136239096,0.07256888359789183,0.10063959433536145,0.019561331813695407,0.07727272727272727,0.05771139545903187,6.807698248538757e-08,FLPS,property_fraction__aromatic_sticker_region,protein,1.3615396497077513e-07
snoRNA,10,0.0591314098495427,0.08122673146431557,0.07155675137924493,0.026522146368208835,0.12287775891341256,0.09635561254520372,6.807698248538757e-08,FLPS,property_fraction__aromatic_sticker_region,protein,1.3615396497077513e-07
tRNA,44,0.04655034856193677,0.054421121147712186,0.03987517203568742,0.02900326797385621,0.0618490478836663,0.03284577990981009,6.807698248538757e-08,FLPS,property_fraction__aromatic_sticker_region,protein,1.3615396497077513e-07
unknown,201,0.05293631100082713,0.07796317275609772,0.08914823947104542,0.02444987775061125,0.1016949152542373,0.07724503750362605,6.807698248538757e-08,FLPS,property_fraction__aromatic_sticker_region,protein,1.3615396497077513e-07
diverse,12,0.03235436746075044,0.05948559893890135,0.0726481501936241,0.019027404053669334,0.07059808547564812,0.05157068142197879,2.879827641252716e-14,FLPS,property_fraction__basic_enriched_region,protein,7.199569103131789e-14
mRNA,156,0.030917268956874074,0.04938904596551617,0.05759554156145735,0.017142109828694782,0.06162719058050383,0.04448508075180905,2.879827641252716e-14,FLPS,property_fraction__basic_enriched_region,protein,7.199569103131789e-14
ncRNA,39,0.02511682242990654,0.03824616074142394,0.03761124920866466,0.012980406997160089,0.05160345417887169,0.0386230471817116,2.879827641252716e-14,FLPS,property_fraction__basic_enriched_region,protein,7.199569103131789e-14
pre-rRNA,55,0.05420827389443652,0.07458842657214892,0.06755948213104253,0.035226802948010665,0.09657275298464221,0.06134595003663155,2.879827641252716e-14,FLPS,property_fraction__basic_enriched_region,protein,7.199569103131789e-14
ribosomal protein,34,0.14435679611650487,0.16088330015553634,0.11662877705941237,0.08463645816669332,0.20172275641025642,0.11708629824356309,2.879827641252716e-14,FLPS,property_fraction__basic_enriched_region,protein,7.199569103131789e-14
snRNA,30,0.02936740849433439,0.04176331404364421,0.03509317146106051,0.015869452932288725,0.05808852594942201,0.042219073017133284,2.879827641252716e-14,FLPS,property_fraction__basic_enriched_region,protein,7.199569103131789e-14
snoRNA,22,0.08451342867108476,0.09842132000520944,0.07016714602713431,0.03655748882147124,0.13820473457037336,0.10164724574890212,2.879827641252716e-14,FLPS,property_fraction__basic_enriched_region,protein,7.199569103131789e-14
tRNA,31,0.022222222222222223,0.037237371598547855,0.03480770181970995,0.01432583887596741,0.0563538689531068,0.04202803007713939,2.879827641252716e-14,FLPS,property_fraction__basic_enriched_region,protein,7.199569103131789e-14
unknown,129,0.026352288488210817,0.04591921717216058,0.05588734529591576,0.013303769401330377,0.05600430802369413,0.042700538622363754,2.879827641252716e-14,FLPS,property_fraction__basic_enriched_region,protein,7.199569103131789e-14
diverse,21,0.030456852791878174,0.05733277816474732,0.05757939750730477,0.020434227330779056,0.06909090909090909,0.048656681760130036,0.009237376344968334,FLPS,property_fraction__disorder_rich_spacer_region,protein,0.009237376344968334
mRNA,404,0.05223660494838604,0.06943811861365652,0.06137154193096993,0.023794262887813857,0.09094476951619809,0.06715050662838423,0.009237376344968334,FLPS,property_fraction__disorder_rich_spacer_region,protein,0.009237376344968334
ncRNA,60,0.049446488470878715,0.06281400060360229,0.06362305004432013,0.01625544677720559,0.09325637526221346,0.07700092848500786,0.009237376344968334,FLPS,property_fraction__disorder_rich_spacer_region,protein,0.009237376344968334
pre-rRNA,42,0.031354446651863974,0.052719665827881755,0.05443378611538728,0.020359504230967475,0.06359283835322174,0.04323333412225427,0.009237376344968334,FLPS,property_fraction__disorder_rich_spacer_region,protein,0.009237376344968334
ribosomal protein,19,0.06701030927835051,0.08169981508658129,0.06539410767118015,0.047661488837959426,0.09589491208598633,0.0482334232480269,0.009237376344968334,FLPS,property_fraction__disorder_rich_spacer_region,protein,0.009237376344968334
snRNA,45,0.05728643216080402,0.0963811136081949,0.12341909747639886,0.03361344537815126,0.10526315789473684,0.07164971251658558,0.009237376344968334,FLPS,property_fraction__disorder_rich_spacer_region,protein,0.009237376344968334
snoRNA,13,0.022193211488250653,0.06557655086202635,0.08011300880140382,0.011784511784511785,0.096,0.08421548821548822,0.009237376344968334,FLPS,property_fraction__disorder_rich_spacer_region,protein,0.009237376344968334
tRNA,53,0.03214069132807762,0.05985853483275112,0.06740190555734403,0.014285714285714285,0.08176100628930817,0.06747529200359388,0.009237376344968334,FLPS,property_fraction__disorder_rich_spacer_region,protein,0.009237376344968334
unknown,192,0.0433168023384292,0.06155494288898778,0.061797588244728856,0.01832109845947756,0.07735227687376156,0.059031178414284,0.009237376344968334,FLPS,property_fraction__disorder_rich_spacer_region,protein,0.009237376344968334
diverse,6,0.03252293045396494,0.048646775860350995,0.041461832766755954,0.0187945755901557,0.07803342208368509,0.059238846493529396,0.0001037706221188864,FLPS,property_fraction__gs_rich_neutral_region,protein,0.00012971327764860799
mRNA,131,0.05683563748079877,0.08340666922414822,0.08969105318474617,0.02836562408204447,0.09963674104826155,0.07127111696621707,0.0001037706221188864,FLPS,property_fraction__gs_rich_neutral_region,protein,0.00012971327764860799
ncRNA,14,0.027744083664236793,0.04231064834204581,0.04828486278893658,0.008040384928211231,0.051400910387933964,0.04336052545972273,0.0001037706221188864,FLPS,property_fraction__gs_rich_neutral_region,protein,0.00012971327764860799
pre-rRNA,6,0.040846066031102815,0.06845432181302068,0.08512197515826095,0.022231396571765965,0.06244574694454474,0.040214350372778776,0.0001037706221188864,FLPS,property_fraction__gs_rich_neutral_region,protein,0.00012971327764860799
ribosomal protein,3,0.22340425531914893,0.17408048820715816,0.10927599275187354,0.13612073231073724,0.23670212765957446,0.10058139534883723,0.0001037706221188864,FLPS,property_fraction__gs_rich_neutral_region,protein,0.00012971327764860799
snRNA,10,0.014913595833662117,0.02829528025947032,0.04186911975305215,0.011315149669949521,0.022030401954697482,0.010715252284747961,0.0001037706221188864,FLPS,property_fraction__gs_rich_neutral_region,protein,0.00012971327764860799
snoRNA,1,0.03636363636363636,0.03636363636363636,,0.03636363636363636,0.03636363636363636,0.0,0.0001037706221188864,FLPS,property_fraction__gs_rich_neutral_region,protein,0.00012971327764860799
tRNA,11,0.015533980582524271,0.03388387374000418,0.02726734831530484,0.011856119653072015,0.05824640249721461,0.046390282844142594,0.0001037706221188864,FLPS,property_fraction__gs_rich_neutral_region,protein,0.00012971327764860799
unknown,59,0.02857142857142857,0.04320781320642695,0.041372535364268194,0.014209102250449603,0.05743985550424549,0.043230753253795884,0.0001037706221188864,FLPS,property_fraction__gs_rich_neutral_region,protein,0.00012971327764860799
diverse,19,0.038461538461538464,0.039965725523584184,0.026509409194903057,0.022439355792670743,0.05264069264069264,0.030201336848021898,3.58058570708624e-05,FLPS,property_fraction__hydrophobic_region,protein,5.115122438694629e-05
mRNA,120,0.010836017176596886,0.015331691656065623,0.011975817845707332,0.00694245429013584,0.018852236120988998,0.011909781830853158,3.58058570708624e-05,FLPS,property_fraction__hydrophobic_region,protein,5.115122438694629e-05
ncRNA,30,0.009250529952551254,0.012144909646040399,0.009574337182944018,0.005734815319972721,0.015072108996504425,0.009337293676531704,3.58058570708624e-05,FLPS,property_fraction__hydrophobic_region,protein,5.115122438694629e-05
pre-rRNA,24,0.011750632562567326,0.02121083406159376,0.041449892536770054,0.008661227914235509,0.014191351520118644,0.005530123605883135,3.58058570708624e-05,FLPS,property_fraction__hydrophobic_region,protein,5.115122438694629e-05
ribosomal protein,9,0.024630541871921183,0.032067270302670196,0.015325111585341705,0.02242152466367713,0.044642857142857144,0.022221332479180015,3.58058570708624e-05,FLPS,property_fraction__hydrophobic_region,protein,5.115122438694629e-05
