method,rna_class,metric,n,median,q1,q3,iqr,mean,sd,p_value,p_fdr
AlcoR,diverse,fcr,60,0.249223602484472,0.1973790322580645,0.3139204545454545,0.11654142228739,0.2497207004968895,0.0847625896543507,0.181168116796866,0.181168116796866
AlcoR,mRNA,fcr,1040,0.25,0.1818181818181818,0.3214285714285715,0.1396103896103897,0.2560779042251155,0.1239373089061273,0.181168116796866,0.181168116796866
AlcoR,ncRNA,fcr,196,0.2345301757066463,0.1790768194070081,0.3043478260869565,0.1252710066799484,0.2503286440096705,0.1050102943271999,0.181168116796866,0.181168116796866
AlcoR,pre-rRNA,fcr,133,0.2777777777777778,0.2040816326530612,0.35,0.1459183673469387,0.2827293859469242,0.1376058643798214,0.181168116796866,0.181168116796866
AlcoR,ribosomal protein,fcr,98,0.25,0.195216049382716,0.3181818181818182,0.1229657687991021,0.2610227710600388,0.1170774351432492,0.181168116796866,0.181168116796866
AlcoR,snRNA,fcr,87,0.2682926829268293,0.1960027100271002,0.3134896063688633,0.1174868963417631,0.2655644606044058,0.112808735163054,0.181168116796866,0.181168116796866
AlcoR,snoRNA,fcr,60,0.2419156600974782,0.1644736842105263,0.3539915966386555,0.1895179124281291,0.265314514315138,0.1384082827582112,0.181168116796866,0.181168116796866
AlcoR,tRNA,fcr,245,0.25,0.2,0.3157894736842105,0.1157894736842105,0.2665174853600061,0.1044174105971523,0.181168116796866,0.181168116796866
AlcoR,unknown,fcr,885,0.2583025830258303,0.2,0.3157894736842105,0.1157894736842105,0.2613830616541729,0.1174359403832553,0.181168116796866,0.181168116796866
CAST,diverse,fcr,27,0.2668213457076566,0.1531872923588039,0.4424632352941176,0.2892759429353136,0.2942581444671464,0.1975009929190999,1.5485419176264076e-27,1.858250301151689e-26
CAST,mRNA,fcr,879,0.2459016393442623,0.1151635720601238,0.4267199612403101,0.3115563891801863,0.2791281598532068,0.1926420161979242,1.5485419176264076e-27,1.858250301151689e-26
CAST,ncRNA,fcr,124,0.268146742567995,0.1644736842105263,0.4676470588235294,0.3031733746130031,0.3196118737155131,0.2025567551450535,1.5485419176264076e-27,1.858250301151689e-26
CAST,pre-rRNA,fcr,119,0.4503816793893129,0.4006802721088435,0.5016129032258064,0.1009326311169628,0.464683483738347,0.1288203633709553,1.5485419176264076e-27,1.858250301151689e-26
