level,method,metric,rna_class,n,median,q1,q3,iqr,mean,sd,p_value,p_fdr
protein,AlcoR,coverage,diverse,22,0.3352729231908947,0.1053708133971292,0.8115528920794575,0.7061820786823283,0.4491919643204227,0.3625317173084952,0.0070370604762254,0.0189666191871256
protein,AlcoR,coverage,mRNA,377,0.2883506343713956,0.095679012345679,0.6197411003236246,0.5240620879779456,0.3928781333081714,0.3335808624738565,0.0070370604762254,0.0189666191871256
protein,AlcoR,coverage,ncRNA,64,0.1700666196304035,0.0602713111293402,0.414523973840744,0.3542526627114037,0.2947544738539182,0.3089482234608343,0.0070370604762254,0.0189666191871256
protein,AlcoR,coverage,pre-rRNA,53,0.23125,0.0974889217134416,0.7881773399014779,0.6906884181880362,0.4122528412119485,0.369166691125277,0.0070370604762254,0.0189666191871256
protein,AlcoR,coverage,ribosomal protein,52,0.4462222222222222,0.1995867768595041,0.957757084676735,0.7581703078172308,0.5193904761604424,0.3566697025213632,0.0070370604762254,0.0189666191871256
protein,AlcoR,coverage,snRNA,41,0.2724358974358974,0.1186440677966101,0.7608695652173914,0.6422254974207812,0.4109316413098102,0.3674349842052568,0.0070370604762254,0.0189666191871256
protein,AlcoR,coverage,snoRNA,20,0.2344648137196924,0.081922957920792,0.3399234411647563,0.2580004832439643,0.2844086478271013,0.2769715883664506,0.0070370604762254,0.0189666191871256
protein,AlcoR,coverage,tRNA,85,0.2822164948453608,0.0838709677419354,0.558091286307054,0.4742203185651185,0.3701250167331057,0.3264395320233594,0.0070370604762254,0.0189666191871256
protein,AlcoR,coverage,unknown,254,0.3515095685249019,0.1063435190192897,0.8086313774881967,0.702287858468907,0.4465556962972905,0.3523284727055277,0.0070370604762254,0.0189666191871256
protein,CAST,coverage,diverse,15,0.2567409144196952,0.1244843619063066,0.5010516617994716,0.3765672998931649,0.3216524580230499,0.2529050684139105,6.89186484591315e-07,6.585559741650343e-06
protein,CAST,coverage,mRNA,487,0.33,0.1780939054726368,0.5176622753006963,0.3395683698280595,0.3728067213848869,0.254012330220955,6.89186484591315e-07,6.585559741650343e-06
protein,CAST,coverage,ncRNA,69,0.1959247648902821,0.1004366812227074,0.4206500956022944,0.320213414379587,0.2814601728357179,0.2460917689494061,6.89186484591315e-07,6.585559741650343e-06
protein,CAST,coverage,pre-rRNA,82,0.2856800766283525,0.1583837924514755,0.4761316689554729,0.3177478765039974,0.3392103362902094,0.2379421979859745,6.89186484591315e-07,6.585559741650343e-06
protein,CAST,coverage,ribosomal protein,46,0.2693994601889339,0.1871532642196693,0.4666317443687794,0.2794784801491101,0.3595512056329117,0.2568701805781088,6.89186484591315e-07,6.585559741650343e-06
protein,CAST,coverage,snRNA,60,0.320741274415626,0.1508375429569397,0.5061244401443666,0.3552868971874269,0.3444527501972594,0.2268566278747605,6.89186484591315e-07,6.585559741650343e-06
protein,CAST,coverage,snoRNA,29,0.2703213610586011,0.2057044079515989,0.5326370757180157,0.3269326677664167,0.3852699604738088,0.2871940824065337,6.89186484591315e-07,6.585559741650343e-06
protein,CAST,coverage,tRNA,51,0.1422222222222222,0.0740360610263523,0.2189032339180899,0.1448671728917376,0.1708945472670487,0.128326128668251,6.89186484591315e-07,6.585559741650343e-06
protein,CAST,coverage,unknown,216,0.3176593521421108,0.1443473465359732,0.4797719062915505,0.3354245597555771,0.335559409456943,0.2365277920229823,6.89186484591315e-07,6.585559741650343e-06
protein,FLPS,coverage,diverse,43,0.1493506493506493,0.0846125730994152,0.2335372482148566,0.1489246751154414,0.1720151201213871,0.1163828186996352,6.435295204008922e-28,6.4352952040089215e-27
protein,FLPS,coverage,mRNA,674,0.213897150739256,0.1070987291127324,0.389134420800883,0.2820356916881507,0.2547029558371697,0.1808850809143007,6.435295204008922e-28,6.4352952040089215e-27
protein,FLPS,coverage,ncRNA,113,0.1134903640256959,0.0674603174603174,0.2256097560975609,0.1581494386372435,0.160158657526459,0.1216885876477114,6.435295204008922e-28,6.4352952040089215e-27
protein,FLPS,coverage,pre-rRNA,109,0.1706484641638225,0.1018363939899833,0.2486865148861646,0.1468501208961813,0.1793503536012259,0.1065660172372722,6.435295204008922e-28,6.4352952040089215e-27
protein,FLPS,coverage,ribosomal protein,118,0.1955616610789024,0.117874469375379,0.3012326125877978,0.1833581432124188,0.2259943451285658,0.155194366988509,6.435295204008922e-28,6.4352952040089215e-27
protein,FLPS,coverage,snRNA,92,0.1844054375185654,0.0872733435011015,0.3545296167247386,0.2672562732236371,0.2392178691490219,0.1802767321487918,6.435295204008922e-28,6.4352952040089215e-27
protein,FLPS,coverage,snoRNA,37,0.2296296296296296,0.118850987432675,0.3,0.1811490125673249,0.2296257042000119,0.1379862337485376,6.435295204008922e-28,6.4352952040089215e-27
protein,FLPS,coverage,tRNA,145,0.0837209302325581,0.0476190476190476,0.137299771167048,0.0896807235480004,0.1021698018848869,0.0778388030155001,6.435295204008922e-28,6.4352952040089215e-27
protein,FLPS,coverage,unknown,366,0.1429707017942312,0.0634143134407964,0.2660289365452409,0.2026146231044444,0.1860243833499001,0.1568462581939658,6.435295204008922e-28,6.4352952040089215e-27
protein,LCRFinder,coverage,diverse,21,0.0389610389610389,0.0293083235638921,0.0496894409937888,0.0203811174298966,0.0486989003152882,0.0353104981192324,1.0751847927772929e-17,9.915593088946148e-17
protein,LCRFinder,coverage,mRNA,465,0.0619136960600375,0.0298661174047373,0.116546762589928,0.0866806451851906,0.0863253994326159,0.076923429667466,1.0751847927772929e-17,9.915593088946148e-17
protein,LCRFinder,coverage,ncRNA,65,0.032171581769437,0.015625,0.0631313131313131,0.0475063131313131,0.0472549633558304,0.0470531917532418,1.0751847927772929e-17,9.915593088946148e-17
protein,LCRFinder,coverage,pre-rRNA,67,0.0375426621160409,0.0235227969740339,0.0598632428177882,0.0363404458437543,0.0469783446492566,0.0326073737307765,1.0751847927772929e-17,9.915593088946148e-17
protein,LCRFinder,coverage,ribosomal protein,21,0.064516129032258,0.0344827586206896,0.1194968553459119,0.0850140967252223,0.0757148034270465,0.0515957583593068,1.0751847927772929e-17,9.915593088946148e-17
protein,LCRFinder,coverage,snRNA,58,0.0648168187323681,0.028675679022931,0.1197198275862068,0.0910441485632758,0.0877014501132018,0.0777037757351397,1.0751847927772929e-17,9.915593088946148e-17
