rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,level,metric,p_fdr
diverse,60,22.0,94.83333333333331,150.10709924230048,15.75,111.5,95.75,0.0329865870798743,AlcoR,lcr,length,0.0359853677234992
mRNA,1040,27.0,82.17211538461538,121.3669187292592,16.0,92.5,76.5,0.0329865870798743,AlcoR,lcr,length,0.0359853677234992
ncRNA,196,26.0,74.5765306122449,112.07016694088588,16.75,79.25,62.5,0.0329865870798743,AlcoR,lcr,length,0.0359853677234992
pre-rRNA,133,21.0,91.45864661654136,147.71366195602056,16.0,85.0,69.0,0.0329865870798743,AlcoR,lcr,length,0.0359853677234992
ribosomal protein,98,25.0,54.755102040816325,64.59964910448407,16.0,64.75,48.75,0.0329865870798743,AlcoR,lcr,length,0.0359853677234992
snRNA,87,40.0,107.2528735632184,161.22642018983123,19.0,89.0,70.0,0.0329865870798743,AlcoR,lcr,length,0.0359853677234992
snoRNA,60,21.0,45.61666666666667,54.66014929456337,15.75,49.75,34.0,0.0329865870798743,AlcoR,lcr,length,0.0359853677234992
tRNA,245,24.0,67.18775510204081,108.8916472143504,16.0,61.0,45.0,0.0329865870798743,AlcoR,lcr,length,0.0359853677234992
unknown,885,29.0,97.60790960451978,141.49109362562876,16.0,125.0,109.0,0.0329865870798743,AlcoR,lcr,length,0.0359853677234992
diverse,60,0.0721247563352826,0.1647037202508216,0.2428191516611056,0.0196737044145873,0.154934380759558,0.1352606763449707,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
mRNA,1040,0.0474315710536182,0.1424183233242121,0.2220817761278119,0.021327868852459,0.1465864227993337,0.1252585539468747,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
ncRNA,196,0.0331398541062044,0.0962463588094426,0.1710732866455787,0.0178196235321206,0.078547794117647,0.0607281705855264,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
pre-rRNA,133,0.0431765612952968,0.1642812074002501,0.2692158937185562,0.0171503957783641,0.1441798941798941,0.12702949840153,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
ribosomal protein,98,0.1318388307327671,0.2755949465341123,0.2951055539750004,0.0831533028666389,0.3726050819820636,0.2894517791154246,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
snRNA,87,0.0593385214007782,0.1936574401574967,0.2949128918072901,0.0191615887232949,0.2223779621738805,0.2032163734505856,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
snoRNA,60,0.0328620503648184,0.0948028826090337,0.1748039441581168,0.0220045309615707,0.089801975304204,0.0677974443426333,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
tRNA,245,0.047808764940239,0.1284107200910775,0.1989643215983818,0.0257104194857916,0.1265560165975103,0.1008455971117187,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
unknown,885,0.0411663807890223,0.1281640077508608,0.2003433865312055,0.0170415814587593,0.1404140414041404,0.123372459945381,6.605169798341823e-16,AlcoR,lcr,coverage_per_lcr,7.926203758010188e-15
diverse,60,0.5308007188498403,0.5229751160949164,0.115774987149248,0.4573783359497645,0.5781931464174455,0.1208148104676808,0.0024111119459815,AlcoR,lcr,frac_polar,0.0028933343351778
mRNA,1040,0.5333333333333333,0.5404651117235143,0.1299076916374863,0.4666666666666667,0.6095818815331011,0.1429152148664344,0.0024111119459815,AlcoR,lcr,frac_polar,0.0028933343351778
ncRNA,196,0.5238095238095238,0.5283114568985798,0.1238668448216189,0.4527049180327868,0.5976272534464475,0.1449223354136606,0.0024111119459815,AlcoR,lcr,frac_polar,0.0028933343351778
pre-rRNA,133,0.5294117647058824,0.5332710429463484,0.1440089379162785,0.4523809523809524,0.6066666666666667,0.1542857142857143,0.0024111119459815,AlcoR,lcr,frac_polar,0.0028933343351778
