n_lcr_category,rna_class,observed,expected,log2_obs_exp,proportion_within_rna_class,analysis,p_value,present,feature_value,method,p_fdr
1,diverse,8.0,8.568181818181818,-0.0989890946313669,0.3636363636363636,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
1,mRNA,158.0,146.82747933884298,0.1058025589143689,0.4190981432360742,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
1,ncRNA,21.0,24.925619834710744,-0.2472400532153096,0.328125,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
1,pre-rRNA,27.0,20.641528925619838,0.3874095716061996,0.5094339622641509,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
1,ribosomal protein,32.0,20.25206611570248,0.6600028058648382,0.6153846153846154,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
1,snRNA,23.0,15.96797520661157,0.5264524754448595,0.5609756097560976,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
1,snoRNA,10.0,7.789256198347108,0.3604425240059301,0.5,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
1,tRNA,29.0,33.10433884297521,-0.1909674170041995,0.3411764705882353,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
1,unknown,69.0,98.92355371900828,-0.5197177059880665,0.2716535433070866,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
2,diverse,4.0,5.136363636363637,-0.3607473437778905,0.1818181818181818,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
2,mRNA,88.0,88.01859504132231,-0.0003048197719602,0.2334217506631299,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
2,ncRNA,16.0,14.942148760330578,0.0986842748594069,0.25,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
2,pre-rRNA,11.0,12.37396694214876,-0.1698045610664951,0.2075471698113207,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
2,ribosomal protein,9.0,12.140495867768594,-0.4318304418393729,0.173076923076923,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
2,snRNA,8.0,9.572314049586776,-0.2588677297586766,0.1951219512195122,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
2,snoRNA,1.0,4.669421487603306,-2.223243820027956,0.05,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
2,tRNA,23.0,19.84504132231405,0.2128552947787178,0.2705882352941176,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
2,unknown,66.0,59.30165289256198,0.1543937074456943,0.2598425196850393,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
3+,diverse,10.0,8.295454545454545,0.2696070597572802,0.4545454545454545,multiplicity_protein,0.00021798310908,,,AlcoR,0.001133512167216
