rna_class,n,median,mean,sd,q1,q3,iqr,p_value,method,metric,level,p_fdr
diverse,22,0.3352729231908947,0.4491919643204227,0.3625317173084952,0.1053708133971292,0.8115528920794575,0.7061820786823283,0.0070370604762254,AlcoR,coverage,protein,0.0189666191871256
mRNA,377,0.2883506343713956,0.3928781333081714,0.3335808624738565,0.095679012345679,0.6197411003236246,0.5240620879779456,0.0070370604762254,AlcoR,coverage,protein,0.0189666191871256
ncRNA,64,0.1700666196304035,0.2947544738539182,0.3089482234608343,0.0602713111293402,0.414523973840744,0.3542526627114037,0.0070370604762254,AlcoR,coverage,protein,0.0189666191871256
pre-rRNA,53,0.23125,0.4122528412119485,0.369166691125277,0.0974889217134416,0.7881773399014779,0.6906884181880362,0.0070370604762254,AlcoR,coverage,protein,0.0189666191871256
ribosomal protein,52,0.4462222222222222,0.5193904761604424,0.3566697025213632,0.1995867768595041,0.957757084676735,0.7581703078172308,0.0070370604762254,AlcoR,coverage,protein,0.0189666191871256
snRNA,41,0.2724358974358974,0.4109316413098102,0.3674349842052568,0.1186440677966101,0.7608695652173914,0.6422254974207812,0.0070370604762254,AlcoR,coverage,protein,0.0189666191871256
snoRNA,20,0.2344648137196924,0.2844086478271013,0.2769715883664506,0.081922957920792,0.3399234411647563,0.2580004832439643,0.0070370604762254,AlcoR,coverage,protein,0.0189666191871256
tRNA,85,0.2822164948453608,0.3701250167331057,0.3264395320233594,0.0838709677419354,0.558091286307054,0.4742203185651185,0.0070370604762254,AlcoR,coverage,protein,0.0189666191871256
unknown,254,0.3515095685249019,0.4465556962972905,0.3523284727055277,0.1063435190192897,0.8086313774881967,0.702287858468907,0.0070370604762254,AlcoR,coverage,protein,0.0189666191871256
mRNA,50,0.0364557091429531,0.054790937526292,0.0614657918677627,0.0218147728545459,0.0595350296363539,0.037720256781808,0.0096609845599929,AlcoR,property_fraction__acidic_region,protein,0.0195415369508948
ncRNA,5,0.0174418604651162,0.0291904843492496,0.0238765455440717,0.0146484375,0.0468292682926829,0.0321808307926829,0.0096609845599929,AlcoR,property_fraction__acidic_region,protein,0.0195415369508948
pre-rRNA,10,0.0430168520762198,0.1105900067712807,0.1910308399972453,0.0325304459566017,0.0846569088223445,0.0521264628657428,0.0096609845599929,AlcoR,property_fraction__acidic_region,protein,0.0195415369508948
ribosomal protein,3,0.1983471074380165,0.1654755270500499,0.0905255538621606,0.1307269517772606,0.2166598925168225,0.0859329407395618,0.0096609845599929,AlcoR,property_fraction__acidic_region,protein,0.0195415369508948
snRNA,5,0.1186440677966101,0.1182401350610778,0.1114733680319022,0.0386847195357833,0.1304347826086956,0.0917500630729122,0.0096609845599929,AlcoR,property_fraction__acidic_region,protein,0.0195415369508948
snoRNA,7,0.0211864406779661,0.0340005411841301,0.0342096774469428,0.0114758499120954,0.0505376819931849,0.0390618320810894,0.0096609845599929,AlcoR,property_fraction__acidic_region,protein,0.0195415369508948
tRNA,12,0.021514318002516,0.085964184898392,0.1683620251722047,0.0179497628927089,0.0740690218788346,0.0561192589861256,0.0096609845599929,AlcoR,property_fraction__acidic_region,protein,0.0195415369508948
unknown,41,0.0227272727272727,0.0417533326936322,0.0710077788887824,0.0137931034482758,0.0411663807890223,0.0273732773407464,0.0096609845599929,AlcoR,property_fraction__acidic_region,protein,0.0195415369508948
diverse,3,0.023728813559322,0.0283842695065732,0.0262792792546009,0.0142363232881999,0.0402044877513209,0.025968164463121,0.0011672875847182,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.0057715886133292
mRNA,32,0.0257794761034501,0.0365394855878902,0.0308115447505996,0.0159715525554484,0.054574506638553,0.0386029540831046,0.0011672875847182,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.0057715886133292
ncRNA,9,0.0234146341463414,0.0278786339017206,0.0161835726153097,0.0192837465564738,0.034274193548387,0.0149904469919132,0.0011672875847182,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.0057715886133292
pre-rRNA,11,0.0257731958762886,0.0507039731049646,0.0489286926149663,0.0170464700625558,0.0711576054348036,0.0541111353722477,0.0011672875847182,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.0057715886133292
ribosomal protein,9,0.28,0.3022670556481329,0.2882600350216565,0.0936170212765957,0.3609022556390977,0.2672852343625019,0.0011672875847182,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.0057715886133292
snRNA,1,0.0146561443066516,0.0146561443066516,,0.0146561443066516,0.0146561443066516,0.0,0.0011672875847182,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.0057715886133292
snoRNA,1,0.0061041292639138,0.0061041292639138,,0.0061041292639138,0.0061041292639138,0.0,0.0011672875847182,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.0057715886133292
tRNA,8,0.0214577075098814,0.0360907920451606,0.036015951487245,0.018102865965454,0.0332282592877486,0.0151253933222946,0.0011672875847182,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.0057715886133292
unknown,14,0.0231421899831329,0.0333078359873637,0.029664956904005,0.0114513593554816,0.0556645983706892,0.0442132390152076,0.0011672875847182,AlcoR,property_fraction__arginine_rich_rna_contact_region,protein,0.0057715886133292
diverse,15,0.300383877159309,0.3551736455937856,0.3239841583152675,0.081404399323181,0.5799656533893753,0.4985612540661943,0.0280138050063791,AlcoR,property_fraction__aromatic_sticker_region,protein,0.0413882659830274
