method,rna_class,signature,log2_obs_exp,p_fdr
AlcoR,diverse,serine_rich_region,3.9614175376809486,3.7851735711810456e-08
AlcoR,mRNA,glycine_rich_region,1.4309028209821686,3.7851735711810456e-08
AlcoR,ncRNA,proline_rich_disordered_region,0.8385607898954149,3.7851735711810456e-08
AlcoR,pre-rRNA,arginine_rich_rna_contact_region,1.2825109810894977,3.7851735711810456e-08
AlcoR,ribosomal protein,arginine_rich_rna_contact_region,1.8385607898954148,3.7851735711810456e-08
AlcoR,snRNA,sr_rs_repeat_region,1.8139299253583916,3.7851735711810456e-08
AlcoR,snoRNA,acidic_region,1.0625642611378483,3.7851735711810456e-08
AlcoR,tRNA,hydrophobic_region,0.858421212256258,3.7851735711810456e-08
AlcoR,unknown,glutamine_rich_region,1.6637369890402631,3.7851735711810456e-08
CAST,diverse,unmapped_physicochemical_properties,2.214738848793013,2.4579215745503213e-46
CAST,mRNA,glutamine_rich_region,1.0967975914215955,2.4579215745503213e-46
CAST,ncRNA,aromatic_aggregation_prone_region,2.3373581354569684,2.4579215745503213e-46
CAST,pre-rRNA,basic_enriched_region,1.970471927833802,2.4579215745503213e-46
CAST,ribosomal protein,arginine_rich_rna_contact_region,2.6700660690975733,2.4579215745503213e-46
CAST,snRNA,polar_linker,4.108332621788073,2.4579215745503213e-46
CAST,snoRNA,basic_enriched_region,1.7498124737218097,2.4579215745503213e-46
CAST,tRNA,arginine_rich_rna_contact_region,0.9223206361781244,2.4579215745503213e-46
CAST,unknown,hydrophobic_region,2.031026895620625,2.4579215745503213e-46
FLPS,diverse,serine_rich_region,1.2761689390842113,2.440068023723372e-126
FLPS,mRNA,sr_rs_repeat_region,0.8318867061729647,2.440068023723372e-126
FLPS,ncRNA,aromatic_aggregation_prone_region,1.5046573553688458,2.440068023723372e-126
FLPS,pre-rRNA,basic_enriched_region,1.0813744390006983,2.440068023723372e-126
FLPS,ribosomal protein,arginine_rich_rna_contact_region,1.7521354370053868,2.440068023723372e-126
FLPS,snRNA,glycine_rich_region,1.1988932256075735,2.440068023723372e-126
FLPS,snoRNA,basic_enriched_region,1.5510383676342696,2.440068023723372e-126
FLPS,tRNA,glycine_rich_region,2.3948134355828303,2.440068023723372e-126
FLPS,unknown,aromatic_aggregation_prone_region,0.8392560817265631,2.440068023723372e-126
LCRFinder,diverse,serine_rich_region,1.794364562821067,3.929606826102092e-88
LCRFinder,mRNA,glycine_rich_region,0.9149234869423996,3.929606826102092e-88
LCRFinder,ncRNA,aromatic_aggregation_prone_region,1.785555080690144,3.929606826102092e-88
LCRFinder,pre-rRNA,basic_enriched_region,1.221399879009825,3.929606826102092e-88
LCRFinder,ribosomal protein,basic_enriched_region,2.212837865506401,3.929606826102092e-88
LCRFinder,snRNA,sr_rs_repeat_region,1.301558517554313,3.929606826102092e-88
LCRFinder,snoRNA,basic_enriched_region,1.6140695652602144,3.929606826102092e-88
LCRFinder,tRNA,cation_pi_rich_neighborhood,3.437631777269837,3.929606826102092e-88
LCRFinder,unknown,proline_rich_disordered_region,0.3831091588443061,3.929606826102092e-88
SEG,diverse,disorder_rich_spacer_region,1.5878918317598278,2.7184987035199873e-09
SEG,mRNA,aromatic_aggregation_prone_region,0.7805369097022237,2.7184987035199873e-09
SEG,ncRNA,proline_rich_disordered_region,2.8579809951275723,2.7184987035199873e-09
SEG,pre-rRNA,acidic_region,2.149584553158137,2.7184987035199873e-09
SEG,ribosomal protein,rg_rgg_repeat_region,1.4860122177406143,2.7184987035199873e-09
SEG,snRNA,proline_rich_disordered_region,3.24500411823682,2.7184987035199873e-09
SEG,snoRNA,cation_pi_rich_neighborhood,2.553126413599151,2.7184987035199873e-09
SEG,tRNA,cation_pi_rich_neighborhood,4.360481335656756,2.7184987035199873e-09
SEG,unknown,hydrophobic_region,1.821322524548724,2.7184987035199873e-09
SEG_intermediate,diverse,hydrophobic_region,3.5191534116306915,1.618694063746245e-29
SEG_intermediate,mRNA,aromatic_aggregation_prone_region,0.8621954653561352,1.618694063746245e-29
SEG_intermediate,ncRNA,proline_rich_disordered_region,1.0735939675749515,1.618694063746245e-29
SEG_intermediate,pre-rRNA,acidic_region,1.991503564143624,1.618694063746245e-29
SEG_intermediate,ribosomal protein,basic_enriched_region,2.2945931536115336,1.618694063746245e-29
SEG_intermediate,snRNA,serine_rich_region,2.500294384379376,1.618694063746245e-29
SEG_intermediate,snoRNA,acidic_region,1.3140389817260794,1.618694063746245e-29
SEG_intermediate,tRNA,hydrophobic_region,2.243518969017264,1.618694063746245e-29
SEG_intermediate,unknown,glutamine_rich_region,2.2331023530719256,1.618694063746245e-29
