"Signature","CAST","LCRFinder","fLPS","SEG","SEG-int","AlcoR"
"RG/RGG repeat","2.93*","3.37*","2.88*","4.66*","3.56*","3.00*"
"SR/RS repeat","1.64*","4.33*","1.86*","4.87*","3.71*","1.03"
"basic-enriched","1.66*","1.36*","1.21*","1.49*","1.74*","1.11*"
"Arg-rich contact","0.93*","1.06*","0.56*","2.47*","1.48*","0.68*"
"acidic","1.02*","0.79*","0.72*","1.20*","1.25*","0.46*"
"GS-rich neutral","0.45*","0.47*","0.33*","0.83*","0.54*","−0.05"
"mixed-charge polyamph.","0.54*","0.91*","0.63*","n/a","1.50*","0.56*"
"polar linker","−0.13","0.46*","0.27","1.40*","1.09*","2.20*†"
"disorder-rich spacer","0.23","0.44*","0.12","0.82*","0.47*","0.18"
"aromatic sticker","0.24","0.70*","−0.35*","0.82","0.86*","−0.13"
"cation–π","0.00","2.76†","−0.12","4.34†","0.93*","0.12"
"serine-rich","1.06","−0.11","−0.86*","1.62","−0.30","−1.34"
"Gln/Gly/Pro-rich","~null","~null","~null","~null","~null","~null"
"unmapped","−0.72","0.09","−0.30*","0.68","−0.07","−0.04"
"hydrophobic","−3.39*†","−0.40*","−0.91*","−1.82*","−1.94*","−0.55*"
