"Property","Cross-method result"
"Polar fraction","Higher in RBP LCRs in all six methods"
"Disorder fraction","Higher in all six methods"
"Positive-residue fraction","Higher in all six methods"
"Negative-residue fraction","Higher in all six methods"
"Fraction charged (fcr)","Higher in all six methods"
"Net charge per residue (ncpr)","Shifted more positive in all six methods"
"Hydrophobic fraction","Lower in all six methods"
"Strongly hydrophobic fraction","Lower in all six methods"
"Aromatic fraction","Usually lower; CAST and intermediate SEG show small positive effects instead"
"LCR length","Little or no consistent RBPome-wide difference at the individual-LCR level"
