"Signature","Cross-method pattern"
"RG/RGG repeat","Strongly enriched in all six methods"
"Basic-enriched region","Enriched in all six methods"
"Arginine-rich RNA-contact region","Enriched in all six methods"
"Acidic region","Enriched in all six methods"
"SR/RS repeat","Strongly enriched in CAST, FLPS, LCRFinder, strict SEG, and intermediate SEG; weak/non-significant in AlcoR"
"GS-rich neutral","Enriched in CAST, FLPS, LCRFinder, strict SEG, and intermediate SEG; null in AlcoR"
"Mixed-charge polyampholyte","Enriched in AlcoR, FLPS, LCRFinder, and intermediate SEG; less consistent in CAST and strict SEG"
"Disorder-rich spacer","Enriched in LCRFinder, strict SEG, and intermediate SEG; weaker or null in AlcoR, CAST, and FLPS"
"Hydrophobic region","Depleted in all six methods, though sparse for strict SEG"
"Aromatic sticker","Depleted in AlcoR and FLPS; enriched in CAST, LCRFinder, and intermediate SEG"
