uniprot_accession,uniprot_length,rnaprimaryclass,method,cluster_pam_k2,cluster_hierarchical_k2,cluster_pam_k3,cluster_hierarchical_k3,cluster_pam_k4,cluster_hierarchical_k4,cluster_pam_k5,cluster_hierarchical_k5,cluster_pam_k6,cluster_hierarchical_k6,cluster_pam_k7,cluster_hierarchical_k7,cluster_pam_k8,cluster_hierarchical_k8,cluster_pam_k9,cluster_hierarchical_k9,cluster_pam_k10,cluster_hierarchical_k10,cluster_hdbscan,hdbscan_confidence
Q9Y2T7,364.0,mRNA,LCRFinder,0,2,0,2,3,3,4,3,4,4,3,4,3,4,3,5,3,6,-1,0.0
Q13395,1621.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
Q9H6S0,1430.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,2,4,2,5,4,6,-1,0.0
Q8N1G1,1221.0,pre-rRNA,LCRFinder,1,2,1,2,1,3,1,3,3,4,1,5,1,6,1,7,1,8,-1,0.0
Q9BRR8,931.0,mRNA,LCRFinder,0,2,0,2,1,3,1,3,1,4,1,4,1,4,1,5,1,6,-1,0.0
Q9UNQ2,313.0,pre-rRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,2,0.7730032848664328
Q9BQI3,630.0,mRNA,LCRFinder,0,2,2,2,0,3,4,3,4,4,6,5,6,6,6,7,6,8,-1,0.0
Q9NW64,420.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,2,0.8087769816031397
Q9H501,851.0,pre-rRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q9UJA5,497.0,tRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,2,4,2,5,4,6,-1,0.0
Q8N8D1,485.0,snRNA,LCRFinder,0,2,2,2,0,3,4,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
P26640,1264.0,tRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
P62318,126.0,snRNA,LCRFinder,0,2,0,2,3,3,3,3,0,4,5,4,5,4,0,5,5,6,-1,0.0
O00178,669.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,3,4,3,5,3,6,-1,0.0
O15371,548.0,mRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
O75132,1171.0,unknown,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,0,6,2,0.7053868670503253
Q86U42,306.0,mRNA,LCRFinder,1,2,1,2,3,3,1,3,3,4,3,4,3,4,3,5,3,6,-1,0.0
Q9H307,717.0,mRNA,LCRFinder,1,2,2,2,3,3,1,3,3,3,6,3,0,3,8,4,8,4,-1,0.0
Q9NR97,1041.0,ncRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,7,4,7,5,7,6,-1,0.0
O60828,265.0,mRNA,LCRFinder,0,2,2,2,2,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
O43719,755.0,mRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q14694,798.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q96DP5,389.0,tRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,2,0.92795710171937
Q9NVM6,304.0,unknown,LCRFinder,1,2,1,2,1,3,1,3,1,4,6,5,6,6,6,7,6,8,-1,0.0
Q9UKV8,859.0,ncRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,2,1.0
P14866,589.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q15428,464.0,snRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,3,4,3,5,0,6,-1,0.0
Q9NW13,759.0,snRNA,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q7Z333,2677.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q9H6R0,707.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,0,4,0,5,3,6,-1,0.0
Q9Y5J1,556.0,snoRNA,LCRFinder,1,2,2,2,2,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q7Z417,695.0,mRNA,LCRFinder,1,2,1,3,1,4,0,4,0,5,1,6,1,7,1,8,1,9,-1,0.0
Q9NY12,217.0,snoRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q9H6F5,360.0,unknown,LCRFinder,0,2,2,2,2,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
P16989,372.0,mRNA,LCRFinder,1,2,1,2,3,3,1,3,3,4,3,4,3,4,3,5,3,6,-1,0.0
A0A499FI31,981.0,snRNA,LCRFinder,1,2,1,2,1,3,1,3,3,4,1,5,1,6,1,7,1,8,-1,0.0
Q9Y6K5,1087.0,ncRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,0,4,0,5,2,6,2,0.8556968874754228
Q5XG87,792.0,diverse,LCRFinder,0,2,0,2,3,3,0,3,0,4,0,4,3,4,3,5,0,6,-1,0.0
O43818,475.0,snoRNA,LCRFinder,0,2,2,2,2,3,1,3,3,4,1,5,0,6,0,7,1,8,-1,0.0
Q96EP5,407.0,mRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,0,6,-1,0.0
Q4ZG55,1949.0,unknown,LCRFinder,0,2,0,2,1,3,1,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
Q03701,1054.0,pre-rRNA,LCRFinder,1,2,1,2,2,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q9BWT3,736.0,mRNA,LCRFinder,1,2,1,2,1,3,3,3,5,3,5,3,5,3,5,4,5,5,-1,0.0
Q13148,414.0,mRNA,LCRFinder,0,2,0,2,3,3,0,3,0,4,3,4,3,4,3,5,0,6,-1,0.0
Q06265,439.0,diverse,LCRFinder,1,2,2,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,1,0.7587439964440844
P09012,282.0,snRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,4,4,0,4,0,5,2,6,-1,0.0
Q13247,344.0,mRNA,LCRFinder,1,2,1,2,3,3,3,3,3,3,5,3,5,3,8,4,8,4,-1,0.0
Q8WVK2,155.0,snRNA,LCRFinder,1,2,1,2,3,3,3,3,3,3,5,3,5,3,8,4,8,4,-1,0.0
O00566,681.0,snoRNA,LCRFinder,1,2,1,2,2,3,2,3,2,4,2,5,4,6,4,7,9,8,-1,0.0
Q96EU6,259.0,pre-rRNA,LCRFinder,0,2,0,2,0,3,4,3,4,4,0,4,2,4,2,5,4,6,-1,0.0
P09234,159.0,snRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,0,4,2,4,2,5,4,6,-1,0.0
Q5JTZ9,985.0,tRNA,LCRFinder,0,2,0,2,3,3,3,3,0,4,3,4,3,4,3,5,3,6,-1,0.0
Q96J94,861.0,ncRNA,LCRFinder,0,2,0,2,3,3,3,3,3,3,5,3,5,3,3,4,3,5,-1,0.0
Q9BZI7,483.0,mRNA,LCRFinder,1,2,1,2,1,3,1,3,1,4,1,5,1,6,1,7,1,8,-1,0.0
Q92797,1274.0,mRNA,LCRFinder,0,2,0,2,0,3,0,3,0,4,6,5,2,6,2,7,4,8,-1,0.0
Q8IWZ8,645.0,mRNA,LCRFinder,0,2,0,2,3,3,3,3,3,4,6,5,6,6,6,7,6,8,-1,0.0
P51116,673.0,mRNA,LCRFinder,1,2,1,2,3,3,1,3,3,4,3,5,3,6,3,7,3,8,-1,0.0
Q15415,496.0,mRNA,LCRFinder,0,2,0,2,3,3,3,3,3,4,5,4,5,4,0,5,0,6,-1,0.0
