uniprot_accession,rna_class,uniprot_length,n_lcr,lcr_residues,coverage,n_lcr_category,method
A0A024RCN4,unknown,479.0,2,11,0.022964509394572025,2,LCRFinder
A0A087WVF4,unknown,1798.0,22,144,0.08008898776418243,3+,LCRFinder
A0A087WZ13,unknown,739.0,9,69,0.09336941813261164,3+,LCRFinder
A0A087X0J2,diverse,248.0,1,7,0.028225806451612902,1,LCRFinder
A0A0A0MQW0,mRNA,576.0,4,20,0.034722222222222224,3+,LCRFinder
A0A0A0MRM9,snoRNA,708.0,18,221,0.3121468926553672,3+,LCRFinder
A0A0A0MRZ1,unknown,733.0,9,68,0.0927694406548431,3+,LCRFinder
A0A0A0MSN9,mRNA,333.0,6,71,0.2132132132132132,3+,LCRFinder
A0A0A0MSS9,mRNA,486.0,1,5,0.0102880658436214,1,LCRFinder
A0A0B4J1V9,unknown,884.0,4,21,0.023755656108597284,3+,LCRFinder
A0A0B4J203,mRNA,849.0,4,26,0.030624263839811542,3+,LCRFinder
A0A0C4DG89,snRNA,1032.0,14,131,0.12693798449612403,3+,LCRFinder
A0A0C4DGG8,mRNA,1043.0,21,168,0.1610738255033557,3+,LCRFinder
A0A0D9SF53,unknown,733.0,4,43,0.058663028649386086,3+,LCRFinder
A0A0D9SFM0,unknown,1687.0,3,21,0.012448132780082987,3+,LCRFinder
A0A0G2JKY3,tRNA,1061.0,2,8,0.007540056550424128,2,LCRFinder
A0A140T8Y2,pre-rRNA,407.0,3,20,0.04914004914004914,3+,LCRFinder
A0A140TA76,mRNA,344.0,4,30,0.0872093023255814,3+,LCRFinder
A0A286YFD1,unknown,2093.0,5,26,0.012422360248447204,3+,LCRFinder
A0A2R8Y4L2,mRNA,320.0,5,49,0.153125,3+,LCRFinder
A0A2R8Y6W8,unknown,807.0,1,6,0.007434944237918215,1,LCRFinder
A0A494C0I1,unknown,1111.0,2,9,0.008100810081008101,2,LCRFinder
A0A494C1N8,unknown,1116.0,2,9,0.008064516129032258,2,LCRFinder
A0A499FI31,snRNA,981.0,4,28,0.02854230377166157,3+,LCRFinder
A0A499FIA3,unknown,238.0,1,4,0.01680672268907563,1,LCRFinder
A0A590UJW6,unknown,1086.0,10,77,0.070902394106814,3+,LCRFinder
A0A5H1ZRQ2,mRNA,731.0,7,59,0.08071135430916553,3+,LCRFinder
A0A5K1VW79,mRNA,999.0,16,161,0.16116116116116116,3+,LCRFinder
A0A7I2V5M7,unknown,476.0,5,46,0.09663865546218488,3+,LCRFinder
A0A7N4I394,snRNA,994.0,11,110,0.11066398390342053,3+,LCRFinder
A0A7P0N5L0,unknown,480.0,2,16,0.03333333333333333,2,LCRFinder
A0A804HKV4,mRNA,723.0,2,10,0.013831258644536652,2,LCRFinder
A0A8I5KNN2,pre-rRNA,808.0,5,40,0.04950495049504951,3+,LCRFinder
A0A8I5KSH6,unknown,925.0,9,66,0.07135135135135136,3+,LCRFinder
A0A8I5KVU2,mRNA,1735.0,11,51,0.029394812680115272,3+,LCRFinder
A0A8I5KX04,mRNA,1686.0,16,91,0.05397390272835113,3+,LCRFinder
A0A8V8TR54,unknown,2114.0,22,185,0.08751182592242195,3+,LCRFinder
A0A994J6B2,unknown,331.0,1,4,0.012084592145015106,1,LCRFinder
A0A994J7T5,mRNA,750.0,5,26,0.034666666666666665,3+,LCRFinder
