uniprot_accession,rna_class,uniprot_length,n_lcr,lcr_residues,coverage,n_lcr_category,method
A0A024R214,mRNA,626.0,13,357,0.5702875399361023,3+,AlcoR
A0A024RCN4,unknown,479.0,2,31,0.06471816283924843,2,AlcoR
A0A087WUV0,unknown,522.0,6,93,0.1781609195402299,3+,AlcoR
A0A087WXN2,mRNA,151.0,1,44,0.2913907284768212,1,AlcoR
A0A087WZ13,unknown,739.0,3,457,0.618403247631935,3+,AlcoR
A0A087X0J2,diverse,248.0,1,248,1.0,1,AlcoR
A0A0A0MQW0,mRNA,576.0,1,366,0.6354166666666666,1,AlcoR
A0A0A0MQZ6,pre-rRNA,189.0,1,189,1.0,1,AlcoR
A0A0A0MRM9,snoRNA,708.0,4,70,0.09887005649717515,3+,AlcoR
A0A0A0MRZ1,unknown,733.0,2,24,0.03274215552523874,2,AlcoR
A0A0A0MSN9,mRNA,333.0,3,120,0.36036036036036034,3+,AlcoR
A0A0A0MSS9,mRNA,486.0,1,22,0.04526748971193416,1,AlcoR
A0A0A0MSV7,mRNA,84.0,1,73,0.8690476190476191,1,AlcoR
A0A0B4J254,snRNA,67.0,1,67,1.0,1,AlcoR
A0A0C4DG89,snRNA,1032.0,2,132,0.12790697674418605,2,AlcoR
A0A0C4DGG8,mRNA,1043.0,7,525,0.5033557046979866,3+,AlcoR
A0A0D9SF53,unknown,733.0,5,663,0.9045020463847203,3+,AlcoR
A0A0D9SFM0,unknown,1687.0,5,1375,0.8150563129816242,3+,AlcoR
A0A0G2JKY3,tRNA,1061.0,1,1061,1.0,1,AlcoR
A0A140T8Y2,pre-rRNA,407.0,1,19,0.04668304668304668,1,AlcoR
A0A140TA76,mRNA,344.0,1,300,0.872093023255814,1,AlcoR
A0A1W2PPH5,unknown,198.0,1,198,1.0,1,AlcoR
A0A286YFD1,unknown,2093.0,5,1948,0.9307214524605829,3+,AlcoR
A0A2R8Y4L2,mRNA,320.0,1,317,0.990625,1,AlcoR
A0A2R8Y6W8,unknown,807.0,1,133,0.16480793060718713,1,AlcoR
A0A2U3TZN1,mRNA,101.0,2,28,0.27722772277227725,2,AlcoR
A0A384DVK4,unknown,778.0,2,252,0.32390745501285345,2,AlcoR
A0A494C0I1,unknown,1111.0,2,327,0.29432943294329433,2,AlcoR
A0A494C1N8,unknown,1116.0,9,786,0.7043010752688172,3+,AlcoR
A0A499FI31,snRNA,981.0,1,323,0.3292558613659531,1,AlcoR
A0A499FIA3,unknown,238.0,1,25,0.10504201680672269,1,AlcoR
A0A590UJW6,unknown,1086.0,6,602,0.5543278084714549,3+,AlcoR
A0A5F9ZHS7,unknown,289.0,1,289,1.0,1,AlcoR
A0A5H1ZRQ2,mRNA,731.0,3,108,0.14774281805745554,3+,AlcoR
A0A5K1VW79,mRNA,999.0,2,369,0.36936936936936937,2,AlcoR
A0A7I2V5M7,unknown,476.0,1,476,1.0,1,AlcoR
A0A7I2XXS4,tRNA,543.0,2,75,0.13812154696132597,2,AlcoR
A0A7N4I394,snRNA,994.0,3,681,0.6851106639839034,3+,AlcoR
A0A804HKV4,mRNA,723.0,2,713,0.9861687413554634,2,AlcoR
A0A8I5KSH6,unknown,925.0,3,84,0.09081081081081081,3+,AlcoR
A0A8I5KVU2,mRNA,1735.0,3,759,0.43746397694524497,3+,AlcoR
A0A8I5KX04,mRNA,1686.0,1,20,0.011862396204033215,1,AlcoR
A0A8Q3WL03,unknown,351.0,2,321,0.9145299145299145,2,AlcoR
A0A8V8TR54,unknown,2114.0,5,690,0.32639545884578997,3+,AlcoR
A0A994J6B2,unknown,331.0,3,315,0.9516616314199395,3+,AlcoR
A0A994J7T5,mRNA,750.0,4,739,0.9853333333333333,3+,AlcoR
A0AA34QW03,mRNA,678.0,3,611,0.9011799410029498,3+,AlcoR
A0ABB0MN55,mRNA,322.0,1,322,1.0,1,AlcoR
A0ABB0MV08,mRNA,369.0,2,199,0.5392953929539296,2,AlcoR
A0ABB0MVJ3,unknown,604.0,4,288,0.4768211920529801,3+,AlcoR
A0ACI8P9Y7,unknown,1707.0,2,549,0.3216168717047452,2,AlcoR
A0ACI8PHD2,unknown,261.0,1,261,1.0,1,AlcoR
A0ACI8PIT5,unknown,456.0,1,122,0.2675438596491228,1,AlcoR
A0ACI8PJP7,mRNA,596.0,8,497,0.8338926174496645,3+,AlcoR
A0ACI8PR05,unknown,399.0,3,358,0.8972431077694235,3+,AlcoR
A0ACI8PT71,unknown,1306.0,4,1281,0.9808575803981623,3+,AlcoR
A0ACI8PUZ8,unknown,1375.0,9,1272,0.9250909090909091,3+,AlcoR
A0ACI8PVP6,unknown,744.0,1,7,0.009408602150537635,1,AlcoR
A0ACI8PX57,unknown,378.0,2,367,0.9708994708994709,2,AlcoR
A0ACI8Q010,unknown,418.0,3,397,0.9497607655502392,3+,AlcoR
A0ACI8Q0P4,unknown,829.0,2,823,0.9927623642943305,2,AlcoR
A0ACI8QA17,unknown,371.0,2,370,0.9973045822102425,2,AlcoR
A0ACI8QBP4,unknown,358.0,1,358,1.0,1,AlcoR
A0ACI8QGH0,unknown,324.0,2,317,0.9783950617283951,2,AlcoR
A0ACI8QH16,tRNA,558.0,4,522,0.9354838709677419,3+,AlcoR
A0ACI8QHW6,unknown,749.0,2,389,0.5193591455273698,2,AlcoR
A0ACI8QLY8,unknown,321.0,2,302,0.940809968847352,2,AlcoR
A0ACI8QNN6,unknown,701.0,3,45,0.06419400855920114,3+,AlcoR
A0ACI8QTQ5,diverse,1388.0,6,101,0.07276657060518732,3+,AlcoR
A0ACI8QU73,unknown,864.0,3,832,0.9629629629629629,3+,AlcoR
A0ACI8QUJ1,unknown,752.0,4,682,0.9069148936170213,3+,AlcoR
A0ACI8QV99,unknown,461.0,5,93,0.2017353579175705,3+,AlcoR
A0ACI8QY88,mRNA,715.0,1,649,0.9076923076923077,1,AlcoR
A0ACI8R3H8,unknown,616.0,3,579,0.939935064935065,3+,AlcoR
A0ACI8R7A3,unknown,356.0,1,349,0.9803370786516854,1,AlcoR
A0ACI8R7Y8,unknown,131.0,1,131,1.0,1,AlcoR
A0ACI8RCQ9,unknown,534.0,8,154,0.2883895131086142,3+,AlcoR
A0ACI8RHW9,unknown,182.0,2,23,0.12637362637362637,2,AlcoR
A0ACI8RI26,unknown,764.0,5,254,0.3324607329842932,3+,AlcoR
A0ACI8RL22,unknown,1967.0,5,1364,0.6934417895271988,3+,AlcoR
A0ACI8RLL6,unknown,729.0,3,671,0.9204389574759945,3+,AlcoR
A0ACI8RMB5,unknown,1003.0,3,200,0.19940179461615154,3+,AlcoR
A0ACI8RR28,unknown,918.0,5,801,0.8725490196078431,3+,AlcoR
A0ACI8RSP0,ribosomal protein,320.0,1,320,1.0,1,AlcoR
A0ACI8RTZ8,unknown,489.0,1,14,0.028629856850715747,1,AlcoR
A0ACI8RWF6,unknown,608.0,2,576,0.9473684210526315,2,AlcoR
A0ACI8RX58,unknown,750.0,14,344,0.45866666666666667,3+,AlcoR
A0ACI8S0C5,unknown,927.0,3,557,0.6008629989212514,3+,AlcoR
A0ACI8S113,unknown,1253.0,2,441,0.35195530726256985,2,AlcoR
A0ACI8S180,ribosomal protein,136.0,1,136,1.0,1,AlcoR
A0ACI8S5H4,unknown,1122.0,12,683,0.6087344028520499,3+,AlcoR
A0ACI8S5T8,unknown,488.0,2,346,0.7090163934426229,2,AlcoR
A0ACI8SAU3,unknown,2066.0,20,1286,0.6224588576960309,3+,AlcoR
A0ACI8SBH9,unknown,480.0,1,17,0.035416666666666666,1,AlcoR
A0ACI8SEY7,unknown,629.0,1,629,1.0,1,AlcoR
A0ACI8SPJ0,snRNA,2147.0,4,994,0.46297158826269214,3+,AlcoR
A0ACI8SQV4,unknown,211.0,1,211,1.0,1,AlcoR
A0ACI8SRT4,ribosomal protein,223.0,1,19,0.08520179372197309,1,AlcoR
A0ACI8SSD0,unknown,670.0,1,343,0.5119402985074627,1,AlcoR
A0ACI8SXP5,unknown,451.0,2,265,0.5875831485587583,2,AlcoR
A0ACI8SYT5,unknown,674.0,2,621,0.9213649851632048,2,AlcoR
A0ACI8SZ27,unknown,721.0,1,87,0.12066574202496533,1,AlcoR
A0ACI8T7F0,tRNA,1068.0,5,100,0.09363295880149813,3+,AlcoR
A0ACI8T9E2,unknown,234.0,5,177,0.7564102564102564,3+,AlcoR
A0ACI8TCF1,unknown,435.0,5,110,0.25287356321839083,3+,AlcoR
A0ACI8TEP7,unknown,818.0,4,804,0.9828850855745721,3+,AlcoR
A0ACI8TFG6,tRNA,1552.0,4,438,0.2822164948453608,3+,AlcoR
A0ACI8TH72,unknown,1111.0,6,1079,0.9711971197119712,3+,AlcoR
A0ACI8TIT4,unknown,488.0,1,488,1.0,1,AlcoR
A0ACI8TJ61,unknown,193.0,1,193,1.0,1,AlcoR
