uniprot_accession,rna_class,uniprot_length,signature_for_fraction,signature_residues,property_fraction,method
A0A024R214|ensembl_protein_id=ENSP00000478598|entry=A0A024R214_HUMAN|source=pfam38|protein_name=Cytoplasmic,mRNA,,aromatic_sticker_region,60,,FLPS
A0A024R214|ensembl_protein_id=ENSP00000478598|entry=A0A024R214_HUMAN|source=pfam38|protein_name=Cytoplasmic,mRNA,,disorder_rich_spacer_region,18,,FLPS
A0A024R214|ensembl_protein_id=ENSP00000478598|entry=A0A024R214_HUMAN|source=pfam38|protein_name=Cytoplasmic,mRNA,,gs_rich_neutral_region,47,,FLPS
A0A024R214|ensembl_protein_id=ENSP00000478598|entry=A0A024R214_HUMAN|source=pfam38|protein_name=Cytoplasmic,mRNA,,hydrophobic_region,12,,FLPS
A0A024RCN4|ensembl_protein_id=ENSP00000481707|entry=A0A024RCN4_HUMAN|source=pfam38|protein_name=Zinc,unknown,,acidic_region,27,,FLPS
A0A024RCN4|ensembl_protein_id=ENSP00000481707|entry=A0A024RCN4_HUMAN|source=pfam38|protein_name=Zinc,unknown,,aromatic_sticker_region,12,,FLPS
A0A024RCN4|ensembl_protein_id=ENSP00000481707|entry=A0A024RCN4_HUMAN|source=pfam38|protein_name=Zinc,unknown,,hydrophobic_region,5,,FLPS
A0A024RCN4|ensembl_protein_id=ENSP00000481707|entry=A0A024RCN4_HUMAN|source=pfam38|protein_name=Zinc,unknown,,other,5,,FLPS
A0A087WT20|ensembl_protein_id=ENSP00000297579|entry=A0A087WT20_HUMAN|source=pfam27|protein_name=DDB1-,pre-rRNA,,arginine_rich_rna_contact_region,42,,FLPS
A0A087WT20|ensembl_protein_id=ENSP00000297579|entry=A0A087WT20_HUMAN|source=pfam27|protein_name=DDB1-,pre-rRNA,,disorder_rich_spacer_region,18,,FLPS
A0A087WT20|ensembl_protein_id=ENSP00000297579|entry=A0A087WT20_HUMAN|source=pfam27|protein_name=DDB1-,pre-rRNA,,hydrophobic_region,5,,FLPS
A0A087WUV0|ensembl_protein_id=ENSP00000478941|entry=ZN892_HUMAN|source=pfam38|protein_name=Zinc,unknown,,acidic_region,58,,FLPS
A0A087WUV0|ensembl_protein_id=ENSP00000478941|entry=ZN892_HUMAN|source=pfam38|protein_name=Zinc,unknown,,aromatic_sticker_region,37,,FLPS
A0A087WUV0|ensembl_protein_id=ENSP00000478941|entry=ZN892_HUMAN|source=pfam38|protein_name=Zinc,unknown,,disorder_rich_spacer_region,7,,FLPS
A0A087WVF4|ensembl_protein_id=ENSP00000479403|entry=A0A087WVF4_HUMAN|source=pfam38|protein_name=Chromodomain,unknown,,acidic_region,135,,FLPS
