uniprot_accession,rna_class,uniprot_length,n_lcr,lcr_residues,coverage,n_lcr_category,method
A0A024R214,mRNA,626.0,6,137,0.21884984025559107,3+,FLPS
A0A024RCN4,unknown,479.0,5,49,0.1022964509394572,3+,FLPS
A0A087WT20,pre-rRNA,597.0,3,65,0.10887772194304858,3+,FLPS
A0A087WUV0,unknown,522.0,4,102,0.19540229885057472,3+,FLPS
A0A087WVF4,unknown,1798.0,20,640,0.3559510567296997,3+,FLPS
A0A087WXN2,mRNA,151.0,2,44,0.2913907284768212,2,FLPS
A0A087WZ13,unknown,739.0,9,368,0.4979702300405954,3+,FLPS
A0A087X0J2,diverse,248.0,1,16,0.06451612903225806,1,FLPS
A0A0A0MQW0,mRNA,576.0,3,171,0.296875,3+,FLPS
A0A0A0MQZ6,pre-rRNA,189.0,2,66,0.3492063492063492,2,FLPS
A0A0A0MRM9,snoRNA,708.0,24,413,0.5833333333333334,3+,FLPS
A0A0A0MRW7,diverse,336.0,3,43,0.12797619047619047,3+,FLPS
A0A0A0MRZ1,unknown,733.0,10,234,0.31923601637107774,3+,FLPS
A0A0A0MSN9,mRNA,333.0,4,106,0.3183183183183183,3+,FLPS
A0A0A0MSS9,mRNA,486.0,4,90,0.18518518518518517,3+,FLPS
A0A0A0MTQ0,ncRNA,185.0,1,27,0.14594594594594595,1,FLPS
A0A0B4J1V9,unknown,884.0,4,83,0.09389140271493213,3+,FLPS
A0A0B4J203,mRNA,849.0,7,94,0.11071849234393404,3+,FLPS
A0A0C4DG89,snRNA,1032.0,9,308,0.29844961240310075,3+,FLPS
A0A0C4DGG8,mRNA,1043.0,8,432,0.41418983700862894,3+,FLPS
A0A0C4DGK8,mRNA,146.0,1,12,0.0821917808219178,1,FLPS
A0A0C4DH24,unknown,114.0,1,16,0.14035087719298245,1,FLPS
A0A0D9SF53,unknown,733.0,2,143,0.19508867667121418,2,FLPS
A0A0D9SFM0,unknown,1687.0,12,170,0.1007705986959099,3+,FLPS
A0A0G2JKY3,tRNA,1061.0,5,74,0.06974552309142319,3+,FLPS
A0A140T8Y2,pre-rRNA,407.0,4,54,0.13267813267813267,3+,FLPS
A0A140TA76,mRNA,344.0,3,63,0.18313953488372092,3+,FLPS
A0A286YFD1,unknown,2093.0,8,116,0.05542283803153368,3+,FLPS
A0A2R8Y4L2,mRNA,320.0,3,131,0.409375,3+,FLPS
A0A2R8Y6W8,unknown,807.0,4,74,0.09169764560099132,3+,FLPS
A0A384DVK4,unknown,778.0,5,100,0.12853470437017994,3+,FLPS
A0A494C0I1,unknown,1111.0,3,47,0.0423042304230423,3+,FLPS
A0A494C1N8,unknown,1116.0,3,47,0.042114695340501794,3+,FLPS
A0A499FI31,snRNA,981.0,8,136,0.13863404689092762,3+,FLPS
A0A499FIA3,unknown,238.0,2,61,0.25630252100840334,2,FLPS
A0A590UJW6,unknown,1086.0,14,245,0.22559852670349909,3+,FLPS
A0A5F9ZHS7,unknown,289.0,5,113,0.39100346020761245,3+,FLPS
A0A5H1ZRQ2,mRNA,731.0,9,241,0.32968536251709984,3+,FLPS
A0A5K1VW79,mRNA,999.0,12,431,0.4314314314314314,3+,FLPS
A0A7I2V5M7,unknown,476.0,6,222,0.46638655462184875,3+,FLPS
A0A7N4I394,snRNA,994.0,12,385,0.3873239436619718,3+,FLPS
A0A7P0MRT9,mRNA,323.0,1,5,0.015479876160990712,1,FLPS
A0A7P0N5L0,unknown,480.0,3,60,0.125,3+,FLPS
A0A804HKV4,mRNA,723.0,6,112,0.15491009681881052,3+,FLPS
A0A8I5KNN2,pre-rRNA,808.0,4,223,0.275990099009901,3+,FLPS
A0A8I5KSH6,unknown,925.0,7,142,0.1535135135135135,3+,FLPS
A0A8I5KVU2,mRNA,1735.0,7,141,0.08126801152737752,3+,FLPS
A0A8I5KWK6,unknown,331.0,4,58,0.17522658610271905,3+,FLPS
A0A8I5KX04,mRNA,1686.0,13,637,0.3778173190984579,3+,FLPS
A0A8I5KY89,unknown,167.0,1,31,0.18562874251497005,1,FLPS
A0A8Q3WL03,unknown,351.0,3,51,0.1452991452991453,3+,FLPS
A0A8V8TR54,unknown,2114.0,31,720,0.34058656575212864,3+,FLPS
A0A994J6B2,unknown,331.0,1,10,0.030211480362537766,1,FLPS
A0A994J7T5,mRNA,750.0,6,99,0.132,3+,FLPS
A0AA34QW03,mRNA,678.0,5,205,0.3023598820058997,3+,FLPS
A0ABB0MN55,mRNA,322.0,3,137,0.4254658385093168,3+,FLPS
A0ABB0MV08,mRNA,369.0,2,154,0.4173441734417344,2,FLPS
A0ABB0MVJ3,unknown,604.0,3,23,0.0380794701986755,3+,FLPS
A0ACI8P9Y7,unknown,1707.0,6,88,0.051552431165787935,3+,FLPS
A0ACI8PHD2,unknown,261.0,4,128,0.4904214559386973,3+,FLPS
A0ACI8PI13,mRNA,378.0,1,18,0.047619047619047616,1,FLPS
A0ACI8PJP7,mRNA,596.0,3,43,0.07214765100671142,3+,FLPS
A0ACI8PR05,unknown,399.0,2,31,0.07769423558897243,2,FLPS
A0ACI8PT71,unknown,1306.0,7,101,0.0773353751914242,3+,FLPS
A0ACI8PUZ8,unknown,1375.0,9,158,0.1149090909090909,3+,FLPS
A0ACI8PVP6,unknown,744.0,7,116,0.15591397849462366,3+,FLPS
A0ACI8PX57,unknown,378.0,3,169,0.4470899470899471,3+,FLPS
A0ACI8Q010,unknown,418.0,4,89,0.21291866028708134,3+,FLPS
A0ACI8Q0P4,unknown,829.0,10,320,0.38600723763570566,3+,FLPS
A0ACI8Q806,unknown,498.0,6,320,0.642570281124498,3+,FLPS
A0ACI8QA17,unknown,371.0,4,64,0.1725067385444744,3+,FLPS
A0ACI8QBP4,unknown,358.0,1,5,0.013966480446927373,1,FLPS
A0ACI8QGH0,unknown,324.0,1,5,0.015432098765432098,1,FLPS
A0ACI8QH16,tRNA,558.0,2,57,0.10215053763440861,2,FLPS
A0ACI8QHW6,unknown,749.0,4,77,0.102803738317757,3+,FLPS
