protein_id,protein_length,cluster_id,n_lcr,lcr_residues,mean_lcr_length,coverage,multiplicity_cat,pos__domain_intrinsic,pos__domain_edge,pos__domain_adjacent,pos__interdomain_linker,pos__distal_terminal,sig__acidic_region,sig__arginine_rich_rna_contact_region,sig__aromatic_sticker_region,sig__basic_enriched_region,sig__cation_pi_rich_neighborhood,sig__disorder_rich_spacer_region,sig__glutamine_rich_region,sig__glycine_rich_region,sig__gs_rich_neutral_region,sig__hydrophobic_region,sig__mixed_charge_polyampholyte,sig__polar_linker,sig__proline_rich_disordered_region,sig__rg_rgg_repeat_region,sig__serine_rich_region,sig__sr_rs_repeat_region,sig__unmapped_physicochemical_properties,ncpr,fcr,is_medoid
Q9Y2T7,364.0,0,2,42,21.0,0.11538461538461539,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.047619047619047616,0.23809523809523814,False
O60306,1485.0,4,2,69,34.5,0.046464646464646465,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,-0.144927536231884,0.1739130434782609,False
Q9H6S0,1430.0,2,2,1321,660.5,0.9237762237762238,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.011355034065102196,0.24602573807721428,False
O15371,548.0,4,1,17,17.0,0.03102189781021898,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.4705882352941176,False
Q9H307,717.0,4,2,65,32.5,0.09065550906555091,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.09230769230769229,0.4307692307692308,False
Q4VXU2,619.0,0,1,22,22.0,0.035541195476575124,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1363636363636364,0.22727272727272727,False
Q05048,431.0,1,4,190,47.5,0.4408352668213457,3+,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01578947368421052,0.22631578947368422,False
Q05639,463.0,1,2,36,18.0,0.07775377969762419,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.08333333333333333,0.25,False
Q9NR97,1041.0,1,1,110,110.0,0.10566762728146013,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05454545454545454,0.21818181818181823,False
O60828,265.0,2,3,257,85.66666666666667,0.969811320754717,3+,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-0.023346303501945526,0.41245136186770426,False
