uniprot_accession,rna_class,uniprot_length,signature_for_fraction,signature_residues,property_fraction,method
A0A087WVF4,unknown,1798.0,acidic_region,22,0.012235817575083427,SEG_intermediate
A0A087WVF4,unknown,1798.0,aromatic_sticker_region,11,0.006117908787541713,SEG_intermediate
A0A087WVF4,unknown,1798.0,disorder_rich_spacer_region,45,0.02502780867630701,SEG_intermediate
A0A087WVF4,unknown,1798.0,gs_rich_neutral_region,55,0.030589543937708564,SEG_intermediate
A0A0A0MQW0,mRNA,576.0,other,22,0.03819444444444445,SEG_intermediate
A0A0A0MRM9,snoRNA,708.0,acidic_region,121,0.1709039548022599,SEG_intermediate
A0A0A0MRM9,snoRNA,708.0,disorder_rich_spacer_region,69,0.09745762711864407,SEG_intermediate
A0A0A0MRM9,snoRNA,708.0,other,41,0.05790960451977401,SEG_intermediate
A0A0A0MRZ1,unknown,733.0,disorder_rich_spacer_region,33,0.045020463847203276,SEG_intermediate
A0A0A0MSN9,mRNA,333.0,basic_enriched_region,30,0.09009009009009009,SEG_intermediate
A0A0A0MSN9,mRNA,333.0,sr_rs_repeat_region,60,0.18018018018018017,SEG_intermediate
A0A0B4J203,mRNA,849.0,acidic_region,17,0.020023557126030624,SEG_intermediate
A0A0C4DG89,snRNA,1032.0,basic_enriched_region,27,0.02616279069767442,SEG_intermediate
A0A0C4DG89,snRNA,1032.0,other,28,0.027131782945736434,SEG_intermediate
A0A0C4DG89,snRNA,1032.0,sr_rs_repeat_region,98,0.09496124031007752,SEG_intermediate
A0A0C4DGG8,mRNA,1043.0,acidic_region,31,0.029721955896452542,SEG_intermediate
A0A0C4DGG8,mRNA,1043.0,disorder_rich_spacer_region,99,0.09491850431447747,SEG_intermediate
A0A0C4DGG8,mRNA,1043.0,other,42,0.040268456375838924,SEG_intermediate
A0A0C4DGG8,mRNA,1043.0,sr_rs_repeat_region,44,0.04218600191754554,SEG_intermediate
A0A0D9SF53,unknown,733.0,sr_rs_repeat_region,37,0.0504774897680764,SEG_intermediate
A0A140T8Y2,pre-rRNA,407.0,acidic_region,38,0.09336609336609336,SEG_intermediate
A0A140TA76,mRNA,344.0,rg_rgg_repeat_region,20,0.05813953488372093,SEG_intermediate
A0A2R8Y4L2,mRNA,320.0,gs_rich_neutral_region,15,0.046875,SEG_intermediate
A0A2R8Y4L2,mRNA,320.0,rg_rgg_repeat_region,75,0.234375,SEG_intermediate
A0A499FI31,snRNA,981.0,arginine_rich_rna_contact_region,30,0.03058103975535168,SEG_intermediate
A0A499FI31,snRNA,981.0,disorder_rich_spacer_region,27,0.027522935779816515,SEG_intermediate
A0A590UJW6,unknown,1086.0,aromatic_sticker_region,38,0.034990791896869246,SEG_intermediate
A0A590UJW6,unknown,1086.0,disorder_rich_spacer_region,16,0.014732965009208104,SEG_intermediate
A0A5H1ZRQ2,mRNA,731.0,aromatic_sticker_region,33,0.04514363885088919,SEG_intermediate
A0A5H1ZRQ2,mRNA,731.0,disorder_rich_spacer_region,32,0.04377564979480164,SEG_intermediate
A0A5H1ZRQ2,mRNA,731.0,gs_rich_neutral_region,34,0.046511627906976744,SEG_intermediate
A0A5K1VW79,mRNA,999.0,aromatic_sticker_region,71,0.07107107107107107,SEG_intermediate
A0A5K1VW79,mRNA,999.0,disorder_rich_spacer_region,145,0.14514514514514515,SEG_intermediate
A0A5K1VW79,mRNA,999.0,gs_rich_neutral_region,16,0.016016016016016016,SEG_intermediate
A0A7I2V5M7,unknown,476.0,acidic_region,60,0.12605042016806722,SEG_intermediate
A0A7I2V5M7,unknown,476.0,rg_rgg_repeat_region,30,0.06302521008403361,SEG_intermediate
