protein_id,protein_length,cluster_id,n_lcr,lcr_residues,mean_lcr_length,coverage,multiplicity_cat,pos__domain_intrinsic,pos__domain_edge,pos__domain_adjacent,pos__interdomain_linker,pos__distal_terminal,sig__acidic_region,sig__arginine_rich_rna_contact_region,sig__aromatic_aggregation_prone_region,sig__aromatic_sticker_region,sig__basic_enriched_region,sig__cation_pi_rich_neighborhood,sig__disorder_rich_spacer_region,sig__glutamine_rich_region,sig__glycine_rich_region,sig__gs_rich_neutral_region,sig__hydrophobic_region,sig__mixed_charge_polyampholyte,sig__polar_linker,sig__proline_rich_disordered_region,sig__rg_rgg_repeat_region,sig__serine_rich_region,sig__sr_rs_repeat_region,sig__unmapped_physicochemical_properties,is_medoid
Q9UJK0,312.0,0,4,94.0,23.5,0.30128205128205127,3+,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
Q9Y2T7,364.0,0,7,207.0,29.571428571428573,0.5686813186813187,3+,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,False
Q13395,1621.0,0,10,243.0,24.3,0.1499074645280691,3+,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,False
P82664,201.0,1,1,21.0,21.0,0.1044776119402985,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
P82673,323.0,0,5,125.0,25.0,0.38699690402476783,3+,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
O60306,1485.0,0,9,157.0,17.444444444444443,0.10572390572390572,3+,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,False
Q9H6S0,1430.0,0,7,171.0,24.428571428571427,0.11958041958041958,3+,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,False
Q8N1G1,1221.0,0,15,328.0,21.866666666666667,0.26863226863226863,3+,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,False
Q9H000,416.0,0,3,67.0,22.333333333333332,0.16105769230769232,3+,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Q9BRR8,931.0,0,9,178.0,19.77777777777778,0.19119226638023631,3+,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,False
P46782,204.0,1,1,5.0,5.0,0.024509803921568627,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,False
Q9UNQ2,313.0,0,4,62.0,15.5,0.19808306709265175,3+,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,False
Q9BQI3,630.0,0,4,51.0,12.75,0.08095238095238096,3+,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
Q9NW64,420.0,2,2,95.0,47.5,0.2261904761904762,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
Q9H501,851.0,0,8,249.0,31.125,0.2925969447708578,3+,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,False
Q9UJA5,497.0,0,5,90.0,18.0,0.18108651911468812,3+,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,False
Q8N8D1,485.0,0,4,262.0,65.5,0.5402061855670103,3+,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,False
P26640,1264.0,0,10,237.0,23.7,0.1875,3+,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,False
A0A0A0MQR7,204.0,3,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
P62318,126.0,2,2,45.0,22.5,0.35714285714285715,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,False
Q9Y3I0,505.0,2,2,29.0,14.5,0.05742574257425743,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
O00178,669.0,0,3,63.0,21.0,0.09417040358744394,3+,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,False
Q6NTF7,200.0,2,2,21.0,10.5,0.105,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
O15371,548.0,0,4,79.0,19.75,0.14416058394160583,3+,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,False
Q7RTV0,110.0,1,1,75.0,75.0,0.6818181818181818,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
O75132,1171.0,0,10,112.0,11.2,0.09564474807856532,3+,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,False
Q13686,389.0,2,2,36.0,18.0,0.09254498714652956,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,False
Q86U42,306.0,0,4,213.0,53.25,0.696078431372549,3+,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,False
P61011,504.0,2,2,104.0,52.0,0.20634920634920634,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
Q9H307,717.0,0,8,440.0,55.0,0.6136680613668062,3+,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,False
Q4VXU2,619.0,0,4,113.0,28.25,0.1825525040387722,3+,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,False
Q05048,431.0,1,1,21.0,21.0,0.048723897911832945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,False
Q05639,463.0,3,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Q96SZ6,601.0,2,2,15.0,7.5,0.024958402662229616,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,False
Q9NR97,1041.0,0,5,172.0,34.4,0.16522574447646493,3+,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,False
O60828,265.0,0,3,99.0,33.0,0.37358490566037733,3+,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,False
O43719,755.0,0,7,411.0,58.714285714285715,0.5443708609271524,3+,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,False
Q14694,798.0,0,5,67.0,13.4,0.08395989974937343,3+,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,False
Q96DP5,389.0,2,2,54.0,27.0,0.13881748071979436,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Q9NVM6,304.0,0,6,121.0,20.166666666666668,0.3980263157894737,3+,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,False
Q9UKV8,859.0,1,1,23.0,23.0,0.02677532013969732,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
P60228,445.0,1,1,26.0,26.0,0.058426966292134834,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
P14866,589.0,0,4,173.0,43.25,0.2937181663837012,3+,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False
O75792,299.0,3,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Q15428,464.0,0,5,298.0,59.6,0.6422413793103449,3+,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,False
P36954,125.0,3,0,0.0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
