proteinid,method,start,end,length,rna_class,position,signature,uniprot_accession,frac_A,frac_C,frac_D,frac_E,frac_F,frac_G,frac_H,frac_I,frac_K,frac_L,frac_M,frac_N,frac_P,frac_Q,frac_R,frac_S,frac_T,frac_V,frac_W,frac_Y,frac_polar,frac_hydrophobic,frac_strong_hydro,frac_aromatic,frac_disorder,frac_positive,frac_negative,fcr,ncpr,frac_GS,n_RG_motifs,RG_repeat_cluster,RG_repeat_region,n_SR_motifs,SR_repeat_cluster,SR_repeat_region,n_GS_motifs,GS_repeat_cluster,GS_repeat_region,polar_n_runs,polar_mean_run_length,polar_max_run_length,polar_mean_gap,polar_cv_gap,polar_label,hydrophobic_n_runs,hydrophobic_mean_run_length,hydrophobic_max_run_length,hydrophobic_mean_gap,hydrophobic_cv_gap,hydrophobic_label,aromatic_n_runs,aromatic_mean_run_length,aromatic_max_run_length,aromatic_mean_gap,aromatic_cv_gap,aromatic_label,disorder_n_runs,disorder_mean_run_length,disorder_max_run_length,disorder_mean_gap,disorder_cv_gap,disorder_label,charged_n_runs,charged_mean_run_length,charged_max_run_length,charged_mean_gap,charged_cv_gap,charged_label,cooc_positive_aromatic,uniprot_length,coverage_per_lcr
Q9UJK0|ensembl_protein_id=ENSP00000007390|entry=TSR3_HUMAN|source=pfam27;pfam38|protein_name=18S,FLPS,3,23,21,pre-rRNA,domain_adjacent,arginine_rich_rna_contact_region,Q9UJK0,0.1428571428571428,0.0,0.0,0.04761904761904762,0.0,0.1904761904761905,0.04761904761904762,0.0,0.0,0.04761904761904762,0.0,0.0,0.1428571428571428,0.0,0.3333333333333333,0.0,0.04761904761904762,0.0,0.0,0.0,0.4761904761904762,0.4761904761904762,0.04761904761904762,0.04761904761904762,0.8571428571428571,0.3333333333333333,0.04761904761904762,0.3809523809523809,0.2857142857142857,0.1904761904761905,2,0,False,0,0,False,0,0,False,6,1.666666666666667,3,2.2,0.4453617714151232,dispersed,6,1.666666666666667,2,1.4,0.5714285714285715,dispersed,1,1.0,1,,,dispersed,3,6.0,16,1.5,0.3333333333333333,compact,6,1.333333333333333,3,2.6,0.4615384615384615,dispersed,0.2941176470588235,312.0,0.0673076923076923
Q9UJK0|ensembl_protein_id=ENSP00000007390|entry=TSR3_HUMAN|source=pfam27;pfam38|protein_name=18S,FLPS,27,55,29,pre-rRNA,domain_adjacent,disorder_rich_spacer_region,Q9UJK0,0.3103448275862069,0.0,0.03448275862068965,0.1379310344827586,0.03448275862068965,0.2068965517241379,0.0,0.0,0.0,0.03448275862068965,0.0,0.0,0.103448275862069,0.03448275862068965,0.0,0.03448275862068965,0.0,0.06896551724137931,0.0,0.0,0.2413793103448276,0.6551724137931034,0.1379310344827586,0.03448275862068965,0.8275862068965517,0.0,0.1724137931034483,0.1724137931034483,-0.1724137931034483,0.2413793103448276,0,0,False,0,0,False,0,0,False,6,1.166666666666667,2,2.4,0.7264831572567789,dispersed,9,2.111111111111111,5,1.25,0.3464101615137755,dispersed,1,1.0,1,,,dispersed,6,4.0,9,1.0,0.0,dispersed,4,1.25,2,4.666666666666667,0.7071067811865476,dispersed,0.0,312.0,0.09294871794871795
Q9UJK0|ensembl_protein_id=ENSP00000007390|entry=TSR3_HUMAN|source=pfam27;pfam38|protein_name=18S,FLPS,71,92,22,pre-rRNA,domain_edge,arginine_rich_rna_contact_region,Q9UJK0,0.04545454545454546,0.09090909090909091,0.0,0.0,0.0,0.1363636363636364,0.04545454545454546,0.0,0.04545454545454546,0.2272727272727273,0.0,0.0,0.0,0.0,0.3181818181818182,0.0,0.04545454545454546,0.04545454545454546,0.0,0.0,0.4545454545454545,0.6818181818181818,0.2727272727272727,0.04545454545454546,0.5454545454545454,0.3636363636363636,0.0,0.3636363636363636,0.3636363636363636,0.1363636363636364,0,0,False,0,0,False,0,0,False,7,1.428571428571429,2,2.0,0.5,dispersed,5,3.0,4,1.0,0.0,dispersed,1,1.0,1,,,dispersed,8,1.5,3,1.428571428571429,0.3464101615137755,dispersed,6,1.333333333333333,2,2.8,0.2672612419124244,dispersed,0.1111111111111111,312.0,0.07051282051282051
Q9UJK0|ensembl_protein_id=ENSP00000007390|entry=TSR3_HUMAN|source=pfam27;pfam38|protein_name=18S,FLPS,212,233,22,pre-rRNA,distal_terminal,acidic_region,Q9UJK0,0.1363636363636364,0.0,0.0,0.3636363636363636,0.04545454545454546,0.0,0.0,0.0,0.04545454545454546,0.09090909090909091,0.0,0.04545454545454546,0.04545454545454546,0.1363636363636364,0.0,0.04545454545454546,0.0,0.04545454545454546,0.0,0.0,0.6363636363636364,0.3636363636363636,0.1818181818181818,0.04545454545454546,0.7727272727272727,0.04545454545454546,0.3636363636363636,0.4090909090909091,-0.3181818181818182,0.04545454545454546,0,0,False,0,0,False,0,0,False,6,2.333333333333333,4,1.6,0.5,dispersed,4,2.0,3,1.666666666666667,0.565685424949238,dispersed,1,1.0,1,,,dispersed,4,4.25,9,1.666666666666667,0.282842712474619,dispersed,5,1.8,3,3.25,0.455083060238432,dispersed,0.0,312.0,0.07051282051282051
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,FLPS,4,34,31,mRNA,distal_terminal,disorder_rich_spacer_region,Q9Y2T7,0.3870967741935484,0.0,0.0,0.03225806451612903,0.0,0.06451612903225806,0.0,0.0,0.0,0.0,0.0,0.0,0.1290322580645161,0.0,0.0,0.0,0.0967741935483871,0.2903225806451613,0.0,0.0,0.1290322580645161,0.8387096774193549,0.2903225806451613,0.0,0.6129032258064516,0.0,0.03225806451612903,0.03225806451612903,-0.03225806451612903,0.06451612903225806,0,0,False,0,0,False,0,0,False,4,1.0,1,4.333333333333333,0.2175713172881685,dispersed,6,4.333333333333333,11,1.0,0.0,dispersed,0,,0,,,insufficient,8,2.375,6,1.571428571428571,0.4635472285084349,dispersed,1,1.0,1,,,dispersed,0.0,364.0,0.08516483516483517
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,FLPS,40,48,9,mRNA,domain_adjacent,disorder_rich_spacer_region,Q9Y2T7,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8888888888888888,0,0,False,0,0,False,0,0,False,0,,0,,,insufficient,1,9.0,9,,,compact,0,,0,,,insufficient,1,9.0,9,,,compact,0,,0,,,insufficient,0.0,364.0,0.024725274725274724
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,FLPS,58,80,23,mRNA,domain_adjacent,disorder_rich_spacer_region,Q9Y2T7,0.1739130434782609,0.0,0.0,0.0,0.0,0.1304347826086956,0.0,0.0,0.0,0.0,0.0,0.04347826086956522,0.3043478260869565,0.0,0.04347826086956522,0.1304347826086956,0.1304347826086956,0.04347826086956522,0.0,0.0,0.3478260869565217,0.4782608695652174,0.04347826086956522,0.0,0.782608695652174,0.04347826086956522,0.0,0.04347826086956522,0.04347826086956522,0.2608695652173913,0,0,False,1,0,False,2,0,False,6,1.333333333333333,3,2.0,0.3162277660168379,dispersed,7,1.571428571428571,4,1.333333333333333,0.3535533905932738,dispersed,0,,0,,,insufficient,6,3.0,7,1.0,0.0,dispersed,1,1.0,1,,,dispersed,0.0,364.0,0.06318681318681318
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,FLPS,172,194,23,mRNA,domain_adjacent,arginine_rich_rna_contact_region,Q9Y2T7,0.08695652173913043,0.0,0.0,0.0,0.04347826086956522,0.0,0.0,0.04347826086956522,0.04347826086956522,0.0,0.0,0.04347826086956522,0.3043478260869565,0.0,0.2608695652173913,0.08695652173913043,0.0,0.04347826086956522,0.0,0.04347826086956522,0.4782608695652174,0.3043478260869565,0.1739130434782609,0.08695652173913043,0.782608695652174,0.3043478260869565,0.0,0.3043478260869565,0.3043478260869565,0.08695652173913043,0,0,False,1,0,False,0,0,False,4,2.75,7,2.333333333333333,0.2020305089104421,dispersed,4,1.75,2,4.0,0.2041241452319315,dispersed,2,1.0,1,9.0,0.0,dispersed,5,3.6,6,1.25,0.3464101615137755,dispersed,4,1.75,3,2.666666666666667,0.4677071733467427,dispersed,0.3684210526315789,364.0,0.06318681318681318
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,FLPS,218,260,43,mRNA,distal_terminal,aromatic_sticker_region,Q9Y2T7,0.02325581395348837,0.02325581395348837,0.02325581395348837,0.06976744186046512,0.06976744186046512,0.04651162790697674,0.0,0.02325581395348837,0.02325581395348837,0.0,0.0,0.02325581395348837,0.2325581395348837,0.09302325581395349,0.2093023255813954,0.0,0.04651162790697674,0.04651162790697674,0.02325581395348837,0.02325581395348837,0.5348837209302325,0.3488372093023256,0.186046511627907,0.1162790697674419,0.6976744186046512,0.2325581395348837,0.09302325581395349,0.3255813953488372,0.1395348837209302,0.04651162790697674,2,0,False,0,0,False,0,0,False,10,2.3,4,2.0,0.7453559924999299,dispersed,9,1.666666666666667,3,2.75,0.9045340337332909,dispersed,3,1.666666666666667,3,3.5,0.1428571428571428,dispersed,9,3.333333333333333,6,1.625,0.4282895663715401,dispersed,9,1.555555555555556,3,3.125,0.9112628599915614,dispersed,0.5,364.0,0.11813186813186813
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,FLPS,271,293,23,mRNA,distal_terminal,arginine_rich_rna_contact_region,Q9Y2T7,0.0,0.0,0.0,0.0,0.08695652173913043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3478260869565217,0.08695652173913043,0.391304347826087,0.0,0.0,0.04347826086956522,0.0,0.04347826086956522,0.5217391304347826,0.1739130434782609,0.1739130434782609,0.1304347826086956,0.8260869565217391,0.391304347826087,0.0,0.391304347826087,0.391304347826087,0.0,2,0,False,0,0,False,0,0,False,7,1.714285714285714,4,1.666666666666667,0.6633249580710799,dispersed,4,1.0,1,3.333333333333333,0.1414213562373095,dispersed,3,1.0,1,3.0,0.0,dispersed,5,3.8,8,1.0,0.0,dispersed,8,1.125,2,1.571428571428571,0.6680426571226851,dispersed,0.6842105263157895,364.0,0.06318681318681318
