uniprot_accession,rna_class,uniprot_length,signature_for_fraction,signature_residues,property_fraction,method
A0A024R214,mRNA,626.0,cation_pi_rich_neighborhood,193,0.3083067092651757,CAST
A0A024RCN4,unknown,479.0,cation_pi_rich_neighborhood,136,0.2839248434237996,CAST
A0A087WT20,pre-rRNA,597.0,basic_enriched_region,86,0.1440536013400335,CAST
A0A087WUV0,unknown,522.0,acidic_region,90,0.1724137931034483,CAST
A0A087WVF4,unknown,1798.0,acidic_region,93,0.05172413793103448,CAST
A0A087WVF4,unknown,1798.0,gs_rich_neutral_region,275,0.15294771968854282,CAST
A0A087WVF4,unknown,1798.0,sr_rs_repeat_region,504,0.2803114571746385,CAST
A0A087WZ13,unknown,739.0,disorder_rich_spacer_region,44,0.05953991880920163,CAST
A0A087WZ13,unknown,739.0,gs_rich_neutral_region,170,0.23004059539918809,CAST
A0A0A0MQW0,mRNA,576.0,cation_pi_rich_neighborhood,174,0.3020833333333333,CAST
A0A0A0MQZ6,pre-rRNA,189.0,basic_enriched_region,131,0.6931216931216931,CAST
A0A0A0MRM9,snoRNA,708.0,mixed_charge_polyampholyte,662,0.9350282485875706,CAST
A0A0A0MRZ1,unknown,733.0,cation_pi_rich_neighborhood,241,0.32878581173260574,CAST
A0A0A0MRZ1,unknown,733.0,mixed_charge_polyampholyte,68,0.0927694406548431,CAST
A0A0A0MSN9,mRNA,333.0,cation_pi_rich_neighborhood,93,0.27927927927927926,CAST
A0A0A0MSN9,mRNA,333.0,sr_rs_repeat_region,77,0.23123123123123124,CAST
A0A0B4J1V9,unknown,884.0,cation_pi_rich_neighborhood,154,0.17420814479638008,CAST
A0A0B4J203,mRNA,849.0,acidic_region,54,0.0636042402826855,CAST
A0A0B4J203,mRNA,849.0,cation_pi_rich_neighborhood,51,0.06007067137809187,CAST
A0A0C4DG89,snRNA,1032.0,acidic_region,24,0.023255813953488372,CAST
A0A0C4DG89,snRNA,1032.0,cation_pi_rich_neighborhood,241,0.23352713178294573,CAST
A0A0C4DG89,snRNA,1032.0,sr_rs_repeat_region,195,0.18895348837209303,CAST
A0A0C4DGG8,mRNA,1043.0,cation_pi_rich_neighborhood,324,0.31064237775647174,CAST
A0A0C4DGG8,mRNA,1043.0,disorder_rich_spacer_region,218,0.20901246404602108,CAST
A0A0C4DGG8,mRNA,1043.0,sr_rs_repeat_region,65,0.062320230105465,CAST
A0A0D9SF53,unknown,733.0,other,117,0.15961800818553887,CAST
A0A0D9SF53,unknown,733.0,sr_rs_repeat_region,71,0.09686221009549795,CAST
A0A0D9SFM0,unknown,1687.0,acidic_region,33,0.01956135151155898,CAST
A0A0D9SFM0,unknown,1687.0,basic_enriched_region,79,0.04682868998221695,CAST
A0A140T8Y2,pre-rRNA,407.0,acidic_region,33,0.08108108108108109,CAST
A0A140TA76,mRNA,344.0,acidic_region,63,0.18313953488372092,CAST
A0A140TA76,mRNA,344.0,aromatic_sticker_region,87,0.25290697674418605,CAST
A0A1W2PPH5,unknown,198.0,cation_pi_rich_neighborhood,64,0.32323232323232326,CAST
A0A2R8Y4L2,mRNA,320.0,other,123,0.384375,CAST
A0A2R8Y6W8,unknown,807.0,acidic_region,84,0.10408921933085502,CAST
A0A384DVK4,unknown,778.0,basic_enriched_region,68,0.08740359897172237,CAST
A0A384DVK4,unknown,778.0,cation_pi_rich_neighborhood,373,0.4794344473007712,CAST
A0A384DVK4,unknown,778.0,other,31,0.03984575835475578,CAST
A0A499FI31,snRNA,981.0,acidic_region,99,0.10091743119266056,CAST
A0A499FI31,snRNA,981.0,disorder_rich_spacer_region,39,0.039755351681957186,CAST
A0A499FI31,snRNA,981.0,mixed_charge_polyampholyte,109,0.1111111111111111,CAST
A0A590UJW6,unknown,1086.0,disorder_rich_spacer_region,17,0.01565377532228361,CAST
A0A590UJW6,unknown,1086.0,gs_rich_neutral_region,863,0.7946593001841621,CAST
A0A5H1ZRQ2,mRNA,731.0,aromatic_sticker_region,91,0.12448700410396717,CAST
A0A5H1ZRQ2,mRNA,731.0,disorder_rich_spacer_region,68,0.09302325581395349,CAST
A0A5H1ZRQ2,mRNA,731.0,mixed_charge_polyampholyte,23,0.03146374829001368,CAST
A0A5K1VW79,mRNA,999.0,aromatic_sticker_region,185,0.18518518518518517,CAST
A0A5K1VW79,mRNA,999.0,gs_rich_neutral_region,347,0.34734734734734735,CAST
A0A7I2V5M7,unknown,476.0,acidic_region,102,0.21428571428571427,CAST
A0A7I2V5M7,unknown,476.0,disorder_rich_spacer_region,38,0.07983193277310924,CAST
A0A7I2V5M7,unknown,476.0,other,32,0.06722689075630252,CAST
A0A7N4I394,snRNA,994.0,mixed_charge_polyampholyte,277,0.27867203219315895,CAST
A0A7N4I394,snRNA,994.0,other,155,0.15593561368209255,CAST
A0A7N4I394,snRNA,994.0,sr_rs_repeat_region,216,0.21730382293762576,CAST
A0A7P0N5L0,unknown,480.0,acidic_region,73,0.15208333333333332,CAST
A0A8I5KNN2,pre-rRNA,808.0,mixed_charge_polyampholyte,168,0.2079207920792079,CAST
A0A8I5KNN2,pre-rRNA,808.0,other,51,0.06311881188118812,CAST
A0A8I5KSH6,unknown,925.0,basic_enriched_region,39,0.04216216216216216,CAST
A0A8I5KSH6,unknown,925.0,cation_pi_rich_neighborhood,352,0.38054054054054054,CAST
A0A8I5KVU2,mRNA,1735.0,cation_pi_rich_neighborhood,1074,0.6190201729106628,CAST
A0A8I5KX04,mRNA,1686.0,acidic_region,68,0.04033214709371293,CAST
A0A8I5KX04,mRNA,1686.0,aromatic_sticker_region,148,0.08778173190984578,CAST
A0A8I5KX04,mRNA,1686.0,disorder_rich_spacer_region,49,0.029062870699881376,CAST
A0A8I5KX04,mRNA,1686.0,sr_rs_repeat_region,435,0.2580071174377224,CAST
A0A8V8TR54,unknown,2114.0,acidic_region,328,0.15515610217596973,CAST
A0A8V8TR54,unknown,2114.0,cation_pi_rich_neighborhood,189,0.08940397350993377,CAST
A0A8V8TR54,unknown,2114.0,disorder_rich_spacer_region,171,0.08088930936613056,CAST
A0A8V8TR54,unknown,2114.0,other,103,0.04872280037842952,CAST
A0A994J7T5,mRNA,750.0,disorder_rich_spacer_region,25,0.03333333333333333,CAST
A0A994J7T5,mRNA,750.0,gs_rich_neutral_region,21,0.028,CAST
A0A994J7T5,mRNA,750.0,other,27,0.036,CAST
A0AA34QW03,mRNA,678.0,aromatic_sticker_region,35,0.051622418879056046,CAST
A0AA34QW03,mRNA,678.0,other,91,0.13421828908554573,CAST
A0ABB0MN55,mRNA,322.0,other,124,0.38509316770186336,CAST
A0ABB0MV08,mRNA,369.0,gs_rich_neutral_region,149,0.4037940379403794,CAST
A0ACI8P9Y7,unknown,1707.0,basic_enriched_region,26,0.015231400117164616,CAST
A0ACI8PHD2,unknown,261.0,other,84,0.3218390804597701,CAST
A0ACI8PJP7,mRNA,596.0,gs_rich_neutral_region,432,0.7248322147651006,CAST
A0ACI8PR05,unknown,399.0,mixed_charge_polyampholyte,179,0.44862155388471175,CAST
A0ACI8PUZ8,unknown,1375.0,acidic_region,80,0.05818181818181818,CAST
A0ACI8PUZ8,unknown,1375.0,disorder_rich_spacer_region,46,0.03345454545454545,CAST
A0ACI8PUZ8,unknown,1375.0,mixed_charge_polyampholyte,191,0.1389090909090909,CAST
A0ACI8PVP6,unknown,744.0,cation_pi_rich_neighborhood,173,0.2325268817204301,CAST
A0ACI8PX57,unknown,378.0,other,181,0.47883597883597884,CAST
A0ACI8Q0P4,unknown,829.0,aromatic_sticker_region,260,0.31363088057901084,CAST
A0ACI8Q0P4,unknown,829.0,mixed_charge_polyampholyte,142,0.1712907117008444,CAST
A0ACI8Q0P4,unknown,829.0,sr_rs_repeat_region,93,0.11218335343787696,CAST
A0ACI8Q806,unknown,498.0,aromatic_sticker_region,246,0.4939759036144578,CAST
A0ACI8QA17,unknown,371.0,other,22,0.05929919137466307,CAST
A0ACI8QHW6,unknown,749.0,disorder_rich_spacer_region,45,0.06008010680907877,CAST
A0ACI8QLY8,unknown,321.0,disorder_rich_spacer_region,32,0.09968847352024922,CAST
A0ACI8QLY8,unknown,321.0,other,84,0.2616822429906542,CAST
A0ACI8QNN6,unknown,701.0,disorder_rich_spacer_region,156,0.2225392296718973,CAST
A0ACI8QTQ5,diverse,1388.0,acidic_region,192,0.138328530259366,CAST
A0ACI8QTQ5,diverse,1388.0,aromatic_sticker_region,179,0.12896253602305474,CAST
A0ACI8QTQ5,diverse,1388.0,sr_rs_repeat_region,99,0.07132564841498559,CAST
A0ACI8QU73,unknown,864.0,basic_enriched_region,85,0.09837962962962964,CAST
A0ACI8QU73,unknown,864.0,mixed_charge_polyampholyte,109,0.1261574074074074,CAST
A0ACI8QUJ1,unknown,752.0,disorder_rich_spacer_region,25,0.03324468085106383,CAST
A0ACI8QY88,mRNA,715.0,cation_pi_rich_neighborhood,280,0.3916083916083916,CAST
A0ACI8QY88,mRNA,715.0,disorder_rich_spacer_region,34,0.04755244755244755,CAST
A0ACI8R7A3,unknown,356.0,cation_pi_rich_neighborhood,77,0.21629213483146068,CAST
A0ACI8RCQ9,unknown,534.0,acidic_region,40,0.0749063670411985,CAST
A0ACI8RI26,unknown,764.0,acidic_region,373,0.4882198952879581,CAST
A0ACI8RI26,unknown,764.0,basic_enriched_region,29,0.03795811518324607,CAST
A0ACI8RL22,unknown,1967.0,cation_pi_rich_neighborhood,310,0.157600406710727,CAST
A0ACI8RLL6,unknown,729.0,disorder_rich_spacer_region,44,0.06035665294924554,CAST
A0ACI8RMB5,unknown,1003.0,acidic_region,60,0.05982053838484546,CAST
A0ACI8RMB5,unknown,1003.0,basic_enriched_region,44,0.04386839481555334,CAST
A0ACI8RMB5,unknown,1003.0,disorder_rich_spacer_region,12,0.011964107676969093,CAST
A0ACI8RQX4,unknown,1349.0,aromatic_sticker_region,286,0.21200889547813195,CAST
A0ACI8RR28,unknown,918.0,disorder_rich_spacer_region,68,0.07407407407407407,CAST
A0ACI8RR28,unknown,918.0,other,150,0.16339869281045752,CAST
A0ACI8RSP0,ribosomal protein,320.0,other,31,0.096875,CAST
A0ACI8RTZ8,unknown,489.0,other,62,0.12678936605316973,CAST
A0ACI8RX58,unknown,750.0,acidic_region,229,0.30533333333333335,CAST
A0ACI8RX58,unknown,750.0,cation_pi_rich_neighborhood,224,0.2986666666666667,CAST
A0ACI8RX58,unknown,750.0,other,50,0.06666666666666667,CAST
A0ACI8S0C5,unknown,927.0,mixed_charge_polyampholyte,155,0.16720604099244876,CAST
A0ACI8S113,unknown,1253.0,aromatic_sticker_region,86,0.06863527533918595,CAST
A0ACI8S113,unknown,1253.0,mixed_charge_polyampholyte,43,0.034317637669592976,CAST
A0ACI8S113,unknown,1253.0,sr_rs_repeat_region,344,0.2745411013567438,CAST
A0ACI8S5T8,unknown,488.0,gs_rich_neutral_region,94,0.19262295081967212,CAST
A0ACI8SAU3,unknown,2066.0,mixed_charge_polyampholyte,496,0.24007744433688286,CAST
A0ACI8SEY7,unknown,629.0,cation_pi_rich_neighborhood,121,0.19236883942766295,CAST
A0ACI8SJX5,unknown,1048.0,mixed_charge_polyampholyte,162,0.15458015267175573,CAST
A0ACI8SL57,ribosomal protein,162.0,other,111,0.6851851851851852,CAST
A0ACI8SNF6,ribosomal protein,153.0,basic_enriched_region,38,0.24836601307189543,CAST
A0ACI8SPJ0,snRNA,2147.0,acidic_region,49,0.022822543083372147,CAST
A0ACI8SQV4,unknown,211.0,other,69,0.32701421800947866,CAST
A0ACI8SRJ7,unknown,322.0,acidic_region,20,0.062111801242236024,CAST
A0ACI8SXP5,unknown,451.0,aromatic_sticker_region,98,0.21729490022172948,CAST
A0ACI8SXP5,unknown,451.0,gs_rich_neutral_region,21,0.04656319290465632,CAST
A0ACI8SYT5,unknown,674.0,mixed_charge_polyampholyte,142,0.21068249258160238,CAST
A0ACI8SZ27,unknown,721.0,basic_enriched_region,77,0.10679611650485436,CAST
A0ACI8T823,unknown,380.0,cation_pi_rich_neighborhood,101,0.2657894736842105,CAST
A0ACI8T9E2,unknown,234.0,other,45,0.19230769230769232,CAST
A0ACI8TFG6,tRNA,1552.0,mixed_charge_polyampholyte,259,0.16688144329896906,CAST
A0ACI8TLM1,unknown,106.0,sr_rs_repeat_region,38,0.3584905660377358,CAST
A0ACI8TLS0,unknown,550.0,other,52,0.09454545454545454,CAST
A0ACI8TML7,unknown,1201.0,mixed_charge_polyampholyte,113,0.09408825978351373,CAST
A0ACI8TMU3,unknown,1055.0,cation_pi_rich_neighborhood,46,0.043601895734597156,CAST
A0ACI8TMU3,unknown,1055.0,mixed_charge_polyampholyte,139,0.13175355450236967,CAST
A0ACI8TN08,unknown,998.0,aromatic_sticker_region,294,0.29458917835671344,CAST
A0ACI8TN08,unknown,998.0,gs_rich_neutral_region,48,0.04809619238476954,CAST
A0ACI8TQP9,unknown,2591.0,cation_pi_rich_neighborhood,265,0.10227711308375145,CAST
A0ACI8TQP9,unknown,2591.0,sr_rs_repeat_region,253,0.09764569664222308,CAST
A0ACI8TQS2,unknown,3008.0,acidic_region,238,0.07912234042553191,CAST
A0ACI8TQS2,unknown,3008.0,aromatic_sticker_region,511,0.16988031914893617,CAST
A0ACI8TQS2,unknown,3008.0,cation_pi_rich_neighborhood,277,0.0920877659574468,CAST
A0ACI8TQS2,unknown,3008.0,disorder_rich_spacer_region,124,0.041223404255319146,CAST
A0ACI8TQS2,unknown,3008.0,other,121,0.04022606382978723,CAST
A0ACI8TS18,unknown,1048.0,mixed_charge_polyampholyte,315,0.3005725190839695,CAST
A0ACI8TSN5,ribosomal protein,252.0,basic_enriched_region,65,0.25793650793650796,CAST
A0ACI8TSY6,unknown,1461.0,aromatic_sticker_region,204,0.13963039014373715,CAST
A0ACI8TSY6,unknown,1461.0,disorder_rich_spacer_region,21,0.014373716632443531,CAST
A0ACI8TSY6,unknown,1461.0,mixed_charge_polyampholyte,40,0.02737850787132101,CAST
A0ACI8TUA9,unknown,638.0,acidic_region,36,0.05642633228840126,CAST
A0ACI8TUA9,unknown,638.0,other,164,0.25705329153605017,CAST
A0ACI8TUB7,unknown,259.0,acidic_region,63,0.24324324324324326,CAST
A0ACI8TWM6,unknown,905.0,other,295,0.3259668508287293,CAST
A0ACI8TXE9,unknown,1448.0,cation_pi_rich_neighborhood,742,0.5124309392265194,CAST
A0ACI8TZ93,unknown,399.0,disorder_rich_spacer_region,14,0.03508771929824561,CAST
A0ACI8TZD7,unknown,856.0,aromatic_sticker_region,28,0.03271028037383177,CAST
A0ACI8TZD7,unknown,856.0,mixed_charge_polyampholyte,100,0.11682242990654206,CAST
A0ACI8TZE9,unknown,712.0,gs_rich_neutral_region,265,0.37219101123595505,CAST
A0ACI8U1B9,unknown,902.0,acidic_region,60,0.06651884700665188,CAST
A0ACI8U1B9,unknown,902.0,basic_enriched_region,28,0.031042128603104215,CAST
A0ACI8U1B9,unknown,902.0,other,242,0.2682926829268293,CAST
A0ACI8U399,unknown,786.0,basic_enriched_region,228,0.2900763358778626,CAST
A0ACI8U399,unknown,786.0,cation_pi_rich_neighborhood,174,0.22137404580152673,CAST
A0ACI8U6C5,unknown,1066.0,acidic_region,98,0.09193245778611632,CAST
A0ACI8U6C5,unknown,1066.0,basic_enriched_region,43,0.040337711069418386,CAST
A0ACI8U6C5,unknown,1066.0,disorder_rich_spacer_region,60,0.05628517823639775,CAST
A0ACI8U7J9,unknown,978.0,cation_pi_rich_neighborhood,423,0.4325153374233129,CAST
A0ACI8U804,unknown,2104.0,other,22,0.010456273764258554,CAST
A0ACI8UB86,unknown,209.0,basic_enriched_region,75,0.3588516746411483,CAST
A0ACI8UES1,unknown,422.0,gs_rich_neutral_region,38,0.09004739336492891,CAST
A0ACI8UES1,unknown,422.0,other,48,0.11374407582938388,CAST
A0ACI8UGJ8,unknown,626.0,aromatic_sticker_region,50,0.07987220447284345,CAST
A0ACI8UMC2,unknown,837.0,acidic_region,32,0.038231780167264036,CAST
A0ACI8UNX3,unknown,1077.0,basic_enriched_region,47,0.0436397400185701,CAST
A0ACI8UNX3,unknown,1077.0,disorder_rich_spacer_region,46,0.04271123491179202,CAST
A0ACI8UNX3,unknown,1077.0,mixed_charge_polyampholyte,113,0.10492107706592387,CAST
A0ACI8USR5,unknown,685.0,cation_pi_rich_neighborhood,44,0.06423357664233577,CAST
A0ACI8UTL7,unknown,402.0,other,344,0.8557213930348259,CAST
A0ACI8UZB3,unknown,1252.0,sr_rs_repeat_region,98,0.07827476038338659,CAST
A0ACI8V583,mRNA,621.0,mixed_charge_polyampholyte,245,0.394524959742351,CAST
A0ACI8V583,mRNA,621.0,sr_rs_repeat_region,164,0.2640901771336554,CAST
A0ACI8V5N8,unknown,552.0,other,40,0.07246376811594203,CAST
A0ACI8VAV8,unknown,1149.0,cation_pi_rich_neighborhood,413,0.35944299390774587,CAST
A0ACI8VCM9,unknown,1180.0,acidic_region,44,0.03728813559322034,CAST
A0ACI8VCM9,unknown,1180.0,cation_pi_rich_neighborhood,592,0.5016949152542373,CAST
A0ACI8VCM9,unknown,1180.0,disorder_rich_spacer_region,86,0.07288135593220339,CAST
A0ACI8VD15,unknown,1437.0,acidic_region,208,0.14474599860821155,CAST
A0ACI8VFS1,unknown,923.0,acidic_region,156,0.16901408450704225,CAST
A0ACI8VFS1,unknown,923.0,cation_pi_rich_neighborhood,165,0.17876489707475623,CAST
A0ACI8VQD2,unknown,1043.0,acidic_region,59,0.05656759348034516,CAST
