uniprot_accession,uniprot_length,rnaprimaryclass,method,cluster_pam_k2,cluster_hierarchical_k2,cluster_pam_k3,cluster_hierarchical_k3,cluster_pam_k4,cluster_hierarchical_k4,cluster_pam_k5,cluster_hierarchical_k5,cluster_pam_k6,cluster_hierarchical_k6,cluster_hdbscan,hdbscan_confidence
Q9Y2T7,364.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,3,-1,0.0
Q9H6S0,1430.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,4,3,-1,0.0
Q8N1G1,1221.0,pre-rRNA,SEG_intermediate,1,2,1,3,3,3,1,3,1,4,-1,0.0
Q9BRR8,931.0,mRNA,SEG_intermediate,1,2,1,3,1,3,4,3,5,4,-1,0.0
Q9NW64,420.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,3,-1,0.0
Q9H501,851.0,pre-rRNA,SEG_intermediate,1,2,1,3,1,3,1,3,1,4,1,0.8483859677253154
Q8N8D1,485.0,snRNA,SEG_intermediate,0,2,0,3,3,3,0,3,4,3,-1,0.0
O00178,669.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,4,3,0,0.95353836121304
O15371,548.0,mRNA,SEG_intermediate,1,2,1,3,1,3,1,3,1,4,-1,0.0
Q86U42,306.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,-1,0.0
Q9H307,717.0,mRNA,SEG_intermediate,1,2,1,3,3,3,3,3,3,4,-1,0.0
O60828,265.0,mRNA,SEG_intermediate,1,2,1,3,3,3,4,3,5,4,-1,0.0
O43719,755.0,mRNA,SEG_intermediate,1,2,1,3,1,3,4,3,5,4,-1,0.0
P14866,589.0,mRNA,SEG_intermediate,0,2,2,3,2,3,2,3,4,3,-1,0.0
Q15428,464.0,snRNA,SEG_intermediate,0,2,0,3,0,3,0,3,4,3,-1,0.0
Q9NW13,759.0,snRNA,SEG_intermediate,1,2,1,3,1,3,1,3,1,4,-1,0.0
Q9H6R0,707.0,mRNA,SEG_intermediate,0,2,0,3,2,3,2,3,4,3,-1,0.0
Q9Y5J1,556.0,snoRNA,SEG_intermediate,0,2,0,3,0,3,0,3,4,3,0,0.9770136028781132
Q7Z417,695.0,mRNA,SEG_intermediate,0,2,2,3,0,3,0,3,4,3,-1,0.0
P84098,196.0,ribosomal protein,SEG_intermediate,1,2,1,3,3,3,4,3,5,4,-1,0.0
Q9NY12,217.0,snoRNA,SEG_intermediate,0,2,2,3,2,3,2,3,2,3,-1,0.0
P16989,372.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,3,-1,0.0
A0A499FI31,981.0,snRNA,SEG_intermediate,0,2,0,3,0,3,0,3,4,3,-1,0.0
Q5XG87,792.0,diverse,SEG_intermediate,0,2,0,3,0,3,0,3,0,3,-1,0.0
O43818,475.0,snoRNA,SEG_intermediate,1,2,1,3,1,3,1,3,1,4,1,0.9657332141932352
Q96EP5,407.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,3,0,0.8724369025863085
Q4ZG55,1949.0,unknown,SEG_intermediate,0,2,0,3,0,3,0,3,0,3,-1,0.0
Q8NHQ9,600.0,pre-rRNA,SEG_intermediate,1,2,0,3,3,3,4,3,5,4,-1,0.0
Q13148,414.0,mRNA,SEG_intermediate,0,2,2,3,2,3,2,3,2,3,-1,0.0
Q13247,344.0,mRNA,SEG_intermediate,0,2,2,3,3,3,3,3,3,4,-1,0.0
Q8WVK2,155.0,snRNA,SEG_intermediate,1,2,2,3,3,3,3,3,3,4,-1,0.0
O00566,681.0,snoRNA,SEG_intermediate,1,2,1,3,1,3,1,3,1,4,-1,0.0
Q96EU6,259.0,pre-rRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,3,0,0.9273658578869122
P09234,159.0,snRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,3,-1,0.0
Q9BZI7,483.0,mRNA,SEG_intermediate,0,2,0,3,0,3,4,3,5,4,-1,0.0
Q92797,1274.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,3,0,0.8299893095484657
Q8IWZ8,645.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,3,0,0.9772781865714483
P51116,673.0,mRNA,SEG_intermediate,0,2,0,3,3,3,3,3,3,4,-1,0.0
Q7Z478,1369.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,4,3,-1,0.0
