protein_id,protein_length,cluster_id,mds_1,mds_2,is_medoid
Q9Y2T7,364.0,2,-0.06376866162593037,0.017897794842147992,False
Q13395,1621.0,0,-0.04859259799780639,-0.01479923152333834,False
P82673,323.0,1,0.06794019332123877,-0.02154985466801864,False
O60306,1485.0,1,0.02159955170119766,-0.06423152178036828,False
Q9H6S0,1430.0,2,-0.05901636358437045,0.02296024523217558,False
Q8N1G1,1221.0,0,-0.040519820411660516,0.0004990573328066272,False
Q9BRR8,931.0,4,0.005420973252403435,-0.04486982178920534,False
Q9BQI3,630.0,0,0.012307790297984053,-0.004809090706241754,False
Q9NW64,420.0,2,-0.04307708577405406,0.05672509533948922,False
Q9H501,851.0,0,0.013278602835690134,-0.07340552890431014,False
Q9UJA5,497.0,1,0.051359589401130695,-0.04504306075888207,False
Q8N8D1,485.0,0,-0.001683460885841299,0.0006283857441620274,False
P26640,1264.0,2,-0.056146809053049196,0.004233032625125499,False
O15371,548.0,1,0.05224359051300818,-0.026390876325932122,False
O75132,1171.0,3,-0.04548164113160158,-0.0144813363432236,False
Q86U42,306.0,1,-0.02946786286502383,-0.05193358385886523,False
Q9H307,717.0,0,0.04240547296616767,0.017660114600920134,False
Q4VXU2,619.0,0,-0.0330019341950787,0.026283153876806693,False
O60828,265.0,4,0.06815903710341603,0.023568527014409268,False
O43719,755.0,1,0.08298836851673914,-0.034404185415799794,False
Q14694,798.0,3,-0.01828635972707529,-0.059565448010854644,False
Q9NVM6,304.0,1,0.054700794258888207,0.03370782922113495,False
Q9UKV8,859.0,3,-0.05286017478920191,0.017133788475017318,False
P14866,589.0,3,-0.08508681037434795,-0.01721143727724492,False
Q15428,464.0,2,-0.049981355045500234,0.057446688132093374,False
A4D1E9,387.0,2,-0.08207861918013469,0.03449835798109193,False
Q9NW13,759.0,4,0.059218029894443386,-0.09310474468295252,False
Q7Z333,2677.0,3,-0.005881862918616771,-0.023299698105848546,False
Q9H6R0,707.0,2,-0.07275723079715152,0.12191310769482096,False
Q9Y5J1,556.0,1,0.023776201026683423,-0.029418998030963126,False
Q7Z417,695.0,3,-0.03927885217203731,0.027820207065545423,False
P84098,196.0,4,0.0513283534993146,0.0384675675072829,False
Q07021,282.0,1,0.0492537233296674,-0.01897335832254575,False
Q9NY12,217.0,2,-0.03836138800596337,0.10024476707176257,False
Q9H6F5,360.0,0,0.003853206141612678,0.011018749160818977,False
P16989,372.0,2,-0.04415487622418478,0.05924266940764843,True
A0A499FI31,981.0,1,0.04287123414389979,-0.049709490735436485,False
Q5XG87,792.0,0,-0.06431059374187972,-0.020484144166221387,False
O43818,475.0,1,0.06408585244199011,-0.013376798340285078,False
P19525,551.0,0,-0.0077410466839602935,0.011128230148785528,False
Q96EP5,407.0,3,-0.09120289557531969,0.009860272514340471,False
Q4ZG55,1949.0,0,0.00611574113109143,0.04317599480134984,False
Q03701,1054.0,0,0.04600670229275992,-0.13551605870647665,False
Q99848,306.0,4,0.040237541426316796,0.038828685461355254,False
O95926,243.0,0,0.042001125784060234,-0.00149344333411417,False
Q8NHQ9,600.0,4,0.049198585744121275,-0.009479946168602869,False
Q9BWT3,736.0,0,0.00822064907851335,0.010616153156212995,False
Q13148,414.0,2,-0.050117207937919586,0.07171365457362666,False
Q06265,439.0,4,0.040306347094597066,0.021933047773603973,False
P09012,282.0,2,-0.049368991101188656,0.04415506990642779,False
Q13247,344.0,4,0.06042589529798089,0.06546581767869059,False
Q9ULR5,123.0,1,0.0646495483540329,-0.015766286683021227,False
Q8WVK2,155.0,1,0.1221168715440318,0.002592007080888679,False
O00566,681.0,4,0.10575141421782636,-0.045323909756904326,False
Q96EU6,259.0,4,0.0484585462235503,0.030325203557239097,False
P09234,159.0,0,-0.049994853760253775,0.03773818893587197,False
Q9BZI7,483.0,0,0.05275157419702927,-0.006006403036643333,False
Q92797,1274.0,2,-0.06986485264134884,0.03305951006193483,False
P08579,225.0,4,0.08290962110975564,0.06307192343380086,False
Q8IWZ8,645.0,3,-0.025810666586553014,-0.00772203885646287,False
P51116,673.0,0,0.01143104416520328,0.033348147143996226,False
Q15415,496.0,0,0.017873021055079263,0.03223676074852403,False
Q7Z478,1369.0,1,0.006292812600757343,-0.08872025021415408,False
Q8IZ69,625.0,2,-0.04670566358843319,0.07465956043750732,False
Q96DF8,476.0,1,0.05780079366527749,-0.018590665452152478,False
Q14151,953.0,3,-0.02757699114235776,-0.04760680151365157,False
Q9BQ67,446.0,1,0.11873884881504856,-0.0007969867255405858,False
Q8WUA2,492.0,1,0.04548770578114329,0.034151513666526453,False
P19474,475.0,4,0.03568901583570262,0.019272525473792004,False
O43159,456.0,4,0.035881060840510445,0.04230622459051685,False
Q96EY7,689.0,0,-0.0026750662587135174,0.0035647517082052728,False
Q12849,480.0,2,-0.044581366151448414,0.07798710793207773,False
Q9NQZ2,479.0,1,0.0751378152865865,-0.025811891067115823,False
O95218,330.0,1,0.05032460041912198,-0.055978811009398874,False
P38935,993.0,2,-0.042367085494789215,0.00031217854000047113,False
Q9BXT8,1623.0,1,0.09424862663175976,-0.02242465620852581,False
O15397,1037.0,1,0.06163313663248311,-0.06043582718888668,False
Q9P031,241.0,3,0.028992082865687784,0.017689667910650658,False
P05198,315.0,1,0.06593511319856812,-0.010043457310655783,False
Q76MJ5,926.0,3,-0.029608826556345797,-0.011893648829606545,False
O43776,548.0,0,0.03166968482012724,0.013797100973716456,False
Q5TAX3,1644.0,1,-0.04700431375209111,-0.12550729007027037,False
Q8NAV1,312.0,1,0.0954178821129299,0.002375139160241072,False
Q86YF9,867.0,0,-0.005386524468099327,0.012573954847538586,False
Q96K80,434.0,2,-0.11960136750070963,0.012446139965103256,False
O60573,245.0,2,0.03568580977684911,0.03226662512872367,False
O00425,579.0,2,-0.0488444257403819,0.05186915489646067,False
Q9NY93,547.0,3,0.02325252153200991,0.01927833121437933,False
Q07955,248.0,2,-0.01610950940855542,0.06899343116086733,False
Q9BX63,1249.0,1,-0.017856533355758247,-0.08458826183719753,False
P42766,123.0,4,0.04988924148610698,0.04198109044900326,False
O43422,761.0,1,0.06975571476294962,-0.006255567235991103,False
Q96RS0,853.0,3,-0.008092966314201273,-0.11830433447376955,False
Q9BRD0,619.0,3,-0.006512145059588503,-0.12754771665959838,False
Q9UK59,544.0,1,0.04015977274649507,-0.015409179835718852,False
Q99728,777.0,0,-0.006936990399359973,-0.0032765529642299965,True
P05455,408.0,0,0.04020192911662,0.01701105689634015,False
Q96BP3,646.0,1,0.08136862906068099,-0.008289001636585745,False
Q13573,536.0,0,0.0440457910066664,0.004839261843627067,False
Q96FV9,657.0,1,0.09854371272668973,-0.029718868186037105,False
O75691,2785.0,1,0.05425008565068635,-0.06509419895009079,False
O60563,726.0,3,-0.0505848287333454,0.015393270903703744,False
Q15185,160.0,1,0.07480195914140103,-0.022957167153136802,False
P49790,1475.0,3,-0.09789134566710037,-0.013870956099246047,False
O15105,426.0,0,-0.03305625545186767,0.04488150333622062,False
Q14562,1220.0,1,0.08922649055834825,-0.021710415869998816,False
Q8TDI0,1954.0,0,0.002782068097164637,-0.12912393830366575,False
Q6ZRS2,3230.0,3,-0.11608337367378638,-0.15655565607834215,False
O15047,1707.0,0,-0.0894854117849192,-0.10322267077470101,False
Q9UEG4,869.0,1,0.006312637197659863,-0.05156106882846178,False
Q8IXZ2,948.0,0,0.002175549276845337,0.04293084882056712,False
Q9UKV3,1341.0,1,0.034269861580861226,0.028109003067793775,False
Q92900,1129.0,2,-0.0783394693652584,0.12405246046357175,False
P55199,621.0,4,0.08026620942466571,0.05993020412840255,False
Q9UPR6,939.0,3,-0.10866539550257008,-0.028995207514210482,False
O00418,725.0,3,0.013185373228836296,0.020038524490252695,False
Q86US8,1419.0,0,0.01442646161593128,-0.10162576530202175,False
Q8WYQ5,773.0,1,0.01722649497296144,-0.086644191249491,False
Q9NVP1,670.0,2,0.0015553031251231912,0.02822655614366306,False
Q9UNW9,492.0,2,-0.06561756907585753,0.05496651423702444,False
Q8N5C6,995.0,0,0.0006574853780778918,-0.033615885083413274,False
Q9P2K8,1649.0,1,0.03665445839701846,-0.06991548512345606,False
Q9BSC4,688.0,0,0.05504638482486544,0.018377743560594934,False
O60583,730.0,0,-0.015782975374914625,0.037788710703263576,False
Q5FWF4,1079.0,0,0.015367093490223313,-0.007754080440780628,False
Q15032,1099.0,3,-0.15762703840982273,-0.05273848856556158,False
O43432,1585.0,3,-0.09703693256506649,-0.15513931444811394,False
Q8NC60,698.0,3,0.052123944448668566,-0.005426413958682849,False
Q9Y2X3,529.0,0,0.04203024092301275,0.005156021435287315,False
O15234,703.0,3,-0.0324074734130444,-0.08860981472372884,False
Q9NXL6,827.0,0,0.0004375918687264568,0.040661511991555946,False
Q9UBK2,798.0,0,0.007282982485706998,0.02765112066249113,False
Q96KR1,1074.0,0,-0.06600341082889294,-0.002349420882382778,False
Q17RY0,729.0,3,-0.052587284347885295,-0.00892249696883706,False
Q9UNX3,145.0,4,0.04501219628625671,0.03589500243302807,False
Q9H089,658.0,1,0.06269971323007577,-0.00605892921261321,False
Q9P2N5,1060.0,3,-0.0832071619884264,-0.14643007551515272,False
P51531,1590.0,3,-0.03983084166310325,-0.08484160606048397,False
P31942,346.0,2,-0.075485793112837,0.06995694669094174,False
P78332,1123.0,3,-0.007370189196946686,-0.036235100472555376,False
O94906,941.0,1,0.08431849729309822,-0.019751807599450864,False
Q8TBF4,217.0,0,0.028710351999252096,0.0034833449893270636,False
Q5T8P6,1007.0,1,0.002298183982960183,-0.07221961265544204,False
A7MD48,611.0,0,0.038907799646971636,0.05258189716805565,False
Q5VZF2,373.0,2,-0.04243495974019692,0.07650673498656575,False
Q86U38,636.0,1,0.12498663448365296,-0.007544745492984028,False
A0A0A0MQW0,576.0,0,-0.05186466627010063,0.023057685599883342,False
P37108,136.0,2,-0.019319612818094422,0.047597769750645245,False
Q92620,1227.0,3,0.006847365252816499,-0.040589588475429615,False
Q8WYQ9,949.0,3,-0.09956097393149234,-0.012762182715417337,False
Q9ULX3,412.0,1,0.06901859905597438,-0.0664805536639267,False
O43823,692.0,0,-0.04422745726166665,-0.0653428528399301,False
Q96L12,384.0,1,0.052574955798688774,-0.05559701906136822,False
Q9H0W8,520.0,2,-0.023820060900166883,0.04637644027036736,False
Q15427,424.0,2,-0.053069114531379497,0.061600402466015405,False
P41214,584.0,1,0.043874644973075444,-0.05443730307594167,False
P62979,156.0,4,0.06938073876351286,0.05469835030498409,False
Q9HC10,1997.0,3,-0.0015707342377311564,-0.02266499798918995,False
P82675,430.0,4,0.05205826047037826,0.04271785207737798,False
Q9P0L1,754.0,1,0.06098502722349035,-0.008454200645113853,False
Q96HR8,494.0,3,-0.09517158092674007,-0.03439119096613811,False
Q96NC0,199.0,4,0.07407537793457766,0.01979615949621371,False
Q9ULW3,272.0,1,0.08965236292737944,-0.0036019599628057514,False
Q5C9Z4,860.0,1,0.04496378540342471,-0.05424592041952718,False
Q9NZB2,1118.0,0,-0.07444474527129735,0.0013404101624331145,False
P49589,748.0,0,0.011010390185891387,-0.03300031331673685,False
Q9C0D7,883.0,1,-0.02403745797547186,-0.07066124652302619,False
Q13405,166.0,3,-0.007241256738509317,0.03686010285213954,False
Q53EL6,469.0,3,-0.01843926701718746,-0.008374785606807912,False
Q9UK39,431.0,0,-0.05555751506285433,-0.0035965209954759696,False
Q8IZD4,617.0,0,-0.002401720141371998,0.0008687248690898444,False
Q96LB4,118.0,4,0.06038423790161331,0.035413824534988175,False
Q5VWX1,349.0,3,-0.04058416966062615,0.025241037352790142,False
Q8TBY0,533.0,2,-0.03405705712407227,0.07298794634017491,False
Q5W0B1,726.0,0,-0.003316760367170085,-0.015294044429175094,False
Q5T200,1668.0,1,0.060967903555186304,0.03358856903665927,False
Q2TBE0,894.0,3,0.01243581423766088,-0.02807910237851055,False
P47974,494.0,2,-0.14488655905748213,-0.026809781863581118,False
Q9BVS4,552.0,1,0.042438382901784415,-0.013200694882532334,False
P49792,3224.0,3,-0.036417762461476995,-0.11250463177896855,False
Q9BYG3,293.0,4,0.03937218143803071,0.051022570762422295,False
Q8TEQ6,1508.0,0,0.03745959972678603,-0.055411131358264545,False
P83369,360.0,0,-0.05697785513317676,-0.009185302920967477,False
O95104,1147.0,3,-0.1252958235163838,-0.03843004112823841,False
O43541,496.0,2,-0.03106090111768783,0.06368403998504137,False
O60841,1220.0,0,0.03352928073947004,0.0026601953736473346,False
Q9UKZ1,510.0,2,-0.09911815293232246,0.024258046320066156,False
Q86SE8,214.0,1,0.09503619655478983,-0.017568825666612616,False
Q5SZQ8,465.0,2,-0.08015453488656392,0.02433410647922804,False
Q9HC44,474.0,3,-0.04272857885266843,-0.013596047505316481,False
Q15269,919.0,1,0.07848884929656653,-0.05259568750480718,False
Q15424,915.0,3,0.011570381884712818,-0.03482759325365062,False
O75127,700.0,3,-0.021234802729670595,-0.01330347137741215,False
Q71RC2,724.0,1,-0.01966812306673843,0.03815368204236665,False
Q9NQ29,371.0,0,0.06270091620144702,-0.007103617005897826,False
Q9HCJ3,691.0,2,-0.10261488471467378,-0.020046799646570003,False
O14979,420.0,2,-0.027816530491992633,0.07507144633410832,False
Q8TDG4,1101.0,0,-0.0021497763137665123,0.009555190984238146,False
Q6I9Y2,204.0,3,0.02355784165318382,0.011036903292417877,False
Q96IZ7,334.0,4,0.04820190802041202,0.03305888798628455,False
A0AV96,593.0,3,-0.0644510955707999,0.015091245214756846,False
Q8TAD8,396.0,1,0.07285601741883661,-0.01761560342135514,False
O14776,1098.0,0,-0.049574972792956765,-0.02680915255759854,False
A0A0A0MQZ6,189.0,4,0.04380095637275315,0.03832757448133359,False
O95391,586.0,1,0.05607404540652726,-0.04376483201726205,False
Q8TA86,221.0,4,0.08695551974660919,0.037902713765564214,False
Q14296,549.0,2,-0.055858591298615076,0.02370528925512484,False
Q9H814,394.0,3,0.034293291930013986,0.0015308412942767477,False
A0A087WT20,597.0,4,0.04495020324398616,0.0419317422604262,False
O94913,1555.0,3,-0.039123124775636064,-0.11101985108249283,False
Q86U44,580.0,0,-0.02896303540689735,-0.02830211206956127,False
Q8WWH5,349.0,2,-0.05015791629097133,0.0573117131062041,False
Q9P2I0,782.0,0,0.0184725812250011,-0.10938384564255425,False
Q9BRS8,491.0,0,-0.0003222056962209908,-0.09252032999296392,False
Q6ZRY4,209.0,2,-0.050876767992018714,0.10933117110154972,False
Q86TB9,770.0,0,-0.022725411942137747,-0.07966667574962241,False
P62314,119.0,2,0.019769332273727493,0.10061809789525158,False
Q05481,1191.0,3,0.007264790913439827,0.03496524201499855,False
Q2NL82,804.0,1,0.0329730490598251,-0.06178929927776736,False
Q15287,305.0,4,0.040225425680119054,0.06290119970699345,False
Q1KMD3,747.0,1,-0.029572359468382946,-0.08028441890487462,False
P51608,486.0,0,-0.06866719369019658,-0.05875219749953499,False
Q96MH2,286.0,0,0.03858664007784908,0.013800649160306537,False
P17480,764.0,0,0.039504493784527424,0.013192176547025368,False
Q9UQ80,394.0,4,0.05350435417088545,0.051310848252130586,False
Q15696,482.0,1,0.03466433762008942,-0.014791877002403747,False
Q7Z570,1209.0,0,-0.04619192206539297,-0.08185214912943613,False
O75526,392.0,2,-0.03110982646690309,0.05412281946513571,False
Q9BX10,602.0,2,-0.06282599596576631,0.036456446455061776,False
O95400,341.0,1,0.09917405982197512,-0.006415770381635355,False
Q9BRZ2,755.0,1,0.04508841901642681,-0.015761825706350926,False
Q16637,294.0,2,-0.03202410620986993,0.03596256729958532,False
Q9BTL3,118.0,3,0.013544805168442715,0.03466143656254482,False
Q9NZJ5,1116.0,0,-0.045893306009397006,-0.0016305864954656662,False
Q01780,885.0,0,-0.009560863226037228,-0.02584329039126697,False
P26368,475.0,3,0.04849034678588324,0.0021619437637868167,False
F5H0R1,912.0,2,-0.030961147512221798,0.03465668825246909,False
Q9UNX4,943.0,1,0.04810236009036507,-0.04926609664165492,False
Q7L2J0,689.0,0,-0.10023223929955384,-0.006902243449561968,False
Q6L8Q7,609.0,0,-0.041039522115702845,-0.013979674408596885,False
Q9BWF3,364.0,2,-0.03784880277841061,0.04745642731251609,False
O14746,1132.0,2,-0.04389677879835952,0.0034857354019556335,False
Q969S3,477.0,1,0.06207542861643336,-0.06367166655871165,False
Q32MZ4,808.0,0,0.018598834676576803,-0.01470079610220496,False
O43290,800.0,0,0.03159347900337693,0.022710151396207967,False
Q9BQ04,359.0,3,-0.05327248375409521,-0.0014478856938318452,False
Q9BUQ8,820.0,3,0.04231241076173449,-0.019251922024403765,False
O15446,510.0,0,0.003324951509475721,0.014495052810240473,False
Q8IY37,1157.0,1,-0.010554436738356114,-0.08947847271683317,False
Q9HA38,289.0,2,-0.041742276627280056,0.08276797382506514,False
Q96PK6,669.0,3,-0.06801635693927773,0.009154089458036262,False
P52594,562.0,3,-0.04118881916455255,0.04356597631145888,False
Q9UHB9,627.0,2,-0.05157322275031659,0.13172948397211984,False
Q8N5Y2,521.0,1,0.0015723968992522588,-0.07999288584709223,False
Q7L0Y3,403.0,4,0.062374855197819046,0.044923006449688115,False
Q86YN6,1023.0,1,0.0002334931872105161,-0.08248138073724347,False
Q53GS9,565.0,4,0.04861473823814839,0.044457293923132746,False
Q14103,355.0,2,-0.07222688464933247,0.07214689003936567,False
Q07666,443.0,2,-0.11317448915538043,0.01678427242278126,False
Q13064,507.0,3,-0.02958051355066266,0.03792225037644407,False
A0A384DVK4,778.0,0,0.008380489153124972,-0.018268849595044847,False
Q92665,395.0,4,0.08318438500037514,0.033394540137569505,False
Q12996,717.0,0,-0.03415493164181993,0.03282704546917295,False
Q13151,305.0,2,-0.04380728217294338,0.09773790756755071,False
Q15022,739.0,1,-0.004615726787678786,0.01771648969773243,False
Q8N8U3,475.0,0,-0.024966541650459532,-0.03947564508923475,False
Q9HAZ1,481.0,4,0.057200184933068075,0.03302916029946617,False
O75643,2136.0,1,0.08723448706240962,-0.02885206702298399,False
Q5PRF9,694.0,0,-0.0654088748880965,-0.029234244916941328,False
Q9BUL9,199.0,2,-0.03530194286424584,0.0745705000437446,False
Q7Z6E9,1792.0,3,-0.07410408164950971,-0.0819745028106129,False
Q9Y3T9,749.0,1,0.030146773680309703,-0.05854851029293769,False
Q93062,196.0,2,-0.03636793943583706,0.05039745568062679,False
Q96I24,572.0,3,-0.03602300678746853,-0.003928935321770178,False
P19338,710.0,1,0.03413686771089926,-0.07539883401883113,False
Q96E39,390.0,0,-0.0344627289924875,0.03349219155519682,False
P16383,781.0,1,0.044203595850179876,-0.01566370914085413,False
Q13435,895.0,1,-0.05940139578373745,-0.15835879308248152,False
Q96BK5,328.0,0,0.0065247518212708175,0.01039582811993121,False
Q7KZ85,1726.0,3,0.010316261323101514,-0.08641761492414485,False
Q15910,746.0,1,0.09939088992034986,-0.017675157228030765,False
Q8NAF0,562.0,2,-0.0976918603947755,-0.004390610262771256,False
Q6ZP01,1051.0,3,-0.02978773401841104,-0.03578754979104272,False
Q96SI9,672.0,0,-0.018252154232422147,0.05689638448642544,False
Q9Y3A4,280.0,1,0.09948553551764738,-0.02417127434730434,False
Q15050,365.0,4,0.02636197938020692,0.04296611358824984,False
P05387,115.0,2,0.007613142152043709,-0.009574037037572394,False
Q07864,2286.0,1,0.07681593203381869,-0.056000500237771346,False
Q9H9L3,353.0,0,-0.011724403456142637,0.021550605297034724,False
Q9BWU0,742.0,0,-0.009711157998988177,-0.061395088498889076,False
Q8TDD1,881.0,4,0.030016402518240906,0.03725625801194989,False
Q14258,630.0,0,0.03191062649932652,0.022773529929383304,False
Q96MX3,618.0,0,-0.06802139835497927,0.013465024803071128,False
Q7Z7H8,261.0,2,-0.04513154242430025,0.0656974404394595,False
Q8WWY3,499.0,1,0.05922011009830461,-0.05403113044315854,False
Q9BUR4,548.0,1,0.009757098376351542,-0.019186820979657866,False
Q02040,695.0,4,0.025146013807403236,0.016143988700888436,False
P52272,730.0,0,-0.07898738676049002,0.02339194632331506,False
Q92615,738.0,0,-0.02599533964101434,0.01657442902171109,False
Q69YN2,538.0,2,-0.011640050293484184,0.06859562121116337,False
P49759,484.0,4,0.038930317954549376,0.04520612544498959,False
Q86XZ4,545.0,0,-0.01005434430435307,0.0010422698147610797,False
Q8NDV7,1962.0,3,-0.08883987427470605,-0.02888199433819451,False
Q7Z6J9,526.0,3,0.012274846398750584,-0.015192261161363614,False
Q6P9B9,1019.0,2,-0.14526875079085527,0.08939627900524197,False
Q9NRA8,985.0,0,0.0032325073190277035,-0.019925176864081184,False
Q9UBC3,853.0,0,-0.007572813258198101,-0.0032180880261878765,False
O94992,359.0,0,0.013793328700033709,-0.013448036298941842,False
P98175,930.0,1,0.014840640031268561,-0.06403605157383173,False
A4D1E1,1349.0,3,-0.024827619831046324,-0.03664351730988331,False
Q9Y295,367.0,2,-0.06919795403334296,0.11290703050960144,False
Q6ZN04,569.0,2,-0.04738538930459669,0.057284890039343055,False
Q9UJV9,622.0,0,0.0074865595948249795,-0.04384360845115142,False
B0QYK0,618.0,2,-0.03452048294747297,0.06142116343169769,False
P26641,437.0,4,0.06431368211054297,0.03348592378767048,False
Q14147,1143.0,3,0.018309075328452763,-0.008523759868783828,False
Q8N5A5,531.0,1,0.004621456865940825,-0.08494911303371981,False
Q8IYY4,767.0,0,-0.024093228824964317,-0.026481570814412655,False
Q9H0L4,616.0,2,-0.08138799094107137,0.009233077141897831,False
Q00577,322.0,1,-0.006917714127714826,0.025713973722484046,False
Q9NQ50,206.0,4,0.059900262328943826,0.027446363601168526,False
F8W6I7,307.0,0,-0.03807341679030956,0.06836862376049793,False
Q86WX3,136.0,4,0.03367705843838878,0.03814202865975862,False
Q8WXA9,508.0,1,0.06589058909520168,0.045824558891214305,False
Q2NKX8,1250.0,3,-0.007513725443859138,-0.02220241208499628,False
Q9BZC1,486.0,3,-0.04633962406440598,0.04937561198964429,False
Q92973,898.0,1,0.06696418314583072,-0.08309301601679103,False
Q6PKG0,1096.0,1,-0.023772639012637306,-0.08020456728408981,False
O15523,660.0,3,-0.056457186330038885,0.009845597659472615,False
O43143,795.0,3,0.010869644876410997,-0.018817146148313594,False
Q13523,1007.0,4,0.05169063939317787,0.03239131588531619,False
Q5TBB1,312.0,4,0.035711522910775874,0.048218178135666416,False
P82979,210.0,1,0.0790593946188618,-0.022550251850076596,False
Q8N3Z6,543.0,4,0.03905508686209013,-0.07180213307473661,False
A2RTX5,802.0,3,-0.0031072182095559764,-0.01709388741843406,False
Q9NVN8,582.0,4,0.03163192022055779,-0.021500906355479545,False
Q8TAQ5,688.0,1,0.06427397233913597,-0.008408903831939702,False
Q8WU90,426.0,0,0.025801224384517988,-0.1080538939637885,False
Q8TDN6,353.0,4,0.042207537017705576,0.046342495399115106,False
Q9Y388,322.0,1,0.04807935825024117,0.04029561976378569,False
Q14684,758.0,4,0.015515062054967511,-0.003310266474181047,False
Q86U06,439.0,2,-0.018665611092702976,0.03529012730282678,False
Q9BV44,507.0,4,0.059862103093153096,0.05885762439393873,False
