uniprot_accession,rna_class,uniprot_length,n_lcr,lcr_residues,coverage,n_lcr_category,method
A0A087WVF4,unknown,1798.0,2,56,0.03114571746384872,2,SEG
A0A0A0MRM9,snoRNA,708.0,5,78,0.11016949152542373,3+,SEG
A0A0A0MSN9,mRNA,333.0,1,48,0.14414414414414414,1,SEG
A0A0C4DG89,snRNA,1032.0,1,38,0.03682170542635659,1,SEG
A0A0C4DGG8,mRNA,1043.0,2,42,0.040268456375838924,2,SEG
A0A0D9SF53,unknown,733.0,1,20,0.027285129604365622,1,SEG
A0A140T8Y2,pre-rRNA,407.0,1,19,0.04668304668304668,1,SEG
A0A2R8Y4L2,mRNA,320.0,1,15,0.046875,1,SEG
A0A5K1VW79,mRNA,999.0,3,66,0.06606606606606606,3+,SEG
A0A7N4I394,snRNA,994.0,1,27,0.02716297786720322,1,SEG
A0A8I5KSH6,unknown,925.0,1,15,0.016216216216216217,1,SEG
A0A8V8TR54,unknown,2114.0,5,107,0.05061494796594134,3+,SEG
A0ABB0MN55,mRNA,322.0,4,91,0.2826086956521739,3+,SEG
A0ABB0MV08,mRNA,369.0,1,21,0.056910569105691054,1,SEG
A0ACI8PX57,unknown,378.0,2,37,0.09788359788359788,2,SEG
A0ACI8Q806,unknown,498.0,1,16,0.0321285140562249,1,SEG
A0ACI8QLY8,unknown,321.0,2,38,0.11838006230529595,2,SEG
A0ACI8QUJ1,unknown,752.0,1,21,0.027925531914893616,1,SEG
A0ACI8QY88,mRNA,715.0,3,63,0.08811188811188811,3+,SEG
A0ACI8RR28,unknown,918.0,1,16,0.017429193899782137,1,SEG
A0ACI8RX58,unknown,750.0,4,134,0.17866666666666667,3+,SEG
A0ACI8T9E2,unknown,234.0,2,35,0.14957264957264957,2,SEG
A0ACI8TMU3,unknown,1055.0,1,29,0.027488151658767772,1,SEG
A0ACI8TSY6,unknown,1461.0,1,18,0.012320328542094456,1,SEG
A0ACI8TXE9,unknown,1448.0,1,15,0.010359116022099447,1,SEG
A0ACI8U1B9,unknown,902.0,2,43,0.04767184035476718,2,SEG
A0ACI8UMC2,unknown,837.0,1,17,0.02031063321385902,1,SEG
A0ACI8VCM9,unknown,1180.0,1,17,0.01440677966101695,1,SEG
A0ACI8VQD2,unknown,1043.0,1,12,0.011505273250239693,1,SEG
A0ACI8VSD4,mRNA,674.0,1,10,0.01483679525222552,1,SEG
A0AV96,mRNA,593.0,1,16,0.026981450252951095,1,SEG
A1L020,mRNA,520.0,2,44,0.08461538461538462,2,SEG
A6NFI3,unknown,1004.0,3,68,0.06772908366533864,3+,SEG
A6NHQ2,snoRNA,334.0,2,74,0.2215568862275449,2,SEG
A7MD48,mRNA,611.0,2,79,0.12929623567921442,2,SEG
B0QYK0,mRNA,618.0,3,61,0.09870550161812297,3+,SEG
B5MCU0,unknown,990.0,1,10,0.010101010101010102,1,SEG
B8ZZ98,mRNA,158.0,3,74,0.46835443037974683,3+,SEG
C9JAB2,mRNA,235.0,1,22,0.09361702127659574,1,SEG
C9JE40,mRNA,543.0,1,26,0.04788213627992634,1,SEG
C9JP00,mRNA,348.0,1,18,0.05172413793103448,1,SEG
D6R9W6,mRNA,518.0,1,16,0.03088803088803089,1,SEG
D6W5Y5,mRNA,297.0,1,21,0.0707070707070707,1,SEG
E7ETU5,mRNA,370.0,1,18,0.04864864864864865,1,SEG
E9PIF2,pre-rRNA,835.0,1,15,0.017964071856287425,1,SEG
E9PMM9,ribosomal protein,218.0,1,24,0.11009174311926606,1,SEG
F6VAP0,mRNA,555.0,1,16,0.02882882882882883,1,SEG
F8VU11,snRNA,892.0,2,36,0.04035874439461883,2,SEG
F8W6I7,mRNA,307.0,1,15,0.048859934853420196,1,SEG
H0YDK8,mRNA,900.0,1,22,0.024444444444444446,1,SEG
H3BPE7,mRNA,527.0,6,143,0.2713472485768501,3+,SEG
