proteinid,method,start,end,length,rna_class,position,signature,uniprot_accession,frac_A,frac_C,frac_D,frac_E,frac_F,frac_G,frac_H,frac_I,frac_K,frac_L,frac_M,frac_N,frac_P,frac_Q,frac_R,frac_S,frac_T,frac_V,frac_W,frac_Y,frac_polar,frac_hydrophobic,frac_strong_hydro,frac_aromatic,frac_disorder,frac_positive,frac_negative,fcr,ncpr,frac_GS,n_RG_motifs,RG_repeat_cluster,RG_repeat_region,n_SR_motifs,SR_repeat_cluster,SR_repeat_region,n_GS_motifs,GS_repeat_cluster,GS_repeat_region,polar_n_runs,polar_mean_run_length,polar_max_run_length,polar_mean_gap,polar_cv_gap,polar_label,hydrophobic_n_runs,hydrophobic_mean_run_length,hydrophobic_max_run_length,hydrophobic_mean_gap,hydrophobic_cv_gap,hydrophobic_label,aromatic_n_runs,aromatic_mean_run_length,aromatic_max_run_length,aromatic_mean_gap,aromatic_cv_gap,aromatic_label,disorder_n_runs,disorder_mean_run_length,disorder_max_run_length,disorder_mean_gap,disorder_cv_gap,disorder_label,charged_n_runs,charged_mean_run_length,charged_max_run_length,charged_mean_gap,charged_cv_gap,charged_label,cooc_positive_aromatic,uniprot_length,coverage_per_lcr
Q9Y2T7|ensembl_protein_id=ENSP00000007699|entry=YBOX2_HUMAN|source=pfam27|protein_name=Y-box-binding,SEG,39,55,17,mRNA,domain_adjacent,disorder_rich_spacer_region,Q9Y2T7,0.2941176470588235,0.0,0.0,0.0,0.0,0.5294117647058824,0.0,0.0,0.05882352941176471,0.0,0.0,0.0,0.05882352941176471,0.0,0.0,0.05882352941176471,0.0,0.0,0.0,0.0,0.1176470588235294,0.8823529411764706,0.0,0.0,1.0,0.05882352941176471,0.0,0.05882352941176471,0.05882352941176471,0.5882352941176471,0,0,False,0,0,False,1,0,False,2,1.0,1,11.0,0.0,dispersed,3,5.0,12,1.0,0.0,compact,0,,0,,,insufficient,1,17.0,17,,,compact,1,1.0,1,,,dispersed,0.0,364.0,0.046703296703296704
Q9H6S0|ensembl_protein_id=ENSP00000161863|entry=YTDC2_HUMAN|source=pfam27|protein_name=3'-5',SEG,13,30,18,mRNA,domain_adjacent,disorder_rich_spacer_region,Q9H6S0,0.05555555555555555,0.05555555555555555,0.0,0.0,0.0,0.6111111111111112,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,0.05555555555555555,0.7222222222222222,0.0,0.0,0.9444444444444444,0.0,0.0,0.0,0.0,0.6666666666666666,0,0,False,0,0,False,0,0,False,1,1.0,1,,,dispersed,4,3.25,7,1.666666666666667,0.565685424949238,dispersed,0,,0,,,insufficient,2,8.5,12,1.0,0.0,compact,0,,0,,,insufficient,0.0,1430.0,0.012587412587412588
Q8N1G1|ensembl_protein_id=ENSP00000170168|entry=REXO1_HUMAN|source=pfam27|protein_name=RNA,SEG,571,592,22,pre-rRNA,unclassified_no_pfam,polar_linker,Q8N1G1,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04545454545454546,0.0,0.0,0.0,0.2272727272727273,0.0,0.0,0.5909090909090909,0.04545454545454546,0.0,0.0,0.0,0.6818181818181818,0.1818181818181818,0.0,0.0,0.9545454545454546,0.04545454545454546,0.0,0.04545454545454546,0.04545454545454546,0.5909090909090909,0,0,False,0,0,False,0,0,False,4,3.75,12,2.333333333333333,0.4040610178208843,dispersed,3,1.333333333333333,2,8.0,0.25,dispersed,0,,0,,,insufficient,2,10.5,19,1.0,0.0,compact,1,1.0,1,,,dispersed,0.0,1221.0,0.018018018018018018
Q9BRR8|ensembl_protein_id=ENSP00000170564|entry=GPTC1_HUMAN|source=pfam27|protein_name=G,SEG,893,909,17,mRNA,distal_terminal,acidic_region,Q9BRR8,0.0,0.0,0.1764705882352941,0.1176470588235294,0.0,0.0,0.0,0.0,0.05882352941176471,0.0,0.0,0.0,0.0,0.05882352941176471,0.0,0.5882352941176471,0.0,0.0,0.0,0.0,1.0,0.05882352941176471,0.0,0.0,0.8235294117647058,0.05882352941176471,0.2941176470588235,0.3529411764705883,-0.2352941176470588,0.5882352941176471,0,0,False,0,0,False,0,0,False,1,17.0,17,,,compact,1,1.0,1,,,dispersed,0,,0,,,insufficient,4,3.5,8,1.0,0.0,dispersed,5,1.2,2,2.75,0.3015113445777636,dispersed,0.0,931.0,0.018259935553168637
Q9H501|ensembl_protein_id=ENSP00000202816|entry=ESF1_HUMAN|source=pfam27|protein_name=ESF1,SEG,267,297,31,pre-rRNA,distal_terminal,acidic_region,Q9H501,0.0,0.0,0.4516129032258064,0.3548387096774194,0.0,0.06451612903225806,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0967741935483871,0.0,0.0,0.0,0.0,0.9354838709677419,0.0967741935483871,0.0,0.0,0.5483870967741935,0.03225806451612903,0.8064516129032258,0.8387096774193549,-0.7741935483870968,0.1612903225806452,0,0,False,0,0,False,1,0,False,2,14.5,26,1.0,0.0,compact,3,1.0,1,13.0,0.7692307692307693,dispersed,0,,0,,,insufficient,9,1.888888888888889,3,1.625,0.5273580461846957,dispersed,4,6.5,17,1.333333333333333,0.3535533905932738,dispersed,0.0,851.0,0.036427732079905996
Q8N8D1|ensembl_protein_id=ENSP00000204549|entry=PDCD7_HUMAN|source=pfam27|protein_name=Programmed,SEG,235,251,17,snRNA,unclassified_no_pfam,arginine_rich_rna_contact_region,Q8N8D1,0.05882352941176471,0.0,0.0,0.1176470588235294,0.0,0.0,0.0,0.0,0.0,0.1764705882352941,0.0,0.0,0.0,0.0,0.5882352941176471,0.0,0.0,0.05882352941176471,0.0,0.0,0.7058823529411765,0.2941176470588235,0.2352941176470588,0.0,0.7647058823529411,0.5882352941176471,0.1176470588235294,0.7058823529411765,0.4705882352941176,0.0,0,0,False,0,0,False,0,0,False,5,2.4,4,1.0,0.0,dispersed,5,1.0,1,2.5,0.447213595499958,dispersed,0,,0,,,insufficient,5,2.6,4,1.0,0.0,dispersed,5,2.4,4,1.0,0.0,dispersed,0.0,485.0,0.03505154639175258
O15371|ensembl_protein_id=ENSP00000216190|entry=EIF3D_HUMAN|source=pfam27|protein_name=Eukaryotic,SEG,529,546,18,mRNA,domain_adjacent,acidic_region,O15371,0.0,0.0,0.1111111111111111,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.9444444444444444,0.9444444444444444,-0.9444444444444444,0.05555555555555555,0,0,False,0,0,False,0,0,False,1,18.0,18,,,compact,0,,0,,,insufficient,0,,0,,,insufficient,3,5.333333333333333,14,1.0,0.0,compact,1,17.0,17,,,compact,0.0,548.0,0.032846715328467155
Q86U42|ensembl_protein_id=ENSP00000216727|entry=PABP2_HUMAN|source=pfam27|protein_name=Polyadenylate-binding,SEG,1,15,15,mRNA,distal_terminal,disorder_rich_spacer_region,Q86U42,0.8,0.0,0.0,0.0,0.0,0.1333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0,0.9333333333333333,0.0,0.0,0.0,0.0,0.1333333333333333,0,0,False,0,0,False,0,0,False,0,,0,,,insufficient,1,15.0,15,,,compact,0,,0,,,insufficient,1,14.0,14,,,compact,0,,0,,,insufficient,0.0,306.0,0.049019607843137254
Q86U42|ensembl_protein_id=ENSP00000216727|entry=PABP2_HUMAN|source=pfam27|protein_name=Polyadenylate-binding,SEG,49,80,32,mRNA,distal_terminal,acidic_region,Q86U42,0.03125,0.0,0.0,0.40625,0.0,0.03125,0.0,0.0,0.0,0.15625,0.0,0.0,0.28125,0.0,0.0625,0.03125,0.0,0.0,0.0,0.0,0.5,0.21875,0.15625,0.0,0.84375,0.0625,0.40625,0.46875,-0.34375,0.0625,1,0,False,0,0,False,0,0,False,10,1.6,4,1.333333333333333,0.5,dispersed,4,1.75,3,8.0,0.7071067811865476,dispersed,0,,0,,,insufficient,4,6.75,18,1.666666666666667,0.565685424949238,dispersed,11,1.363636363636364,3,1.3,0.4925480182640653,dispersed,0.0,306.0,0.10457516339869281
Q9H307|ensembl_protein_id=ENSP00000216832|entry=PININ_HUMAN|source=pfam27|protein_name=Pinin,SEG,569,637,69,mRNA,unclassified_no_pfam,sr_rs_repeat_region,Q9H307,0.0,0.0,0.01449275362318841,0.01449275362318841,0.0,0.05797101449275362,0.0,0.0,0.02898550724637681,0.0,0.0,0.0,0.0,0.0,0.1014492753623188,0.7246376811594203,0.05797101449275362,0.0,0.0,0.0,0.9420289855072463,0.1449275362318841,0.0,0.0,0.927536231884058,0.1304347826086956,0.02898550724637681,0.1594202898550725,0.1014492753623188,0.782608695652174,1,0,False,7,3,True,3,0,False,4,16.25,24,1.0,0.0,dispersed,9,1.111111111111111,2,7.375,0.6845023900443618,dispersed,0,,0,,,insufficient,6,10.66666666666667,24,1.0,0.0,dispersed,10,1.1,2,6.333333333333333,1.345969668688887,dispersed,0.0,717.0,0.09623430962343096
