uniprot_accession,rna_class,uniprot_length,n_lcr,lcr_residues,coverage,n_lcr_category,method
A0A024R214,mRNA,626.0,13,357,0.5702875399361023,3+,AlcoR
A0A024RCN4,unknown,479.0,2,31,0.0647181628392484,2,AlcoR
A0A087WUV0,unknown,522.0,6,93,0.1781609195402299,3+,AlcoR
A0A087WXN2,mRNA,151.0,1,44,0.2913907284768212,1,AlcoR
A0A087WZ13,unknown,739.0,3,457,0.618403247631935,3+,AlcoR
A0A087X0J2,diverse,248.0,1,248,1.0,1,AlcoR
A0A0A0MQW0,mRNA,576.0,1,366,0.6354166666666666,1,AlcoR
A0A0A0MQZ6,pre-rRNA,189.0,1,189,1.0,1,AlcoR
A0A0A0MRM9,snoRNA,708.0,4,70,0.0988700564971751,3+,AlcoR
A0A0A0MRZ1,unknown,733.0,2,24,0.0327421555252387,2,AlcoR
A0A0A0MSN9,mRNA,333.0,3,120,0.3603603603603603,3+,AlcoR
A0A0A0MSS9,mRNA,486.0,1,22,0.0452674897119341,1,AlcoR
A0A0A0MSV7,mRNA,84.0,1,73,0.8690476190476191,1,AlcoR
A0A0B4J254,snRNA,67.0,1,67,1.0,1,AlcoR
A0A0C4DG89,snRNA,1032.0,2,132,0.127906976744186,2,AlcoR
A0A0C4DGG8,mRNA,1043.0,7,525,0.5033557046979866,3+,AlcoR
A0A0D9SF53,unknown,733.0,5,663,0.9045020463847204,3+,AlcoR
A0A0D9SFM0,unknown,1687.0,5,1375,0.8150563129816242,3+,AlcoR
A0A0G2JKY3,tRNA,1061.0,1,1061,1.0,1,AlcoR
A0A140T8Y2,pre-rRNA,407.0,1,19,0.0466830466830466,1,AlcoR
A0A140TA76,mRNA,344.0,1,300,0.872093023255814,1,AlcoR
A0A1W2PPH5,unknown,198.0,1,198,1.0,1,AlcoR
A0A286YFD1,unknown,2093.0,5,1948,0.9307214524605828,3+,AlcoR
A0A2R8Y4L2,mRNA,320.0,1,317,0.990625,1,AlcoR
A0A2R8Y6W8,unknown,807.0,1,133,0.1648079306071871,1,AlcoR
A0A2U3TZN1,mRNA,101.0,2,28,0.2772277227722772,2,AlcoR
A0A384DVK4,unknown,778.0,2,252,0.3239074550128534,2,AlcoR
A0A494C0I1,unknown,1111.0,2,327,0.2943294329432943,2,AlcoR
A0A494C1N8,unknown,1116.0,9,786,0.7043010752688172,3+,AlcoR
A0A499FI31,snRNA,981.0,1,323,0.3292558613659531,1,AlcoR
A0A499FIA3,unknown,238.0,1,25,0.1050420168067226,1,AlcoR
A0A590UJW6,unknown,1086.0,6,602,0.5543278084714549,3+,AlcoR
A0A5F9ZHS7,unknown,289.0,1,289,1.0,1,AlcoR
A0A5H1ZRQ2,mRNA,731.0,3,108,0.1477428180574555,3+,AlcoR
A0A5K1VW79,mRNA,999.0,2,369,0.3693693693693693,2,AlcoR
A0A7I2V5M7,unknown,476.0,1,476,1.0,1,AlcoR
A0A7I2XXS4,tRNA,543.0,2,75,0.1381215469613259,2,AlcoR
A0A7N4I394,snRNA,994.0,3,681,0.6851106639839034,3+,AlcoR
A0A804HKV4,mRNA,723.0,2,713,0.9861687413554634,2,AlcoR
A0A8I5KSH6,unknown,925.0,3,84,0.0908108108108108,3+,AlcoR
A0A8I5KVU2,mRNA,1735.0,3,759,0.4374639769452449,3+,AlcoR
A0A8I5KX04,mRNA,1686.0,1,20,0.0118623962040332,1,AlcoR
A0A8Q3WL03,unknown,351.0,2,321,0.9145299145299144,2,AlcoR
A0A8V8TR54,unknown,2114.0,5,690,0.3263954588457899,3+,AlcoR
A0A994J6B2,unknown,331.0,3,315,0.9516616314199396,3+,AlcoR
A0A994J7T5,mRNA,750.0,4,739,0.9853333333333332,3+,AlcoR
A0AA34QW03,mRNA,678.0,3,611,0.9011799410029498,3+,AlcoR
A0ABB0MN55,mRNA,322.0,1,322,1.0,1,AlcoR
A0ABB0MV08,mRNA,369.0,2,199,0.5392953929539296,2,AlcoR
A0ABB0MVJ3,unknown,604.0,4,288,0.4768211920529801,3+,AlcoR
A0ACI8P9Y7,unknown,1707.0,2,549,0.3216168717047452,2,AlcoR
A0ACI8PHD2,unknown,261.0,1,261,1.0,1,AlcoR
A0ACI8PIT5,unknown,456.0,1,122,0.2675438596491228,1,AlcoR
A0ACI8PJP7,mRNA,596.0,8,497,0.8338926174496645,3+,AlcoR
A0ACI8PR05,unknown,399.0,3,358,0.8972431077694235,3+,AlcoR
A0ACI8PT71,unknown,1306.0,4,1281,0.9808575803981624,3+,AlcoR
A0ACI8PUZ8,unknown,1375.0,9,1272,0.9250909090909092,3+,AlcoR
A0ACI8PVP6,unknown,744.0,1,7,0.0094086021505376,1,AlcoR
A0ACI8PX57,unknown,378.0,2,367,0.9708994708994708,2,AlcoR
A0ACI8Q010,unknown,418.0,3,397,0.9497607655502392,3+,AlcoR
A0ACI8Q0P4,unknown,829.0,2,823,0.9927623642943304,2,AlcoR
A0ACI8QA17,unknown,371.0,2,370,0.9973045822102424,2,AlcoR
A0ACI8QBP4,unknown,358.0,1,358,1.0,1,AlcoR
A0ACI8QGH0,unknown,324.0,2,317,0.9783950617283952,2,AlcoR
A0ACI8QH16,tRNA,558.0,4,522,0.935483870967742,3+,AlcoR
A0ACI8QHW6,unknown,749.0,2,389,0.5193591455273698,2,AlcoR
A0ACI8QLY8,unknown,321.0,2,302,0.940809968847352,2,AlcoR
A0ACI8QNN6,unknown,701.0,3,45,0.0641940085592011,3+,AlcoR
A0ACI8QTQ5,diverse,1388.0,6,101,0.0727665706051873,3+,AlcoR
A0ACI8QU73,unknown,864.0,3,832,0.9629629629629628,3+,AlcoR
A0ACI8QUJ1,unknown,752.0,4,682,0.9069148936170212,3+,AlcoR
A0ACI8QV99,unknown,461.0,5,93,0.2017353579175705,3+,AlcoR
A0ACI8QY88,mRNA,715.0,1,649,0.9076923076923076,1,AlcoR
A0ACI8R3H8,unknown,616.0,3,579,0.939935064935065,3+,AlcoR
