uniprot_accession,rna_class,uniprot_length,signature_for_fraction,signature_residues,property_fraction,method
A0A024R214,mRNA,626.0,aromatic_sticker_region,228,0.36421725239616615,AlcoR
A0A024R214,mRNA,626.0,cation_pi_rich_neighborhood,82,0.13099041533546327,AlcoR
A0A024R214,mRNA,626.0,disorder_rich_spacer_region,12,0.019169329073482427,AlcoR
A0A024R214,mRNA,626.0,other,12,0.019169329073482427,AlcoR
A0A024R214,mRNA,626.0,unmapped_physicochemical_properties,23,0.036741214057507986,AlcoR
A0A024RCN4,unknown,479.0,aromatic_sticker_region,20,0.04175365344467641,AlcoR
A0A024RCN4,unknown,479.0,other,11,0.022964509394572025,AlcoR
A0A087WUV0,unknown,522.0,aromatic_sticker_region,66,0.12643678160919541,AlcoR
A0A087WUV0,unknown,522.0,cation_pi_rich_neighborhood,14,0.02681992337164751,AlcoR
A0A087WUV0,unknown,522.0,mixed_charge_polyampholyte,13,0.02490421455938697,AlcoR
A0A087WXN2,mRNA,151.0,disorder_rich_spacer_region,44,0.2913907284768212,AlcoR
A0A087WZ13,unknown,739.0,aromatic_sticker_region,112,0.15155615696887687,AlcoR
A0A087WZ13,unknown,739.0,cation_pi_rich_neighborhood,252,0.34100135317997293,AlcoR
A0A087WZ13,unknown,739.0,mixed_charge_polyampholyte,93,0.12584573748308525,AlcoR
A0A087X0J2,diverse,248.0,aromatic_sticker_region,248,1.0,AlcoR
A0A0A0MQW0,mRNA,576.0,cation_pi_rich_neighborhood,366,0.6354166666666666,AlcoR
A0A0A0MQZ6,pre-rRNA,189.0,other,189,1.0,AlcoR
A0A0A0MRM9,snoRNA,708.0,acidic_region,15,0.0211864406779661,AlcoR
A0A0A0MRM9,snoRNA,708.0,disorder_rich_spacer_region,55,0.07768361581920905,AlcoR
A0A0A0MRZ1,unknown,733.0,disorder_rich_spacer_region,24,0.03274215552523874,AlcoR
A0A0A0MSN9,mRNA,333.0,disorder_rich_spacer_region,19,0.057057057057057055,AlcoR
A0A0A0MSN9,mRNA,333.0,other,85,0.2552552552552553,AlcoR
A0A0A0MSN9,mRNA,333.0,unmapped_physicochemical_properties,16,0.04804804804804805,AlcoR
A0A0A0MSS9,mRNA,486.0,aromatic_sticker_region,22,0.04526748971193416,AlcoR
A0A0A0MSV7,mRNA,84.0,aromatic_sticker_region,73,0.8690476190476191,AlcoR
A0A0B4J254,snRNA,67.0,aromatic_sticker_region,67,1.0,AlcoR
A0A0C4DG89,snRNA,1032.0,other,132,0.12790697674418605,AlcoR
A0A0C4DGG8,mRNA,1043.0,acidic_region,129,0.1236816874400767,AlcoR
A0A0C4DGG8,mRNA,1043.0,aromatic_sticker_region,73,0.06999041227229147,AlcoR
A0A0C4DGG8,mRNA,1043.0,cation_pi_rich_neighborhood,295,0.2828379674017258,AlcoR
A0A0C4DGG8,mRNA,1043.0,hydrophobic_region,28,0.026845637583892617,AlcoR
A0A0D9SF53,unknown,733.0,aromatic_sticker_region,252,0.34379263301500684,AlcoR
A0A0D9SF53,unknown,733.0,other,411,0.5607094133697135,AlcoR
A0A0D9SFM0,unknown,1687.0,aromatic_sticker_region,1263,0.7486662714878483,AlcoR
A0A0D9SFM0,unknown,1687.0,cation_pi_rich_neighborhood,112,0.06639004149377593,AlcoR
A0A0G2JKY3,tRNA,1061.0,aromatic_sticker_region,1061,1.0,AlcoR
A0A140T8Y2,pre-rRNA,407.0,aromatic_sticker_region,19,0.04668304668304668,AlcoR
A0A140TA76,mRNA,344.0,other,300,0.872093023255814,AlcoR
A0A1W2PPH5,unknown,198.0,mixed_charge_polyampholyte,198,1.0,AlcoR
A0A286YFD1,unknown,2093.0,aromatic_sticker_region,1948,0.9307214524605829,AlcoR
A0A2R8Y4L2,mRNA,320.0,other,317,0.990625,AlcoR
A0A2R8Y6W8,unknown,807.0,aromatic_sticker_region,133,0.16480793060718713,AlcoR
A0A2U3TZN1,mRNA,101.0,arginine_rich_rna_contact_region,14,0.13861386138613863,AlcoR
A0A2U3TZN1,mRNA,101.0,unmapped_physicochemical_properties,14,0.13861386138613863,AlcoR
