uniprot_accession,uniprot_length,rnaprimaryclass,method,cluster_pam_k2,cluster_hierarchical_k2,cluster_pam_k3,cluster_hierarchical_k3,cluster_pam_k4,cluster_hierarchical_k4,cluster_pam_k5,cluster_hierarchical_k5,cluster_pam_k6,cluster_hierarchical_k6,cluster_hdbscan,hdbscan_confidence
Q9UJK0,312.0,pre-rRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9Y2T7,364.0,mRNA,SEG_intermediate,1,2,2,2,3,2,3,2,3,3,-1,0.0
Q13395,1621.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P82664,201.0,ribosomal protein,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P82673,323.0,ribosomal protein,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
O60306,1485.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9H6S0,1430.0,mRNA,SEG_intermediate,0,2,1,2,3,2,3,2,3,3,-1,0.0
Q8N1G1,1221.0,pre-rRNA,SEG_intermediate,0,2,0,2,3,2,3,2,3,3,-1,0.0
Q9H000,416.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9BRR8,931.0,mRNA,SEG_intermediate,1,2,1,2,3,2,3,2,3,3,-1,0.0
P46782,204.0,ribosomal protein,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9UNQ2,313.0,pre-rRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9BQI3,630.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9NW64,420.0,mRNA,SEG_intermediate,1,2,1,3,1,4,1,4,1,5,-1,0.0
Q9H501,851.0,pre-rRNA,SEG_intermediate,1,2,1,3,1,4,4,4,4,5,1,0.93924688824776
Q9UJA5,497.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q8N8D1,485.0,snRNA,SEG_intermediate,0,1,2,1,2,1,2,1,5,2,-1,0.0
P26640,1264.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
A0A0A0MQR7,204.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P62318,126.0,snRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9Y3I0,505.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
O00178,669.0,mRNA,SEG_intermediate,1,2,1,3,1,4,1,4,1,5,2,0.7092902356446719
Q6NTF7,200.0,ncRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
O15371,548.0,mRNA,SEG_intermediate,1,2,1,3,1,4,4,4,4,5,-1,0.0
Q7RTV0,110.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
O75132,1171.0,unknown,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q13686,389.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q86U42,306.0,mRNA,SEG_intermediate,1,1,2,1,2,1,2,1,5,2,-1,0.0
P61011,504.0,ncRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9H307,717.0,mRNA,SEG_intermediate,0,1,2,1,2,1,2,1,5,2,-1,0.0
Q4VXU2,619.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q05048,431.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q05639,463.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q96SZ6,601.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9NR97,1041.0,ncRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
O60828,265.0,mRNA,SEG_intermediate,1,2,1,3,1,4,4,4,4,5,-1,0.0
O43719,755.0,mRNA,SEG_intermediate,1,2,0,2,3,2,3,2,3,3,-1,0.0
Q14694,798.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q96DP5,389.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9NVM6,304.0,unknown,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9UKV8,859.0,ncRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P60228,445.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P14866,589.0,mRNA,SEG_intermediate,1,1,2,1,2,1,2,1,2,2,-1,0.0
O75792,299.0,diverse,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q15428,464.0,snRNA,SEG_intermediate,1,2,1,3,1,4,1,4,1,5,-1,0.0
P36954,125.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
A4D1E9,387.0,unknown,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q13155,320.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9NW13,759.0,snRNA,SEG_intermediate,1,2,1,3,1,4,4,4,4,5,-1,0.0
O60290,1169.0,unknown,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q99969,163.0,unknown,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9BYC8,188.0,ribosomal protein,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q7Z333,2677.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9H6R0,707.0,mRNA,SEG_intermediate,1,2,1,3,1,4,1,4,1,5,-1,0.0
Q9Y5J1,556.0,snoRNA,SEG_intermediate,1,2,1,3,1,4,1,4,1,5,2,0.41195281705190834
Q7Z417,695.0,mRNA,SEG_intermediate,1,2,2,2,3,2,3,2,3,3,-1,0.0
P84098,196.0,ribosomal protein,SEG_intermediate,1,2,1,3,1,4,4,4,4,5,-1,0.0
Q07021,282.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P55039,364.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9NY12,217.0,snoRNA,SEG_intermediate,0,2,2,2,3,2,3,2,3,3,-1,0.0
Q9H6F5,360.0,unknown,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9UMS4,504.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P16989,372.0,mRNA,SEG_intermediate,1,1,2,1,2,1,2,1,2,2,-1,0.0
A0A499FI31,981.0,snRNA,SEG_intermediate,1,2,1,2,3,2,3,2,3,3,-1,0.0
Q9Y6K5,1087.0,ncRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q4U2R6,128.0,ribosomal protein,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P04406,335.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P41238,236.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q13242,221.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9NQE9,182.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P25398,132.0,ribosomal protein,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q13895,437.0,pre-rRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
C9IY40,225.0,ribosomal protein,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P42285,1042.0,diverse,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P49590,506.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q5XG87,792.0,diverse,SEG_intermediate,1,1,2,1,2,1,2,1,2,2,-1,0.0
Q9NWX6,298.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P54136,660.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
O43818,475.0,snoRNA,SEG_intermediate,1,2,1,3,1,4,4,4,4,5,-1,0.0
O60739,113.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P19525,551.0,ncRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q96EP5,407.0,mRNA,SEG_intermediate,1,2,2,2,3,2,3,2,3,3,-1,0.0
Q92499,740.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9Y3B4,125.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q4ZG55,1949.0,unknown,SEG_intermediate,1,1,2,1,2,1,2,1,2,2,-1,0.0
Q03701,1054.0,pre-rRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9UGM6,360.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q99848,306.0,pre-rRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
O95926,243.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P31939,592.0,unknown,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9NYY8,710.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q7Z6V5,191.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9UKF6,684.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q8NHQ9,600.0,pre-rRNA,SEG_intermediate,1,2,1,3,1,4,1,4,1,5,-1,0.0
Q9BWT3,736.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q13148,414.0,mRNA,SEG_intermediate,1,2,1,3,1,4,4,4,4,5,-1,0.0
Q96QD9,318.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
O00148,427.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q06265,439.0,diverse,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P09012,282.0,snRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q13247,344.0,mRNA,SEG_intermediate,1,1,2,1,2,1,2,1,5,2,-1,0.0
Q9ULR5,123.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q8WVK2,155.0,snRNA,SEG_intermediate,1,2,1,3,1,4,4,4,4,5,-1,0.0
O00566,681.0,snoRNA,SEG_intermediate,1,2,1,3,1,4,4,4,4,5,-1,0.0
Q96EU6,259.0,pre-rRNA,SEG_intermediate,1,2,1,3,1,4,1,4,1,5,-1,0.0
P09234,159.0,snRNA,SEG_intermediate,1,2,2,2,3,2,3,2,3,3,-1,0.0
Q5JTZ9,985.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9Y235,224.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q96J94,861.0,ncRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9BZI7,483.0,mRNA,SEG_intermediate,1,2,2,2,3,2,3,2,3,3,-1,0.0
P62273,56.0,ribosomal protein,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q92797,1274.0,mRNA,SEG_intermediate,1,2,1,3,1,4,1,4,1,5,-1,0.0
P08579,225.0,snRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9Y3A5,250.0,pre-rRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q8IWZ8,645.0,mRNA,SEG_intermediate,1,2,1,3,1,4,1,4,1,5,2,1.0
P21506,573.0,unknown,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9UBQ5,218.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9UBS3,223.0,unknown,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P51116,673.0,mRNA,SEG_intermediate,1,1,2,1,2,1,2,1,2,2,-1,0.0
P22090,263.0,ribosomal protein,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q15415,496.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q92904,295.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q8IX18,779.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P62249,146.0,ribosomal protein,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q96Q11,434.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q7Z478,1369.0,mRNA,SEG_intermediate,1,2,1,3,1,4,1,4,1,5,-1,0.0
Q9H5Z1,703.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9BY77,421.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q8IZ69,625.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q96DF8,476.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q14151,953.0,mRNA,SEG_intermediate,1,1,2,1,2,1,2,1,2,2,-1,0.0
Q9UK45,103.0,snRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q96H86,408.0,unknown,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P41091,472.0,tRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9BQ67,446.0,pre-rRNA,SEG_intermediate,1,2,1,3,1,4,4,4,4,5,-1,0.0
Q8WUA2,492.0,mRNA,SEG_intermediate,1,2,1,3,1,4,1,4,1,5,-1,0.0
P82663,173.0,ribosomal protein,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P61353,136.0,ribosomal protein,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P09661,255.0,snRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
Q9H9Z2,209.0,mRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
P19474,475.0,ncRNA,SEG_intermediate,0,2,0,3,0,3,0,3,0,4,0,1.0
