uniprot_accession,uniprot_length,rnaprimaryclass,method,cluster_pam_k2,cluster_hierarchical_k2,cluster_pam_k3,cluster_hierarchical_k3,cluster_pam_k4,cluster_hierarchical_k4,cluster_pam_k5,cluster_hierarchical_k5,cluster_pam_k6,cluster_hierarchical_k6,cluster_hdbscan,hdbscan_confidence
Q9Y2T7,364.0,mRNA,AlcoR,0,1,1,1,1,2,0,2,0,2,-1,0.0
O60306,1485.0,mRNA,AlcoR,1,1,1,1,0,2,4,2,4,2,-1,0.0
Q9H6S0,1430.0,mRNA,AlcoR,0,1,2,1,2,2,2,2,2,2,-1,0.0
O15371,548.0,mRNA,AlcoR,1,1,1,1,0,2,4,2,4,2,-1,0.0
Q9H307,717.0,mRNA,AlcoR,1,1,1,1,0,2,4,2,4,2,-1,0.0
Q4VXU2,619.0,mRNA,AlcoR,0,1,1,1,1,2,0,2,0,2,-1,0.0
Q05048,431.0,mRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
Q05639,463.0,tRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
Q9NR97,1041.0,ncRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
O60828,265.0,mRNA,AlcoR,0,1,2,1,2,2,2,2,2,2,-1,0.0
O43719,755.0,mRNA,AlcoR,0,1,2,1,2,2,0,2,0,2,-1,0.0
Q14694,798.0,mRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
Q96DP5,389.0,tRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
Q9NVM6,304.0,unknown,AlcoR,0,1,0,1,3,2,3,2,3,2,-1,0.0
Q9UKV8,859.0,ncRNA,AlcoR,0,1,0,1,3,2,3,2,3,2,-1,0.0
P14866,589.0,mRNA,AlcoR,0,1,2,1,2,2,0,2,0,2,-1,0.0
O75792,299.0,diverse,AlcoR,0,1,2,1,2,2,2,2,2,2,-1,0.0
Q7Z333,2677.0,mRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
Q9H6R0,707.0,mRNA,AlcoR,1,1,1,1,1,2,0,2,0,2,-1,0.0
Q7Z417,695.0,mRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
Q07021,282.0,mRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
Q9H6F5,360.0,unknown,AlcoR,0,1,1,1,1,2,0,2,0,2,-1,0.0
Q9UMS4,504.0,mRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
P16989,372.0,mRNA,AlcoR,0,1,2,1,2,2,2,2,2,2,-1,0.0
A0A499FI31,981.0,snRNA,AlcoR,0,1,2,1,2,2,0,2,0,2,-1,0.0
Q9Y6K5,1087.0,ncRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
P04406,335.0,mRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
P25398,132.0,ribosomal protein,AlcoR,0,1,2,1,2,2,0,2,0,2,-1,0.0
Q13895,437.0,pre-rRNA,AlcoR,0,1,2,1,2,2,2,2,2,2,-1,0.0
C9IY40,225.0,ribosomal protein,AlcoR,0,1,2,1,2,2,2,2,2,2,-1,0.0
P42285,1042.0,diverse,AlcoR,0,1,0,1,3,2,0,2,0,2,-1,0.0
P49590,506.0,tRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
P54136,660.0,tRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
O43818,475.0,snoRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
O60739,113.0,mRNA,AlcoR,0,1,2,1,2,2,2,2,2,2,-1,0.0
P19525,551.0,ncRNA,AlcoR,0,1,2,1,2,2,0,2,0,2,-1,0.0
Q96EP5,407.0,mRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
Q92499,740.0,mRNA,AlcoR,1,1,0,1,3,2,1,2,1,2,-1,0.0
Q4ZG55,1949.0,unknown,AlcoR,1,1,1,1,0,2,4,2,4,2,-1,0.0
Q9UKF6,684.0,mRNA,AlcoR,0,1,0,1,3,2,0,2,0,2,-1,0.0
Q8NHQ9,600.0,pre-rRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
Q9BWT3,736.0,mRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
Q13148,414.0,mRNA,AlcoR,0,1,2,1,2,2,0,2,0,2,-1,0.0
O00148,427.0,mRNA,AlcoR,1,1,1,1,1,2,0,2,0,2,-1,0.0
Q06265,439.0,diverse,AlcoR,0,1,0,1,3,2,3,2,3,2,-1,0.0
Q92797,1274.0,mRNA,AlcoR,1,1,1,1,0,2,4,2,4,2,-1,0.0
Q9Y3A5,250.0,pre-rRNA,AlcoR,0,1,2,1,0,2,0,2,0,2,-1,0.0
Q8IWZ8,645.0,mRNA,AlcoR,1,1,1,1,0,2,4,2,4,2,-1,0.0
P21506,573.0,unknown,AlcoR,1,1,0,1,3,2,0,2,0,2,-1,0.0
Q9UBQ5,218.0,mRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
Q9UBS3,223.0,unknown,AlcoR,1,1,2,1,2,2,2,2,2,2,-1,0.0
P51116,673.0,mRNA,AlcoR,0,1,2,1,2,2,2,2,2,2,-1,0.0
Q8IX18,779.0,mRNA,AlcoR,0,1,2,1,2,2,2,2,5,2,-1,0.0
P62249,146.0,ribosomal protein,AlcoR,0,1,2,1,2,2,2,2,2,2,-1,0.0
Q96Q11,434.0,tRNA,AlcoR,0,1,2,1,2,2,2,2,5,2,-1,0.0
Q7Z478,1369.0,mRNA,AlcoR,0,1,2,1,2,2,2,2,5,2,-1,0.0
Q8IZ69,625.0,tRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
Q96DF8,476.0,mRNA,AlcoR,1,1,0,1,3,2,3,2,3,2,-1,0.0
Q14151,953.0,mRNA,AlcoR,0,2,0,3,0,4,3,4,3,5,-1,0.0
O43159,456.0,pre-rRNA,AlcoR,1,1,1,1,1,2,0,2,0,2,-1,0.0
Q96EY7,689.0,mRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
P57772,596.0,tRNA,AlcoR,1,1,1,1,1,2,1,2,1,2,-1,0.0
