uniprot_accession,rna_class,uniprot_length,signature_for_fraction,signature_residues,property_fraction,method
A0A024R214,mRNA,626.0,aromatic_sticker_region,60,0.09584664536741214,FLPS
A0A024R214,mRNA,626.0,disorder_rich_spacer_region,18,0.02875399361022364,FLPS
A0A024R214,mRNA,626.0,gs_rich_neutral_region,47,0.07507987220447285,FLPS
A0A024R214,mRNA,626.0,hydrophobic_region,12,0.019169329073482427,FLPS
A0A024RCN4,unknown,479.0,acidic_region,27,0.05636743215031315,FLPS
A0A024RCN4,unknown,479.0,aromatic_sticker_region,12,0.025052192066805846,FLPS
A0A024RCN4,unknown,479.0,hydrophobic_region,5,0.010438413361169102,FLPS
A0A024RCN4,unknown,479.0,other,5,0.010438413361169102,FLPS
A0A087WT20,pre-rRNA,597.0,arginine_rich_rna_contact_region,42,0.07035175879396985,FLPS
A0A087WT20,pre-rRNA,597.0,disorder_rich_spacer_region,18,0.03015075376884422,FLPS
A0A087WT20,pre-rRNA,597.0,hydrophobic_region,5,0.008375209380234505,FLPS
A0A087WUV0,unknown,522.0,acidic_region,58,0.1111111111111111,FLPS
A0A087WUV0,unknown,522.0,aromatic_sticker_region,37,0.07088122605363985,FLPS
A0A087WUV0,unknown,522.0,disorder_rich_spacer_region,7,0.013409961685823755,FLPS
A0A087WVF4,unknown,1798.0,acidic_region,135,0.07508342602892103,FLPS
A0A087WVF4,unknown,1798.0,arginine_rich_rna_contact_region,19,0.010567296996662959,FLPS
A0A087WVF4,unknown,1798.0,aromatic_sticker_region,24,0.013348164627363738,FLPS
A0A087WVF4,unknown,1798.0,basic_enriched_region,78,0.04338153503893215,FLPS
A0A087WVF4,unknown,1798.0,gs_rich_neutral_region,97,0.053948832035595105,FLPS
A0A087WVF4,unknown,1798.0,other,256,0.14238042269187987,FLPS
A0A087WVF4,unknown,1798.0,unmapped_physicochemical_properties,31,0.017241379310344827,FLPS
A0A087WXN2,mRNA,151.0,acidic_region,13,0.08609271523178808,FLPS
A0A087WXN2,mRNA,151.0,aromatic_sticker_region,31,0.2052980132450331,FLPS
A0A087WZ13,unknown,739.0,acidic_region,14,0.018944519621109608,FLPS
A0A087WZ13,unknown,739.0,aromatic_sticker_region,32,0.04330175913396482,FLPS
A0A087WZ13,unknown,739.0,disorder_rich_spacer_region,176,0.2381596752368065,FLPS
A0A087WZ13,unknown,739.0,gs_rich_neutral_region,31,0.04194857916102842,FLPS
A0A087WZ13,unknown,739.0,other,45,0.06089309878213803,FLPS
