uniprot_accession,rna_class,uniprot_length,n_lcr,lcr_residues,coverage,n_lcr_category,method
A0A024R214|ensembl_protein_id=ENSP00000478598|entry=A0A024R214_HUMAN|source=pfam38|protein_name=Cytoplasmic,mRNA,,6,137,,3+,FLPS
A0A024RCN4|ensembl_protein_id=ENSP00000481707|entry=A0A024RCN4_HUMAN|source=pfam38|protein_name=Zinc,unknown,,5,49,,3+,FLPS
A0A087WT20|ensembl_protein_id=ENSP00000297579|entry=A0A087WT20_HUMAN|source=pfam27|protein_name=DDB1-,pre-rRNA,,3,65,,3+,FLPS
A0A087WUV0|ensembl_protein_id=ENSP00000478941|entry=ZN892_HUMAN|source=pfam38|protein_name=Zinc,unknown,,4,102,,3+,FLPS
A0A087WVF4|ensembl_protein_id=ENSP00000479403|entry=A0A087WVF4_HUMAN|source=pfam38|protein_name=Chromodomain,unknown,,20,640,,3+,FLPS
A0A087WXN2|ensembl_protein_id=ENSP00000400031|entry=A0A087WXN2_HUMAN|source=pfam27|protein_name=Mitochondrial,mRNA,,2,44,,2,FLPS
A0A087WZ13|ensembl_protein_id=ENSP00000482277|entry=A0A087WZ13_HUMAN|source=rbpdb|protein_name=Ribonucleoprotein,unknown,,9,368,,3+,FLPS
A0A087X0J2|ensembl_protein_id=ENSP00000483433|entry=A0A087X0J2_HUMAN|source=pfam38|protein_name=UBX,diverse,,1,16,,1,FLPS
A0A0A0MQW0|ensembl_protein_id=ENSP00000267836|entry=A0A0A0MQW0_HUMAN|source=pfam27|protein_name=Myelin,mRNA,,3,171,,3+,FLPS
A0A0A0MQZ6|ensembl_protein_id=ENSP00000296802|entry=A0A0A0MQZ6_HUMAN|source=pfam27|protein_name=NSA2,pre-rRNA,,2,66,,2,FLPS
A0A0A0MRM9|ensembl_protein_id=ENSP00000359024|entry=A0A0A0MRM9_HUMAN|source=pfam27|protein_name=Nucleolar,snoRNA,,24,413,,3+,FLPS
A0A0A0MRW7|ensembl_protein_id=ENSP00000369141|entry=A0A0A0MRW7_HUMAN|source=pfam27|protein_name=Aprataxin,diverse,,3,43,,3+,FLPS
A0A0A0MRZ1|ensembl_protein_id=ENSP00000373873|entry=A0A0A0MRZ1_HUMAN|source=pfam27|protein_name=Unk,unknown,,10,234,,3+,FLPS
A0A0A0MSN9|ensembl_protein_id=ENSP00000407528|entry=A0A0A0MSN9_HUMAN|source=pfam27|protein_name=Negative,mRNA,,4,106,,3+,FLPS
A0A0A0MSS9|ensembl_protein_id=ENSP00000401363|entry=A0A0A0MSS9_HUMAN|source=pfam27|protein_name=Deleted,mRNA,,4,90,,3+,FLPS
A0A0A0MTQ0|ensembl_protein_id=ENSP00000450898|entry=A0A0A0MTQ0_HUMAN|source=pfam27|protein_name=Protein,ncRNA,,1,27,,1,FLPS
A0A0B4J1V9|ensembl_protein_id=ENSP00000377601|entry=A0A0B4J1V9_HUMAN|source=pfam38|protein_name=Proliferation-associated,unknown,,4,83,,3+,FLPS
A0A0B4J203|ensembl_protein_id=ENSP00000423325|entry=A0A0B4J203_HUMAN|source=pfam27|protein_name=receptor,mRNA,,7,94,,3+,FLPS
A0A0C4DG89|ensembl_protein_id=ENSP00000416534|entry=A0A0C4DG89_HUMAN|source=pfam27;pfam38|protein_name=Probable,snRNA,,9,308,,3+,FLPS
A0A0C4DGG8|ensembl_protein_id=ENSP00000439252|entry=A0A0C4DGG8_HUMAN|source=pfam27|protein_name=Cell,mRNA,,8,432,,3+,FLPS
A0A0C4DGK8|ensembl_protein_id=ENSP00000452137|entry=A0A0C4DGK8_HUMAN|source=pfam27|protein_name=exodeoxyribonuclease,mRNA,,1,12,,1,FLPS
A0A0C4DH24|ensembl_protein_id=ENSP00000374791|entry=KV621_HUMAN|source=pfam38|protein_name=Immunoglobulin,unknown,,1,16,,1,FLPS
A0A0D9SF53|ensembl_protein_id=ENSP00000486306|entry=A0A0D9SF53_HUMAN|source=pfam38|protein_name=RNA,unknown,,2,143,,2,FLPS
A0A0D9SFM0|ensembl_protein_id=ENSP00000486723|entry=A0A0D9SFM0_HUMAN|source=pfam38|protein_name=E3,unknown,,12,170,,3+,FLPS
A0A0G2JKY3|ensembl_protein_id=ENSP00000446608|entry=A0A0G2JKY3_HUMAN|source=pfam27|protein_name=Valyl-tRNA,tRNA,,5,74,,3+,FLPS
A0A140T8Y2|ensembl_protein_id=ENSP00000372942|entry=A0A140T8Y2_HUMAN|source=pfam27|protein_name=Guanine,pre-rRNA,,4,54,,3+,FLPS
A0A140TA76|ensembl_protein_id=ENSP00000460896|entry=A0A140TA76_HUMAN|source=pfam27|protein_name=LSM14A,mRNA,,3,63,,3+,FLPS
A0A286YFD1|ensembl_protein_id=ENSP00000493220|entry=A0A286YFD1_HUMAN|source=pfam38|protein_name=Fer-1,unknown,,8,116,,3+,FLPS
A0A2R8Y4L2|ensembl_protein_id=ENSP00000493805|entry=RA1L3_HUMAN|source=pfam38|protein_name=Heterogeneous,mRNA,,3,131,,3+,FLPS
A0A2R8Y6W8|ensembl_protein_id=ENSP00000495619|entry=A0A2R8Y6W8_HUMAN|source=pfam38|protein_name=General,unknown,,4,74,,3+,FLPS
A0A384DVK4|ensembl_protein_id=ENSP00000314018|entry=A0A384DVK4_HUMAN|source=pfam27|protein_name=R3H,unknown,,5,100,,3+,FLPS
A0A494C0I1|ensembl_protein_id=ENSP00000498563|entry=A0A494C0I1_HUMAN|source=pfam38|protein_name=GTF2I,unknown,,3,47,,3+,FLPS
A0A494C1N8|ensembl_protein_id=ENSP00000499147|entry=A0A494C1N8_HUMAN|source=pfam38|protein_name=GTF2I,unknown,,3,47,,3+,FLPS
A0A499FI31|ensembl_protein_id=ENSP00000228284|entry=A0A499FI31_HUMAN|source=pfam27|protein_name=Spliceosome,snRNA,,8,136,,3+,FLPS
A0A499FIA3|ensembl_protein_id=ENSP00000302111|entry=A0A499FIA3_HUMAN|source=pfam38|protein_name=O-6-methylguanine-DNA,unknown,,2,61,,2,FLPS
A0A590UJW6|ensembl_protein_id=ENSP00000499622|entry=A0A590UJW6_HUMAN|source=pfam38|protein_name=Zinc,unknown,,14,245,,3+,FLPS
A0A5F9ZHS7|ensembl_protein_id=ENSP00000499970|entry=NFILZ_HUMAN|source=pfam38|protein_name=NFIL3,unknown,,5,113,,3+,FLPS
A0A5H1ZRQ2|ensembl_protein_id=ENSP00000380033|entry=A0A5H1ZRQ2_HUMAN|source=pfam27;pfam38|protein_name=RNA,mRNA,,9,241,,3+,FLPS
A0A5K1VW79|ensembl_protein_id=ENSP00000371838|entry=A0A5K1VW79_HUMAN|source=pfam27|protein_name=Cytoplasmic,mRNA,,12,431,,3+,FLPS
A0A7I2V5M7|ensembl_protein_id=ENSP00000504525|entry=A0A7I2V5M7_HUMAN|source=pfam38|protein_name=Ras,unknown,,6,222,,3+,FLPS
A0A7N4I394|ensembl_protein_id=ENSP00000386458|entry=A0A7N4I394_HUMAN|source=pfam27|protein_name=Pre-mRNA-processing,snRNA,,12,385,,3+,FLPS
A0A7P0MRT9|ensembl_protein_id=ENSP00000362688|entry=A0A7P0MRT9_HUMAN|source=pfam27|protein_name=Eukaryotic,mRNA,,1,5,,1,FLPS
A0A7P0N5L0|ensembl_protein_id=ENSP00000397555|entry=A0A7P0N5L0_HUMAN|source=pfam27|protein_name=R3H,unknown,,3,60,,3+,FLPS
A0A804HKV4|ensembl_protein_id=ENSP00000508087|entry=A0A804HKV4_HUMAN|source=pfam38|protein_name=Deleted,mRNA,,6,112,,3+,FLPS
A0A8I5KNN2|ensembl_protein_id=ENSP00000508611|entry=A0A8I5KNN2_HUMAN|source=pfam38|protein_name=Nucleolar,pre-rRNA,,4,223,,3+,FLPS
A0A8I5KSH6|ensembl_protein_id=ENSP00000509891|entry=A0A8I5KSH6_HUMAN|source=pfam38|protein_name=ATP-dependent,unknown,,7,142,,3+,FLPS
A0A8I5KVU2|ensembl_protein_id=ENSP00000510165|entry=A0A8I5KVU2_HUMAN|source=pfam38|protein_name=La,mRNA,,7,141,,3+,FLPS
A0A8I5KWK6|ensembl_protein_id=ENSP00000509633|entry=A0A8I5KWK6_HUMAN|source=pfam38|protein_name=Zinc,unknown,,4,58,,3+,FLPS
A0A8I5KX04|ensembl_protein_id=ENSP00000508500|entry=A0A8I5KX04_HUMAN|source=pfam38|protein_name=Pre-mRNA,mRNA,,13,637,,3+,FLPS
A0A8I5KY89|ensembl_protein_id=ENSP00000509532|entry=A0A8I5KY89_HUMAN|source=pfam38|protein_name=Lysine,unknown,,1,31,,1,FLPS
A0A8Q3WL03|ensembl_protein_id=ENSP00000512398|entry=A0A8Q3WL03_HUMAN|source=pfam38|protein_name=Protein,unknown,,3,51,,3+,FLPS
A0A8V8TR54|ensembl_protein_id=ENSP00000515165|entry=A0A8V8TR54_HUMAN|source=pfam38|protein_name=Chromodomain,unknown,,31,720,,3+,FLPS
A0A994J6B2|ensembl_protein_id=ENSP00000515300|entry=A0A994J6B2_HUMAN|source=pfam38|protein_name=Zinc,unknown,,1,10,,1,FLPS
A0A994J7T5|ensembl_protein_id=ENSP00000516122|entry=A0A994J7T5_HUMAN|source=pfam38|protein_name=Adenosine,mRNA,,6,99,,3+,FLPS
A0AA34QW03|ensembl_protein_id=ENSP00000518240|entry=A0AA34QW03_HUMAN|source=pfam38|protein_name=Synaptotagmin,mRNA,,5,205,,3+,FLPS
