uniprot_accession,rna_class,uniprot_length,n_lcr,lcr_residues,coverage,n_lcr_category,method
A0A087WVF4,unknown,1798.0,4,133,0.07397107897664071,3+,SEG_intermediate
A0A0A0MQW0,mRNA,576.0,1,22,0.03819444444444445,1,SEG_intermediate
A0A0A0MRM9,snoRNA,708.0,10,231,0.326271186440678,3+,SEG_intermediate
A0A0A0MRZ1,unknown,733.0,1,33,0.045020463847203276,1,SEG_intermediate
A0A0A0MSN9,mRNA,333.0,2,90,0.2702702702702703,2,SEG_intermediate
A0A0B4J203,mRNA,849.0,1,17,0.020023557126030624,1,SEG_intermediate
A0A0C4DG89,snRNA,1032.0,3,153,0.14825581395348839,3+,SEG_intermediate
A0A0C4DGG8,mRNA,1043.0,6,216,0.20709491850431447,3+,SEG_intermediate
A0A0D9SF53,unknown,733.0,1,37,0.0504774897680764,1,SEG_intermediate
A0A140T8Y2,pre-rRNA,407.0,2,38,0.09336609336609336,2,SEG_intermediate
A0A140TA76,mRNA,344.0,1,20,0.05813953488372093,1,SEG_intermediate
A0A2R8Y4L2,mRNA,320.0,2,90,0.28125,2,SEG_intermediate
A0A499FI31,snRNA,981.0,2,57,0.0581039755351682,2,SEG_intermediate
A0A590UJW6,unknown,1086.0,3,54,0.049723756906077346,3+,SEG_intermediate
A0A5H1ZRQ2,mRNA,731.0,5,99,0.1354309165526676,3+,SEG_intermediate
A0A5K1VW79,mRNA,999.0,8,232,0.23223223223223224,3+,SEG_intermediate
A0A7I2V5M7,unknown,476.0,3,90,0.18907563025210083,3+,SEG_intermediate
A0A7N4I394,snRNA,994.0,5,178,0.1790744466800805,3+,SEG_intermediate
A0A7P0N5L0,unknown,480.0,1,21,0.04375,1,SEG_intermediate
A0A8I5KSH6,unknown,925.0,2,37,0.04,2,SEG_intermediate
A0A8I5KX04,mRNA,1686.0,1,36,0.021352313167259787,1,SEG_intermediate
A0A8V8TR54,unknown,2114.0,5,153,0.07237464522232734,3+,SEG_intermediate
A0AA34QW03,mRNA,678.0,3,118,0.17404129793510326,3+,SEG_intermediate
A0ABB0MN55,mRNA,322.0,4,126,0.391304347826087,3+,SEG_intermediate
A0ABB0MV08,mRNA,369.0,2,119,0.3224932249322493,2,SEG_intermediate
A0ACI8PHD2,unknown,261.0,2,74,0.2835249042145594,2,SEG_intermediate
A0ACI8PUZ8,unknown,1375.0,1,8,0.005818181818181818,1,SEG_intermediate
A0ACI8PX57,unknown,378.0,2,147,0.3888888888888889,2,SEG_intermediate
A0ACI8Q0P4,unknown,829.0,1,47,0.05669481302774427,1,SEG_intermediate
A0ACI8Q806,unknown,498.0,1,86,0.17269076305220885,1,SEG_intermediate
A0ACI8QHW6,unknown,749.0,1,24,0.03204272363150868,1,SEG_intermediate
A0ACI8QLY8,unknown,321.0,3,114,0.35514018691588783,3+,SEG_intermediate
A0ACI8QNN6,unknown,701.0,1,9,0.012838801711840228,1,SEG_intermediate
A0ACI8QTQ5,diverse,1388.0,4,92,0.06628242074927954,3+,SEG_intermediate
A0ACI8QU73,unknown,864.0,2,47,0.05439814814814815,2,SEG_intermediate
A0ACI8QUJ1,unknown,752.0,1,25,0.03324468085106383,1,SEG_intermediate
A0ACI8QY88,mRNA,715.0,4,105,0.14685314685314685,3+,SEG_intermediate
A0ACI8R7A3,unknown,356.0,1,29,0.08146067415730338,1,SEG_intermediate
A0ACI8RCQ9,unknown,534.0,1,24,0.0449438202247191,1,SEG_intermediate
A0ACI8RI26,unknown,764.0,2,35,0.04581151832460733,2,SEG_intermediate
A0ACI8RR28,unknown,918.0,1,30,0.032679738562091505,1,SEG_intermediate
A0ACI8RSP0,ribosomal protein,320.0,1,30,0.09375,1,SEG_intermediate
A0ACI8RX58,unknown,750.0,5,179,0.23866666666666667,3+,SEG_intermediate
A0ACI8S113,unknown,1253.0,1,40,0.03192338387869114,1,SEG_intermediate
A0ACI8S5T8,unknown,488.0,2,54,0.11065573770491803,2,SEG_intermediate
A0ACI8SEY7,unknown,629.0,1,18,0.028616852146263912,1,SEG_intermediate
A0ACI8SXP5,unknown,451.0,2,60,0.13303769401330376,2,SEG_intermediate
A0ACI8SYT5,unknown,674.0,2,38,0.05637982195845697,2,SEG_intermediate
A0ACI8T823,unknown,380.0,1,8,0.021052631578947368,1,SEG_intermediate
A0ACI8T9E2,unknown,234.0,1,43,0.18376068376068377,1,SEG_intermediate
A0ACI8TFG6,tRNA,1552.0,1,22,0.014175257731958763,1,SEG_intermediate
A0ACI8TIT4,unknown,488.0,1,15,0.030737704918032786,1,SEG_intermediate
A0ACI8TLM1,unknown,106.0,1,13,0.12264150943396226,1,SEG_intermediate
