protein_id,protein_length,cluster_id,n_lcr,lcr_residues,mean_lcr_length,coverage,multiplicity_cat,pos__domain_intrinsic,pos__domain_edge,pos__domain_adjacent,pos__interdomain_linker,pos__distal_terminal,sig__acidic_region,sig__arginine_rich_rna_contact_region,sig__aromatic_aggregation_prone_region,sig__aromatic_sticker_region,sig__basic_enriched_region,sig__cation_pi_rich_neighborhood,sig__disorder_rich_spacer_region,sig__glutamine_rich_region,sig__gs_rich_neutral_region,sig__hydrophobic_region,sig__polar_linker,sig__proline_rich_disordered_region,sig__rg_rgg_repeat_region,sig__serine_rich_region,sig__sr_rs_repeat_region,sig__unmapped_physicochemical_properties,ncpr,fcr,is_medoid
Q9Y2T7,364.0,3,1,17,17.0,0.046703296703296704,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.058823529411764705,0.058823529411764705,False
Q9H6S0,1430.0,3,1,18,18.0,0.012587412587412588,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,False
Q8N1G1,1221.0,0,1,22,22.0,0.018018018018018018,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.04545454545454546,0.04545454545454546,False
Q9BRR8,931.0,1,1,17,17.0,0.018259935553168637,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2352941176470588,0.3529411764705883,False
Q9H501,851.0,1,1,31,31.0,0.036427732079905996,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.7741935483870968,0.8387096774193549,False
Q8N8D1,485.0,4,1,17,17.0,0.03505154639175258,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4705882352941176,0.7058823529411765,False
O15371,548.0,1,1,18,18.0,0.032846715328467155,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.9444444444444444,0.9444444444444444,False
Q86U42,306.0,0,2,47,23.5,0.15359477124183007,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.23404255319148937,0.3191489361702128,False
Q9H307,717.0,4,1,69,69.0,0.09623430962343096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1014492753623188,0.1594202898550725,False
P14866,589.0,3,2,37,18.5,0.06281833616298811,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.05405405405405406,False
Q15428,464.0,3,1,16,16.0,0.034482758620689655,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,False
Q9NW13,759.0,1,1,21,21.0,0.02766798418972332,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.8095238095238095,0.9047619047619048,False
Q7Z417,695.0,0,2,43,21.5,0.0618705035971223,2,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,False
