uniprot_accession,rna_class,uniprot_length,n_lcr,lcr_residues,coverage,n_lcr_category,method
A0A024R214,mRNA,626.0,1,193,0.3083067092651757,1,CAST
A0A024RCN4,unknown,479.0,1,136,0.2839248434237996,1,CAST
A0A087WT20,pre-rRNA,597.0,1,86,0.1440536013400335,1,CAST
A0A087WUV0,unknown,522.0,1,90,0.1724137931034483,1,CAST
A0A087WVF4,unknown,1798.0,3,872,0.4849833147942158,3+,CAST
A0A087WZ13,unknown,739.0,2,214,0.2895805142083897,2,CAST
A0A0A0MQW0,mRNA,576.0,2,174,0.3020833333333333,2,CAST
A0A0A0MQZ6,pre-rRNA,189.0,1,131,0.6931216931216931,1,CAST
A0A0A0MRM9,snoRNA,708.0,1,662,0.9350282485875706,1,CAST
A0A0A0MRZ1,unknown,733.0,2,309,0.42155525238744884,2,CAST
A0A0A0MSN9,mRNA,333.0,2,170,0.5105105105105106,2,CAST
A0A0B4J1V9,unknown,884.0,1,154,0.17420814479638008,1,CAST
A0A0B4J203,mRNA,849.0,2,105,0.12367491166077739,2,CAST
A0A0C4DG89,snRNA,1032.0,3,460,0.44573643410852715,3+,CAST
A0A0C4DGG8,mRNA,1043.0,5,607,0.5819750719079578,3+,CAST
A0A0D9SF53,unknown,733.0,2,188,0.25648021828103684,2,CAST
A0A0D9SFM0,unknown,1687.0,2,112,0.06639004149377593,2,CAST
A0A140T8Y2,pre-rRNA,407.0,1,33,0.08108108108108109,1,CAST
A0A140TA76,mRNA,344.0,2,150,0.436046511627907,2,CAST
A0A1W2PPH5,unknown,198.0,1,64,0.32323232323232326,1,CAST
A0A2R8Y4L2,mRNA,320.0,1,123,0.384375,1,CAST
A0A2R8Y6W8,unknown,807.0,2,84,0.10408921933085502,2,CAST
A0A384DVK4,unknown,778.0,3,472,0.6066838046272494,3+,CAST
A0A499FI31,snRNA,981.0,3,247,0.25178389398572887,3+,CAST
A0A590UJW6,unknown,1086.0,2,880,0.8103130755064457,2,CAST
A0A5H1ZRQ2,mRNA,731.0,5,182,0.24897400820793433,3+,CAST
A0A5K1VW79,mRNA,999.0,3,532,0.5325325325325325,3+,CAST
A0A7I2V5M7,unknown,476.0,3,172,0.36134453781512604,3+,CAST
A0A7N4I394,snRNA,994.0,3,648,0.6519114688128773,3+,CAST
A0A7P0N5L0,unknown,480.0,1,73,0.15208333333333332,1,CAST
