uniprot_accession,rna_class,uniprot_length,signature_for_fraction,signature_residues,property_fraction,method
A0A087WVF4,unknown,1798.0,acidic_region,17,0.009454949944382647,SEG
A0A087WVF4,unknown,1798.0,gs_rich_neutral_region,39,0.021690767519466074,SEG
A0A0A0MRM9,snoRNA,708.0,acidic_region,63,0.08898305084745763,SEG
A0A0A0MRM9,snoRNA,708.0,disorder_rich_spacer_region,15,0.0211864406779661,SEG
A0A0A0MSN9,mRNA,333.0,other,48,0.14414414414414414,SEG
A0A0C4DG89,snRNA,1032.0,sr_rs_repeat_region,38,0.03682170542635659,SEG
A0A0C4DGG8,mRNA,1043.0,arginine_rich_rna_contact_region,16,0.015340364333652923,SEG
A0A0C4DGG8,mRNA,1043.0,disorder_rich_spacer_region,26,0.024928092042186004,SEG
A0A0D9SF53,unknown,733.0,other,20,0.027285129604365622,SEG
A0A140T8Y2,pre-rRNA,407.0,acidic_region,19,0.04668304668304668,SEG
A0A2R8Y4L2,mRNA,320.0,gs_rich_neutral_region,15,0.046875,SEG
A0A5K1VW79,mRNA,999.0,disorder_rich_spacer_region,66,0.06606606606606606,SEG
A0A7N4I394,snRNA,994.0,disorder_rich_spacer_region,27,0.02716297786720322,SEG
A0A8I5KSH6,unknown,925.0,acidic_region,15,0.016216216216216217,SEG
A0A8V8TR54,unknown,2114.0,acidic_region,65,0.03074739829706717,SEG
A0A8V8TR54,unknown,2114.0,disorder_rich_spacer_region,42,0.019867549668874173,SEG
A0ABB0MN55,mRNA,322.0,aromatic_sticker_region,30,0.09316770186335403,SEG
A0ABB0MN55,mRNA,322.0,gs_rich_neutral_region,37,0.11490683229813664,SEG
A0ABB0MN55,mRNA,322.0,rg_rgg_repeat_region,24,0.07453416149068323,SEG
A0ABB0MV08,mRNA,369.0,aromatic_sticker_region,21,0.056910569105691054,SEG
A0ACI8PX57,unknown,378.0,aromatic_sticker_region,21,0.05555555555555555,SEG
A0ACI8PX57,unknown,378.0,gs_rich_neutral_region,16,0.042328042328042326,SEG
A0ACI8Q806,unknown,498.0,disorder_rich_spacer_region,16,0.0321285140562249,SEG
A0ACI8QLY8,unknown,321.0,disorder_rich_spacer_region,17,0.0529595015576324,SEG
A0ACI8QLY8,unknown,321.0,rg_rgg_repeat_region,21,0.06542056074766354,SEG
A0ACI8QUJ1,unknown,752.0,disorder_rich_spacer_region,21,0.027925531914893616,SEG
A0ACI8QY88,mRNA,715.0,disorder_rich_spacer_region,47,0.06573426573426573,SEG
A0ACI8QY88,mRNA,715.0,other,16,0.022377622377622378,SEG
A0ACI8RR28,unknown,918.0,rg_rgg_repeat_region,16,0.017429193899782137,SEG
A0ACI8RX58,unknown,750.0,acidic_region,86,0.11466666666666667,SEG
A0ACI8RX58,unknown,750.0,rg_rgg_repeat_region,48,0.064,SEG
A0ACI8T9E2,unknown,234.0,aromatic_sticker_region,17,0.07264957264957266,SEG
A0ACI8T9E2,unknown,234.0,gs_rich_neutral_region,18,0.07692307692307693,SEG
A0ACI8TMU3,unknown,1055.0,disorder_rich_spacer_region,29,0.027488151658767772,SEG
A0ACI8TSY6,unknown,1461.0,disorder_rich_spacer_region,18,0.012320328542094456,SEG
A0ACI8TXE9,unknown,1448.0,acidic_region,15,0.010359116022099447,SEG
A0ACI8U1B9,unknown,902.0,gs_rich_neutral_region,43,0.04767184035476718,SEG
A0ACI8UMC2,unknown,837.0,acidic_region,17,0.02031063321385902,SEG
A0ACI8VCM9,unknown,1180.0,disorder_rich_spacer_region,17,0.01440677966101695,SEG
