protein_id,protein_length,cluster_id,n_lcr,lcr_residues,mean_lcr_length,coverage,multiplicity_cat,pos__domain_intrinsic,pos__domain_edge,pos__domain_adjacent,pos__interdomain_linker,pos__distal_terminal,sig__acidic_region,sig__arginine_rich_rna_contact_region,sig__aromatic_aggregation_prone_region,sig__aromatic_sticker_region,sig__basic_enriched_region,sig__cation_pi_rich_neighborhood,sig__disorder_rich_spacer_region,sig__glutamine_rich_region,sig__glycine_rich_region,sig__gs_rich_neutral_region,sig__hydrophobic_region,sig__mixed_charge_polyampholyte,sig__polar_linker,sig__proline_rich_disordered_region,sig__rg_rgg_repeat_region,sig__serine_rich_region,sig__sr_rs_repeat_region,sig__unmapped_physicochemical_properties,ncpr,fcr,is_medoid
Q9UJK0,312.0,1,4,94,23.5,0.30128205128205127,3+,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02127659574468084,0.3191489361702127,False
Q9Y2T7,364.0,0,7,207,29.571428571428573,0.5686813186813187,3+,0,0,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.12560386473429952,0.21256038647342995,False
Q13395,1621.0,0,10,243,24.3,0.1499074645280691,3+,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0.03292181069958847,0.18930041152263374,False
P82664,201.0,4,1,21,21.0,0.1044776119402985,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.2857142857142857,0.47619047619047616,False
P82673,323.0,0,5,125,25.0,0.38699690402476783,3+,0,1,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.04,0.328,False
O60306,1485.0,1,9,157,17.444444444444443,0.10572390572390572,3+,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,-0.08917197452229299,0.33121019108280253,False
Q9H6S0,1430.0,2,7,171,24.428571428571427,0.11958041958041958,3+,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0.10526315789473684,0.2573099415204678,False
Q8N1G1,1221.0,2,15,328,21.866666666666667,0.26863226863226863,3+,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0.08841463414634147,0.3018292682926829,False
Q9H000,416.0,3,3,67,22.333333333333332,0.16105769230769232,3+,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.014925373134328365,0.16417910447761194,False
Q9BRR8,931.0,2,9,178,19.77777777777778,0.19119226638023631,3+,0,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1348314606741573,0.34831460674157305,False
P46782,204.0,3,1,5,5.0,0.024509803921568627,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,False
Q9UNQ2,313.0,1,4,62,15.5,0.19808306709265175,3+,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.08064516129032258,0.27419354838709675,False
Q9BQI3,630.0,3,4,51,12.75,0.08095238095238096,3+,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.19607843137254904,0.19607843137254904,False
Q9NW64,420.0,0,2,95,47.5,0.2261904761904762,2,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.010526315789473684,0.07368421052631578,False
Q9H501,851.0,1,8,249,31.125,0.2925969447708578,3+,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.05220883534136546,0.5903614457831325,False
Q9UJA5,497.0,1,5,90,18.0,0.18108651911468812,3+,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,-0.07777777777777782,0.2777777777777778,False
Q8N8D1,485.0,0,4,262,65.5,0.5402061855670103,3+,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.07633587786259542,0.3511450381679389,False
P26640,1264.0,0,10,237,23.7,0.1875,3+,1,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0379746835443038,0.24050632911392403,False
P62318,126.0,2,2,45,22.5,0.35714285714285715,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3111111111111111,0.3111111111111111,False
Q9Y3I0,505.0,0,2,29,14.5,0.05742574257425743,2,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.06896551724137931,0.06896551724137931,False
O00178,669.0,0,3,63,21.0,0.09417040358744394,3+,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.047619047619047616,0.11111111111111109,False
Q6NTF7,200.0,3,2,21,10.5,0.105,2,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19047619047619047,0.19047619047619047,False
O15371,548.0,2,4,79,19.75,0.14416058394160583,3+,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.02531645569620251,0.5316455696202531,False
Q7RTV0,110.0,3,1,75,75.0,0.6818181818181818,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01333333333333333,0.28,False
O75132,1171.0,0,10,112,11.2,0.09564474807856532,3+,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,-0.026785714285714277,0.16964285714285715,False
Q13686,389.0,3,2,36,18.0,0.09254498714652956,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-0.08333333333333333,0.1388888888888889,False
Q86U42,306.0,1,4,213,53.25,0.696078431372549,3+,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,-0.08920187793427228,0.3333333333333333,False
P61011,504.0,0,2,104,52.0,0.20634920634920634,2,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.038461538461538464,0.1538461538461538,False
Q9H307,717.0,4,8,440,55.0,0.6136680613668062,3+,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,-0.024999999999999988,0.4159090909090909,False
Q4VXU2,619.0,3,4,113,28.25,0.1825525040387722,3+,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.08849557522123894,0.24778761061946902,False
Q05048,431.0,3,1,21,21.0,0.048723897911832945,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-0.047619047619047616,0.1428571428571428,False
Q96SZ6,601.0,2,2,15,7.5,0.024958402662229616,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.4,0.4,False
Q9NR97,1041.0,3,5,172,34.4,0.16522574447646493,3+,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,-0.011627906976744186,0.13953488372093023,False
O60828,265.0,4,3,99,33.0,0.37358490566037733,3+,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.10101010101010101,0.6868686868686869,False
O43719,755.0,1,7,411,58.714285714285715,0.5443708609271524,3+,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,-0.23114355231143552,0.5425790754257908,False
Q14694,798.0,1,5,67,13.4,0.08395989974937343,3+,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.08955223880597014,0.3283582089552239,False
Q96DP5,389.0,2,2,54,27.0,0.13881748071979436,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25925925925925924,0.4074074074074074,True
Q9NVM6,304.0,1,6,121,20.166666666666668,0.3980263157894737,3+,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.09090909090909091,0.48760330578512395,False
Q9UKV8,859.0,3,1,23,23.0,0.02677532013969732,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08695652173913043,0.08695652173913043,False
P60228,445.0,3,1,26,26.0,0.058426966292134834,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03846153846153846,0.19230769230769232,False
P14866,589.0,0,4,173,43.25,0.2937181663837012,3+,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05202312138728324,0.24855491329479767,False
Q15428,464.0,2,5,298,59.6,0.6422413793103449,3+,0,1,1,1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.03691275167785235,0.09060402684563758,False
A4D1E9,387.0,0,2,24,12.0,0.06201550387596899,2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.041666666666666664,0.12500000000000003,False
Q13155,320.0,3,2,28,14.0,0.0875,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.03571428571428572,0.1071428571428571,False
Q9NW13,759.0,4,8,212,26.5,0.27931488801054016,3+,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,-0.11320754716981134,0.5283018867924528,False
O60290,1169.0,3,7,102,14.571428571428571,0.0872540633019675,3+,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,-0.029411764705882363,0.20588235294117646,False
Q9BYC8,188.0,3,3,61,20.333333333333332,0.324468085106383,3+,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09836065573770492,0.22950819672131148,False
Q7Z333,2677.0,1,15,346,23.066666666666666,0.1292491595069107,3+,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0.020231213872832374,0.29190751445086704,False
Q9H6R0,707.0,0,3,53,17.666666666666668,0.07496463932107496,3+,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.03773584905660377,0.1509433962264151,False
Q9Y5J1,556.0,2,7,116,16.571428571428573,0.20863309352517986,3+,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.08620689655172414,0.46551724137931033,False
Q7Z417,695.0,0,4,159,39.75,0.22877697841726619,3+,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.06918238993710693,0.11949685534591195,False
P84098,196.0,2,2,92,46.0,0.46938775510204084,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2717391304347826,0.532608695652174,False
Q07021,282.0,4,2,23,11.5,0.08156028368794327,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.2608695652173913,0.34782608695652173,False
Q9NY12,217.0,3,3,122,40.666666666666664,0.5622119815668203,3+,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.1885245901639344,0.20491803278688525,False
Q9H6F5,360.0,1,7,262,37.42857142857143,0.7277777777777777,3+,1,1,1,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.11068702290076336,0.33969465648854963,False
P16989,372.0,1,7,206,29.428571428571427,0.553763440860215,3+,0,0,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0.12621359223300968,0.2524271844660194,False
A0A499FI31,981.0,1,8,136,17.0,0.13863404689092762,3+,1,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15441176470588236,0.4338235294117647,False
Q9Y6K5,1087.0,0,3,96,32.0,0.08831646734130635,3+,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.14583333333333331,0.22916666666666666,False
Q13242,221.0,2,2,63,31.5,0.2850678733031674,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1904761904761905,0.2857142857142857,False
Q9NQE9,182.0,3,1,5,5.0,0.027472527472527472,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,False
Q13895,437.0,1,2,35,17.5,0.08009153318077804,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.1428571428571428,0.42857142857142855,False
C9IY40,225.0,0,2,33,16.5,0.14666666666666667,2,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0606060606060606,0.1212121212121212,False
P42285,1042.0,2,1,12,12.0,0.011516314779270634,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.8333333333333334,False
P49590,506.0,3,1,18,18.0,0.03557312252964427,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1111111111111111,0.1111111111111111,False
Q5XG87,792.0,0,12,332,27.666666666666668,0.41919191919191917,3+,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0.04819277108433735,0.0783132530120482,False
Q9NWX6,298.0,3,1,6,6.0,0.020134228187919462,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False
P54136,660.0,2,1,5,5.0,0.007575757575757576,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,False
O43818,475.0,4,3,127,42.333333333333336,0.2673684210526316,3+,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023622047244094446,0.4173228346456693,False
O60739,113.0,2,1,11,11.0,0.09734513274336283,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6363636363636364,0.6363636363636364,False
P19525,551.0,1,4,126,31.5,0.22867513611615245,3+,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.06349206349206349,0.31746031746031744,False
Q96EP5,407.0,0,3,177,59.0,0.4348894348894349,3+,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.011299435028248588,0.05649717514124294,False
Q92499,740.0,3,2,21,10.5,0.02837837837837838,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.047619047619047616,0.047619047619047616,False
Q9Y3B4,125.0,2,1,17,17.0,0.136,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1764705882352941,0.6470588235294118,False
