proteinid,method,start,end,length,rna_class,position,signature,uniprot_accession,frac_A,frac_C,frac_D,frac_E,frac_F,frac_G,frac_H,frac_I,frac_K,frac_L,frac_M,frac_N,frac_P,frac_Q,frac_R,frac_S,frac_T,frac_V,frac_W,frac_Y,frac_polar,frac_hydrophobic,frac_strong_hydro,frac_aromatic,frac_disorder,frac_positive,frac_negative,fcr,ncpr,frac_GS,n_RG_motifs,RG_repeat_cluster,RG_repeat_region,n_SR_motifs,SR_repeat_cluster,SR_repeat_region,n_GS_motifs,GS_repeat_cluster,GS_repeat_region,polar_n_runs,polar_mean_run_length,polar_max_run_length,polar_mean_gap,polar_cv_gap,polar_label,hydrophobic_n_runs,hydrophobic_mean_run_length,hydrophobic_max_run_length,hydrophobic_mean_gap,hydrophobic_cv_gap,hydrophobic_label,aromatic_n_runs,aromatic_mean_run_length,aromatic_max_run_length,aromatic_mean_gap,aromatic_cv_gap,aromatic_label,disorder_n_runs,disorder_mean_run_length,disorder_max_run_length,disorder_mean_gap,disorder_cv_gap,disorder_label,charged_n_runs,charged_mean_run_length,charged_max_run_length,charged_mean_gap,charged_cv_gap,charged_label,cooc_positive_aromatic,uniprot_length,coverage_per_lcr
Q9Y2T7,AlcoR,90,115,26,mRNA,domain_edge,aromatic_sticker_region,Q9Y2T7,0.03846153846153846,0.0,0.03846153846153846,0.0,0.07692307692307693,0.1153846153846154,0.0,0.07692307692307693,0.03846153846153846,0.07692307692307693,0.0,0.1538461538461539,0.0,0.03846153846153846,0.07692307692307693,0.0,0.07692307692307693,0.1153846153846154,0.03846153846153846,0.03846153846153846,0.5,0.6923076923076923,0.4230769230769231,0.1538461538461539,0.3076923076923077,0.1153846153846154,0.03846153846153846,0.1538461538461539,0.07692307692307693,0.1153846153846154,0,0,False,0,0,False,0,0,False,7,1.857142857142857,5,1.666666666666667,0.565685424949238,dispersed,5,3.6,8,2.0,0.6123724356957945,dispersed,3,1.333333333333333,2,3.0,0.6666666666666666,dispersed,8,1.0,1,2.0,0.5345224838248488,dispersed,4,1.0,1,4.0,0.6123724356957945,dispersed,0.6190476190476191,364.0,0.07142857142857142
Q9Y2T7,AlcoR,130,145,16,mRNA,domain_intrinsic,mixed_charge_polyampholyte,Q9Y2T7,0.0,0.0,0.0625,0.125,0.0625,0.125,0.0,0.0,0.0625,0.0625,0.0,0.0625,0.0625,0.0,0.125,0.0625,0.0625,0.125,0.0,0.0,0.5625,0.5,0.25,0.0625,0.5625,0.1875,0.1875,0.375,0.0,0.1875,0,0,False,1,0,False,0,0,False,6,1.5,2,1.4,0.3499271061118826,dispersed,4,2.0,3,1.333333333333333,0.3535533905932738,dispersed,1,1.0,1,,,dispersed,5,1.8,3,1.5,0.3333333333333333,dispersed,5,1.2,2,2.0,0.3535533905932738,dispersed,0.4166666666666667,364.0,0.04395604395604396
O60306,AlcoR,1414,1425,12,mRNA,distal_terminal,proline_rich_disordered_region,O60306,0.08333333333333333,0.0,0.1666666666666667,0.0,0.0,0.0,0.0,0.1666666666666667,0.0,0.0,0.0,0.0,0.1666666666666667,0.08333333333333333,0.0,0.1666666666666667,0.1666666666666667,0.0,0.0,0.0,0.5833333333333334,0.4166666666666667,0.1666666666666667,0.0,0.5,0.0,0.1666666666666667,0.1666666666666667,-0.1666666666666667,0.1666666666666667,0,0,False,0,0,False,0,0,False,4,1.75,4,1.666666666666667,0.565685424949238,dispersed,4,1.25,2,1.666666666666667,0.565685424949238,dispersed,0,,0,,,insufficient,3,2.0,3,3.0,0.0,dispersed,2,1.0,1,6.0,0.0,dispersed,0.0,1485.0,0.00808080808080808
O60306,AlcoR,1429,1485,57,mRNA,distal_terminal,disorder_rich_spacer_region,O60306,0.1754385964912281,0.0,0.03508771929824561,0.1228070175438596,0.01754385964912281,0.03508771929824561,0.0,0.01754385964912281,0.01754385964912281,0.01754385964912281,0.0,0.01754385964912281,0.1403508771929824,0.03508771929824561,0.0,0.08771929824561403,0.2280701754385965,0.05263157894736842,0.0,0.0,0.543859649122807,0.5614035087719298,0.1052631578947368,0.01754385964912281,0.6140350877192983,0.01754385964912281,0.1578947368421053,0.1754385964912281,-0.1403508771929824,0.1228070175438596,0,0,False,0,0,False,0,0,False,13,2.384615384615385,5,2.166666666666667,0.6749972605686249,dispersed,17,1.882352941176471,6,1.5,0.5270462766947299,dispersed,1,1.0,1,,,dispersed,16,2.1875,6,1.466666666666667,0.6030226891555273,dispersed,9,1.111111111111111,2,5.875,0.5411956315734853,dispersed,0.0,1485.0,0.03838383838383838
Q9H6S0,AlcoR,1,1021,1021,mRNA,domain_edge,aromatic_sticker_region,Q9H6S0,0.07345739471106758,0.01958863858961802,0.05484818805093046,0.06464250734573947,0.04505386875612145,0.06072477962781587,0.02350636630754162,0.05288932419196866,0.06366307541625857,0.1057786483839373,0.02742409402546523,0.03721841332027424,0.04407443682664055,0.04309500489715964,0.06562193927522038,0.06464250734573947,0.05778648383937316,0.06758080313418217,0.009794319294809012,0.01860920666013712,0.5034280117531832,0.6258570029382958,0.327130264446621,0.0969637610186092,0.4799216454456415,0.1292850146914789,0.1194906953966699,0.2487757100881489,0.009794319294809012,0.1253672869735553,4,0,False,5,0,False,7,0,False,240,2.141666666666667,15,2.117154811715481,0.745082877767921,dispersed,240,2.6625,15,1.594142259414226,0.6148794647355792,dispersed,91,1.087912087912088,3,9.555555555555555,0.852778362554355,dispersed,238,2.058823529411764,17,2.232067510548523,0.8293917190351722,dispersed,179,1.418994413407821,5,4.269662921348314,0.8073416587892766,dispersed,1.0,1430.0,0.713986013986014
Q9H6S0,AlcoR,1029,1328,300,mRNA,domain_edge,cation_pi_rich_neighborhood,Q9H6S0,0.07666666666666666,0.01666666666666667,0.04666666666666667,0.06333333333333334,0.02333333333333333,0.03333333333333333,0.01666666666666667,0.04333333333333333,0.05,0.09,0.02333333333333333,0.03666666666666667,0.09,0.04,0.07666666666666666,0.1566666666666667,0.05333333333333334,0.02666666666666667,0.02333333333333333,0.01333333333333333,0.5766666666666667,0.49,0.2433333333333333,0.07666666666666666,0.5866666666666667,0.1266666666666667,0.11,0.2366666666666667,0.01666666666666667,0.19,3,0,False,3,0,False,3,0,False,71,2.436619718309859,12,1.771428571428571,0.7023077760347497,dispersed,66,2.227272727272727,8,2.307692307692307,0.7896553397245888,dispersed,19,1.210526315789474,2,14.94444444444444,0.7581911749295479,dispersed,70,2.514285714285714,19,1.797101449275362,0.693454607313086,dispersed,53,1.339622641509434,3,4.288461538461538,0.8510615354338694,dispersed,1.0,1430.0,0.2097902097902098
O15371,AlcoR,271,287,17,mRNA,domain_intrinsic,mixed_charge_polyampholyte,O15371,0.0,0.0,0.2352941176470588,0.0,0.1764705882352941,0.05882352941176471,0.0,0.0,0.1176470588235294,0.05882352941176471,0.0,0.05882352941176471,0.0,0.0,0.1176470588235294,0.1176470588235294,0.0,0.05882352941176471,0.0,0.0,0.6470588235294118,0.4705882352941176,0.2941176470588235,0.1764705882352941,0.4117647058823529,0.2352941176470588,0.2352941176470588,0.4705882352941176,0.0,0.1764705882352941,0,0,False,0,0,False,1,0,False,4,2.75,7,2.0,0.408248290463863,dispersed,4,2.0,4,2.333333333333333,0.8081220356417685,dispersed,2,1.5,2,7.0,0.0,dispersed,4,1.75,3,2.333333333333333,0.5345224838248487,dispersed,5,1.6,4,2.25,0.3685138655950444,dispersed,0.4615384615384616,548.0,0.03102189781021898
Q9H307,AlcoR,260,298,39,mRNA,unclassified_no_pfam,arginine_rich_rna_contact_region,Q9H307,0.07692307692307693,0.0,0.0,0.1538461538461539,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.1025641025641026,0.02564102564102564,0.07692307692307693,0.05128205128205128,0.02564102564102564,0.1025641025641026,0.1538461538461539,0.02564102564102564,0.0,0.05128205128205128,0.0,0.0,0.6153846153846154,0.4871794871794872,0.2564102564102564,0.07692307692307693,0.6666666666666666,0.2564102564102564,0.1538461538461539,0.4102564102564102,0.1025641025641026,0.05128205128205128,1,0,False,0,0,False,0,0,False,11,2.181818181818182,6,1.3,0.4925480182640653,dispersed,12,1.583333333333333,3,1.636363636363636,0.87488976377909,dispersed,3,1.0,1,13.0,0.5384615384615384,dispersed,9,2.888888888888889,8,1.375,0.3520893951097652,dispersed,10,1.6,4,2.0,0.6666666666666666,dispersed,0.6129032258064516,717.0,0.05439330543933055
Q9H307,AlcoR,411,436,26,mRNA,unclassified_no_pfam,acidic_region,Q9H307,0.03846153846153846,0.0,0.03846153846153846,0.3846153846153846,0.03846153846153846,0.0,0.0,0.03846153846153846,0.03846153846153846,0.03846153846153846,0.03846153846153846,0.03846153846153846,0.1153846153846154,0.0,0.0,0.1153846153846154,0.0,0.07692307692307693,0.0,0.0,0.6153846153846154,0.3076923076923077,0.2307692307692308,0.03846153846153846,0.6923076923076923,0.03846153846153846,0.4230769230769231,0.4615384615384616,-0.3846153846153846,0.1153846153846154,0,0,False,0,0,False,0,0,False,10,1.6,4,1.0,0.0,dispersed,8,1.0,1,2.142857142857143,0.8055363982396383,dispersed,1,1.0,1,,,dispersed,7,2.571428571428572,5,1.0,0.0,dispersed,11,1.090909090909091,2,1.3,0.3525058226889107,dispersed,0.0,717.0,0.03626220362622036
Q4VXU2,AlcoR,9,30,22,mRNA,domain_edge,aromatic_sticker_region,Q4VXU2,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0,0.04545454545454546,0.04545454545454546,0.0,0.04545454545454546,0.1818181818181818,0.04545454545454546,0.0,0.09090909090909091,0.0,0.0,0.04545454545454546,0.04545454545454546,0.09090909090909091,0.0,0.09090909090909091,0.4545454545454545,0.6818181818181818,0.4090909090909091,0.1363636363636364,0.4090909090909091,0.04545454545454546,0.1818181818181818,0.2272727272727273,-0.1363636363636364,0.09090909090909091,0,0,False,0,0,False,0,0,False,7,1.428571428571429,3,1.5,0.5091750772173156,dispersed,6,2.5,4,1.2,0.3333333333333334,dispersed,3,1.0,1,6.0,0.3333333333333333,dispersed,6,1.5,2,2.6,0.3076923076923078,dispersed,4,1.25,2,3.0,0.2721655269759087,dispersed,0.05555555555555555,619.0,0.035541195476575124
