method,analysis,cluster_column,cluster_id,cluster_n,medoid_protein_id,medoid_protein_length,medoid_total_within_distance,medoid_mean_within_distance,coverage_median,ncpr_median,fcr_median,top_position_1,top_position_1_count,top_position_1_fraction,top_position_2,top_position_2_count,top_position_2_fraction,top_signature_1,top_signature_1_count,top_signature_1_fraction,top_signature_2,top_signature_2_count,top_signature_2_fraction
CAST,global,cluster_pam_k4,0,869,Q9UJK0,312,0.0,0.0,0.0,,,none detected,0,0.0,none detected,0,0.0,none detected,0,0.0,none detected,0,0.0
CAST,global,cluster_pam_k4,1,584,Q9NWK9,470,49.87360922693138,65.86073724265228,0.21918370698858503,,,domain-adjacent,164,0.2808219178082192,distal-terminal,156,0.2671232876712329,cation pi rich neighborhood,89,0.1523972602739726,acidic region,88,0.1506849315068493
CAST,global,cluster_pam_k4,2,281,Q6P2E9,1401,29.143833274210074,39.24347064482953,0.32867132867132864,,,distal-terminal,133,0.47330960854092524,domain-adjacent,120,0.42704626334519574,acidic region,99,0.35231316725978645,cation pi rich neighborhood,93,0.3309608540925267
CAST,global,cluster_pam_k4,3,190,A0ACI8QY88,715,20.830178448130496,27.73895386927102,0.42371629873984107,,,distal-terminal,140,0.7368421052631579,domain-adjacent,92,0.4842105263157895,disorder rich spacer region,100,0.5263157894736842,acidic region,96,0.5052631578947369
